gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive,dfbetas_stable,imp_insensitive,max_dfb,dfb_cut,stable
SNTG2,-1.9215125802206192,4.9325450104263755,-8.075889177190806,1.296684872712244e-7,0.00308727701344058,7.672004468015977,NA,Amide-Pos-000336,N-Acetylputrescine,EN-L6-IT,18,0.0077359936867546,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,WP4157,C02714,NA,high,0,18,FALSE,-1.315711297731368,2.515315221185128e-4,-1.315711297731368,2.515315221185128e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.43025906478589043,0.47140452079103173,TRUE
LRMDA,-2.3818369582050387,4.235672856218585,-6.497604037507185,3.765503883675891e-6,0.00292372549048014,4.523235884342696,NA,Amide-Pos-000349,L-Hydroxyproline,IN-MGE-SST,11,0.06952324083457957,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",R-HSA-352230;R-HSA-389661;R-HSA-442660;R-HSA-70688;WP5166,NA,NA,high,0,11,FALSE,-1.5242175313762112,0.01659889299452919,-1.5242175313762112,0.01659889299452919,TRUE,TRUE,FALSE,TRUE,TRUE,0.5726706680065028,0.6030226891555273,TRUE
RIT2,0.9158319609282592,5.745210396588543,6.2834405841928644,5.289950754009069e-6,0.11313088682523796,3.860296372527235,NA,Amide-Pos-000372,Asparagine,EN-L6b,15,0.08511921436153062,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;map00910;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-442660;R-HSA-5676934;R-HSA-8963693;WP106;WP3953;WP4290,C00152,NA,high,0,15,FALSE,0.6523006930007009,0.00164262472359097,0.6523006930007009,0.00164262472359097,TRUE,TRUE,FALSE,TRUE,TRUE,0.28810480004448713,0.5163977794943222,TRUE
SGCD,-1.502795639191355,6.90355099226012,-6.302085741421294,5.171578176418661e-6,0.01880247008939438,4.258821982883531,NA,Amide-Pos-000536,L-Histidine,Astrocyte-Immature,13,0.08394281180640399,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00340;map00410;map00910;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-427975;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-70921;R-HSA-71240;WP4486;WP4661;WP5313;WP550;WP661,C00135,NA,high,0,13,FALSE,-1.0003203142324073,0.00527006906487034,-1.0003203142324073,0.00527006906487034,TRUE,TRUE,FALSE,TRUE,TRUE,0.43756647006689137,0.5547001962252291,TRUE
MINDY1,-1.8365303192995135,0.6953330516906074,-6.228743171016057,4.9674145506009704e-6,0.10422132468615895,2.052362445513423,NA,Amide-Pos-000604,D-Histidine Methyl Ester,EN-L6b,15,0.08194122293978003,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,0,15,FALSE,-0.9068279754823848,8.210567535136309e-6,-0.9068279754823848,8.210567535136309e-6,TRUE,TRUE,FALSE,TRUE,TRUE,0.3296238212382532,0.5163977794943222,TRUE
PLCG2,-1.3202907885573585,9.403465247217106,-6.7511407675953565,3.3016216956824205e-6,0.04927064231510358,4.583476139596296,NA,Amide-Pos-000682,"Ne,Ne,Ne-Trimethyllysine",IN-MGE-SST,12,0.06457166861267466,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",R-HSA-71262,C03793,NA,high,0,12,FALSE,-0.921117175546282,9.784136099945484e-4,-0.921117175546282,9.784136099945484e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.27517088485228464,0.5773502691896258,TRUE
ENSG00000253500,5.896549875790294,6.109293708617825,8.168194997301956,3.2186180290535364e-8,4.247610212941952e-4,7.461332670233285,NA,Amide-Pos-000913,Anserine,OPC,10,0.00304499345859239,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,map00340;map00410;R-HSA-70921;WP4486,C01262,NA,high,0,10,FALSE,3.981129299189896,0.02092734756668656,3.981129299189896,0.02092734756668656,TRUE,TRUE,FALSE,TRUE,TRUE,0.4708858730403688,0.6324555320336759,TRUE
RPS6,1.4814502875533977,6.197402963566803,7.054582982158286,9.89856188709536e-7,0.00235416083280519,5.794088093535137,NA,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.02975365460891533,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,0,15,FALSE,0.8924829798179821,3.4116646130830834e-4,0.8924829798179821,3.4116646130830834e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.47705424513690153,0.5163977794943222,TRUE
RPL23A,1.4930828418515485,6.072267858706839,6.168734512189544,6.099368160807911e-6,0.00402199423379966,4.086362232036555,NA,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.09266782710657828,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,0,15,FALSE,0.8660792833850508,0.00129027884606889,0.8660792833850508,0.00129027884606889,TRUE,TRUE,FALSE,TRUE,TRUE,0.4267419482111809,0.5163977794943222,TRUE
SORCS3,1.7619662439342036,5.205558370177746,8.37518848946858,1.248199142973357e-7,0.00295511147098942,4.531428539689678,NA,Amide-Pos-001163,Ophthalmate,EN-Newborn,17,0.00753448494421823,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",WP2525;WP4487,C21016,NA,high,0,17,FALSE,1.136117474414753,1.3502526955780104e-4,1.136117474414753,1.3502526955780104e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.47742627232585694,0.48507125007266594,TRUE
ROBO1,0.29962760355095547,11.2946271937015,7.336760465564579,5.314670806184422e-8,7.960313933503026e-4,8.435598194461553,NA,Amide-Pos-001385,"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",IN-MGE-Immature,16,0.00428225467902469,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,NA,NA,NA,high,0,16,FALSE,0.2129374243760819,1.1572579417122788e-4,0.2129374243760819,1.1572579417122788e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.49020971556538523,0.5,TRUE
