gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive,dfbetas_stable,imp_insensitive,max_dfb,dfb_cut,stable
ADAM7-AS1,-1.0636477241902036,5.729769146845529,-5.913257072723145,3.054304298648336e-6,0.04646207699103848,-2.09545827438682,NA,C8-Neg-003713,Pc(20:3_25:5),IN-MGE-Immature,14,0.06129497930317727,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,14,FALSE,-0.7822650094036443,1.0976816088898808e-4,-0.7822650094036443,1.0976816088898808e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.4666765946322268,0.5345224838248488,TRUE
ENSG00000286980,2.091792739086103,3.0271910280240752,5.62037821752465,6.4075519888116975e-6,0.01015205038780802,2.494914679159143,NA,C8-Pos-000350,Citroflex 2,OPC,10,0.09549631959979034,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,NA,NA,NA,high,0,10,FALSE,1.5397897339831772,0.00416035727345927,1.5397897339831772,0.00416035727345927,TRUE,TRUE,FALSE,TRUE,TRUE,0.49452045447739246,0.6324555320336759,TRUE
BCAS1,-1.2417674374120136,8.925477336657746,-6.529182420688301,6.130350188084348e-7,0.00400802295296954,6.157201030229608,NA,C8-Pos-000350,Citroflex 2,OPC,10,0.02166297131560583,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,NA,NA,NA,high,0,10,FALSE,-0.961985936260914,0.03241529091598713,-0.961985936260914,0.03241529091598713,TRUE,TRUE,FALSE,TRUE,TRUE,0.5224562624741694,0.6324555320336759,TRUE
DCC,1.2799715999542949,8.172790527898206,6.461455541165752,2.644588531080492e-6,0.00222777199426519,4.847847541541119,NA,C8-Pos-000337,Geranyllinalool,Astrocyte-Immature,12,0.05604643956167031,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,NA,NA,NA,high,0,12,FALSE,0.880610031438006,0.00567139599395843,0.880610031438006,0.00567139599395843,TRUE,TRUE,FALSE,TRUE,TRUE,0.36725309767382547,0.5773502691896258,TRUE
ADAMTS19,-0.4211172758900957,7.751601556032685,-6.96111566237192,2.2904657040543876e-6,0.05305405710301178,5.08600845150933,NA,C8-Pos-000495,"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",EN-L6-IT,15,0.05122194977664918,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,WP5277,NA,NA,high,0,15,FALSE,-0.29889643664130505,1.3347510068026635e-5,-0.29889643664130505,1.3347510068026635e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.3288689679826696,0.5163977794943222,TRUE
MYO1B-AS1,1.1476672016561216,2.779478827978942,5.783074756246733,3.250537493866418e-6,0.04953169033153648,0.9784593375113566,NA,C8-Pos-000709,Stearoyl Ethanolamide,IN-MGE-Immature,16,0.06386042556390574,Organic nitrogen compounds,Organonitrogen compounds,Amines,R-HSA-112310,NA,NA,high,0,16,FALSE,0.9927884443409738,3.180296590481007e-4,0.9927884443409738,3.180296590481007e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.3288629299730114,0.5,TRUE
RPLP2,-0.6754849347957214,7.432634910888397,-5.843350976467304,2.051453950065024e-6,0.00196978043967806,4.948974384396735,NA,C8-Pos-000820,Docosanamide,IN-MGE-Immature,16,0.04771177596151529,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,high,0,16,FALSE,-0.5050871900910056,1.611667750436132e-4,-0.5050871900910056,1.611667750436132e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.43576212305121675,0.5,TRUE
RPS2,-0.631229362436591,7.404823682544658,-5.988209970546579,1.3630894787241927e-6,0.00174509530513664,5.328758609530578,NA,C8-Pos-000820,Docosanamide,IN-MGE-Immature,16,0.03679369711467265,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,high,0,16,FALSE,-0.4496584823718746,2.827550309271501e-5,-0.4496584823718746,2.827550309271501e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.4407187546530396,0.5,TRUE
SIAH3,-0.8313678268373302,3.8261039507480663,-7.320238162810903,5.420045649099677e-6,0.04390056307582435,3.893565544906643,NA,C8-Pos-001060,Vitamin D3,EN-IT-Immature,14,0.08638300094139098,Lipids and lipid-like molecules,Steroids and steroid derivatives,Vitamin D and derivatives,map00100;R-HSA-196791;R-HSA-211916;R-HSA-5579027;R-HSA-5579029;WP1531;WP322;WP4342;WP4698;WP4961;WP4969;WP5133;WP716,C05443,NA,high,0,14,FALSE,-0.5298548317914838,3.146752468574591e-5,-0.5298548317914838,3.146752468574591e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.4528155662941143,0.5345224838248488,TRUE
RPL12,-1.496479541772823,6.992789246203848,-7.899710636484421,2.7178460097040068e-6,6.251636658408282e-4,5.063371349091936,NA,C8-Pos-001061,Cholest-4-En-3-One,EN-Non-IT-Immature,10,0.05708575411451269,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,WP4718;WP5329,C00599,NA,high,0,10,FALSE,-1.0123769337769624,0.00127255367700842,-1.0123769337769624,0.00127255367700842,TRUE,TRUE,FALSE,TRUE,TRUE,0.43380430659086516,0.6324555320336759,TRUE
SMAD3,1.6484276222427547,1.343757228556028,7.419077740521636,9.061238157893246e-7,0.02157390193012803,2.6337314522052626,NA,C8-Pos-001521,Triethyleneglycol Bis(2-Ethylhexanoate),EN-Newborn,16,0.02798410745445718,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,high,0,16,FALSE,0.9502795800146856,5.432817363918033e-4,0.9502795800146856,5.432817363918033e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.18167481595246013,0.5,TRUE
TPTE2,1.1664784136084567,4.468643016174067,5.665614811432012,3.146979150598873e-6,0.04282094530219887,3.8433070665190936,NA,C8-Pos-001736,Tg(5:0_10:0_6:1cho),IN-CGE-Immature,11,0.06247873875785895,Lipids and lipid-like molecules,Glycerolipids,Triradylglycerols,NA,NA,NA,NA,0,11,FALSE,0.826096276154433,0.00321467245715612,0.826096276154433,0.00321467245715612,TRUE,TRUE,FALSE,TRUE,TRUE,0.2928405811141986,0.6030226891555273,TRUE
PLCZ1,-1.4431931418533095,2.3439243480459746,-6.561029536301515,4.234094419514251e-6,0.06931936023942145,3.119557366182886,NA,C8-Pos-002542,Lpc 20:3-Sn1,EN-L6b,14,0.07435870787639089,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,14,FALSE,-0.9820780784931832,8.602237733026302e-5,-0.9820780784931832,8.602237733026302e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.49167383437959183,0.5345224838248488,TRUE
PNRC1,0.6668005380511567,4.39649283030862,7.201283222098103,1.249349267343639e-6,0.00582271719538176,5.592635451812014,NA,C8-Pos-002542,Lpc 20:3-Sn1,EN-Newborn,16,0.03475258253403305,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,16,FALSE,0.4498742001524096,8.405987280869256e-6,0.4498742001524096,8.405987280869256e-6,TRUE,TRUE,FALSE,TRUE,TRUE,0.4606432701427519,0.5,TRUE
PPP1R17,1.409067186886569,1.522840977736792,6.514741789115763,4.586882099121568e-6,0.00825800919192928,3.715350443582807,NA,C8-Pos-002542,Lpc 20:3-Sn1,EN-Newborn,16,0.07793115162375755,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,16,FALSE,0.8678918774881785,5.96395085021116e-4,0.8678918774881785,5.96395085021116e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.4136294800510687,0.5,TRUE
H3-3B,0.6826543925130659,6.143286949243423,6.441939000227833,5.285004037614877e-6,0.00825800919192928,4.246415685729666,NA,C8-Pos-002542,Lpc 20:3-Sn1,EN-Newborn,16,0.08507532004870949,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,16,FALSE,0.46347028619653047,0.00619611832505004,0.46347028619653047,0.00619611832505004,TRUE,TRUE,FALSE,TRUE,TRUE,0.486402021866511,0.5,TRUE
EPHA6,1.1129872642064411,9.078636069193657,7.711562134241616,6.345914711189347e-6,0.13384168717369452,0.38476407891343634,NA,C8-Pos-002542,Lpc 20:3-Sn1,EN-Non-IT-Immature,10,0.09497820883202014,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,10,FALSE,0.7680411608884815,0.0021239400000536,0.7680411608884815,0.0021239400000536,TRUE,TRUE,FALSE,TRUE,TRUE,0.5954294321934058,0.6324555320336759,TRUE
EVC2,-1.562134542427059,1.37663462022349,-6.6988851834653405,1.3437775775509363e-6,0.03216062876352656,3.6186965995340983,NA,C8-Pos-002633,Lpe 24:4,EN-L6-IT,19,0.03645537647018463,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,NA,substance,NA,high,0,19,FALSE,-0.8675141300850633,4.434623040660472e-5,-0.8675141300850633,4.434623040660472e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.21565444868576453,0.4588314677411235,TRUE
KIAA1217,1.0994290491502288,5.203715129340845,6.740167634333518,3.0465012848301956e-6,0.07754869020535263,-0.9944491155248936,NA,C8-Pos-002720,Lpc 22:6-Sn1,EN-IT-Immature,18,0.06114979389817111,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,substance,NA,high,0,18,FALSE,0.6583854595466707,1.777666259802403e-5,0.6583854595466707,1.777666259802403e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.3720341022058107,0.47140452079103173,TRUE
ZBTB20-AS1,1.1659496690208089,3.4333238562629327,6.576000520131855,6.052432025829434e-6,0.04557884810917952,3.360431486638758,NA,C8-Pos-003290,Tg(2:0_11:0_23:4),EN-Newborn,15,0.09217605211212912,Lipids and lipid-like molecules,Glycerolipids,Triradylglycerols,NA,NA,NA,NA,0,15,FALSE,0.8003946922955528,1.4586327799424393e-4,0.8003946922955528,1.4586327799424393e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.5106152172943942,0.5163977794943222,TRUE
MIR646HG,2.5658352600811587,4.530413726227847,6.504643259902443,1.0929030247541142e-6,0.01678699046022319,-3.698805627850406,NA,C8-Pos-003474,"1,2-Dimyristoyl-Sn-Glycero-3-Pc",IN-CGE-Immature,16,0.03179011581794931,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,high,0,16,FALSE,1.987411252515521,2.845909874103068e-5,1.987411252515521,2.845909874103068e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.3537512851862419,0.5,TRUE
CST3,-1.0613481207162898,5.955795917468312,-5.763040750418478,6.574236105969017e-6,0.07377377712370085,2.8491060021592807,NA,C8-Pos-003614,Tg(36:6_4:0),OPC,10,0.09692133011460027,Lipids and lipid-like molecules,Glycerolipids,Triradylglycerols,NA,NA,NA,NA,0,10,FALSE,-0.7022431875036441,0.00325646623344154,-0.7022431875036441,0.00325646623344154,TRUE,TRUE,FALSE,TRUE,TRUE,0.5460998228894448,0.6324555320336759,TRUE
SEMA3E,1.6678237412871717,4.572430237732048,6.338906655750663,6.790112030110668e-6,0.04041304927521116,3.7031290097232543,NA,C8-Pos-003714,Pc(O-10:0_23:2),EN-Newborn,16,0.09863565746512835,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,16,FALSE,0.9721069390723102,8.677569520350309e-4,0.9721069390723102,8.677569520350309e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.39486648020216925,0.5,TRUE
RELN,-3.2412506094554567,4.974038873319138,-6.19804126098666,2.1343352403716357e-6,0.00572241396828464,4.970390842927429,NA,C8-Pos-003714,Pc(O-10:0_23:2),IN-CGE-Immature,14,0.0489307666923703,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,14,FALSE,-2.5283443251447295,0.04540709661351536,-2.5283443251447295,0.04540709661351536,TRUE,TRUE,FALSE,TRUE,TRUE,0.5137198041883897,0.5345224838248488,TRUE
ENSG00000254987,1.5590133174261676,4.090460785684677,6.255248454248005,1.229902611085025e-6,0.01825544445633502,-3.0053086809109075,NA,C8-Pos-003759,Pe 16:0_18:1,IN-MGE-Immature,14,0.03439844675423934,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,NA,NA,NA,high,0,14,FALSE,1.320192235496775,7.948329272123648e-4,1.320192235496775,7.948329272123648e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.369732936059038,0.5345224838248488,TRUE
MIR99AHG,0.8364938213819335,12.576755873711756,9.430723407763244,2.9649487404965945e-7,0.00486666686265111,7.039879771982302,NA,C8-Pos-004019,Pa(18:1_20:0),IPC-EN,10,0.01349680138151364,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphates,NA,NA,NA,NA,3,7,FALSE,0.5805203402824457,1.6002253619283892e-4,1.9450614873395609,0.03598625678570349,TRUE,TRUE,FALSE,TRUE,TRUE,0.4827242174408215,0.6324555320336759,TRUE
ESRRG,-1.2431185102966706,6.687459822794583,-6.452039042338736,3.901153708823162e-6,0.0496870442124262,4.531267680216824,NA,C8-Pos-004921,Tg(49:11_2:0),EN-IT-Immature,19,0.07086014687951694,Lipids and lipid-like molecules,Glycerolipids,Triradylglycerols,NA,NA,NA,NA,0,19,FALSE,-0.8472432394661703,2.317155872165537e-5,-0.8472432394661703,2.317155872165537e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.45392568133662853,0.4588314677411235,TRUE
BCAS1,-40.44490501192096,8.825280872983209,-5.998989602553151,1.4059712349345166e-6,0.01785021079872862,-4.515243225150129,NA,C8-Pos-005013,Pc(18:2_20:4cooh),OPC,10,0.03751811638850933,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,10,FALSE,-30.203099225163164,0.01213550112382353,-30.203099225163164,0.01213550112382353,TRUE,TRUE,FALSE,TRUE,TRUE,0.6261947699032876,0.6324555320336759,TRUE
SEMA3C,-0.9404843289722908,6.804903786914856,-6.3870381490030255,7.829645561766004e-7,0.01171001790217723,5.112081935467245,NA,C8-Pos-005189,Ps 22:4_22:5,IN-MGE-Immature,15,0.02539066175757813,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,NA,substance,NA,high,0,15,FALSE,-0.6504173034849059,2.7448319991257825e-4,-0.6504173034849059,2.7448319991257825e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.47321230060640923,0.5163977794943222,TRUE
LMO4,-1.2220929421104625,6.817580190041412,-6.671791477456875,1.45715653186004e-6,0.00126119039872982,5.414376800037344,NA,C8-Pos-005214,Pc(14:1_28:3),IN-MGE-SST,12,0.03835120011180359,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,12,FALSE,-0.8584188579345085,0.00101985637633969,-0.8584188579345085,0.00101985637633969,TRUE,TRUE,FALSE,TRUE,TRUE,0.5594184944164465,0.5773502691896258,TRUE
TRPC7,-2.0039014107786985,4.2949894618321105,-6.448003430459624,2.3674277708677896e-6,0.00164322596310876,4.883557595728938,NA,C8-Pos-005214,Pc(14:1_28:3),IN-MGE-SST,12,0.05227107620228021,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,12,FALSE,-1.3243120854780783,0.01323436485412975,-1.3243120854780783,0.01323436485412975,TRUE,TRUE,FALSE,TRUE,TRUE,0.4806559203317236,0.5773502691896258,TRUE
ADAMTS19,-0.4576852628099268,7.87764310118903,-6.745815014649088,6.514280561136061e-6,0.01534185453042666,4.144049894614518,NA,C8-Pos-005464,Pc(26:6_21:6cho),EN-Non-IT-Immature,11,0.09652851359967378,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,11,FALSE,-0.32267017344394544,2.0369266086565997e-4,-0.32267017344394544,2.0369266086565997e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.5332795817175586,0.6030226891555273,TRUE
CDH18,1.8977016297635352,4.338813812311362,6.003657834713843,2.7001252187453555e-6,0.03630318356603131,1.5500436191153266,NA,C8-Pos-005548,Pg(O-29:8_21:6),OPC,11,0.05688268141698006,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,NA,NA,NA,NA,0,11,FALSE,1.4209496052679669,4.70718000009389e-4,1.4209496052679669,4.70718000009389e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.5192499210849141,0.6030226891555273,TRUE
ADGRV1,1.0839196233747177,8.088169166026214,6.055231259013499,1.7175456523424506e-6,0.00565931292446837,5.155781252911325,NA,C8-Pos-005761,Pc(22:3cho_28:6),OPC,10,0.04253983970508081,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,0,10,FALSE,0.7660745972823002,0.01110007231933091,0.7660745972823002,0.01110007231933091,TRUE,TRUE,FALSE,TRUE,TRUE,0.5987033994042816,0.6324555320336759,TRUE
KCTD1,-0.7239196866991333,5.600976850580565,-13.39900058176435,2.2144552337204505e-11,7.922131976640467e-8,16.300474043751855,NA,C8-Pos-005561,Pc(22:5cooh_25:8),EN-IT-Immature,20,1.875601508311781e-5,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,2,18,FALSE,-0.5032527411329952,9.214223210172439e-10,-1.2202545031472734,0.02176070971794816,TRUE,TRUE,FALSE,TRUE,TRUE,0.30783839732042523,0.44721359549995793,TRUE
