gene,cell_type,Sex,cor,pval,padj
NUBP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPS2,Endo,F,0.7533719350947963,0.0018640565678988885,0.019243970444494003
PKD1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SNHG19,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
BRICD5,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
KCTD5,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
ELOB,Endo,F,0.7005686730875232,0.005260820337261366,0.04613232047014725
ZNF205,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ZNF263,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ZNF75A,Endo,F,0.7471878961080446,0.002131183496719253,0.02149290391800045
GLIS2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PAM16,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ZNF500,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RSL1D1,Endo,F,0.7620318608747927,0.0015353599264857603,0.01610929460899644
RPS15A,Endo,F,0.7828589420119382,9.306909895468007e-4,0.010339348453003848
TMC7,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC092338.3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
GTF3C1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CLN3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
NUPR1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ATP2A1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RABEP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CD19,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
LAT,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
MAZ,Endo,F,0.8688722491049923,5.5003369902876946e-5,8.866406361482419e-4
CDIPT,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MAPK3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
BOLA2B,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CD2BP2,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
DCTPP1,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
ZNF785,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
BCL7C,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
VKORC1,Endo,F,0.7055564684580022,0.0048141980987637,0.04243126130415455
PYCARD,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CHD9,Endo,F,-0.753126502886405,0.001874124401151551,0.01932865613724958
AKTIP,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
NUDT21,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
OGFOD1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MT1F,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
HERPUD1,Endo,F,0.7217395297247851,0.0035657576370908784,0.03219431873558097
PLLP,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
CIAPIN1,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
DOK4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
KIFC3,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
MMP15,Endo,F,0.8023183541515405,5.544295547127064e-4,0.006280505283712788
TRADD,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CENPT,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSKH1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PRMT7,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
VPS4A,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
CYB5B,Endo,F,0.7217395297247851,0.0035657576370908784,0.03219431873558097
PDPR,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ATXN1L,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
DHX38,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
ZFP1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SYCE1L,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
VAT1L,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
GAN,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MLYCD,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CA5A,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ZC3H18,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
RPL13,Endo,F,0.7360426497834566,0.0026885186875784356,0.02582622446408757
DPEP1,Endo,F,0.7235343355462824,0.0034447724740496585,0.03170965070472888
SPATA2L,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MRM3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MYO1C,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SLC43A2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPA1,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
TAX1BP3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CAMKK1,Endo,F,0.821812499956065,3.1108747250036586e-4,0.004456267100633883
CYB5D2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
GLTPD2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PLD2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
KIF1C,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MIS12,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TXNDC17,Endo,F,0.8168310387795419,3.6286439295079567e-4,0.004456267100633883
BCL6B,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
EIF5A,Endo,F,0.7582557337663965,0.0016724784706735718,0.017387401553191146
FGF11,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
POLR2A,Endo,F,0.7408458357672293,0.002435747935919427,0.02390769635966369
TNFSF12,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MPDU1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SAT2,Endo,F,0.7620318608747927,0.0015353599264857603,0.01610929460899644
WRAP53,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
NAA38,Endo,F,0.7200547206477634,0.0036823441318113432,0.03318912776193441
PER1,Endo,F,0.7217395297247851,0.0035657576370908784,0.03219431873558097
RANGRF,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPL26,Endo,F,0.7442426875074408,0.00226862235214328,0.022675285130149565
ZNF18,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ADORA2B,Endo,F,0.7408458357672293,0.002435747935919427,0.02390769635966369
MPRIP-AS1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
