pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_source,analysis
Glutathione metabolism (WikiPathways),0.12038033728022964,0.7045790329048734,0.053815213739216355,-0.6122607627212376,-1.3601280383782126,7,Cytidine 2'_3'-Cyclic Phosphate;L-Glutathione Oxidized;L-Glutamic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Citric acid cycle (TCA cycle) (Reactome),0.12881234302116973,0.7073799038655268,0.05189157667794327,-0.6077995661550226,-1.3502175575767696,7,Guanosine 5'-Diphosphate (Gdp);Succinic Acid;S-Adenosyl-L-Homocysteine;Citric Acid;Nicotinamide;L-Malic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Creatine pathway (WikiPathways),0.13109619686800894,0.7073799038655268,0.057850929108008646,0.6200532811127333,1.3714313498399502,6,Phosphocreatine;Creatine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Ferroptosis (WikiPathways),0.13152289669861555,0.7073799038655268,0.051016023983846234,-0.558735260426342,-1.3461303765496018,9,Arachidonic Acid;1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine;Cytidine 2'_3'-Cyclic Phosphate;L-Glutathione Oxidized,WikiPathways,Factor2 signed MSEA (metabolite weights)
Phenylalanine metabolism (Reactome),0.13565293988108346,0.7074351410634597,0.056333500782907296,0.6571726087313413,1.3704056157209816,5,Pyruvic Acid;L-Phenylalanine;L-Tyrosine;L-Aspartic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Interconversion of nucleotide di- and triphosphates (Reactome),0.1413468168237187,0.7074351410634597,0.05638232260215184,0.4843343685055103,1.3371461434703507,12,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Pyruvate metabolism (KEGG),0.151293202105745,0.7074351410634597,0.05425011518247695,0.5247074814445821,1.3232672024800975,9,Pyruvic Acid;Adenosine Triphosphate (Atp);L-(+)-Lactic Acid;Guanosine-5'-Triphosphate;L-Glutathione (Reduced),KEGG,Factor2 signed MSEA (metabolite weights)
Nucleotide salvage (Reactome),0.15279931093884583,0.7074351410634597,0.04625714225727017,-0.4565698259262348,-1.2970100119343295,16,Adenosine;Pseudouridine;Adenine;Guanine;Guanosine,Reactome,Factor2 signed MSEA (metabolite weights)
Synthesis of substrates in N-glycan biosythesis (Reactome),0.1531764705882353,0.7074351410634597,0.05469476883232707,0.4425601601348035,1.2976241019971735,15,Pyruvic Acid;Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;N-Acetyl-D-Glucosamine 6-Phosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Glycogen metabolism (Reactome),0.15682326621923937,0.7074351410634597,0.05256552988825168,0.5999028462211964,1.326862699104695,6,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;Uridine 5'-Diphosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Glycolysis in senescence (WikiPathways),0.15965646333406738,0.7074351410634597,0.051620810578190644,0.6390613487166642,1.3326381066949886,5,Pyruvic Acid;Dl-Lactic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glyoxylate metabolism and glycine degradation (Reactome),0.15997277059223963,0.7074351410634597,0.05240481612025527,0.5438433112264451,1.3276674274722875,8,Pyruvic Acid;Sarcosine;L-Hydroxyproline,Reactome,Factor2 signed MSEA (metabolite weights)
Glycine metabolism (WikiPathways),0.16599552572706935,0.7119789211138655,0.05097885897178931,0.5931490497076416,1.31192467917759,6,Pyruvic Acid;L-Glutathione (Reduced),WikiPathways,Factor2 signed MSEA (metabolite weights)
Tyrosine metabolism (KEGG),0.16815582558970693,0.7119789211138655,0.04477631593195109,-0.5558507654750141,-1.286924622424264,8,Dehydroascorbic Acid;Maleic Acid;L-Ascorbic Acid;L-Glutamic Acid;S-Adenosyl-L-Homocysteine,KEGG,Factor2 signed MSEA (metabolite weights)
