feature,Compound.ID,Name,weight
"2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid",C18-Neg-000965,"2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid",0.15477338433265686
Pc(26:6_21:6cho),C8-Pos-005464,Pc(26:6_21:6cho),-0.15463867783546448
1-Myristoyl-Sn-Glycero-3-Phosphocholine,Amide-Pos-001743,1-Myristoyl-Sn-Glycero-3-Phosphocholine,-0.1541605293750763
Pc(22:3cho_28:6),C8-Pos-005761,Pc(22:3cho_28:6),0.1535290628671646
2-Oxobutanoic Acid,Amide-Neg-000108,2-Oxobutanoic Acid,-0.15266594290733335
Lpe 24:4,C8-Pos-002633,Lpe 24:4,-0.15200874209403992
Progesterone,C8-Pos-000616,Progesterone,-0.15147896111011505
Pc(20:0_22:5),C8-Pos-005193,Pc(20:0_22:5),0.14988963305950165
Pc(15:1cooh_27:7),C8-Pos-005208,Pc(15:1cooh_27:7),0.14983326196670532
Histamine,Amide-Neg-000145,Histamine,-0.1486650109291077
D-Glucose 6-Phosphate,Amide-Neg-001431,D-Glucose 6-Phosphate,0.148039311170578
Guanine,Amide-Pos-000503,Guanine,-0.14734354615211487
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,-0.14707288146018982
Maleic Acid,Amide-Neg-000196,Maleic Acid,-0.14680616557598114
"2,3-Dihydroxypropyl 13-Methyltetradecanoate",C8-Pos-000764,"2,3-Dihydroxypropyl 13-Methyltetradecanoate",-0.1465664654970169
D-Mannose,Amide-Neg-001092,D-Mannose,-0.14609456062316897
Arachidonic Acid,C8-Neg-000422,Arachidonic Acid,-0.145745187997818
Ps(18:3_24:4),C8-Pos-005046,Ps(18:3_24:4),-0.14490370452404022
D-Panthenol,C18-Pos-001025,D-Panthenol,0.14488835632801056
L-Threonic Acid Calcium Salt,Amide-Neg-000405,L-Threonic Acid Calcium Salt,-0.14474837481975555
2-Acetamido-N-beta--Aspartyl-2-Deoxyhexopyranosylamine,Amide-Pos-001270,2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine,-0.14321669936180115
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,C18-Neg-002092,1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,-0.14288929104804993
L-2-Aminoadipic Acid,Amide-Pos-000447,L-2-Aminoadipic Acid,0.14281518757343292
Myristyl Sulfate,C8-Neg-000367,Myristyl Sulfate,-0.14215275645256042
Meso-Erythritol,Amide-Neg-000252,Meso-Erythritol,-0.14020225405693054
"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",Amide-Pos-001385,"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",0.14016196131706238
Cerp(D18:0_20:3),C8-Pos-003565,Cerp(D18:0_20:3),-0.13986022770404816
Pc(11:1_29:4),C8-Pos-005020,Pc(11:1_29:4),-0.13793246448040009
D-(+)-Ribonic Acid Gamma-Lactone,Amide-Neg-000499,D-(+)-Ribonic Acid Gamma-Lactone,-0.1352742612361908
Udp-beta--D-Glucose (Sodium Salt),Amide-Pos-001947,Udp-Β-D-Glucose (Sodium Salt),-0.1350228190422058
Ser-Ser,Amide-Pos-000616,Ser-Ser,-0.1348094791173935
Palmitoylcarnitine,C8-Pos-001332,Palmitoylcarnitine,0.13375788927078247
D-Tyrosine,Amide-Neg-000781,D-Tyrosine,-0.1332525759935379
2-Aminoisobutyric Acid,Amide-Pos-000144,2-Aminoisobutyric Acid,-0.13306960463523865
Dg(21:1_19:4),C8-Pos-003575,Dg(21:1_19:4),0.1317553073167801
Guanosine,C18-Pos-001618,Guanosine,-0.13160684704780579
Pc(36:6_13:4cooh),C8-Pos-005755,Pc(36:6_13:4cooh),-0.13139697909355164
Ala-Pro-Asn,C8-Neg-000301,Ala-Pro-Asn,-0.13073311746120453
Glutaric Anhydride,Amide-Neg-000171,Glutaric Anhydride,0.13027875125408173
