gene,n_papers,papers
NCAPG2,2,Bramble_2016; Li_2024
NDUFA13,2,Bramble_2016; Li_2024
NDUFV3,2,Bramble_2016; Li_2024
PCP4L1,2,Bramble_2016; Li_2024
PDE10A,2,Bramble_2016; Li_2024
PDE6D,2,Bramble_2016; Li_2024
PGAP1,2,Bramble_2016; Li_2024
PLEKHB1,2,Bramble_2016; Li_2024
PPP1R14B,2,Bramble_2016; Li_2024
PPP1R15A,2,Bramble_2016; Li_2024
PRRC2B,2,Bramble_2016; Li_2024
PTGDS,2,Bramble_2016; Li_2024
PTP4A3,2,Bramble_2016; Li_2024
RNF26,2,Bramble_2016; Li_2024
RPL27,2,Kelava_2021; Li_2024
RPL32,2,Bramble_2016; Kelava_2021
RPL34,2,Bramble_2016; Kelava_2021
RPL35,2,Bramble_2016; Kelava_2021
RPS12,2,Bramble_2016; Kelava_2021
RPS15,2,Bramble_2016; Kelava_2021
RPS21,2,Kelava_2021; Li_2024
RPS24,2,Bramble_2016; Kelava_2021
RPS28,2,Bramble_2016; Kelava_2021
RSPH1,2,Bramble_2016; Li_2024
SDF2L1,2,Bramble_2016; Li_2024
SEMA4B,2,Bramble_2016; Li_2024
SERPINH1,2,Bramble_2016; Li_2024
SGK1,2,Bramble_2016; Li_2024
SLC25A10,2,Bramble_2016; Matassa_2025
SLC8A2,2,Bramble_2016; Li_2024
SOX4,2,Bramble_2016; Li_2024
SPARCL1,2,Bramble_2016; Li_2024
SPINT2,2,Bramble_2016; Li_2024
TMED10,2,Bramble_2016; Li_2024
TMEM59,2,Bramble_2016; Li_2024
TRAF3IP1,2,Bramble_2016; Li_2024
TSC22D3,2,Bramble_2016; Li_2024
TSHZ2,2,Bramble_2016; Li_2024
TXNIP,2,Bramble_2016; Matassa_2025
UBXN1,2,Bramble_2016; Li_2024
UCP2,2,Bramble_2016; Li_2024
UNC93B1,2,Bramble_2016; Li_2024
VDAC1,2,Bramble_2016; Li_2024
WNT4,2,Bramble_2016; Li_2024
ZEB2,2,Bramble_2016; Li_2024
A2M,1,Bramble_2016
AAAS,1,Bramble_2016
AACS,1,Bramble_2016
AATF,1,Bramble_2016
ABCA3,1,Bramble_2016
ABCA4,1,Bramble_2016
ABCA8,1,Bramble_2016
ABCB8,1,Bramble_2016
ABCC4,1,Bramble_2016
ABCD1,1,Bramble_2016
ABCD2,1,Bramble_2016
ABHD2,1,Bramble_2016
ABHD4,1,Bramble_2016
ABHD6,1,Bramble_2016
ABHD8,1,Bramble_2016
ABI1,1,Bramble_2016
ABI3,1,Li_2024
ABR,1,Bramble_2016
ABTB2,1,Bramble_2016
ACAA1,1,Bramble_2016
ACAD10,1,Bramble_2016
ACADL,1,Bramble_2016
ACAT2,1,Bramble_2016
ACBD7,1,Li_2024
ACLY,1,Bramble_2016
ACOT2,1,Bramble_2016
ACSF2,1,Bramble_2016
ACSL1,1,Bramble_2016
ACSM4,1,Li_2024
ACSS2,1,Bramble_2016
ACTA2,1,Bramble_2016
ACTG1,1,Bramble_2016
ACTN4,1,Bramble_2016
ACTR2,1,Bramble_2016
ACTR3C,1,Bramble_2016
ACVR1,1,Bramble_2016
ADAM10,1,Bramble_2016
ADAMTS1,1,Li_2024
ADAMTS3,1,Bramble_2016
ADAMTS4,1,Bramble_2016
ADAMTS7,1,Bramble_2016
ADCY1,1,Li_2024
ADCY2,1,Bramble_2016
ADCY3,1,Li_2024
ADH5,1,Li_2024
ADI1,1,Bramble_2016
ADIPOR1,1,Li_2024
ADM,1,Bramble_2016
ADM2,1,Bramble_2016
ADNP,1,Bramble_2016
ADORA1,1,Bramble_2016
ADORA2A,1,Bramble_2016
ADPRH,1,Bramble_2016
ADRB2,1,Bramble_2016
AFAP1L2,1,Bramble_2016
AFF4,1,Bramble_2016
AFG3L2,1,Bramble_2016
AGAP1,1,Bramble_2016
AGAP2,1,Bramble_2016
AGBL2,1,Bramble_2016
AGFG2,1,Bramble_2016
AGGF1,1,Bramble_2016
AGT,1,Bramble_2016
AGTPBP1,1,Bramble_2016
AHCY,1,Bramble_2016
AHCYL1,1,Bramble_2016
AHI1,1,Bramble_2016
AHSA1,1,Li_2024
AIF1,1,Li_2024
AIFM1,1,Bramble_2016
AIG1,1,Bramble_2016
AIMP1,1,Bramble_2016
AK1,1,Li_2024
AKAP1,1,Bramble_2016
AKAP12,1,Li_2024
AKAP19,1,Bramble_2016
AKAP6,1,Bramble_2016
AKAP7,1,Bramble_2016
AKAP8L,1,Bramble_2016
AKNA,1,Bramble_2016
AKR1A1,1,Bramble_2016
AKR1B10,1,Bramble_2016
ALDH18A1,1,Bramble_2016
ALDH1A1,1,Bramble_2016
ALDH1L1,1,Bramble_2016
ALDH1L2,1,Bramble_2016
ALDH4A1,1,Bramble_2016
ALDH5A1,1,Bramble_2016
ALDH9A1,1,Bramble_2016
ALDOC,1,Bramble_2016
ALG11,1,Bramble_2016
ALG3,1,Bramble_2016
ALMS1,1,Bramble_2016
ALOX5,1,Bramble_2016
ALOX5AP,1,Li_2024
ALS2CL,1,Bramble_2016
ALYREF,1,Bramble_2016
AMDHD2,1,Bramble_2016
AMMECR1L,1,Bramble_2016
AMOTL2,1,Bramble_2016
AMPD2,1,Bramble_2016
ANAPC16,1,Bramble_2016
ANAPC2,1,Bramble_2016
ANGEL1,1,Bramble_2016
ANK3,1,Bramble_2016
ANKIB1,1,Bramble_2016
ANKLE1,1,Bramble_2016
ANKRD12,1,Bramble_2016
ANKRD13B,1,Bramble_2016
ANKRD34B,1,Bramble_2016
ANKRD46,1,Bramble_2016
ANKRD49,1,Bramble_2016
ANKRD52,1,Bramble_2016
ANKRD54,1,Li_2024
ANKS1B,1,Bramble_2016
ANO2,1,Li_2024
ANP32B,1,Bramble_2016
ANP32E,1,Bramble_2016
ANXA11,1,Bramble_2016
ANXA2,1,Li_2024
ANXA5,1,Li_2024
ANXA7,1,Li_2024
AOC2,1,Bramble_2016
AOX1,1,Bramble_2016
AP1M1,1,Bramble_2016
AP1S1,1,Bramble_2016
AP3B1,1,Bramble_2016
AP3D1,1,Bramble_2016
AP3S1,1,Bramble_2016
AP3S2,1,Bramble_2016
APBA1,1,Bramble_2016
APEH,1,Bramble_2016
APH1A,1,Bramble_2016
APIP,1,Bramble_2016
APLN,1,Bramble_2016
APLP2,1,Li_2024
APOE,1,Bramble_2016
APP,1,Bramble_2016
ARAP2,1,Bramble_2016
ARC,1,Bramble_2016
ARF1,1,Bramble_2016
ARF3,1,Bramble_2016
ARHGAP11A,1,Bramble_2016
ARHGAP17,1,Bramble_2016
ARHGAP21,1,Bramble_2016
ARHGAP33,1,Bramble_2016
ARHGAP42,1,Bramble_2016
ARHGAP5,1,Bramble_2016
ARHGDIA,1,Bramble_2016
ARHGDIB,1,Li_2024
ARHGDIG,1,Li_2024
ARHGEF1,1,Bramble_2016
ARHGEF17,1,Bramble_2016
ARHGEF19,1,Bramble_2016
ARHGEF2,1,Bramble_2016
ARHGEF28,1,Li_2024
ARHGEF3,1,Bramble_2016
ARHGEF7,1,Bramble_2016
ARID1A,1,Bramble_2016
ARID5A,1,Bramble_2016
ARID5B,1,Bramble_2016
ARIH2,1,Bramble_2016
ARL3,1,Li_2024
ARL4C,1,Bramble_2016
ARL4D,1,Bramble_2016
ARMCX4,1,Bramble_2016
ARNT,1,Bramble_2016
ARRDC4,1,Bramble_2016
ARSB,1,Bramble_2016
ASAH1,1,Bramble_2016
ASAP2,1,Bramble_2016
ASCC2,1,Bramble_2016
ASCC3,1,Bramble_2016
ASF1B,1,Bramble_2016
ASNS,1,Bramble_2016
ASPA,1,Bramble_2016
ASPDH,1,Bramble_2016
ASPM,1,Bramble_2016
ATAD2B,1,Bramble_2016
ATF3,1,Bramble_2016
ATF4,1,Bramble_2016
ATF6,1,Bramble_2016
ATF7,1,Bramble_2016
ATF7IP,1,Bramble_2016
ATG13,1,Bramble_2016
ATL2,1,Bramble_2016
ATL3,1,Bramble_2016
ATM,1,Bramble_2016
ATN1,1,Bramble_2016
ATOX1,1,Li_2024
ATP11B,1,Bramble_2016
ATP1A3,1,Bramble_2016
ATP1B2,1,Bramble_2016
ATP2A3,1,Bramble_2016
ATP2B4,1,Bramble_2016
ATP5E,1,Kelava_2021
ATP5I,1,Kelava_2021
ATP6V0E2,1,Bramble_2016
ATP6V1D,1,Bramble_2016
ATP6V1G1,1,Bramble_2016
ATP8A1,1,Bramble_2016
ATXN1,1,Bramble_2016
ATXN2L,1,Bramble_2016
ATXN7L1,1,Bramble_2016
AUH,1,Bramble_2016
AURKAIP1,1,Bramble_2016
AURKB,1,Bramble_2016
AVL9,1,Bramble_2016
B2M,1,Bramble_2016
B3GALT1,1,Bramble_2016
B3GALT5,1,Bramble_2016
B3GAT1,1,Bramble_2016
B4GALNT4,1,Bramble_2016
B4GALT1,1,Bramble_2016
B4GALT6,1,Bramble_2016
B9D2,1,Bramble_2016
BACE2,1,Bramble_2016
BAHCC1,1,Bramble_2016
BANF1,1,Bramble_2016
BANK1,1,Li_2024
BARD1,1,Bramble_2016
BAZ2B,1,Bramble_2016
BBC3,1,Bramble_2016
BBS10,1,Bramble_2016
BBS4,1,Bramble_2016
BBS9,1,Bramble_2016
BBX,1,Bramble_2016
BCAP29,1,Bramble_2016
BCAR3,1,Bramble_2016
BCAT1,1,Bramble_2016
BCAT2,1,Bramble_2016
BCKDHA,1,Matassa_2025
BCL2L13,1,Bramble_2016
BCL6B,1,Bramble_2016
BCL9L,1,Bramble_2016
BDH1,1,Bramble_2016
BEND7,1,Bramble_2016
BEST4,1,Matassa_2025
BEX1,1,Bramble_2016
BFAR,1,Bramble_2016
BICD1,1,Bramble_2016
BIN2,1,Li_2024
BIRC2,1,Bramble_2016
BIRC6,1,Bramble_2016
BMP2K,1,Bramble_2016
BMP7,1,Bramble_2016
BMPR1A,1,Bramble_2016
BMPR1B,1,Bramble_2016
BNIP3,1,Bramble_2016
BOC,1,Bramble_2016
BOLA2B,1,Bramble_2016
BOLA3,1,Bramble_2016
BRDT,1,Li_2024
BST2,1,Bramble_2016
BTAF1,1,Bramble_2016
BTBD17,1,Bramble_2016
BTF3L4,1,Bramble_2016
BYSL,1,Bramble_2016
C11orf54,1,Bramble_2016
C11orf87,1,Bramble_2016
C11orf97,1,Li_2024
C12orf57,1,Bramble_2016
C14orf119,1,Li_2024
C15orf39,1,Bramble_2016
C17orf58,1,Bramble_2016
C19orf33,1,Bramble_2016
C19orf47,1,Bramble_2016
C1GALT1,1,Bramble_2016
C1QA,1,Li_2024
C1QB,1,Li_2024
C1QBP,1,Bramble_2016
C1QC,1,Li_2024
C1QL3,1,Bramble_2016
C1QTNF6,1,Bramble_2016
C1orf115,1,Bramble_2016
C1orf198,1,Bramble_2016
C1orf35,1,Bramble_2016
C1orf53,1,Bramble_2016
C20orf202,1,Li_2024
C2CD3,1,Bramble_2016
C2orf68,1,Bramble_2016
C3orf33,1,Bramble_2016
C3orf38,1,Bramble_2016
C3orf70,1,Bramble_2016
C4orf46,1,Bramble_2016
C4orf48,1,Kelava_2021
C5orf63,1,Bramble_2016
C6orf62,1,Bramble_2016
C6orf89,1,Bramble_2016
C7orf57,1,Li_2024
CA13,1,Bramble_2016
CA3,1,Bramble_2016
CA8,1,Bramble_2016
CAB39,1,Bramble_2016
CABP1,1,Bramble_2016
CACNA2D1,1,Bramble_2016
CACNG3,1,Bramble_2016
CACNG7,1,Bramble_2016
CACNG8,1,Bramble_2016
CACYBP,1,Li_2024
CADM4,1,Bramble_2016
CAGE1,1,Bramble_2016
CALCA,1,Matassa_2025
CALCRL,1,Bramble_2016
CALM1,1,Li_2024
CALR,1,Li_2024
CALR3,1,Bramble_2016
CALU,1,Bramble_2016
CAMK1,1,Bramble_2016
CAMK2A,1,Bramble_2016
CAMK2B,1,Bramble_2016
CAMK2N2,1,Bramble_2016
CAMKK2,1,Bramble_2016
CAMKV,1,Bramble_2016
CAMLG,1,Bramble_2016
CAMSAP2,1,Bramble_2016
CAND2,1,Bramble_2016
CAPN1,1,Bramble_2016
CAPNS1,1,Bramble_2016
CAPZB,1,Bramble_2016
CARD10,1,Bramble_2016
CARD16,1,Bramble_2016
CARHSP1,1,Bramble_2016
CARM1,1,Bramble_2016
CARNS1,1,Li_2024
CARTPT,1,Li_2024
CASP3,1,Bramble_2016
CASP6,1,Bramble_2016
CASP8,1,Bramble_2016
CAVIN4,1,Matassa_2025
CBLN2,1,Bramble_2016
CBLN4,1,Bramble_2016
CBX4,1,Bramble_2016
CCBE1,1,Bramble_2016
CCDC107,1,Bramble_2016
CCDC112,1,Bramble_2016
CCDC157,1,Li_2024
CCDC34,1,Li_2024
CCDC50,1,Bramble_2016
CCDC85B,1,Bramble_2016
CCDC88A,1,Bramble_2016
CCDC90B,1,Bramble_2016
CCDC91,1,Bramble_2016
CCDC97,1,Bramble_2016
CCHCR1,1,Bramble_2016
CCL3,1,Li_2024
CCL4,1,Li_2024
CCND2,1,Bramble_2016
CCND3,1,Bramble_2016
CCNE1,1,Bramble_2016
CCNF,1,Bramble_2016
CCNG2,1,Bramble_2016
CCNK,1,Bramble_2016
CCNL2,1,Bramble_2016
CCNYL1B,1,Bramble_2016
CCR5,1,Li_2024
CD109,1,Li_2024
CD14,1,Li_2024
CD276,1,Bramble_2016
CD300C,1,Li_2024
CD33,1,Li_2024
CD36,1,Bramble_2016
CD37,1,Li_2024
CD46,1,Bramble_2016
CD53,1,Li_2024
CD63,1,Bramble_2016
CD68,1,Li_2024
CD74,1,Li_2024
CD9,1,Li_2024
CDADC1,1,Bramble_2016
CDC20,1,Bramble_2016
CDC37,1,Bramble_2016
CDC42EP1,1,Bramble_2016
CDC6,1,Bramble_2016
CDC73,1,Bramble_2016
CDCA5,1,Bramble_2016
CDCA8,1,Bramble_2016
CDH22,1,Bramble_2016
CDK1,1,Bramble_2016
CDK11A,1,Bramble_2016
CDK13,1,Bramble_2016
CDK14,1,Bramble_2016
CDK17,1,Bramble_2016
CDK2,1,Bramble_2016
CDK9,1,Bramble_2016
CDKAL1,1,Bramble_2016
CDKN1B,1,Bramble_2016
CDKN1C,1,Bramble_2016
CDKN2A,1,Bramble_2016
CDKN2B,1,Bramble_2016
CDKN2D,1,Bramble_2016
CDO1,1,Bramble_2016
CDON,1,Bramble_2016
CDSN,1,Bramble_2016
CDYL,1,Bramble_2016
CEBPA,1,Bramble_2016
CECR2,1,Li_2024
CELSR1,1,Bramble_2016
CELSR2,1,Bramble_2016
CEND1,1,Bramble_2016
CENPA,1,Bramble_2016
CENPE,1,Bramble_2016
CENPL,1,Bramble_2016
CEP19,1,Li_2024
CEP350,1,Bramble_2016
CERK,1,Bramble_2016
CFAP126,1,Li_2024
CFAP54,1,Li_2024
CFAP69,1,Li_2024
CFDP1,1,Bramble_2016
CFTR,1,Bramble_2016
CHAC1,1,Bramble_2016
CHAF1B,1,Bramble_2016
CHCHD10,1,Li_2024
CHCHD3,1,Bramble_2016
CHCHD5,1,Bramble_2016
CHD2,1,Bramble_2016
CHD6,1,Bramble_2016
CHD9,1,Bramble_2016
CHERP,1,Bramble_2016
CHGA,1,Li_2024
CHMP2A,1,Bramble_2016
CHORDC1,1,Bramble_2016
CHRNA4,1,Bramble_2016
CHST11,1,Bramble_2016
CHST2,1,Bramble_2016
CIRBP,1,Bramble_2016
CISD1,1,Bramble_2016
CISH,1,Bramble_2016
CITED1,1,Bramble_2016
CKAP4,1,Bramble_2016
CKMT1B,1,Bramble_2016
CLASP2,1,Bramble_2016
CLCF1,1,Bramble_2016
CLDN25,1,Bramble_2016
CLDN3,1,Li_2024
CLDN9,1,Li_2024
CLEC11A,1,Bramble_2016
CLEC3B,1,Bramble_2016
CLGN,1,Li_2024
CLINT1,1,Bramble_2016
CLIP3,1,Bramble_2016
CLN5,1,Bramble_2016
CLN6,1,Bramble_2016
CLPP,1,Bramble_2016
CLSPN,1,Bramble_2016
CLSTN2,1,Li_2024
CLU,1,Bramble_2016
CLYBL,1,Bramble_2016
CMIP,1,Li_2024
CMTM3,1,Bramble_2016
CMTM5,1,Bramble_2016
CMTM6,1,Bramble_2016
CNDP2,1,Bramble_2016
CNGA2,1,Li_2024
CNGA4,1,Li_2024
CNGB1,1,Li_2024
CNIH2,1,Bramble_2016
CNKSR2,1,Li_2024
CNNM1,1,Li_2024
CNNM3,1,Bramble_2016
CNOT2,1,Bramble_2016
CNOT3,1,Bramble_2016
CNOT6,1,Bramble_2016
CNPY2,1,Bramble_2016
CNR1,1,Li_2024
CNTFR,1,Bramble_2016
CNTN1,1,Bramble_2016
CNTN4,1,Li_2024
CNTNAP4,1,Bramble_2016
COBLL1,1,Bramble_2016
COL19A1,1,Bramble_2016
COL20A1,1,Bramble_2016
COL28A1,1,Bramble_2016
COL4A1,1,Bramble_2016
COL5A3,1,Bramble_2016
COMMD6,1,Kelava_2021
COPS2,1,Bramble_2016
COPS3,1,Bramble_2016
COPS4,1,Bramble_2016
COPS5,1,Bramble_2016
COPZ1,1,Bramble_2016
COPZ2,1,Bramble_2016
COQ7,1,Li_2024
CORO1A,1,Li_2024
CORO2B,1,Bramble_2016
COX16,1,Bramble_2016
COX5B,1,Bramble_2016
COX6A2,1,Bramble_2016
COX6B2,1,Bramble_2016
COX7A2L,1,Bramble_2016
COX7C,1,Kelava_2021
CPA2,1,Bramble_2016
CPE,1,Bramble_2016
CPLX1,1,Bramble_2016
CPLX2,1,Bramble_2016
CPPED1,1,Bramble_2016
CPSF1,1,Bramble_2016
CPSF7,1,Bramble_2016
CPT1C,1,Bramble_2016
CR1,1,Bramble_2016
CRB1,1,Bramble_2016
CRBN,1,Bramble_2016
CREB1,1,Bramble_2016
CREB3L1,1,Bramble_2016
CREB3L2,1,Bramble_2016
CREB5,1,Bramble_2016
CREBBP,1,Bramble_2016
CRELD1,1,Bramble_2016
CRELD2,1,Bramble_2016
CRLS1,1,Bramble_2016
CRTC1,1,Bramble_2016
CRTC2,1,Bramble_2016
CRYBB1,1,Li_2024
CSDE1,1,Bramble_2016
CSF1R,1,Li_2024
CSMD2,1,Li_2024
CSNK1A1,1,Bramble_2016
CSNK2A3,1,Bramble_2016
CSPG4,1,Bramble_2016
CSRNP3,1,Bramble_2016
CSRP1,1,Bramble_2016
CST3,1,Li_2024
CSTF2,1,Bramble_2016
CTDNEP1,1,Bramble_2016
CTDSP2,1,Bramble_2016
CTDSPL2,1,Bramble_2016
CTH,1,Bramble_2016
CTIF,1,Bramble_2016
CTR9,1,Bramble_2016
CTSC,1,Li_2024
CTSH,1,Li_2024
CTSS,1,Li_2024
CTXN1,1,Bramble_2016
CTXN3,1,Li_2024
CUL5,1,Bramble_2016
CX3CL1,1,Bramble_2016
CX3CR1,1,Li_2024
CXADR,1,Bramble_2016
CXCR4,1,Bramble_2016
CXXC1,1,Bramble_2016
CYB561D1,1,Bramble_2016
CYB5B,1,Bramble_2016
CYB5R1,1,Bramble_2016
CYB5R2,1,Bramble_2016
CYBRD1,1,Bramble_2016
CYC1,1,Bramble_2016
CYCS,1,Bramble_2016
CYP20A1,1,Bramble_2016
CYP2J2,1,Bramble_2016
CYP4F8,1,Bramble_2016
CYSTM1,1,Li_2024
CYTH2,1,Bramble_2016
CYTH4,1,Li_2024
DACH1,1,Bramble_2016
DACH2,1,Bramble_2016
DAG1,1,Bramble_2016
DAGLA,1,Bramble_2016
DAPK1,1,Bramble_2016
DAZAP2,1,Bramble_2016
DBP,1,Li_2024
DCAF12,1,Bramble_2016
DCAF15,1,Bramble_2016
DCAF7,1,Bramble_2016
DCDC2,1,Li_2024
DCK,1,Bramble_2016
DCP2,1,Bramble_2016
DCTN3,1,Li_2024
DCTN4,1,Bramble_2016
DCXR,1,Bramble_2016
DDC,1,Bramble_2016
DDIT3,1,Bramble_2016
DDIT4,1,Bramble_2016
DDIT4L,1,Bramble_2016
DDR1,1,Bramble_2016
DDR2,1,Bramble_2016
DDX18,1,Bramble_2016
DDX46,1,Bramble_2016
DDX59,1,Bramble_2016
DDX6,1,Bramble_2016
DECR1,1,Bramble_2016
DENND1B,1,Bramble_2016
DENND4A,1,Bramble_2016
DENND5B,1,Bramble_2016
DGKH,1,Bramble_2016
DGKI,1,Bramble_2016
DGKK,1,Bramble_2016
DHCR24,1,Bramble_2016
DHCR7,1,Bramble_2016
DHH,1,Bramble_2016
DHRS3,1,Bramble_2016
DHRS7,1,Bramble_2016
DHX37,1,Bramble_2016
DHX9,1,Bramble_2016
DIO2,1,Bramble_2016
DIP2C,1,Bramble_2016
DIRAS2,1,Bramble_2016
DLG4,1,Bramble_2016
DLL3,1,Bramble_2016
DMPK,1,Bramble_2016
DMTF1,1,Bramble_2016
DMXL1,1,Bramble_2016
DMXL2,1,Bramble_2016
DNA2,1,Bramble_2016
DNAH6,1,Li_2024
DNAJA1,1,Li_2024
DNAJB1,1,Matassa_2025
DNAJB5,1,Bramble_2016
DNAJC1,1,Li_2024
DNAJC18,1,Bramble_2016
DNAJC4,1,Bramble_2016
DNTTIP1,1,Bramble_2016
DOC3,1,Matassa_2025
DOCK4,1,Bramble_2016
DOCK6,1,Matassa_2025
DOK5,1,Bramble_2016
DOT1L,1,Bramble_2016
DPM3,1,Bramble_2016
DPP9,1,Bramble_2016
DPYSL2,1,Bramble_2016
DRAM1,1,Matassa_2025
DROSHA,1,Bramble_2016
DRP2,1,Bramble_2016
DSC2,1,Bramble_2016
DSCAM,1,Bramble_2016
DSE,1,Bramble_2016
DST,1,Bramble_2016
DSTN,1,Bramble_2016
DTHD1,1,Li_2024
DTL,1,Bramble_2016
DTNA,1,Bramble_2016
DUSP6,1,Bramble_2016
DVL3,1,Bramble_2016
DYNLL1,1,Li_2024
DYNLL2,1,Bramble_2016
DYNLT1,1,Li_2024
DZIP1L,1,Li_2024
E2F1,1,Bramble_2016
E2F4,1,Bramble_2016
E2F8,1,Bramble_2016
EAF1,1,Li_2024
EBF1,1,Li_2024
EBF2,1,Li_2024
EBF3,1,Li_2024
EBF4,1,Li_2024
EBNA1BP2,1,Bramble_2016
ECM1,1,Bramble_2016
ECSCR,1,Li_2024
EDC3,1,Bramble_2016
EDEM1,1,Bramble_2016
EDIL3,1,Bramble_2016
EDNRA,1,Bramble_2016
EEA1,1,Bramble_2016
EED,1,Bramble_2016
EEF1A2,1,Bramble_2016
EFCAB10,1,Li_2024
EFHD1,1,Bramble_2016
EFNA3,1,Li_2024
EFNB3,1,Bramble_2016
EFS,1,Bramble_2016
EGFL6,1,Bramble_2016
EGFR,1,Bramble_2016
EGLN1,1,Bramble_2016
EGR2,1,Bramble_2016
EGR4,1,Bramble_2016
EHD2,1,Bramble_2016
EI24,1,Bramble_2016
EIF2S2,1,Bramble_2016
EIF3B,1,Bramble_2016
EIF3CL,1,Bramble_2016
EIF3E,1,Bramble_2016
EIF3F,1,Bramble_2016
EIF3M,1,Bramble_2016
EIF4EBP1,1,Bramble_2016
EIF4EBP2,1,Bramble_2016
EIF5AL1,1,Bramble_2016
EIF5B,1,Bramble_2016
EIF6,1,Bramble_2016
ELAVL3,1,Bramble_2016
ELF2,1,Bramble_2016
ELL2,1,Bramble_2016
ELMO1,1,Bramble_2016
ELMOD2,1,Bramble_2016
ELMOD3,1,Li_2024
ELN,1,Bramble_2016
ELOVL6,1,Bramble_2016
EMD,1,Bramble_2016
EMILIN3,1,Matassa_2025
EML3,1,Bramble_2016
EN2,1,Bramble_2016
ENKUR,1,Li_2024
ENOX1,1,Bramble_2016
ENPEP,1,Bramble_2016
EPAS1,1,Bramble_2016
EPB41,1,Li_2024
EPCAM,1,Li_2024
EPDR1,1,Bramble_2016
EPHA4,1,Bramble_2016
EPHA5,1,Bramble_2016
EPHX1,1,Bramble_2016
EPM2AIP1,1,Bramble_2016
EPS15,1,Bramble_2016
EPS8,1,Bramble_2016
ERBB4,1,Bramble_2016
ERC2,1,Bramble_2016
ERCC3,1,Bramble_2016
ERCC6L,1,Bramble_2016
ERGIC3,1,Li_2024
ERH,1,Li_2024
ERI3,1,Bramble_2016
ERICH3,1,Li_2024
ERLEC1,1,Bramble_2016
ERMP1,1,Bramble_2016
ERVFRD-1,1,Bramble_2016
ESCO1,1,Bramble_2016
ESPL1,1,Bramble_2016
ETAA1,1,Bramble_2016
ETFA,1,Bramble_2016
ETS1,1,Bramble_2016
EVI5,1,Bramble_2016
EWSR1,1,Bramble_2016
EXO1,1,Bramble_2016
EXOC1,1,Bramble_2016
EXOC8,1,Bramble_2016
EXOSC1,1,Bramble_2016
EXTL1,1,Bramble_2016
EYA1,1,Bramble_2016
EZR,1,Bramble_2016
F2RL1,1,Bramble_2016
FABP5,1,Bramble_2016
FADS2,1,Bramble_2016
FADS3,1,Bramble_2016
FAF1,1,Bramble_2016
FAIM,1,Li_2024
FAM110A,1,Bramble_2016
FAM118A,1,Bramble_2016
FAM131A,1,Bramble_2016
FAM131C,1,Li_2024
FAM13B,1,Bramble_2016
FAM13C,1,Bramble_2016
FAM171A1,1,Bramble_2016
FAM193B,1,Bramble_2016
FAM217A,1,Li_2024
FAM53B,1,Li_2024
FAM53C,1,Bramble_2016
FAM81B,1,Li_2024
FAM83D,1,Bramble_2016
FAM83F,1,Bramble_2016
FAM89A,1,Bramble_2016
FAM98A,1,Bramble_2016
FAM98B,1,Bramble_2016
FANCB,1,Bramble_2016
FASN,1,Bramble_2016
FAT3,1,Bramble_2016
FAT4,1,Bramble_2016
FBL,1,Bramble_2016
FBLL1,1,Bramble_2016
FBLN5,1,Bramble_2016
FBLN7,1,Bramble_2016
FBRS,1,Bramble_2016
FBXL19,1,Bramble_2016
FBXL3,1,Bramble_2016
FBXL5,1,Bramble_2016
FBXO2,1,Bramble_2016
