Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Sulfuric acid esters,1,Sub.Class,81,0.37217143978212575,21.279352010579938,21.03293734329887,-0.01680387627408908,Sulfuric acid esters,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Carboximidic acids,2,Sub.Class,57,0.40250382378200356,19.25944566050402,19.649575838485575,0.028931991309419775,Carboximidic acids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Sphingolipids,3,Sub.Class,57,0.40250382378200356,19.541916082961286,19.64999475955014,0.007956997382789637,Sphingolipids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Anilides,1,Sub.Class,87,0.40250382378200356,20.786151409595274,20.682372507397993,-0.007220976585370954,Anilides,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyrans,1,Sub.Class,57,0.40250382378200356,22.12701055280111,22.191842505508447,0.004220903607642131,Pyrans,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Terphenyls,1,Sub.Class,87,0.40250382378200356,17.08159183615656,16.9319991533962,-0.012690104560954159,Terphenyls,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Morpholines,1,Sub.Class,80,0.4060484491047267,27.46314251802978,27.34236448868498,-0.006358709391785226,Morpholines,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Delta valerolactones,3,Sub.Class,86,0.4357306600317366,22.74123866990618,22.423808146090778,-0.020279530984434878,Delta valerolactones,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Dicarboxylic acids and derivatives,7,Sub.Class,86,0.4357306600317366,22.29371970769484,22.0006699696484,-0.01908989267305346,Dicarboxylic acid...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Acrylic acids and derivatives,1,Sub.Class,86,0.4357306600317366,29.182412578585243,29.10034078497071,-0.0040631109916437124,Acrylic acids and...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Short-chain keto acids and derivatives,1,Sub.Class,86,0.4357306600317366,28.575274460728746,28.85980062469422,0.01429397778544911,Short-chain keto ...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
