Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Phosphatidylethanolamine Lyso 22:6,22.11145546301758,C8-Neg-000024,Lipids and lipid-like molecules,Glycerophospholipids
Pg 18:1_20:4,22.104973105152183,C8-Neg-000170,Lipids and lipid-like molecules,Glycerophospholipids
5-Methyl-1h-Pyrazole-3-Carbaldehyde,22.054269056858015,Amide-Pos-000079,Organic oxygen compounds,Organooxygen compounds
Pi 38:6,22.043234066684885,C8-Neg-000088,Lipids and lipid-like molecules,Glycerophospholipids
Cytarabine,22.042407845151633,Amide-Neg-000447,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Pc 14:1_20:5,22.036804944039538,C8-Pos-000584,Lipids and lipid-like molecules,Glycerophospholipids
Pro,22.03462716037519,Amide-Neg-000163,Organic acids and derivatives,Carboxylic acids and derivatives
Lps 22:6,22.014877597510747,C8-Neg-000121,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",22.006940748473564,C8-Pos-000008,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match To 1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine From Nist14,21.964153406837315,C18-Pos-000255,Lipids and lipid-like molecules,Glycerophospholipids
"(Z,E)-Tetradeca-9,12-Dienol",21.94644515931083,C8-Pos-000233,Lipids and lipid-like molecules,Fatty Acyls
Dl-Arginine,21.926415725629198,Amide-Pos-000092,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 20:4_20:5,21.883092739408564,C8-Pos-000359,Lipids and lipid-like molecules,Glycerophospholipids
Pc 8:0_8:0,21.880035254928085,C8-Pos-000482,Lipids and lipid-like molecules,Glycerophospholipids
Fahfa 11:0/7:0,21.857629899622573,C8-Neg-000200,Lipids and lipid-like molecules,Fatty Acyls
Pc 19:2_20:5,21.845011666912864,C8-Pos-000346,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoylcarnitine,21.839527344304,C8-Pos-000088,Lipids and lipid-like molecules,Fatty Acyls
Lupenone,21.838646286110183,C8-Pos-000596,Lipids and lipid-like molecules,Prenol lipids
"1,2-Dihydroxyheptadec-16-Yn-4-Yl Acetate",21.83449049794561,C8-Pos-000326,Lipids and lipid-like molecules,Fatty Acyls
Pe O-24:3_17:0,21.809431327475554,C8-Pos-000444,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-18:2_16:1,21.799601371794772,C8-Pos-000497,Lipids and lipid-like molecules,Glycerophospholipids
Lpc 22:6-Sn2,21.78937818109921,C8-Pos-000242,Lipids and lipid-like molecules,Glycerophospholipids
Lpi 18:0,21.785667097358388,C8-Neg-000029,Lipids and lipid-like molecules,Glycerophospholipids
1-Hexadecanoyl-2-(14-Pentadecenoyl)-Sn-Glycero-3-Phosphocholine,21.777791527357014,C8-Pos-000133,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match To Prostaglandin F2.Alpha. Dimethylamine From Nist14,21.764859628383267,C8-Pos-000572,Organic oxygen compounds,Organooxygen compounds
Propionylcarnitine,21.756187593012065,Amide-Pos-000457,Lipids and lipid-like molecules,Fatty Acyls
Peg N6,21.75060913020478,C18-Pos-000227,Organic oxygen compounds,Organooxygen compounds
3-Phosphoglycerate,21.71925123463923,Amide-Pos-000520,Organic oxygen compounds,Organooxygen compounds
Diethyleneglycol Dibenzoate,21.71326763567977,C8-Pos-000411,Benzenoids,Benzene and substituted derivatives
Norethandrolone,21.710434346947952,C8-Pos-000347,Lipids and lipid-like molecules,Steroids and steroid derivatives
Amorfrutin A,21.695032478646787,C8-Pos-000658,Phenylpropanoids and polyketides,Stilbenes
Pc 18:1_24:4,21.68526607508276,C8-Pos-000324,Lipids and lipid-like molecules,Glycerophospholipids
L-Aspartic Acid,21.679427823836313,Amide-Neg-000085,Organic acids and derivatives,Carboxylic acids and derivatives
Guanosine 5'-Diphospho-Α-D-Mannose,21.67844682491544,Amide-Pos-000536,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Pyrrole-2-Carboxylic Acid,21.670415901216256,Amide-Pos-000146,Organoheterocyclic compounds,Pyrroles
Avocadenol D,21.643881988426422,C8-Pos-000494,Lipids and lipid-like molecules,Fatty Acyls
"3',6'-Bis(Diethylamino)-3h-Spiro[Isobenzofuran-1,9'-Xanthen]-3-One",21.629563308599383,C8-Pos-000313,Organoheterocyclic compounds,Benzopyrans
D-(-)-Mannitol,21.622273454887413,Amide-Neg-000399,Organic oxygen compounds,Organooxygen compounds
Dl-Dipalmitoylphosphatidylcholine,21.620639788048365,C8-Pos-000018,Lipids and lipid-like molecules,Glycerophospholipids
Pe 19:1_19:2,21.61108966980998,C8-Pos-000209,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine,21.61016442711825,Amide-Pos-000182,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Bmp 22:5_22:6,21.609065095093726,C8-Pos-000652,Lipids and lipid-like molecules,Glycerophospholipids
Arachidonic Acid,21.608371290145236,C8-Neg-000001,Lipids and lipid-like molecules,Fatty Acyls
N-Stearoylsphinganine,21.600515956590407,C8-Pos-000521,Lipids and lipid-like molecules,Sphingolipids
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,21.590829846493236,C8-Pos-000096,Lipids and lipid-like molecules,Glycerophospholipids
D-(-)-Isoascorbic Acid,21.58488154165609,Amide-Neg-000265,Organoheterocyclic compounds,Dihydrofurans
Oleoyl Ethanolamide,21.55518177701905,C8-Pos-000289,Organic nitrogen compounds,Organonitrogen compounds
Isethionate,21.55503592567243,Amide-Neg-000081,Organic acids and derivatives,Organic sulfonic acids and derivatives
Pe 20:4_22:6,21.52234031559761,C8-Pos-000294,Lipids and lipid-like molecules,Glycerophospholipids
1-[4-Hydroxy-3-(3-Methylbut-2-Enyl)Phenyl]Ethanone,21.499555091994065,C8-Pos-000507,Organic oxygen compounds,Organooxygen compounds
Ps 20:4_22:4,21.491437862827695,C8-Neg-000055,Lipids and lipid-like molecules,Glycerophospholipids
"2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol",21.483018210979623,C8-Pos-000047,Phenylpropanoids and polyketides,Diarylheptanoids
"Α-D-Glucose-1,6-Bisphosphate",21.479452416907023,Amide-Neg-000246,Organic oxygen compounds,Organooxygen compounds
Pc 14:0_16:3,21.47622290004535,C8-Pos-000177,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dilinolenoyl-Sn-Glycero-3-Phosphoethanolamine",21.442038820947182,C8-Pos-000295,Lipids and lipid-like molecules,Glycerophospholipids
"Didodecyl 3,3'-Thiodipropionate Dioxide",21.438286965459966,C8-Pos-000414,Organic acids and derivatives,Carboxylic acids and derivatives
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",21.423055183193238,C8-Pos-000059,Lipids and lipid-like molecules,Glycerophospholipids
Progesterone,21.42044041330648,C8-Pos-000112,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pe 34:4,21.41746421286097,C8-Neg-000185,Lipids and lipid-like molecules,Glycerophospholipids
Pc O-33:2,21.406391549981425,C8-Pos-000561,Lipids and lipid-like molecules,Glycerophospholipids
3-(Ethenyloxy)Propan-1-Amine,21.402980701705236,Amide-Pos-000229,Organic oxygen compounds,Organooxygen compounds
1-Pentadecanoyl-Sn-Glycero-3-Phosphocholine,21.389119854880335,C8-Pos-000534,Lipids and lipid-like molecules,Glycerophospholipids
Miltefosine,21.37995203845198,C8-Pos-000366,Organic nitrogen compounds,Organonitrogen compounds
"1,24-Dihydroxyvitamin D3",21.366321770222463,C8-Pos-000338,Organic compounds,Lipids and lipid-like molecules
Betulin,21.350788580948887,C8-Pos-000495,Lipids and lipid-like molecules,Prenol lipids
Stigmastadienone,21.33677733581764,C8-Pos-000585,Organic compounds,Lipids and lipid-like molecules
"2-Amino-1,3,4-Octadecanetriol",21.335463333567386,C8-Pos-000511,Organic nitrogen compounds,Organonitrogen compounds
"1-Hexadecyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",21.3334421489658,C8-Pos-000187,Lipids and lipid-like molecules,Glycerophospholipids
3-Oxo-4-Cholestenoic Acid,21.332437248667002,C8-Pos-000415,Organic compounds,Lipids and lipid-like molecules
Pc 14:1_15:1,21.323339219582017,C8-Pos-000694,Lipids and lipid-like molecules,Glycerophospholipids
Pc 14:0_14:1,21.31652816990821,C8-Pos-000130,Lipids and lipid-like molecules,Glycerophospholipids
Pc 19:1_19:1,21.3035010563386,C8-Pos-000144,Lipids and lipid-like molecules,Glycerophospholipids
Pe 16:1_22:5,21.2956311982887,C8-Pos-000089,Lipids and lipid-like molecules,Glycerophospholipids
Methyl-L-Histidinate,21.28819077750448,Amide-Pos-000206,Organic acids and derivatives,Carboxylic acids and derivatives
3-Hydroxy-3-Methylglutaric Acid,21.285822332065536,Amide-Neg-000072,Lipids and lipid-like molecules,Fatty Acyls
"N,N-Dimethylguanosine",21.28146047576037,Amide-Pos-000429,Organic compounds,"Nucleosides, nucleotides, and analogues"
Pe O-18:2_22:3,21.279965011869926,C8-Pos-000274,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match To 1-(1z-Hexadecenyl)-Sn-Glycero-3-Phosphocholine From Nist14,21.257866204519857,C8-Pos-000298,Lipids and lipid-like molecules,Glycerophospholipids
L-(+)-Citrulline,21.24288030440356,Amide-Pos-000341,Organic acids and derivatives,Carboxylic acids and derivatives
N6-Threonylcarbamoyladenosine,21.213613905251606,C18-Pos-000253,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Penicillin G,21.18077016468816,C8-Pos-000212,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine Alkenyl 16:0-22:4,21.173735579444767,C8-Neg-000056,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-16:1_22:3,21.16833187509833,C8-Neg-000183,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-18:2_22:4,21.163910956464072,C8-Pos-000254,Lipids and lipid-like molecules,Glycerophospholipids
L-Histidine,21.1612083672648,Amide-Pos-000125,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 17:2_17:2,21.15741097274053,C8-Pos-000024,Lipids and lipid-like molecules,Glycerophospholipids
2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine,21.151976047042904,Amide-Pos-000509,Organic oxygen compounds,Organooxygen compounds
Myristyl Sulfate,21.150787836346336,C8-Neg-000064,Organic acids and derivatives,Organic sulfuric acids and derivatives
Pmeoh 16:0_16:1,21.12241347355072,C8-Neg-000146,Lipids and lipid-like molecules,Glycerophospholipids
Heneicosanoic Acid,21.120582989905923,C8-Neg-000208,Lipids and lipid-like molecules,Fatty Acyls
Pc O-36:5,21.115449891815082,C8-Pos-000194,Lipids and lipid-like molecules,Glycerophospholipids
Pe(18:0_22:6),21.097702764458734,C8-Pos-000480,Lipids and lipid-like molecules,Glycerophospholipids
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",21.08330318513427,C8-Pos-000432,Lipids and lipid-like molecules,Steroids and steroid derivatives
Imidazolelactic Acid,21.07985699391457,Amide-Pos-000157,Organoheterocyclic compounds,Azoles
Pi 20:3_20:4,21.055558419143605,C8-Neg-000132,Lipids and lipid-like molecules,Glycerophospholipids
Glycerophosphocholine,21.042551379776803,Amide-Pos-000048,Organic compounds,Lipids and lipid-like molecules
Pg 42:9,21.03599828120819,C8-Neg-000131,Lipids and lipid-like molecules,Glycerophospholipids
Pc 22:5_22:6,21.018083017411268,C8-Pos-000454,Lipids and lipid-like molecules,Glycerophospholipids
1-Hydroxy-2-(3-Pyridinyl)Ethylidene Bisphosphonic Acid,21.01779255103891,Amide-Pos-000218,Organic compounds,Organic acids and derivatives
Sm 8:1;2o/24:0,21.017615096356604,C8-Pos-000189,Organic nitrogen compounds,Organonitrogen compounds
"2-Ethyl-N-({(2r,4s,5r)-5-[6-(2-Furyl)-2-Methyl-4-Pyrimidinyl]-1-Azabicyclo[2.2.2]Oct-2-Yl}Methyl)Butanamide",21.0159632399655,C8-Pos-000514,Organoheterocyclic compounds,Quinuclidines
Ps 38:5,21.01478285579145,C8-Neg-000042,Lipids and lipid-like molecules,Glycerophospholipids
Lpc(18:0),21.003138287911487,Amide-Pos-000507,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,20.995403848972376,C8-Pos-000127,Lipids and lipid-like molecules,Glycerophospholipids
Ps 22:4_22:5,20.994085578694673,C8-Pos-000103,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-Dl-Aspartic Acid,20.982207323706632,C18-Neg-000104,Organic acids and derivatives,Carboxylic acids and derivatives
Ps 18:2_22:5,20.962833235119145,C8-Pos-000102,Lipids and lipid-like molecules,Glycerophospholipids
Pc 14:0_16:1,20.961209124313225,C8-Pos-000007,Lipids and lipid-like molecules,Glycerophospholipids
Pc 16:0_18:5,20.904646223497167,C8-Pos-000200,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-Dl-Norvaline,20.903679661934515,Amide-Neg-000555,Organic acids and derivatives,Carboxylic acids and derivatives
Sm 11:0;2o/22:1,20.901281389540905,C8-Pos-000562,Organic nitrogen compounds,Organonitrogen compounds
Tetraethylene Glycol Monomethyl Ether,20.897662857606466,C18-Pos-000223,Organic oxygen compounds,Organooxygen compounds
N-Acetyl-Dl-Glutamic Acid,20.892250901913247,C18-Neg-000066,Organic acids and derivatives,Carboxylic acids and derivatives
1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,20.867629889046142,C8-Pos-000053,Lipids and lipid-like molecules,Glycerophospholipids
(3-Oxo-2-Piperazinyl)Acetic Acid,20.860879771321482,Amide-Neg-000274,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine 18:1-22:4,20.857196310336956,C8-Neg-000109,Lipids and lipid-like molecules,Glycerophospholipids
Pc 22:5_22:5,20.83973001759697,C8-Pos-000275,Lipids and lipid-like molecules,Glycerophospholipids
Adenine,20.83633303261679,Amide-Pos-000035,Organoheterocyclic compounds,Imidazopyrimidines
L-Γ-Glutamyl-L-Glutamic Acid,20.8219469777408,Amide-Neg-000611,Organic acids and derivatives,Carboxylic acids and derivatives
"N-({(2r,4s,5r)-5-[3-(4-Methoxyphenyl)-1-Methyl-1h-Pyrazol-5-Yl]-1-Azabicyclo[2.2.2]Oct-2-Yl}Methyl)Acetamide",20.791255361829606,C8-Pos-000642,Organoheterocyclic compounds,Azoles
Pc O-34:2,20.788366410587553,C8-Pos-000147,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetylaspartic Acid,20.77314082475326,Amide-Neg-000009,Organic acids and derivatives,Carboxylic acids and derivatives
L-Glutathione (Reduced),20.77151413672943,Amide-Pos-000164,Organic acids and derivatives,Carboxylic acids and derivatives
D-(+)-Pipecolinic Acid,20.75732379413957,Amide-Pos-000155,Organic acids and derivatives,Carboxylic acids and derivatives
Uridine 5'-Diphosphoglucuronic Acid,20.752103926506447,Amide-Pos-000532,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
1-Stearoyl-2-Arachidonoyl-Sn-Glycero-3-Phosphoserine,20.74874855569747,C8-Pos-000066,Lipids and lipid-like molecules,Glycerophospholipids
5-(Hydroxymethyl)-3-(1-Hydroxy-4-Methylhexyl)Oxolan-2-One,20.744899112595384,C8-Pos-000485,Organic compounds,Lipids and lipid-like molecules
Ethylmalonic Acid,20.741928625396113,Amide-Neg-000537,Lipids and lipid-like molecules,Fatty Acyls
"1-Pyridin-3-Yl-1,4-Diazepane",20.73800310576102,Amide-Pos-000269,Organic nitrogen compounds,Organonitrogen compounds
Phosphatidylinositol Lyso 16:0,20.73449148504427,C8-Neg-000161,Lipids and lipid-like molecules,Glycerophospholipids
N-(4-Hydroxy-3-Methylphenyl)Acetamide,20.73426195849663,Amide-Pos-000540,Benzenoids,Benzene and substituted derivatives
Lps 18:0,20.72531278161417,C8-Neg-000066,Lipids and lipid-like molecules,Glycerophospholipids
Methylmalonic Acid,20.717531988923927,Amide-Neg-000140,Organic acids and derivatives,Carboxylic acids and derivatives
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,20.714631748225592,C8-Pos-000022,Lipids and lipid-like molecules,Glycerophospholipids
Pc O-40:6,20.70995588846174,C8-Pos-000396,Lipids and lipid-like molecules,Glycerophospholipids
Udp-Glucose Disodium Salt,20.688295269188888,Amide-Pos-000411,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
16-Hydroxyhexadecanoic Acid,20.684355201200347,C8-Neg-000168,Lipids and lipid-like molecules,Fatty Acyls
Citroflex 2,20.679908117591726,C8-Pos-000492,Organic acids and derivatives,Carboxylic acids and derivatives
2-Ethylhexyldiphenyl Phosphate,20.65686953970737,C8-Pos-000650,Organic acids and derivatives,Organic phosphoric acids and derivatives
Diacetyl,20.655855064123365,Amide-Neg-000120,Organic oxygen compounds,Organooxygen compounds
Caffeine,20.651848190262204,C18-Pos-000219,Organoheterocyclic compounds,Imidazopyrimidines
Pe 18:1_16:2,20.6360325427405,C8-Neg-000194,Lipids and lipid-like molecules,Glycerophospholipids
Creatine Phosphate,20.63050366784845,Amide-Pos-000321,Organic acids and derivatives,Carboxylic acids and derivatives
Pe O-28:3_9:0,20.608091407412626,C8-Pos-000434,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match To 2-Linoleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoethanolamine From Nist14,20.601222015059808,C8-Pos-000219,Lipids and lipid-like molecules,Glycerophospholipids
Pi 16:1_18:1,20.58884770633572,C8-Neg-000112,Lipids and lipid-like molecules,Glycerophospholipids
Monopalmitolein (9c),20.588747276597353,C8-Pos-000220,Lipids and lipid-like molecules,Glycerolipids
N8-Acetylspermidine,20.586806709295523,Amide-Pos-000070,Organic acids and derivatives,Carboximidic acids and derivatives
Pe(18:0_20:4),20.58254379545028,C8-Pos-000286,Lipids and lipid-like molecules,Glycerophospholipids
Kanosamine,20.566859680389864,Amide-Pos-000423,Organic oxygen compounds,Organooxygen compounds
Dioctyl Sulfosuccinate,20.564072345928416,C8-Pos-000403,Lipids and lipid-like molecules,Fatty Acyls
Methyl Deoxycholate,20.560099218434463,C8-Pos-000363,Lipids and lipid-like molecules,Steroids and steroid derivatives
Dehydroascorbic Acid,20.539652696281834,Amide-Neg-000015,Organoheterocyclic compounds,Lactones
"5(Z),8(Z),11(Z)-Eicosatrienoic Acid Methyl Ester",20.52149476876694,C8-Pos-000663,Lipids and lipid-like molecules,Fatty Acyls
Docosapentaenoic Acid,20.512729613634292,C8-Neg-000004,Lipids and lipid-like molecules,Fatty Acyls
Dodecanedioic Acid,20.509951853579025,C8-Pos-000438,Lipids and lipid-like molecules,Fatty Acyls
Pe(16:0_16:1),20.49937280771487,C8-Neg-000189,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 16:1,20.495695137071035,C8-Neg-000155,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine Alkenyl 18:1-22:6,20.49269218765757,C8-Neg-000067,Lipids and lipid-like molecules,Glycerophospholipids
(R)-Ketamine,20.48525253571417,C8-Pos-000202,Benzenoids,Benzene and substituted derivatives
"3-[1-Decenyl]Dihydro-2,5-Furandione",20.48453289763044,C8-Pos-000478,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 20:1_32:8,20.474876126865396,C8-Pos-000632,Lipids and lipid-like molecules,Glycerophospholipids
Pe 40:5,20.454933978863597,C8-Neg-000135,Lipids and lipid-like molecules,Glycerophospholipids
D-Α-Tocopherol,20.451030188380837,C8-Pos-000662,Lipids and lipid-like molecules,Prenol lipids
2-Aminoadipic Acid,20.441138450521592,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
Cer 18:2;2o/16:0,20.43421608304865,C8-Pos-000364,Lipids and lipid-like molecules,Sphingolipids
"Cytidine 2',3'-Cyclic Monophosphoric Acid",20.430699346941218,Amide-Pos-000378,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Pc 16:2_16:2,20.42687072113906,C8-Pos-000143,Lipids and lipid-like molecules,Glycerophospholipids
(E)-5-(But-1-En-1-Yl)-6-(Hydroxymethyl)-4-Methoxy-2h-Pyran-2-One,20.413571276231217,C8-Pos-000639,Lipids and lipid-like molecules,Fatty Acyls
Pc O-32:0,20.412384854047648,C8-Pos-000306,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-28:3_7:0,20.401014032547675,C8-Pos-000593,Lipids and lipid-like molecules,Glycerophospholipids
Dehydropipernonaline,20.385812946583094,C8-Pos-000517,Organoheterocyclic compounds,Benzodioxoles
Pe(16:1_18:1),20.37526093337635,C8-Neg-000137,Lipids and lipid-like molecules,Glycerophospholipids
N6-Succinyladenosine; Lc-Tdda; Ce10,20.370937737936888,C18-Pos-000163,"Nucleosides, nucleotides, and analogues",Purine nucleosides
N-Lauryldiethanolamine,20.360715149703324,C18-Pos-000114,Organic nitrogen compounds,Organonitrogen compounds
Hexanoylcarnitine,20.3591582937316,Amide-Pos-000395,Lipids and lipid-like molecules,Fatty Acyls
Pe 20:4_22:4,20.35802241225888,C8-Neg-000143,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:2;2o/18:0,20.327535136960716,C8-Pos-000235,Lipids and lipid-like molecules,Sphingolipids
Azelaic Acid,20.301929937571273,C18-Neg-000158,Lipids and lipid-like molecules,Fatty Acyls
Pc 10:0_21:2,20.28534202888482,C8-Pos-000262,Lipids and lipid-like molecules,Glycerophospholipids
5'-S-Methyl-5'-Thioadenosine,20.25902374922994,C18-Pos-000233,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
1-Hexadecyl-Sn-Glycero-3-Phosphocholine,20.258635406271885,C8-Pos-000467,Lipids and lipid-like molecules,Glycerophospholipids
Maleic Acid,20.24652183100082,Amide-Neg-000203,Organic acids and derivatives,Carboxylic acids and derivatives
Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,20.241277126302904,C8-Pos-000002,Lipids and lipid-like molecules,Glycerophospholipids
"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",20.2407695119873,C8-Pos-000405,Lipids and lipid-like molecules,Fatty Acyls
2-Aminoisobutyric Acid,20.23777180694021,Amide-Pos-000099,Organic acids and derivatives,Carboxylic acids and derivatives
Heptanoylcarnitine,20.21809422780553,C8-Pos-000668,Lipids and lipid-like molecules,Fatty Acyls
L-(-)-Methionine,20.216684405605424,Amide-Pos-000200,Organic acids and derivatives,Carboxylic acids and derivatives
Lumichrome,20.211695127043264,C8-Pos-000576,Organoheterocyclic compounds,Pteridines and derivatives
D-(-)-Glutamine,20.19647104906804,Amide-Neg-000048,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine Alkenyl 16:0-20:4,20.193795700312503,C8-Neg-000041,Lipids and lipid-like molecules,Glycerophospholipids
1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,20.190520112043043,C18-Neg-000043,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
"1,8-Diaza-2,9-Diketocyclotetradecane",20.17029981355203,C18-Pos-000256,Organic compounds,Phenylpropanoids and polyketides
Cocamidopropyl Betaine,20.165839138259564,C8-Pos-000087,Organic acids and derivatives,Carboxylic acids and derivatives
7-Oxocholesterol,20.140495981032974,C8-Pos-000100,Lipids and lipid-like molecules,Steroids and steroid derivatives
Dibenzoylmethane,20.13072962899468,C8-Pos-000588,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
Pc O-32:1,20.113451578553104,C8-Pos-000307,Lipids and lipid-like molecules,Glycerophospholipids
Lpc 20:3-Sn1,20.10051525389101,C8-Pos-000361,Lipids and lipid-like molecules,Glycerophospholipids
Terpestacin,20.098237054314826,C8-Pos-000391,Organic oxygen compounds,Organooxygen compounds
Adenosine,20.088939078656615,Amide-Pos-000053,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Oxoadipate,20.08119931214565,Amide-Neg-000286,Organic compounds,Organic acids and derivatives
Cer 18:2;2o/14:0,20.054185347853974,C8-Pos-000471,Lipids and lipid-like molecules,Sphingolipids
Ps 22:6_22:6,20.03275652977314,C8-Neg-000089,Lipids and lipid-like molecules,Glycerophospholipids
Dihydrothymine,20.026277698907425,Amide-Pos-000143,Organoheterocyclic compounds,Diazines
Lpc 14:0-Sn2,20.02081736251346,C8-Pos-000098,Lipids and lipid-like molecules,Glycerophospholipids
Cmp,20.00333334506568,Amide-Neg-000529,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Stearic Acid,19.999934367406297,C8-Pos-000293,Lipids and lipid-like molecules,Fatty Acyls
"8(S)-Hydroxy-(5z,9e,11z,14z)-Eicosatetraenoic Acid",19.999286306116698,C8-Neg-000193,Lipids and lipid-like molecules,Fatty Acyls
Tris(Hydroxymethyl)Aminomethane,19.982242183201283,Amide-Pos-000100,Organic nitrogen compounds,Organonitrogen compounds
Pc 15:0_22:2,19.96124807981125,C8-Pos-000470,Lipids and lipid-like molecules,Glycerophospholipids
Pc 21:2_21:2,19.956161946741915,C8-Pos-000463,Lipids and lipid-like molecules,Glycerophospholipids
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,19.932346706737125,C8-Pos-000099,Organic compounds,Lipids and lipid-like molecules
"7a-Acetyl-3,4,4a,7a-Tetrahydro-4a-Hydroxy-2,6,7-Trimethyl-2-(4,8,12-Trimethyltridecyl)Cyclopenta[B]Pyran-5(2h)-One",19.931939206343486,C8-Pos-000506,Lipids and lipid-like molecules,Prenol lipids
"1,3-Diphenylacetone",19.925411710417418,C8-Pos-000608,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
Lpe 22:3,19.922384023178267,C8-Pos-000376,Lipids and lipid-like molecules,Glycerophospholipids
4-Piperidinecarboxamide,19.909104408858287,Amide-Pos-000352,Organoheterocyclic compounds,Piperidines
7-Methylguanine,19.906631447120663,Amide-Pos-000208,Organoheterocyclic compounds,Imidazopyrimidines
Ps 22:5_22:5,19.89612261026504,C8-Pos-000071,Lipids and lipid-like molecules,Glycerophospholipids
Pe 15:1_19:2,19.878420909021276,C8-Pos-000387,Lipids and lipid-like molecules,Glycerophospholipids
Diethyl 2-Methyl-3-Oxosuccinate,19.87518544194251,C8-Pos-000607,Organic acids and derivatives,Keto acids and derivatives
Phosphatidylethanolamine 18:1-22:6,19.872184474957606,C8-Neg-000044,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,19.871518157086346,C8-Pos-000029,Lipids and lipid-like molecules,Glycerophospholipids
Undecanedioic Acid,19.86686823559294,C18-Neg-000189,Lipids and lipid-like molecules,Fatty Acyls
Uridine 5'-Triphosphate,19.838116891361395,Amide-Neg-000576,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,19.835882547885358,C8-Pos-000211,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Pyroglutamic Acid,19.835307390629534,Amide-Pos-000342,Organic acids and derivatives,Carboxylic acids and derivatives
1-Monolinolenin,19.824109864458528,C8-Pos-000174,Organic compounds,Lipids and lipid-like molecules
N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine,19.81145519568024,C8-Pos-000616,Organic compounds,Lipids and lipid-like molecules
Ornithine,19.806455616515912,Amide-Neg-000595,Organic acids and derivatives,Carboxylic acids and derivatives
