Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Pc(17:0_18:1),24.4558661159196,C8-Pos-000204,Lipids and lipid-like molecules,Glycerophospholipids
L-Cystathionine,24.44448417415193,Amide-Pos-000309,Organic acids and derivatives,Carboxylic acids and derivatives
O_coumaric Acid,24.32660261624038,C18-Pos-000321,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
Adenosine 5'-Monophosphate,24.30146797354976,Amide-Pos-000075,"Nucleosides, nucleotides, and analogues",Purine nucleotides
3-Hydroxybutyric Acid,24.265122509107076,Amide-Neg-000187,Organic acids and derivatives,Hydroxy acids and derivatives
Pc 11:0_11:0,24.255542209091715,C8-Pos-000624,Lipids and lipid-like molecules,Glycerophospholipids
5-Aminovaleric Acid,24.251940833220083,Amide-Neg-000123,Organic acids and derivatives,Carboxylic acids and derivatives
Carnosine,24.24729520216507,Amide-Pos-000482,Organic acids and derivatives,Peptidomimetics
Phosphatidylethanolamine 18:0-22:4,24.2399850158747,C8-Neg-000091,Lipids and lipid-like molecules,Glycerophospholipids
Triethylene Glycol Monobutyl Ether,24.227489525845186,C18-Pos-000195,Organic oxygen compounds,Organooxygen compounds
D-Ribose 5-Phosphate,24.194260042974516,Amide-Neg-000438,Organic oxygen compounds,Organooxygen compounds
2-Docosahexaenoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoethanolamine,24.166784707633013,C8-Neg-000031,Lipids and lipid-like molecules,Glycerophospholipids
2-Hydroxyethyl Benzoate,24.16633738944957,C18-Pos-000320,Benzenoids,Benzene and substituted derivatives
Capsaicin,24.162486826728603,C8-Pos-000714,Benzenoids,Phenols
Lpc 20:2-Sn1,24.149721023568944,C8-Pos-000342,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-2-Arachidonoyl-Sn-Glycero-3-Phosphoserine,24.122610993347486,C8-Neg-000162,Lipids and lipid-like molecules,Glycerophospholipids
2-Oxoglutaric Acid,24.092364762929712,Amide-Neg-000099,Organic acids and derivatives,Keto acids and derivatives
Pc(18:0_20:3),24.06589422542952,C8-Pos-000069,Lipids and lipid-like molecules,Glycerophospholipids
