Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Lpc 22:6-Sn2,0.012806147001693358,21.78937818109921,0.10673934997451731,0.9158781068498751,0.997319430907246,-4.742462470321369,C8-Pos-000242,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
"Spectral Match To Decanedioic Acid, Bis(2-Ethylhexyl) Ester From Nist14",-0.020069873496155504,22.97522611256424,-0.10452476991301732,0.9176167523921261,0.997319430907246,-4.742525154175019,C8-Pos-000243,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
"1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine",0.012023439239537775,18.750190099226234,0.1027691824428201,0.9189953454224583,0.997319430907246,-4.742573913838323,C8-Pos-000598,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pyrogallol,0.010787039868572735,27.815547279610428,0.10231508853824281,0.9193519696354586,0.997319430907246,-4.742586391602743,Amide-Neg-000298,Benzenoids,Phenols,Higher in Males,
Ps 40:4,0.04101347010933516,14.7641021226033,0.10148086516031853,0.9200071747359658,0.997319430907246,-4.742609170924732,C8-Neg-000014,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Spectral Match To 1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine From Nist14,-0.009844953651451075,21.964153406837315,-0.10138944517178536,0.9200789801782193,0.997319430907246,-4.742611655919576,C18-Pos-000255,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Lpc 16:2-Sn1,0.025552070642222393,19.411598354415464,0.10028734672318396,0.920944673074038,0.997319430907246,-4.7426414373754815,C8-Pos-000310,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
N-Acetylalanine,-0.015594103402648924,22.75242940240997,-0.0985135299342113,0.9223382061318229,0.997319430907246,-4.742688687795802,Amide-Neg-000251,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Oleamide,-0.027427682039292606,22.122224015271133,-0.09626012286167926,0.9241088764458105,0.997319430907246,-4.742747499110461,C18-Pos-000298,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Cytidine 5'-Diphosphocholine,0.00823963597201781,18.712760042458033,0.09412878570644385,0.9257839954395489,0.997319430907246,-4.7428018739595235,Amide-Pos-000238,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Higher in Males,
