Name,VIP_comp1,Compound.ID,Super.Class,Class
Tg(36:6_4:0),0.4697002048563454,C8-Pos-003614,Lipids and lipid-like molecules,Glycerolipids
Ps 20:2_20:2,0.4688100931599985,C8-Pos-004875,Lipids and lipid-like molecules,Glycerophospholipids
Octabenzone,0.46692734836995586,C8-Pos-000696,Benzenoids,Benzene and substituted derivatives
Dg(21:1_19:4),0.4628285591545286,C8-Pos-003575,Lipids and lipid-like molecules,Glycerolipids
I-Inositol,0.4549332853700233,Amide-Neg-000766,Organic oxygen compounds,Organooxygen compounds
Pc(18:1_16:2),0.44977473956638025,C8-Pos-004302,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-Triphosphate,0.44594487974875735,Amide-Pos-001770,Organic oxygen compounds,Organooxygen compounds
Pe(O-20:1_22:6),0.4390691609596609,C8-Pos-004759,Lipids and lipid-like molecules,Glycerophospholipids
"2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol",0.43623877117833226,C8-Pos-001809,Phenylpropanoids and polyketides,Diarylheptanoids
Δ2-Cis-Hexadecenoic Acid,0.4358535038659535,C8-Neg-000175,Lipids and lipid-like molecules,Fatty Acyls
Trometamol,0.43528240072465213,Amide-Pos-000270,Organic nitrogen compounds,Organonitrogen compounds
Lpc(14:0),0.4263249556407613,C8-Neg-001710,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoyl Ethanolamide,0.4260891556422339,C8-Pos-000497,Organic acids and derivatives,Carboximidic acids and derivatives
Tg(20:1_24:5_20:6),0.4228821826795568,C8-Pos-005843,Lipids and lipid-like molecules,Glycerolipids
Pe(P-19:4_23:5),0.4212679916382672,C8-Pos-004505,Lipids and lipid-like molecules,Glycerophospholipids
N-Methyl-2-Phenylpropan-1-Amine,0.41908366931720703,C18-Pos-000591,Benzenoids,Benzene and substituted derivatives
Pc(27:6_8:1cooh),0.41676524724549097,C8-Neg-003407,Lipids and lipid-like molecules,Glycerophospholipids
Lpc 14:0-Sn2,0.41576207014756383,C8-Pos-001973,Lipids and lipid-like molecules,Glycerophospholipids
Lithocholic Acid,0.41094640682443834,C8-Neg-000679,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pc(11:1_29:4),0.4048602496452594,C8-Pos-005020,Lipids and lipid-like molecules,Glycerophospholipids
Pe(O-10:0_6:0),0.39181795286792276,C8-Pos-001872,Lipids and lipid-like molecules,Glycerophospholipids
"N,N-Diethylethanolamine",0.3893445246132633,Amide-Pos-000240,Organic nitrogen compounds,Organonitrogen compounds
Crotonic Acid,0.3858157456576594,Amide-Pos-000010,Lipids and lipid-like molecules,Fatty Acyls
