Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
D-Glyceric Acid,0.09265254284091376,18.084983967286743,1.8455602700615086,0.07732643864803383,0.45613910438446925,-4.479595967166917,Amide-Neg-000135,Organic oxygen compounds,Organooxygen compounds
Pc(12:1_28:3),0.026937498801216087,24.486220341624612,1.8253622508626597,0.08041431147849071,0.4650665863143572,-4.511331687526029,C8-Neg-003585,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoylcarnitine,-0.04293168893912341,19.486404145765555,-1.8205832926098047,0.08116031206637057,0.4650665863143572,-4.51880271181501,C8-Pos-001332,Lipids and lipid-like molecules,Fatty Acyls
Pi(19:4_19:4),-0.10471511593681669,19.927963888370915,-1.818436406611848,0.08149738274461117,0.4650665863143572,-4.522154243004332,C8-Pos-005132,Lipids and lipid-like molecules,Glycerophospholipids
L-Glutathione Oxidized,-0.08612527831765077,18.96599513676828,-1.8035613181789911,0.08386616538344678,0.47294777323568893,-4.545295087088151,C8-Pos-000542,Organic acids and derivatives,Carboxylic acids and derivatives
Cl(23:1_19:4cho_22:4_22:4cho),-0.7082797427878237,17.802670019715652,-1.5936009257316863,0.1369982783011997,0.5541708062973184,-4.547460225610607,C8-Neg-003382,Lipids and lipid-like molecules,Glycerophospholipids
D-Sphingosine,0.0918823594935694,15.92492512271259,1.7910346363516576,0.08590671082928865,0.47294777323568893,-4.564672452487471,C8-Pos-000382,Organic nitrogen compounds,Organonitrogen compounds
Hyflavin,-0.0910456125834888,20.852710037494358,-1.786342638164838,0.086681924836022,0.47294777323568893,-4.571904396122869,Amide-Pos-001528,Organoheterocyclic compounds,Pteridines and derivatives
Malonic Acid,0.1227654444052027,20.8481390651117,1.6395322530669723,0.12336240552240818,0.5541708062973184,-4.573830394579362,Amide-Neg-000116,Organic acids and derivatives,Carboxylic acids and derivatives
Acrylic Acid,0.10595492343329814,21.085900474947227,1.6212404102142828,0.1272547870080345,0.5541708062973184,-4.576567761822959,Amide-Neg-000001,Organic acids and derivatives,Carboxylic acids and derivatives
D-Threonine,0.09398082267676011,20.558372136986907,1.7804003020209833,0.08767233178844912,0.47294777323568893,-4.581043080773453,Amide-Neg-000235,Organic acids and derivatives,Carboxylic acids and derivatives
Pe(19:1cooh_28:3),-0.06729652009535755,18.07582139555749,-1.7741780385527723,0.0887197793147558,0.47294777323568893,-4.5905877054761355,C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids
