Name,VIP_predictive,Compound.ID,Super.Class,Class
"Spectral Match to Cholesta-4,6-dien-3-one from NIST14",1.1185890259716136,C8-Pos-000321,Lipids and lipid-like molecules,Steroids and steroid derivatives
D-(+)-Mannose,1.117544454523502,Amide-Neg-000037,Organic oxygen compounds,Organooxygen compounds
2-METHYLCITRATE,1.1175011278332452,Amide-Neg-000455,Organic acids and derivatives,Carboxylic acids and derivatives
L-2-Aminoadipic acid,1.1164336420556469,Amide-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Prohexadione,1.1159288736019706,C8-Pos-000315,Organic oxygen compounds,Organooxygen compounds
"3,3',5,5'-Tetra-tert-butylbiphenyl-2,2'-diol",1.1109416140606325,C8-Neg-000147,Benzenoids,Benzene and substituted derivatives
Diphenylphosphate,1.110394918023559,C8-Pos-000276,Organic acids and derivatives,Organic phosphoric acids and derivatives
Diethyleneglycol dibenzoate,1.109607257270246,C8-Pos-000411,Benzenoids,Benzene and substituted derivatives
2-Hydroxyethyl benzoate,1.1078037372190546,C18-Pos-000320,Benzenoids,Benzene and substituted derivatives
Cer 18:2;2O/18:0,1.1057738754122315,C8-Pos-000235,Lipids and lipid-like molecules,Sphingolipids
Citruline,1.1054224956325598,Amide-Neg-000596,Organic acids and derivatives,Carboxylic acids and derivatives
PE 15:1_15:1,1.1044500652932727,C8-Pos-000659,Lipids and lipid-like molecules,Glycerophospholipids
Biotin,1.1043627238692513,C18-Pos-000181,Organoheterocyclic compounds,Biotin and derivatives
Xylitol,1.100797020555604,Amide-Neg-000260,Organic oxygen compounds,Organooxygen compounds
Creatine,1.0990404788876909,Amide-Pos-000025,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine lyso 22:4,1.0985412330586926,C18-Neg-000227,Lipids and lipid-like molecules,Glycerophospholipids
"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-",1.097492730183449,C18-Neg-000216,Organic compounds,Organoheterocyclic compounds
"Spectral Match to 1,2-Di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14",1.0973033650394,Amide-Pos-000417,Lipids and lipid-like molecules,Glycerophospholipids
PC O-38:4,1.0965552044644755,C8-Pos-000163,Lipids and lipid-like molecules,Glycerophospholipids
PE 16:0_24:5,1.095971170826432,C8-Pos-000116,Lipids and lipid-like molecules,Glycerophospholipids
PS 20:2_20:2,1.092317450959732,C8-Pos-000146,Lipids and lipid-like molecules,Glycerophospholipids
delta-Tridecalactone,1.0911894498794907,C8-Pos-000630,Organoheterocyclic compounds,Lactones
Myristoyl-L-carnitine,1.0852194169051528,C18-Pos-000286,Lipids and lipid-like molecules,Fatty Acyls
1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,1.0834899508404712,C8-Pos-000127,Lipids and lipid-like molecules,Glycerophospholipids
(-)-Corey lactone,1.080938224054721,C18-Neg-000173,Organoheterocyclic compounds,Lactones
BMP 22:5_22:6,1.072788768006881,C8-Pos-000652,Lipids and lipid-like molecules,Glycerophospholipids
CMP,1.0679421804228546,Amide-Neg-000529,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Cocamidopropyl betaine,1.0654530515079286,C8-Pos-000087,Organic acids and derivatives,Carboxylic acids and derivatives
NP-022805,1.063514094232423,C8-Pos-000398,Lipids and lipid-like molecules,Prenol lipids
FAHFA 11:0/7:0,1.0622996251665704,C8-Neg-000200,Lipids and lipid-like molecules,Fatty Acyls
PE O-16:1_22:6,1.060575337403151,C8-Pos-000082,Lipids and lipid-like molecules,Glycerophospholipids
Norethandrolone,1.0600360180418626,C8-Pos-000347,Lipids and lipid-like molecules,Steroids and steroid derivatives
LPC 22:5-SN1,1.0591892216893475,C8-Pos-000318,Lipids and lipid-like molecules,Glycerophospholipids
11-Hydroxy-δ(9)-THC,1.0589550211414367,C8-Pos-000426,Organoheterocyclic compounds,Benzopyrans
PE O-28:3_7:0,1.0561446043869438,C8-Pos-000593,Lipids and lipid-like molecules,Glycerophospholipids
Myristyl sulfate,1.0557829077875085,C8-Neg-000064,Organic acids and derivatives,Organic sulfuric acids and derivatives
Dioctyl sulfosuccinate,1.0555829431575887,C8-Pos-000403,Lipids and lipid-like molecules,Fatty Acyls
Maleic acid,1.0552735327814067,Amide-Neg-000203,Organic acids and derivatives,Carboxylic acids and derivatives
SM 11:0;2O/22:1,1.0543074935678698,C8-Pos-000562,Organic nitrogen compounds,Organonitrogen compounds
L-γ-Glutamyl-L-glutamic acid,1.0508409619161698,Amide-Neg-000611,Organic acids and derivatives,Carboxylic acids and derivatives
"N3,N4-Dimethyl-L-arginine",1.0507844136740423,Amide-Pos-000192,Organic acids and derivatives,Carboxylic acids and derivatives
Glu-Asp,1.0501393438724693,Amide-Pos-000535,Organic acids and derivatives,Peptidomimetics
Amorfrutin A,1.0484659383914932,C8-Pos-000658,Phenylpropanoids and polyketides,Stilbenes
Butylamine,1.0477997457272499,Amide-Pos-000139,Organic nitrogen compounds,Organonitrogen compounds
PC 14:0_16:3,1.0449518517002052,C8-Pos-000177,Lipids and lipid-like molecules,Glycerophospholipids
PC 15:1_15:1,1.0445124350821815,C8-Pos-000041,Lipids and lipid-like molecules,Glycerophospholipids
Dodecyltrimethylammonium,1.042803945989915,C18-Pos-000157,Organic nitrogen compounds,Organonitrogen compounds
Malonic acid,1.0424911020407501,Amide-Neg-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine alkenyl 18:1-20:4,1.0410485354353662,C8-Neg-000061,Lipids and lipid-like molecules,Glycerophospholipids
1-Linoleoyl glycerol,1.0404630927545038,C8-Pos-000160,Organic compounds,Lipids and lipid-like molecules
Monopalmitolein (9c),1.0385793929784817,C8-Pos-000220,Lipids and lipid-like molecules,Glycerolipids
PC O-40:4,1.0326324809405667,C8-Pos-000429,Lipids and lipid-like molecules,Glycerophospholipids
N8-Acetylspermidine,1.029792932479091,Amide-Pos-000070,Organic acids and derivatives,Carboximidic acids and derivatives
Stearoyl-L-carnitine,1.0289126406232914,C8-Pos-000170,Lipids and lipid-like molecules,Fatty Acyls
N-(4-Hydroxy-3-methylphenyl)acetamide,1.0269978456033888,Amide-Pos-000540,Benzenoids,Benzene and substituted derivatives
Phosphatidylethanolamine alkenyl 18:1-22:6,1.0263905261356805,C8-Neg-000067,Lipids and lipid-like molecules,Glycerophospholipids
LPC 32:5-SN1,1.0258331351224919,C8-Pos-000473,Lipids and lipid-like molecules,Glycerophospholipids
"1-(3-Ethyl-2,4-dihydroxy-6-methoxyphenyl)-1-butanone",1.0253710793752355,C8-Pos-000580,Organic oxygen compounds,Organooxygen compounds
DL-Dipalmitoylphosphatidylcholine,1.0244815240033094,C8-Pos-000018,Lipids and lipid-like molecules,Glycerophospholipids
"1,8-Diaza-2,9-diketocyclotetradecane",1.023874863661316,C18-Pos-000256,Organic compounds,Phenylpropanoids and polyketides
Phosphatidylethanolamine alkenyl 16:0-22:4,1.0212523250416408,C8-Neg-000056,Lipids and lipid-like molecules,Glycerophospholipids
Pro,1.0204683206137928,Amide-Neg-000163,Organic acids and derivatives,Carboxylic acids and derivatives
"2-Amino-1,3,4-octadecanetriol",1.0135488108747353,C8-Pos-000511,Organic nitrogen compounds,Organonitrogen compounds
PC 16:2_28:7,1.0135483723394942,C8-Pos-000196,Lipids and lipid-like molecules,Glycerophospholipids
Hymexazol,1.0135102450531968,Amide-Pos-000253,Organoheterocyclic compounds,Azoles
PE 16:1_16:1,1.009801148289127,C8-Pos-000504,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14,1.0089958803999572,C8-Pos-000298,Lipids and lipid-like molecules,Glycerophospholipids
Uridine 5'-monophosphate,1.0078030783441874,Amide-Pos-000380,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
PG 42:9,1.0052302024713997,C8-Neg-000131,Lipids and lipid-like molecules,Glycerophospholipids
Oleoyl ethanolamide,1.0045815260083755,C8-Pos-000289,Organic nitrogen compounds,Organonitrogen compounds
ADENINE,1.0041338113549583,Amide-Neg-000087,Organoheterocyclic compounds,Imidazopyrimidines
Linoelaidic acid,1.0024801741475586,C8-Neg-000017,Lipids and lipid-like molecules,Fatty Acyls
DL-Arginine,1.0019322431513562,Amide-Pos-000092,Organic acids and derivatives,Carboxylic acids and derivatives
PE O-28:2_7:0,0.9978110970285283,C8-Pos-000134,Lipids and lipid-like molecules,Glycerophospholipids
S-succinylcysteine,0.9968630170947411,Amide-Pos-000516,Organic acids and derivatives,Carboxylic acids and derivatives
Dipropyleneglycol dibenzoate,0.99088568220181406,C8-Pos-000107,Benzenoids,Benzene and substituted derivatives
URIDINE 5'-DIPHOSPHATE,0.9856619433246574,Amide-Pos-000409,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
(+/-)8-HEPE,0.9807000448375996,C8-Pos-000489,Lipids and lipid-like molecules,Fatty Acyls
Nootkatone,0.9801641536032657,C8-Pos-000451,Lipids and lipid-like molecules,Prenol lipids
Hexadecanamide,0.9794609848405401,C18-Pos-000152,Lipids and lipid-like molecules,Fatty Acyls
trans-Traumatic acid,0.9793635891234368,C18-Neg-000209,Lipids and lipid-like molecules,Fatty Acyls
S-4-(2-oxo-butyl)glutathione,0.9775986320222856,C18-Pos-000292,Organic acids and derivatives,Carboxylic acids and derivatives
"N,N'-Diphenylguanidine",0.9763063704501278,C8-Pos-000035,Benzenoids,Benzene and substituted derivatives
PEG n5,0.9758570335666815,C18-Pos-000162,Organic oxygen compounds,Organooxygen compounds
Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.9709939630865057,C8-Pos-000002,Lipids and lipid-like molecules,Glycerophospholipids
"Methyl 2-amino-3,3-dimethylbutanoate",0.9688017069000779,C18-Pos-000248,Organic acids and derivatives,Carboxylic acids and derivatives
Morpholin-3-one,0.9659935314200979,Amide-Pos-000363,Organoheterocyclic compounds,Oxazinanes
LPE O-18:2,0.9623417807970976,C8-Pos-000281,Lipids and lipid-like molecules,Glycerophospholipids
PG 16:1_18:1,0.9601614016640948,C8-Pos-000627,Lipids and lipid-like molecules,Glycerophospholipids
PE O-16:1_20:4,0.9587208200455934,C8-Pos-000079,Lipids and lipid-like molecules,Glycerophospholipids
PC 20:0_22:6,0.9538662129262957,C8-Pos-000172,Lipids and lipid-like molecules,Glycerophospholipids
PE O-28:3_13:1,0.9529016942667846,C8-Pos-000255,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Diarachidonoyl-sn-glycero-3-phosphocholine",0.9462302130129031,C8-Pos-000097,Lipids and lipid-like molecules,Glycerophospholipids
"3-(Hepta-1,3-dienyl)hexanedioic acid",0.945017392861245,C18-Neg-000205,Lipids and lipid-like molecules,Fatty Acyls
Adenosine,0.9431308503704259,Amide-Pos-000053,"Nucleosides, nucleotides, and analogues",Purine nucleosides
PEG n6,0.9422519602564066,C18-Pos-000227,Organic oxygen compounds,Organooxygen compounds
1-AMINOCYCLOPROPANECARBOXYLATE,0.9402684901005797,Amide-Pos-000132,Organic acids and derivatives,Carboxylic acids and derivatives
Methylimidazoleacetic acid,0.9358900560379421,Amide-Pos-000331,Organoheterocyclic compounds,Azoles
Nicotinamide,0.9310367783475842,Amide-Pos-000173,Organoheterocyclic compounds,Pyridines and derivatives
PC 22:4_22:4,0.9295124980313928,C8-Pos-000208,Lipids and lipid-like molecules,Glycerophospholipids
PC(16:1_17:1),0.9269017109790721,C8-Pos-000166,Lipids and lipid-like molecules,Glycerophospholipids
Isoamylamine,0.9228435853579531,Amide-Pos-000149,Organic nitrogen compounds,Organonitrogen compounds
PE O-17:0_18:1,0.921601425073435,C8-Pos-000135,Lipids and lipid-like molecules,Glycerophospholipids
PC 20:1_32:8,0.9211522627645431,C8-Pos-000632,Lipids and lipid-like molecules,Glycerophospholipids
"1,3-di-o-Tolylguanidine",0.9200913951314963,C8-Pos-000722,Benzenoids,Benzene and substituted derivatives
PE O-18:2_22:6,0.9190614624837862,C8-Pos-000136,Lipids and lipid-like molecules,Glycerophospholipids
Azithromycin,0.9184951578480868,C8-Pos-000273,Organic oxygen compounds,Organooxygen compounds
Capsaicin,0.9167776109365479,C8-Pos-000714,Benzenoids,Phenols
"2,6-Dioxo-4-piperidinecarboxylic acid",0.9166186142103581,Amide-Neg-000376,Organoheterocyclic compounds,Piperidines
5-Methylcytosine,0.913354490783032,Amide-Pos-000187,Organoheterocyclic compounds,Diazines
"3-(5,6-Dihydroxyheptyl)-4-methyl-2H-furan-5-one",0.9113943058257656,C8-Pos-000708,Organic compounds,Lipids and lipid-like molecules
Methyl-L-histidinate,0.9081423859037854,Amide-Pos-000206,Organic acids and derivatives,Carboxylic acids and derivatives
Nicotinamide adenine dinucleotide (NAD+),0.9071311128707998,Amide-Pos-000291,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides
Υ-L-Glutamyl-L-glutamic acid,0.9065803394213439,Amide-Pos-000489,Organic acids and derivatives,Carboxylic acids and derivatives
Kynurenic acid,0.9030040629781234,Amide-Pos-000403,Organoheterocyclic compounds,Quinolines and derivatives
L-Threonic acid,0.8970691304104234,Amide-Neg-000054,Organic oxygen compounds,Organooxygen compounds
2-Decylmalonic acid,0.8960664785467666,C8-Pos-000696,Lipids and lipid-like molecules,Fatty Acyls
"N-({(2R,4S,5R)-5-[3-(4-Methoxyphenyl)-1-methyl-1H-pyrazol-5-yl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)acetamide",0.8946934219241776,C8-Pos-000642,Organoheterocyclic compounds,Azoles
PHOSPHOCHOLINE,0.89361173515663606,Amide-Pos-000023,Organic nitrogen compounds,Organonitrogen compounds
Adenosine triphosphate (ATP),0.8907573993582814,Amide-Pos-000156,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"N-[(3S)-2,5-Dioxooxolan-3-yl]acetamide",0.8869390993211822,C18-Pos-000117,Organic acids and derivatives,Carboxylic acids and derivatives
Progesterone,0.8859900643207265,C8-Pos-000112,Lipids and lipid-like molecules,Steroids and steroid derivatives
PC O-40:5,0.8859451744654194,C8-Pos-000207,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoleic acid,0.8828868442997183,C8-Pos-000353,Lipids and lipid-like molecules,Fatty Acyls
3-Epilupeol,0.8816248494772682,C8-Pos-000481,Lipids and lipid-like molecules,Prenol lipids
INO,0.8801300476104998,Amide-Neg-000016,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Phosphatidylethanolamine 16:1-20:4,0.8775085674761585,C8-Neg-000163,Lipids and lipid-like molecules,Glycerophospholipids
"8Z,11Z,14Z-Eicosatrienoic acid",0.8774656146349283,C8-Neg-000010,Lipids and lipid-like molecules,Fatty Acyls
"1,2-Ethanediol, 1-[(2S,4aR,4bS,7S,8aS)-2,3,4,4a,4b,5,6,7,8,8a,9,10-dodecahydro-7-hydroxy-2,4b,8,8-tetramethyl-2-phenanthrenyl]-",0.8754119828675169,C8-Pos-000440,Lipids and lipid-like molecules,Prenol lipids
"NCGC00381029-01!1-(3-ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one",0.8696525689659376,C8-Pos-000532,Organic oxygen compounds,Organooxygen compounds
Guanosine triphosphate (GTP),0.8647132116509187,Amide-Neg-000553,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid",0.8637479288712855,C8-Neg-000193,Lipids and lipid-like molecules,Fatty Acyls
LPC(18:0),0.858531627007472,Amide-Pos-000507,Lipids and lipid-like molecules,Glycerophospholipids
PE 18:1_18:1,0.8575083587678802,C8-Pos-000181,Lipids and lipid-like molecules,Glycerophospholipids
Cytarabine,0.855318740548071,Amide-Neg-000447,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Caffeine,0.8544827486954917,C18-Pos-000219,Organoheterocyclic compounds,Imidazopyrimidines
Eicosapentaenoic acid methyl ester,0.8533069927410389,C8-Pos-000544,Lipids and lipid-like molecules,Fatty Acyls
Cytidine 5'-monophosphate (hydrate),0.8511375538925895,Amide-Pos-000413,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
trans-10-Heptadecenoic acid,0.8484804024047419,C8-Neg-000023,Lipids and lipid-like molecules,Fatty Acyls
N6-Succinyladenosine; LC-tDDA; CE10,0.8474002637851746,C18-Pos-000163,"Nucleosides, nucleotides, and analogues",Purine nucleosides
"6H-2-Benzopyran-3-carboxylic acid, 7-ethyl-7,8-dihydro-8-hydroxy-4,7-dimethyl-6-oxo-",0.8462281857216363,C8-Pos-000687,Organoheterocyclic compounds,Azaphilones
L-Glutarylcarnitine,0.8450430836231136,Amide-Pos-000385,Lipids and lipid-like molecules,Fatty Acyls
Gluconic acid,0.8433589076407355,Amide-Neg-000474,Organic oxygen compounds,Organooxygen compounds
4-Methyloxazole-5-carboxylic acid,0.84288367166596,Amide-Neg-000492,Organoheterocyclic compounds,Azoles
Corticosterone,0.8367916789694417,C8-Pos-000625,Lipids and lipid-like molecules,Steroids and steroid derivatives
PE O-28:4_13:1,0.8342182793267465,C8-Pos-000118,Lipids and lipid-like molecules,Glycerophospholipids
Adrenic acid,0.8332322289203462,C8-Neg-000005,Lipids and lipid-like molecules,Fatty Acyls
Inosine-5'-monophosphate (IMP),0.8328250900818301,Amide-Pos-000198,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Spectral Match to 1-Hexadecylpyridinium from NIST14,0.8304325339070325,C8-Pos-000225,Organoheterocyclic compounds,Pyridines and derivatives
D-ribose 5-phosphate,0.8296357083572798,Amide-Neg-000438,Organic oxygen compounds,Organooxygen compounds
4-Indolecarbaldehyde,0.8247958979388549,C18-Pos-000267,Organoheterocyclic compounds,Indoles and derivatives
PE 17:2_17:2,0.8201712497999065,C8-Pos-000348,Lipids and lipid-like molecules,Glycerophospholipids
PE 18:1_16:2,0.8179577884136264,C8-Neg-000194,Lipids and lipid-like molecules,Glycerophospholipids
Taurine,0.8125396665025196,Amide-Pos-000028,Organic acids and derivatives,Organic sulfonic acids and derivatives
PC 18:1_24:4,0.811202408391055,C8-Pos-000324,Lipids and lipid-like molecules,Glycerophospholipids
Pinolenic acid,0.8025979946438564,C8-Neg-000114,Lipids and lipid-like molecules,Fatty Acyls
D-(+)-Xylose,0.7970453877301888,Amide-Neg-000267,Organic oxygen compounds,Organooxygen compounds
2-Hydroxycaproic acid,0.7957904814180069,C18-Neg-000102,Lipids and lipid-like molecules,Fatty Acyls
PC 20:4_22:4,0.7951332312145375,C8-Pos-000105,Lipids and lipid-like molecules,Glycerophospholipids
LPC 22:4-SN2,0.7935396359555829,C8-Pos-000412,Lipids and lipid-like molecules,Glycerophospholipids
Carvone,0.7920984099931317,C18-Pos-000230,Lipids and lipid-like molecules,Prenol lipids
Guanosine 5'-diphospho-α-D-mannose,0.7886141123480863,Amide-Pos-000536,"Nucleosides, nucleotides, and analogues",Purine nucleotides
1-Palmitoyl-2-azelaoylphosphatidylcholine,0.7882343782151444,C8-Pos-000603,Lipids and lipid-like molecules,Glycerophospholipids
PE O-26:3_13:1,0.787821865013425,C8-Pos-000248,Lipids and lipid-like molecules,Glycerophospholipids
Ascorbic acid,0.7856849187983951,Amide-Neg-000012,Organoheterocyclic compounds,Dihydrofurans
Pyrrole-2-carboxylic acid,0.7841928939059595,Amide-Pos-000146,Organoheterocyclic compounds,Pyrroles
O-octanoylcarnitine,0.7835342717663281,C8-Pos-000665,Lipids and lipid-like molecules,Fatty Acyls
"5(Z),8(Z),11(Z)-Eicosatrienoic acid methyl ester",0.7825957268791784,C8-Pos-000663,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylethanolamine 18:0-20:4,0.7808004062003876,C8-Neg-000021,Lipids and lipid-like molecules,Glycerophospholipids
Cyclic adenosine diphosphate ribose,0.7745729554464819,Amide-Neg-000614,Organic oxygen compounds,Organooxygen compounds
Spermidine,0.7716880619536697,Amide-Pos-000195,Organic nitrogen compounds,Organonitrogen compounds
"15-Deoxy-Δ12,14-prostaglandin A1",0.7689801384475838,C8-Pos-000645,Lipids and lipid-like molecules,Fatty Acyls
"[2,2'-Biquinoline]-4,4'-dicarboxylic acid",0.7681542310976817,Amide-Pos-000495,Organoheterocyclic compounds,Quinolines and derivatives
PC 20:3_22:6,0.7660953443092168,C8-Pos-000369,Lipids and lipid-like molecules,Glycerophospholipids
Quinoline,0.7638723127457938,C18-Pos-000287,Organoheterocyclic compounds,Quinolines and derivatives
Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14,0.7627800078458046,C18-Pos-000278,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine",0.7591240515868559,C8-Pos-000598,Lipids and lipid-like molecules,Glycerophospholipids
1-Myristoyl-sn-glycero-3-phosphocholine,0.7577889093358804,C18-Pos-000213,Lipids and lipid-like molecules,Glycerophospholipids
"2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)",0.7559386732513272,C18-Pos-000085,Organoheterocyclic compounds,Piperidines
PI 16:1_18:1,0.7551432408044687,C8-Neg-000112,Lipids and lipid-like molecules,Glycerophospholipids
"3',6'-Bis(diethylamino)-3H-spiro[isobenzofuran-1,9'-xanthen]-3-one",0.7519818003607198,C8-Pos-000313,Organoheterocyclic compounds,Benzopyrans
Cortisol,0.7475071441480279,C8-Pos-000701,Lipids and lipid-like molecules,Steroids and steroid derivatives
Palmitoyl sphingomyelin,0.7453968037836614,C8-Pos-000123,Lipids and lipid-like molecules,Sphingolipids
Phosphatidylethanolamine lyso 20:4,0.7448966976572747,C8-Neg-000020,Lipids and lipid-like molecules,Glycerophospholipids
N6-Threonylcarbamoyladenosine,0.7407204759420626,C18-Pos-000253,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Proline betaine,0.7389689310904028,Amide-Pos-000148,Organic acids and derivatives,Carboxylic acids and derivatives
16-Deoxyvertaline B,0.7383555299916653,C8-Pos-000466,Organic compounds,Lipids and lipid-like molecules
Triisopropanolamine,0.7354464537915334,Amide-Pos-000340,Organic nitrogen compounds,Organonitrogen compounds
SM 8:1;2O/24:1,0.7336724843959682,C8-Pos-000503,Organic nitrogen compounds,Organonitrogen compounds
Triethylene glycol monobutyl ether,0.733278684223035,C18-Pos-000195,Organic oxygen compounds,Organooxygen compounds
PE 11:0_11:0,0.7320881481677483,C8-Pos-000621,Lipids and lipid-like molecules,Glycerophospholipids
trans-Cinnamic acid,0.7316466063578339,Amide-Neg-000603,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
DL-4-Hydroxyphenyllactic acid,0.7311493266646192,Amide-Neg-000415,Organic compounds,Phenylpropanoids and polyketides
Caprolactam,0.7262911784813346,Amide-Pos-000202,Organoheterocyclic compounds,Lactams
L-Tyrosine,0.7259839697620643,Amide-Neg-000325,Organic acids and derivatives,Carboxylic acids and derivatives
3-Hydroxy-3-methylglutaric acid,0.7211304903965629,Amide-Neg-000072,Lipids and lipid-like molecules,Fatty Acyls
LPE O-18:1,0.7180929876670393,C8-Pos-000280,Lipids and lipid-like molecules,Glycerophospholipids
PC 16:1_22:6,0.7101643468387464,C8-Pos-000050,Lipids and lipid-like molecules,Glycerophospholipids
Lidocaine,0.709236492990507,C8-Pos-000095,Benzenoids,Benzene and substituted derivatives
"meso-Butane-1,2,3,4-tetracarboxylic acid",0.7087204481678483,Amide-Neg-000125,Organic acids and derivatives,Carboxylic acids and derivatives
Arachidonoyl-carnitine; LC-tDDA; CE10,0.7060320894631279,C8-Pos-000104,Lipids and lipid-like molecules,Fatty Acyls
L-(+)-Lactic acid,0.701445486361639,Amide-Neg-000001,Organic acids and derivatives,Hydroxy acids and derivatives
PE(18:0_20:4),0.7014147735533325,C8-Pos-000286,Lipids and lipid-like molecules,Glycerophospholipids
Methyl picolinate,0.7002801393835723,Amide-Pos-000500,Organoheterocyclic compounds,Pyridines and derivatives
Pro-Asp,0.6996073868055741,Amide-Pos-000408,Organic acids and derivatives,Carboxylic acids and derivatives
Succinic acid,0.6976374345356128,C18-Neg-000059,Organic acids and derivatives,Carboxylic acids and derivatives
Methasterone,0.6973487537800676,C8-Pos-000124,Lipids and lipid-like molecules,Steroids and steroid derivatives
"2-Ethyl-N-({(2R,4S,5R)-5-[6-(2-furyl)-2-methyl-4-pyrimidinyl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)butanamide",0.6962987837119995,C8-Pos-000514,Organoheterocyclic compounds,Quinuclidines
PE(O-22:6_16:1),0.6955203491405368,C8-Neg-000035,Lipids and lipid-like molecules,Glycerophospholipids
PE(16:1_18:1),0.6950516929141207,C8-Neg-000137,Lipids and lipid-like molecules,Glycerophospholipids
LPI 18:0,0.6921711363243696,C8-Neg-000029,Lipids and lipid-like molecules,Glycerophospholipids
Friedelin,0.6848516353610065,C8-Pos-000667,Lipids and lipid-like molecules,Prenol lipids
Phosphatidylinositol 16:0-20:4,0.6847255359631943,C8-Neg-000019,Lipids and lipid-like molecules,Glycerophospholipids
Minoxidil,0.6840257074832042,C8-Pos-000488,Organic nitrogen compounds,Organonitrogen compounds
Docosatrienoic acid,0.6784739047311155,C8-Neg-000018,Lipids and lipid-like molecules,Fatty Acyls
DL-Malic acid,0.667775925039649,Amide-Neg-000022,Organic acids and derivatives,Hydroxy acids and derivatives
"Cholestan-3-one, (5α)-",0.6676325467030141,C8-Pos-000611,Lipids and lipid-like molecules,Steroids and steroid derivatives
Acetoacetic acid,0.6639866530132104,Amide-Neg-000338,Organic acids and derivatives,Keto acids and derivatives
Spectral Match to Oleoyl L-carnitine from NIST14,0.6619861698453303,C18-Pos-000280,Lipids and lipid-like molecules,Fatty Acyls
PC 16:2_22:6,0.659084408028038,C8-Pos-000182,Lipids and lipid-like molecules,Glycerophospholipids
Pebulate,0.6585089535714919,C8-Pos-000448,Organosulfur compounds,Thiocarbonyl compounds
L-Homoarginine,0.656155096134571,Amide-Pos-000228,Organic acids and derivatives,Carboxylic acids and derivatives
Fumagillol,0.6555119652824146,C8-Pos-000582,Organic oxygen compounds,Organooxygen compounds
"Didodecyl 3,3'-thiodipropionate dioxide",0.6545301661909202,C8-Pos-000414,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine lyso alkenyl 16:0,0.6534186293280896,C8-Neg-000060,Lipids and lipid-like molecules,Glycerophospholipids
2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphoserine,0.6530529736119404,Amide-Pos-000421,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-DL-aspartic acid,0.6523057597454626,C18-Neg-000104,Organic acids and derivatives,Carboxylic acids and derivatives
Docosapentaenoic acid,0.6510640325826662,C8-Neg-000004,Lipids and lipid-like molecules,Fatty Acyls
13-Oxooctadecanoic acid,0.65004155190116,C8-Pos-000420,Lipids and lipid-like molecules,Fatty Acyls
PS 22:6_22:6,0.6485606141086724,C8-Neg-000089,Lipids and lipid-like molecules,Glycerophospholipids
"1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",0.6483352385098402,C8-Pos-000191,Lipids and lipid-like molecules,Glycerophospholipids
α-Cyano-3-hydroxycinnamic acid,0.6437638888438918,Amide-Neg-000556,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
L-N-Acetylhistidine,0.6374404701606737,Amide-Pos-000114,Organic acids and derivatives,Carboxylic acids and derivatives
PC 11:0_11:0,0.6361766906660226,C8-Pos-000624,Lipids and lipid-like molecules,Glycerophospholipids
