Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Pe(20:5_22:2),-0.08098448057115272,17.570092206184412,-1.1339713698538865,0.2690121526375658,0.7169776941720685,-5.355948395572788,C8-Pos-004871,Lipids and lipid-like molecules,Glycerophospholipids
6-Chloropicolinic Acid,-0.04252782448027152,20.80522069009124,-1.134905424779162,0.26762266779464794,0.7169776941720685,-5.3576608739562515,Amide-Pos-000636,Organoheterocyclic compounds,Pyridines and derivatives
Pe 16:0_18:1,-0.06384634890483433,21.169327297955217,-1.081367782031315,0.2912448763347291,0.7450013293878434,-5.358724272052277,C8-Pos-003759,Lipids and lipid-like molecules,Glycerophospholipids
Allopurinol,0.03471010382380996,21.55796557101122,1.0037928747838833,0.3280915780709823,0.7802900255957196,-5.359090282444158,Amide-Neg-000402,Organoheterocyclic compounds,Pyrazolopyrimidines
N-Formyl-L-Methionine,-0.017124138183319246,19.282932540613796,-1.1321670418705438,0.2687493098395528,0.7169776941720685,-5.3605231400754185,Amide-Neg-000753,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(16:0_22:6),-0.046234472149761924,17.768175621643103,-1.1316734629231102,0.2689527489366462,0.7169776941720685,-5.36103839249182,C8-Pos-004775,Lipids and lipid-like molecules,Glycerophospholipids
Hyflavin,0.02887305333926096,24.61059199210195,1.128987979733342,0.2700615981381458,0.7169776941720685,-5.36383828563401,Amide-Pos-001528,Organoheterocyclic compounds,Pteridines and derivatives
D-Panthenol,-0.05495691048272016,15.640626858390384,-0.40876992174378396,0.688127380721814,0.9229914195257372,-5.364594162626681,C18-Pos-001025,Organic oxygen compounds,Organooxygen compounds
5-Methylcytidine,0.053604206673141336,23.89088597287179,1.1165108624291542,0.27525718824795925,0.7275520394219187,-5.376769022864011,Amide-Pos-001025,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Pc(18:1_5:1cho),-0.056487212636697745,24.542058022911828,-1.0858285989108691,0.2893096546009463,0.7450013293878434,-5.386522622758657,C8-Neg-002843,Lipids and lipid-like molecules,Glycerophospholipids
Cholest-4-En-3-One,0.09386674420107792,16.745763175725383,0.9896208606096885,0.3347954334928307,0.7838287837743805,-5.393791939896638,C8-Pos-001061,Lipids and lipid-like molecules,Steroids and steroid derivatives
N-Methyl-2-Phenylpropan-1-Amine,-0.19239196519466437,17.718490779203748,-1.0955774201637025,0.28413631393669625,0.7444619579127413,-5.398174344770997,C18-Pos-000591,Benzenoids,Benzene and substituted derivatives
Methyl Palmitate,-0.024262632207448804,22.418030019013734,-1.0751576230205522,0.2929944291885693,0.7450013293878434,-5.418703462582437,C8-Pos-000327,Lipids and lipid-like molecules,Fatty Acyls
Dl-Lactic Acid,-0.03302027441129845,20.036309412195305,-1.0750677297578,0.29303385622588507,0.7450013293878434,-5.41879306772503,Amide-Neg-000051,Organic acids and derivatives,Hydroxy acids and derivatives
Lpc(20:1),0.055691715181808404,20.23872422434562,1.0699252794012755,0.2952956335241598,0.747583882339645,-5.423907779917181,C8-Neg-002450,Lipids and lipid-like molecules,Glycerophospholipids
Bis(2-Ethylhexyl) Adipate,0.019654558311519167,25.934231050445256,1.0614410956858364,0.2990543139737724,0.750347109762626,-5.43229777460133,C8-Pos-001101,Lipids and lipid-like molecules,Fatty Acyls
Nicotinamide,0.047181708147308765,17.161060434601847,1.0613421513493058,0.29909834794749435,0.750347109762626,-5.432395264300986,C18-Pos-000286,Organoheterocyclic compounds,Pyridines and derivatives
Maleic Hydrazide,-0.0805477671266439,16.48631069597615,-0.6541492851994845,0.5253536469585111,0.8615422062537441,-5.434555193552078,Amide-Neg-000158,Organoheterocyclic compounds,Diazines
"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",-0.15628051288774988,17.247103736209564,-1.0590071583346947,0.3001388439050504,0.750347109762626,-5.434693543213757,Amide-Pos-001195,Lipids and lipid-like molecules,Fatty Acyls
"5,5-Dimethyloxazolidine-2,4-Dione",-0.08892099595403549,22.516181260624183,-0.8129783756717991,0.4308676363686391,0.8164350736804741,-5.450020104496015,Amide-Neg-000296,Organoheterocyclic compounds,Azolidines
Linoleic Acid,0.08773374970068566,20.69399764454519,1.0427004265469073,0.30747681374173086,0.7654049219945362,-5.45061602876198,C8-Neg-000295,Lipids and lipid-like molecules,Fatty Acyls
Pi 36:4,-0.047781712032506064,24.270992669014895,-0.8870516103798383,0.3861417475118907,0.8072032562487759,-5.4510056658348365,C8-Pos-005112,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dimyristoyl-Sn-Glycero-3-Pc",-0.06378834019355105,18.88333322879051,-1.0399797198876626,0.30871331853779627,0.7654049219945362,-5.453250810123779,C8-Pos-003474,Lipids and lipid-like molecules,Glycerophospholipids
Propham,-0.06990017238699466,23.541961252943338,-0.7007114938469057,0.49496453147591535,0.8392983858915096,-5.456929138096781,C18-Pos-000820,Benzenoids,Benzene and substituted derivatives
Beta-Alanine,-0.13880524147933973,16.777797043403623,-0.8354660823857623,0.4165646002197875,0.8164350736804741,-5.467170695693843,Amide-Pos-000026,Organic acids and derivatives,Carboxylic acids and derivatives
Triethylene Glycol Monobutyl Ether,-0.025032176750756693,25.514469076573562,-1.0253729222683698,0.31541154431722007,0.7787939365857285,-5.467289307595318,C18-Pos-001031,Organic oxygen compounds,Organooxygen compounds
Triethyl Citrate,0.020327766960213996,26.660416999124518,0.5024463063038112,0.6244462821917665,0.9028139019639997,-5.467589386865029,C18-Pos-001549,Organic acids and derivatives,Carboxylic acids and derivatives
L-Phenylalanine,-0.04874265440123345,25.491394485969067,-1.021133401498643,0.31737453551279576,0.7802900255957196,-5.471330042210459,C18-Pos-000721,Organic acids and derivatives,Carboxylic acids and derivatives
5'-Xanthylic Acid,0.05740088937227084,24.66371752204624,1.0184266000483873,0.3186322906873711,0.7802900255957196,-5.473901945718387,Amide-Neg-001943,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Octabenzone,-0.04930161831735461,19.6664916409109,-1.013565973160942,0.32089955555573096,0.7802900255957196,-5.478504709114803,C8-Pos-000696,Benzenoids,Benzene and substituted derivatives
L-Malic Acid,0.0681751753459837,18.44418668202673,1.0092071054835432,0.323846724808726,0.7802900255957196,-5.47978733490808,Amide-Neg-000195,Organic acids and derivatives,Hydroxy acids and derivatives
L-Hydroxyproline,-0.07878176590423995,18.656947824296065,-1.003235349151493,0.3261857574278735,0.7802900255957196,-5.480766190712159,Amide-Pos-000349,Organic acids and derivatives,Carboxylic acids and derivatives
Risedronic Acid,-0.04892303950151706,20.38973336867576,-1.0087083335678102,0.32317660178788676,0.7802900255957196,-5.483084566298034,Amide-Pos-001135,Organic acids and derivatives,Organic phosphonic acids and derivatives
Bis(2-Ethylhexyl) Sebacate,-0.06329032711951374,20.99775517683387,-1.008052360651355,0.3234849492839196,0.7802900255957196,-5.48370148799798,C8-Pos-001597,Lipids and lipid-like molecules,Fatty Acyls
Docosahexaenoic Acid,0.2195312813260929,20.43145907744653,0.8894939011738885,0.3843118841523179,0.8072032562487759,-5.4892465443294345,C8-Neg-000532,Lipids and lipid-like molecules,Fatty Acyls
Adenosine,-0.06917248651732509,21.892960672898315,-0.9585534485860322,0.34869024836257945,0.7872848894673767,-5.492591509213193,Amide-Pos-001066,"Nucleosides, nucleotides, and analogues",Purine nucleosides
9-Methoxy-9-Oxononanoic Acid,-0.06868678789993114,19.392302506841254,-0.9967388932498003,0.3288350560439869,0.7802900255957196,-5.494283713051634,C8-Pos-000007,Lipids and lipid-like molecules,Fatty Acyls
Ps 20:2_20:2,-0.01901705867498174,18.639715475178985,-0.7797492283018655,0.44625894992409876,0.8213354906578505,-5.494491345190622,C8-Pos-004875,Lipids and lipid-like molecules,Glycerophospholipids
"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",-0.017786937345725562,24.22517002742292,-0.9949944714285403,0.32966538704536574,0.7802900255957196,-5.495905661795854,C8-Pos-000610,Organic oxygen compounds,Organooxygen compounds
Tetraglyme,-0.060547011880849114,25.060146758320666,-0.8012005087238928,0.434071314173452,0.8164350736804741,-5.496998989420162,C18-Pos-001141,Organic oxygen compounds,Organooxygen compounds
Palmitoyl Ethanolamide,-0.019516288162786784,21.716805182829,-0.9866360658911253,0.3336639469236441,0.7838287837743805,-5.503641124502727,C8-Pos-000497,Organic acids and derivatives,Carboximidic acids and derivatives
Ala-Pro-Asn,-0.060833261374849394,19.631793218598848,-0.8550407476885797,0.4021784063927055,0.8154057837525986,-5.505478742660782,C8-Neg-000301,Organic acids and derivatives,Carboxylic acids and derivatives
"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",0.06087131874588334,22.460570071204145,0.9789853329410084,0.3373530201259586,0.7838287837743805,-5.510669195783388,C18-Neg-001236,Organic acids and derivatives,Carboxylic acids and derivatives
Pi(18:0_22:6),0.05553214481158796,22.72168300806923,0.9786852745131747,0.33749827006947175,0.7838287837743805,-5.510943810405168,C8-Pos-005434,Lipids and lipid-like molecules,Glycerophospholipids
Tg(20:1_24:5_20:6),-0.06969343844230229,13.690683802301042,-0.828349951458316,0.417756451141882,0.8164350736804741,-5.511653042524627,C8-Pos-005843,Lipids and lipid-like molecules,Glycerolipids
Spongouridin,0.10320221262270471,14.227722516017376,0.9451143987146364,0.35486548554566044,0.797450529316091,-5.5120357699708045,Amide-Neg-001329,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Pi(O-16:2_18:3),0.031214101331677287,19.199705742292696,0.9769218501477378,0.33835275832927425,0.7838287837743805,-5.51255614105415,C8-Pos-004803,Lipids and lipid-like molecules,Glycerophospholipids
L-Glutarylcarnitine,0.06255187450169633,22.478795425635894,0.9727175850879789,0.34039593961648573,0.7855290914226594,-5.516389399819658,Amide-Pos-001103,Lipids and lipid-like molecules,Fatty Acyls
L-Glutamine,-0.036175366732427376,22.4089838676188,-0.6125444437894955,0.5482843433663345,0.8702435540554697,-5.52035350787505,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
Cytidine,0.026477584522824192,22.73705791418148,0.9664736525514973,0.3434458396695137,0.7872848894673767,-5.52205428493928,Amide-Neg-001321,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
4-(Acetylamino)Butanoic Acid,0.07394714784489013,21.816487822189508,0.9628151589317481,0.3452414606598412,0.7872848894673767,-5.525357902870881,Amide-Neg-000479,Organic acids and derivatives,Carboxylic acids and derivatives
Levulinic Acid,0.08466423462379473,20.46485542405414,0.9564163538126563,0.34839732789708666,0.7872848894673767,-5.531108278295592,Amide-Neg-000094,Organic acids and derivatives,Keto acids and derivatives
Pyruvic Acid,-0.031023984735545664,19.111985002816148,-0.4088088281918729,0.6898811261912471,0.9229914195257372,-5.534368923531868,Amide-Neg-000032,Organic acids and derivatives,Keto acids and derivatives
Dehydroascorbic Acid,0.0763866111704521,20.862612980513582,0.7746117001167013,0.4492091224852336,0.821724004546159,-5.535529781925978,Amide-Neg-000678,Organoheterocyclic compounds,Lactones
Adenine,0.050669503077656323,20.674258901858412,0.8428550736629706,0.409276389410021,0.8164350736804741,-5.5369072735827345,Amide-Pos-000383,Organoheterocyclic compounds,Imidazopyrimidines
Pe(18:0_22:6),-0.03130769922378131,21.36522412059556,-0.9330211963271593,0.3609364990254823,0.8072032562487759,-5.541785009241832,Amide-Pos-002316,Lipids and lipid-like molecules,Glycerophospholipids
