Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
PC 17:2_17:2,C8-Pos-000024,56,0.5587598228708937,18.05357781228772,18.242706360935607,0.015034998481539536,0.962267616477685,1,FALSE,FALSE,Higher in Males
Triphenyl phosphate,C8-Pos-000025,72,1,27.126752589628957,26.98232953344796,-0.007701439889975925,1,1,FALSE,FALSE,Higher in Females
1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,C8-Pos-000029,88,0.3708443333042211,19.66552998382048,19.31772093254548,-0.025744169438745017,0.962267616477685,1,FALSE,FALSE,Higher in Females
Bis(2-ethylhexyl) sebacate,C8-Pos-000030,81,0.623604884395689,17.522354147693644,17.415519741823417,-0.008823086855552031,0.962267616477685,1,FALSE,FALSE,Higher in Females
2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine,C8-Pos-000032,78,0.7508318840891169,23.4323025240042,23.390929859218968,-0.0025495101815725453,0.9892971093001639,1,FALSE,FALSE,Higher in Females
Monoolein,C8-Pos-000034,76,0.8398599725400034,16.802161291219548,16.89543860016918,0.007986981576578504,0.9968772717540041,1,FALSE,FALSE,Higher in Males
"N,N'-Diphenylguanidine",C8-Pos-000035,14,0.0719442354531833,20.629222748669,21.053057664895032,0.029340314432072634,0.962267616477685,1,FALSE,FALSE,Higher in Males
Bis(2-ethylhexyl)adipate,C8-Pos-000036,68,0.8398599725400034,23.6550585614047,23.61958458602317,-0.0021651411649833245,0.9968772717540041,1,FALSE,FALSE,Higher in Females
1-Oleoyl-sn-glycero-3-phosphocholine,C8-Pos-000038,88,0.3708443333042211,16.902611380304823,16.67979241675921,-0.019144819591291964,0.962267616477685,1,FALSE,FALSE,Higher in Females
PC 15:1_15:1,C8-Pos-000041,86,0.0926813232523082,17.3523757252896,16.83054050366372,-0.04405168788346822,0.962267616477685,1,FALSE,FALSE,Higher in Females
Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14,C8-Pos-000042,47,0.5974062696275562,21.33557000471526,21.645211237870416,0.020787225690236454,0.962267616477685,1,FALSE,FALSE,Higher in Males
PC 12:0_28:7,C8-Pos-000043,50,1,22.692929489574023,22.711081610933494,0.0011535534516625334,1,1,FALSE,FALSE,Higher in Males
PC 16:1_18:2,C8-Pos-000044,107,0.046386593281398644,18.018660569423016,17.52600864415312,-0.03999429575997016,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,C8-Pos-000046,98,0.14095521914437142,16.79418847696332,16.468579758365113,-0.028245940670752707,0.962267616477685,1,FALSE,FALSE,Higher in Females
"2-(2H-Benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",C8-Pos-000047,84,0.5067205148778585,21.542552974611272,21.303557391775204,-0.016094871403336243,0.962267616477685,1,FALSE,FALSE,Higher in Females
Octyl decyl phthalate,C8-Pos-000049,18,1,26.466201945101048,26.30696007337299,-0.008706628412144196,1,1,FALSE,FALSE,Higher in Females
PC 16:1_22:6,C8-Pos-000050,57,0.40250382378200356,22.3671583287622,22.46228545768433,0.0061227457468023974,0.962267616477685,1,FALSE,FALSE,Higher in Males
Bis(methylbenzylidene)sorbitol,C8-Pos-000051,99,0.12602212177037309,20.863485201010246,20.6340119103847,-0.01595582268722257,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C8-Pos-000053,105,0.060601969712006154,18.160471273770185,17.850605930864102,-0.02482859508299334,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine",C8-Pos-000059,76,0.8398599725400034,24.071796890706864,24.059991560152174,-7.077024451822532e-4,0.9968772717540041,1,FALSE,FALSE,Higher in Females
PE 16:0_22:5,C8-Pos-000060,98,0.14095521914437142,20.048714529337477,19.743530691192596,-0.02212973107212666,0.962267616477685,1,FALSE,FALSE,Higher in Females
PC 18:0_22:5,C8-Pos-000061,52,0.6209281438231146,23.19527043643516,23.271028802097327,0.0047043262356186236,0.962267616477685,1,FALSE,FALSE,Higher in Males
Muscone,C8-Pos-000063,26,0.5203168005073668,16.56613719932418,15.737949733740447,-0.07398963654054604,0.962267616477685,1,FALSE,FALSE,Higher in Females
