Name,VIP_comp1,Compound.ID,Super.Class,Class
"Spectral Match to 1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoserine from NIST14",1.260369852086387,C8-Pos-000399,Lipids and lipid-like molecules,Glycerophospholipids
2'-Deoxyadenosine,1.2601176616008578,Amide-Pos-000194,"Nucleosides, nucleotides, and analogues",Purine nucleosides
L-Cystathionine,1.2577959929260487,Amide-Pos-000309,Organic acids and derivatives,Carboxylic acids and derivatives
Diphenylphosphate,1.2565311711446945,C8-Pos-000276,Organic acids and derivatives,Organic phosphoric acids and derivatives
"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",1.253413781354638,C8-Pos-000110,Lipids and lipid-like molecules,Glycerophospholipids
Glycerophosphate(2),1.2508010360933002,Amide-Pos-000479,Lipids and lipid-like molecules,Glycerophospholipids
Miltefosine,1.244987867866999,C8-Pos-000366,Organic nitrogen compounds,Organonitrogen compounds
Methyltestosterone,1.2391418865467143,C8-Pos-000522,Lipids and lipid-like molecules,Steroids and steroid derivatives
Acaranoic acid,1.2341115847109765,C8-Pos-000554,Organoheterocyclic compounds,Lactones
DL-α-Aminocaprylic acid,1.2331063276844325,C18-Pos-000279,Organic acids and derivatives,Carboxylic acids and derivatives
LPE 24:4,1.2328831492241707,C8-Pos-000520,Lipids and lipid-like molecules,Glycerophospholipids
"2,6-Diphenylphenol",1.232859031754106,C8-Pos-000700,Benzenoids,Benzene and substituted derivatives
PC O-32:6,1.2325908893888895,C8-Pos-000556,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Didocosahexaenoyl-sn-glycero-3-phosphocholine",1.230740959806882,C8-Pos-000322,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:2;2O/18:0,1.2301169972005752,C8-Pos-000235,Lipids and lipid-like molecules,Sphingolipids
LPE O-16:1,1.2273959080827361,C8-Pos-000141,Lipids and lipid-like molecules,Glycerophospholipids
Cytosine,1.225954549805165,Amide-Pos-000137,Organoheterocyclic compounds,Diazines
2-Ethylhexyldiphenyl phosphate,1.2254570896888952,C8-Pos-000650,Organic acids and derivatives,Organic phosphoric acids and derivatives
2-Furoic acid,1.2250991508727813,Amide-Neg-000150,Organoheterocyclic compounds,Furans
PC 19:2_20:5,1.2191487908943042,C8-Pos-000346,Lipids and lipid-like molecules,Glycerophospholipids
α-Asp-Gly,1.2185578158642327,Amide-Pos-000534,Organic acids and derivatives,Carboxylic acids and derivatives
PC 8:0_8:0,1.218314588036156,C8-Pos-000482,Lipids and lipid-like molecules,Glycerophospholipids
PC 16:2_22:6,1.2162805610938443,C8-Pos-000182,Lipids and lipid-like molecules,Glycerophospholipids
"Bis(p,p'-tert-octylphenyl)amine",1.2138421022360042,C8-Pos-000605,Organic compounds,Benzenoids
1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,1.2131992316721123,C8-Pos-000029,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-diphosphate,1.2117474277814329,Amide-Pos-000541,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Malonic acid,1.2115317583700445,Amide-Neg-000303,Organic acids and derivatives,Carboxylic acids and derivatives
