Name,pathway_id,pathway_label,pathway_source
Dl-Malic Acid,R-HSA-1614517,Sulfide oxidation to sulfate,reactome
Dl-Malic Acid,R-HSA-1614558,Degradation of cysteine and homocysteine,reactome
Dl-Malic Acid,R-HSA-1614635,Sulfur amino acid metabolism,reactome
Dl-Malic Acid,R-HSA-428643,Organic anion transporters,reactome
Dl-Malic Acid,R-HSA-70263,Gluconeogenesis,reactome
Dl-Malic Acid,R-HSA-70268,Pyruvate metabolism,reactome
Dl-Malic Acid,R-HSA-70326,Glucose metabolism,reactome
Dl-Malic Acid,R-HSA-71403,Citric acid cycle (TCA cycle),reactome
Dl-Malic Acid,R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,reactome
Dl-Malic Acid,R-HSA-75105,Fatty acyl-CoA biosynthesis,reactome
Dl-Malic Acid,R-HSA-8963693,Aspartate and asparagine metabolism,reactome
Dl-Malic Acid,R-HSA-8964539,Glutamate and glutamine metabolism,reactome
Dl-Malic Acid,WP106,Alanine and aspartate metabolism,wiki
Dl-Malic Acid,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),wiki
Dl-Malic Acid,WP2766,Citric acid cycle and respiratory electron transport,wiki
Dl-Malic Acid,WP3574,Sulfur amino acid metabolism,wiki
Dl-Malic Acid,WP3602,Metabolism overview,wiki
Dl-Malic Acid,WP4093,Glucose metabolism,wiki
Dl-Malic Acid,WP4114,Fatty acyl-CoA biosynthesis,wiki
Dl-Malic Acid,WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,wiki
Dl-Malic Acid,WP4236,Krebs cycle disorders,wiki
Dl-Malic Acid,WP4241,Type 2 papillary renal cell carcinoma,wiki
Dl-Malic Acid,WP4290,Metabolic reprogramming in colon cancer,wiki
Dl-Malic Acid,WP4595,Urea cycle and associated pathways,wiki
Dl-Malic Acid,WP4661,Amino acid metabolism pathway excerpt: histidine catabolism extension,wiki
Dl-Malic Acid,WP4979,Aspartate and asparagine metabolism,wiki
Dl-Malic Acid,WP4992,Glutamate and glutamine metabolism,wiki
Dl-Malic Acid,WP5046,NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,wiki
Dl-Malic Acid,WP5050,TCA cycle in senescence,wiki
Dl-Malic Acid,WP5213,Amino acid metabolism in triple-negative breast cancer cells,wiki
Dl-Malic Acid,WP534,Glycolysis and gluconeogenesis,wiki
Dl-Malic Acid,WP5401,7q11.23 distal copy number variation,wiki
Dl-Malic Acid,WP661,Glucose homeostasis,wiki
Dl-Malic Acid,WP78,TCA cycle (aka Krebs or citric acid cycle),wiki
D-(+)-Mannose,map00051,Fructose and mannose metabolism,kegg
D-(+)-Mannose,map00052,Galactose Metabolism,kegg
D-(+)-Mannose,R-HSA-189200,Cellular hexose transport,reactome
D-(+)-Mannose,R-HSA-3000480,Scavenging by Class A Receptors,reactome
D-(+)-Mannose,R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,reactome
D-(+)-Mannose,R-HSA-8853383,Lysosomal oligosaccharide catabolism,reactome
D-(+)-Mannose,R-HSA-901032,ER Quality Control Compartment (ERQC),reactome
D-(+)-Mannose,R-HSA-901042,Calnexin/calreticulin cycle,reactome
D-(+)-Mannose,R-HSA-964739,N-glycan trimming and elongation in the cis-Golgi,reactome
D-(+)-Mannose,R-HSA-964827,"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",reactome
D-(+)-Mannose,R-HSA-975576,N-glycan antennae elongation in the medial/trans-Golgi,reactome
D-(+)-Mannose,R-HSA-975578,Reactions specific to the complex N-glycan synthesis pathway,reactome
D-(+)-Mannose,WP3793,Lysosomal oligosaccharide catabolism,wiki
D-(+)-Mannose,WP4043,Cellular hexose transport,wiki
Citric Acid,map00020,Citric Acid Cycle,kegg
Citric Acid,R-HSA-200425,Carnitine metabolism,reactome
Citric Acid,R-HSA-433137,"Sodium-coupled sulphate, di- and tri-carboxylate transporters",reactome
Citric Acid,R-HSA-70171,Glycolysis,reactome
Citric Acid,R-HSA-70326,Glucose metabolism,reactome
Citric Acid,R-HSA-71403,Citric acid cycle (TCA cycle),reactome
Citric Acid,R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,reactome
Citric Acid,R-HSA-75105,Fatty acyl-CoA biosynthesis,reactome
Citric Acid,R-HSA-917937,Iron uptake and transport,reactome
Citric Acid,R-HSA-9717189,Sensory perception of taste,reactome
Citric Acid,R-HSA-9729555,Sensory perception of sour taste,reactome
Citric Acid,WP106,Alanine and aspartate metabolism,wiki
Citric Acid,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),wiki
Citric Acid,WP2670,Iron uptake and transport,wiki
Citric Acid,WP2766,Citric acid cycle and respiratory electron transport,wiki
Citric Acid,WP357,Fatty acid biosynthesis,wiki
Citric Acid,WP3602,Metabolism overview,wiki
Citric Acid,WP4061,Carnitine metabolism,wiki
Citric Acid,WP4093,Glucose metabolism,wiki
Citric Acid,WP4114,Fatty acyl-CoA biosynthesis,wiki
