truncated_label,full_label
N-Lauroyl-D-Eryth...,N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine
Dihomo-Γ-Linoleni...,Dihomo-Γ-Linolenic Acid Ethyl Ester
(E)-5-(But-1-En-1...,(E)-5-(But-1-En-1-Yl)-6-(Hydroxymethyl)-4-Methoxy-2h-Pyran-2-One
3-Cyclohexyl-1-(P...,3-Cyclohexyl-1-(Piperazin-1-Yl)Propan-1-One
"N-({(2r,4s,5r)-5-...","N-({(2r,4s,5r)-5-[3-(4-Methoxyphenyl)-1-Methyl-1h-Pyrazol-5-Yl]-1-Azabicyclo[2.2.2]Oct-2-Yl}Methyl)Acetamide"
"15-Deoxy-Δ12,14-P...","15-Deoxy-Δ12,14-Prostaglandin A1"
2-Ethylhexyldiphe...,2-Ethylhexyldiphenyl Phosphate
5-(Hydroxymethyl)...,5-(Hydroxymethyl)-3-(1-Hydroxy-8-Methylnonyl)Oxolan-2-One
"5(Z),8(Z),11(Z)-E...","5(Z),8(Z),11(Z)-Eicosatrienoic Acid Methyl Ester"
6h-2-Benzopyran-3...,"6h-2-Benzopyran-3-Carboxylic Acid, 7-Ethyl-7,8-Dihydro-8-Hydroxy-4,7-Dimethyl-6-Oxo-"
"1-(4,6-Dimethylpy...","1-(4,6-Dimethylpyrimidin-2-Yl)Piperidine-4-Carboxylic Acid"
"3-(5,6-Dihydroxyh...","3-(5,6-Dihydroxyheptyl)-4-Methyl-2h-Furan-5-One"
"1,3-Di-O-Tolylgua...","1,3-Di-O-Tolylguanidine"
