metab_class,group,std_residual,expected,observed,p_residual,FDR_residual
Organooxygen compounds,Non-SFARI,1.732132243307732,23.75379125780553,27,0.08325001950960431,0.31635007413649635
Prenol lipids,Non-SFARI,1.4265191874019414,27.147190008920607,30,0.1537185324280095,0.4593205076874438
Prenol lipids,SFARI,-1.4265191874019414,4.852809991079393,2,0.1537185324280095,0.4593205076874438
Purine nucleosides,Non-SFARI,1.409197492400679,9.331846565566458,11,0.15877677904034174,0.4593205076874438
Purine nucleosides,SFARI,-1.409197492400679,1.6681534344335416,0,0.15877677904034174,0.4593205076874438
(5'->5')-dinucleotides,Non-SFARI,-1.3808680121955381,28.843889384478146,26,0.1673195468872797,0.4593205076874438
(5'->5')-dinucleotides,SFARI,1.3808680121955372,5.156110615521856,8,0.16731954688727996,0.4593205076874438
Benzene and substituted derivatives,Non-SFARI,-1.3747036314766077,1.696699375557538,1,0.1692233449374793,0.4593205076874438
Benzene and substituted derivatives,SFARI,1.3747036314766077,0.3033006244424621,1,0.1692233449374793,0.4593205076874438
Pyrimidine nucleotides,Non-SFARI,1.2735202928925917,7.6351471900089205,9,0.20283347627483278,0.5138448065629097
Pyrimidine nucleotides,SFARI,-1.2735202928925917,1.3648528099910795,0,0.20283347627483278,0.5138448065629097
Diazines,SFARI,-1.1221306712092174,1.0615521855486174,0,0.2618068846734391,0.621791351099418
Diazines,Non-SFARI,1.1221306712092172,5.938447814451383,7,0.26180688467343916,0.621791351099418
Hydroxy acids and derivatives,Non-SFARI,-0.992001232026972,5.938447814451383,5,0.32119692441786085,0.7179695957575717
Hydroxy acids and derivatives,SFARI,0.9920012320269718,1.0615521855486174,2,0.321196924417861,0.7179695957575717
Fatty acyls,Non-SFARI,0.8471111880272609,3.393398751115076,4,0.39693314962868326,0.7320600005920109
Fatty acyls,SFARI,-0.8471111880272609,0.6066012488849242,0,0.39693314962868326,0.7320600005920109
Sphingolipids,Non-SFARI,0.7555694861949483,11.028545941123996,12,0.44990735653056824,0.7320600005920109
Sphingolipids,SFARI,-0.755569486194948,1.9714540588760037,1,0.4499073565305685,0.7320600005920109
Benzoxazoles,SFARI,-0.73329164053576,0.45495093666369313,0,0.4633805725025559,0.7320600005920109
Furans,SFARI,-0.73329164053576,0.45495093666369313,0,0.4633805725025559,0.7320600005920109
Organic sulfuric acids and derivatives,SFARI,-0.73329164053576,0.45495093666369313,0,0.4633805725025559,0.7320600005920109
Phenylpropanoic acids,SFARI,-0.73329164053576,0.45495093666369313,0,0.4633805725025559,0.7320600005920109
Benzoxazoles,Non-SFARI,0.7332916405357598,2.545049063336307,3,0.46338057250255604,0.7320600005920109
Furans,Non-SFARI,0.7332916405357598,2.545049063336307,3,0.46338057250255604,0.7320600005920109
Organic sulfuric acids and derivatives,Non-SFARI,0.7332916405357598,2.545049063336307,3,0.46338057250255604,0.7320600005920109
Phenylpropanoic acids,Non-SFARI,0.7332916405357598,2.545049063336307,3,0.46338057250255604,0.7320600005920109
Organic phosphoric acids and derivatives,SFARI,0.7216357263804758,2.8813559322033897,4,0.47051846797313346,0.7320600005920109
Organic phosphoric acids and derivatives,Non-SFARI,-0.7216357263804749,16.11864406779661,15,0.4705184679731339,0.7320600005920109
Purine nucleotides,Non-SFARI,-0.6575121412793995,11.876895628902766,11,0.5108516667746901,0.7320600005920109
Purine nucleotides,SFARI,0.6575121412793992,2.123104371097235,3,0.5108516667746904,0.7320600005920109
5'-deoxyribonucleosides,Non-SFARI,0.5984625284277165,1.696699375557538,2,0.5495313545593652,0.7320600005920109
Pyrimidine nucleosides,Non-SFARI,0.5984625284277165,1.696699375557538,2,0.5495313545593652,0.7320600005920109
Quinolines and derivatives,Non-SFARI,0.5984625284277165,1.696699375557538,2,0.5495313545593652,0.7320600005920109
5'-deoxyribonucleosides,SFARI,-0.5984625284277165,0.3033006244424621,0,0.5495313545593652,0.7320600005920109
Pyrimidine nucleosides,SFARI,-0.5984625284277165,0.3033006244424621,0,0.5495313545593652,0.7320600005920109
Quinolines and derivatives,SFARI,-0.5984625284277165,0.3033006244424621,0,0.5495313545593652,0.7320600005920109
Fatty Acyls,SFARI,0.5848071905801,3.9429081177520073,5,0.5586773688728501,0.7320600005920109
Fatty Acyls,Non-SFARI,-0.5848071905800994,22.057091882247992,21,0.5586773688728505,0.7320600005920109
Glycerolipids,SFARI,-0.46374948774789015,14.55842997323818,13,0.6428272369040058,0.7513986458585082
Glycerolipids,Non-SFARI,0.4637494877478891,81.44157002676182,83,0.6428272369040067,0.7513986458585082
(3'->5')-dinucleotides and analogues,Non-SFARI,0.4229879516848468,0.848349687778769,1,0.6723040515576126,0.7513986458585082
Peptidomimetics,Non-SFARI,0.4229879516848468,0.848349687778769,1,0.6723040515576126,0.7513986458585082
Phenols,Non-SFARI,0.4229879516848468,0.848349687778769,1,0.6723040515576126,0.7513986458585082
Piperidines,Non-SFARI,0.4229879516848468,0.848349687778769,1,0.6723040515576126,0.7513986458585082
(3'->5')-dinucleotides and analogues,SFARI,-0.4229879516848468,0.15165031222123104,0,0.6723040515576126,0.7513986458585082
Peptidomimetics,SFARI,-0.4229879516848468,0.15165031222123104,0,0.6723040515576126,0.7513986458585082
Phenols,SFARI,-0.4229879516848468,0.15165031222123104,0,0.6723040515576126,0.7513986458585082
Piperidines,SFARI,-0.4229879516848468,0.15165031222123104,0,0.6723040515576126,0.7513986458585082
Imidazopyrimidines,SFARI,-0.39387108157319556,2.578055307760928,2,0.6936762217153659,0.7531341835766834
Imidazopyrimidines,Non-SFARI,0.39387108157319495,14.421944692239073,15,0.6936762217153664,0.7531341835766834
Organonitrogen compounds,Non-SFARI,-0.3020927332289277,4.241748438893845,4,0.7625813718629014,0.8002826136450747
Organonitrogen compounds,SFARI,0.3020927332289273,0.7582515611061552,1,0.7625813718629016,0.8002826136450747
Lactones,SFARI,0.280332335386659,1.6681534344335416,2,0.7792225448649409,0.8002826136450747
Lactones,Non-SFARI,-0.2803323353866588,9.331846565566458,9,0.7792225448649411,0.8002826136450747
Carboximidic acids and derivatives,SFARI,-0.0650647195911228,1.0615521855486174,1,0.9481224705738809,0.9481224705738811
Carboximidic acids and derivatives,Non-SFARI,0.06506471959112256,5.938447814451383,6,0.9481224705738811,0.9481224705738811
