pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
16p11.2 proximal deletion syndrome (WikiPathways),0.5188481151884812,0.7646068726460687,0.013893305306074867,0.2615271458929078,0.9554611187070036,10,"5'-Cytidylic Acid;Oleoyl Ethanolamide;Choline;D-Sphingosine;Dihydroxyacetone Phosphate;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;Glycerophosphocholine;Palmitoyl Ethanolamide;D-Fructose-1,6-Bisphosphate",IN-CGE-Immature
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),0.51994800519948,0.7646068726460687,0.013862729287373983,0.30256508216447076,0.9534003430867325,6,Pyruvic Acid;Dl-Lactic Acid;Citric Acid,IN-CGE-Immature
Kennedy pathway from sphingolipids (WikiPathways),0.5207479252074793,0.7646068726460687,0.013840531110090164,0.27686703096539167,0.9502918564023592,8,"O-Phosphocolamine;Cytidine 5'-Diphosphocholine;D,L-Serine;Adenosine 5'-Diphosphate;L-Serine;Choline",IN-CGE-Immature
Orexin receptor pathway (WikiPathways),0.5282471752824718,0.7646068726460687,0.013633987644878562,0.2867897323837795,0.9433372650032095,7,D-(+)-Glucose;L-Glutamic Acid;Progesterone;Arachidonic Acid;D-Glucose,IN-CGE-Immature
Sensory perception of taste (Reactome),0.5393460653934606,0.7646068726460687,0.013333293689307142,0.26234193745254675,0.9313880818651656,9,Inosine-5'-Monophosphate (Imp);Caprolactam;D-(+)-Tryptophan;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid;D-Glucose;Citric Acid;Guanosine-5'-Monophosphate;L-Glutamic Acid,IN-CGE-Immature
Histidine catabolism (Reactome),0.5401459854014599,0.7646068726460687,0.013311843257410293,0.27039663782017764,0.9280834992275133,8,Histamine;L-Glutamic Acid;Anserine;L-Histidine;Adenosine 5'-Diphosphate,IN-CGE-Immature
Paracetamol ADME (Reactome),0.5427457254274572,0.7646068726460687,0.013242328750662724,0.3097826086956522,0.922479580094317,5,Glycine;L-Glutamic Acid;Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;L-Glutathione (Reduced),IN-CGE-Immature
TP53 Regulates Metabolic Genes (Reactome),0.5427457254274572,0.7646068726460687,0.013242328750662724,0.3097826086956522,0.922479580094317,5,L-Glutamic Acid;L-Glutamine;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);L-Glutathione (Reduced),IN-CGE-Immature
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.5445455454454554,0.7646068726460687,0.013194380077146312,0.26043502820613323,0.9246180146675438,9,Leucine;Asparagine;L-Threonine;L-Glutamine;L-Valine;Adenosine 5'-Diphosphate,IN-CGE-Immature
Phospholipid Biosynthesis (KEGG),0.5467453254674532,0.7646068726460687,0.013135969893807924,0.28,0.9210038030491143,7,Triethanolamine;Cytidine 5'-Diphosphocholine;Dl-Dipalmitoylphosphatidylcholine;Acetylcholine;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine;Choline,IN-CGE-Immature
Na+/Cl- dependent neurotransmitter transporters (Reactome),0.547045295470453,0.7646068726460687,0.013128021236164876,0.21376546726082069,0.9292256678723558,19,"L-Lysine;Leucine;Asparagine;Glycine;Histamine;L-(-)-Methionine;L-Threonine;L-Glutamine;L-Valine;D,L-Serine;L-Histidine;Taurine;L-Serine;Dl-Alanine;Beta-Alanine",IN-CGE-Immature
Citric Acid Cycle (KEGG),0.5494450554944506,0.7646068726460687,0.013064571967897018,0.258721293969271,0.9185337733937426,9,Pyruvic Acid;Citric Acid;Biotin;Adenosine 5'-Diphosphate;Guanosine-5'-Triphosphate;Guanosine 5'-Diphosphate (Gdp),IN-CGE-Immature
