pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Glutathione metabolism (WikiPathways),1,7,0.48859052453397267,0.8720423745189798,L-Glutamic Acid,0.9683067924853608,WikiPathways
Late SARS-CoV-2 Infection Events (Reactome),1,7,0.48859052453397267,0.8720423745189798,D-Glucose,0.9683067924853608,Reactome
Purinergic signaling in leishmaniasis infection (Reactome),1,7,0.48859052453397267,0.8720423745189798,Guanosine 5'-Diphosphate (Gdp),0.9683067924853608,Reactome
Translation of Structural Proteins (Reactome),1,7,0.48859052453397267,0.8720423745189798,D-Glucose,0.9683067924853608,Reactome
Creatine metabolism (Reactome),1,8,0.4178333581363869,0.9048460566877505,L-Ornithine,0.9689490835109399,Reactome
Fructose and mannose metabolism (KEGG),1,8,0.4178333581363869,0.9048460566877505,D-Glucose,0.9689490835109399,KEGG
Histidine catabolism (Reactome),1,8,0.4178333581363869,0.9048460566877505,L-Glutamic Acid,0.9689490835109399,Reactome
Nicotinate and nicotinamide metabolism (KEGG),1,8,0.4178333581363869,0.9048460566877505,L-Glutamic Acid,0.9689490835109399,KEGG
Neurotransmitter release cycle (Reactome),2,14,0.48491895691296594,0.9063420402696267,Γ-Aminobutyric Acid;L-Glutamic Acid,0.9689490835109399,Reactome
Ferroptosis (WikiPathways),1,9,0.3647629848809493,0.929284501144995,L-(-)-Methionine,0.9689490835109399,WikiPathways
"Incretin synthesis, secretion, and inactivation (Reactome)",1,9,0.3647629848809493,0.929284501144995,D-Glucose,0.9689490835109399,Reactome
Purine salvage (Reactome),1,9,0.3647629848809493,0.929284501144995,Inosine,0.9689490835109399,Reactome
Purinergic signaling (WikiPathways),1,9,0.3647629848809493,0.929284501144995,Udp-Β-D-Glucose (Sodium Salt),0.9689490835109399,WikiPathways
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (Reactome)",1,9,0.3647629848809493,0.929284501144995,D-Glucose,0.9689490835109399,Reactome
"Leucine, isoleucine and valine metabolism (WikiPathways)",1,10,0.3234773853099835,0.9474795473832354,Leucine,0.9701736682786422,WikiPathways
Peptide hormone metabolism (Reactome),1,10,0.3234773853099835,0.9474795473832354,D-Glucose,0.9701736682786422,Reactome
Phosphate bond hydrolysis by NTPDase proteins (Reactome),1,10,0.3234773853099835,0.9474795473832354,Guanosine 5'-Diphosphate (Gdp),0.9701736682786422,Reactome
Glycerophospholipid biosynthetic pathway (WikiPathways),1,11,0.29044300491028807,0.9610177262113226,Dihydroxyacetone Phosphate,0.9723907170540602,WikiPathways
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),1,11,0.29044300491028807,0.9610177262113226,Inosine,0.9723907170540602,Reactome
"Transport of vitamins, nucleosides, and related molecules (Reactome)",2,19,0.3381726642901482,0.972874830549226,Inosine;D-Pantothenic Acid,0.9785976236701037,Reactome
Nucleotide salvage (Reactome),1,15,0.20547123117470867,0.9882443463919663,Inosine,0.9882443463919663,Reactome
