"Name","n_occurrences","compound_ids","is_duplicate"
"Trans-3-Indoleacrylic Acid",4,"Amide-Pos-000658; Amide-Pos-000659; C18-Pos-000874; C18-Pos-000875",TRUE
"Uric Acid",4,"C18-Neg-000243; C18-Neg-000244; C18-Pos-000741; C18-Pos-000742",TRUE
"Uridine Monophosphate",4,"Amide-Pos-001297; C18-Neg-001400; C18-Pos-002017; C18-Pos-002023",TRUE
"(2r)-3-Hydroxyisovaleroylcarnitine",3,"Amide-Pos-001043; C18-Pos-001422; C18-Pos-001425",TRUE
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",3,"Amide-Pos-002307; C8-Pos-004378; C8-Pos-004387",TRUE
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",3,"Amide-Pos-002176; C8-Pos-003665; C8-Pos-003668",TRUE
"1-Oleoyl-Sn-Glycero-3-Phosphocholine",3,"Amide-Pos-001860; Amide-Pos-001861; C18-Pos-004585",TRUE
"1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine",3,"C18-Neg-002091; C18-Neg-002092; C8-Pos-002059",TRUE
"2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine",3,"C8-Neg-003387; C8-Neg-003391; C8-Pos-004832",TRUE
"3-Hydroxy-1-Methyl-3-(2-Oxopropyl)Indol-2-One",3,"Amide-Pos-000918; C18-Pos-000991; C8-Pos-000003",TRUE
"3-Hydroxybutyrylcarnitine",3,"Amide-Pos-000982; C18-Pos-001341; C18-Pos-001343",TRUE
"4-Dodecylbenzenesulfonic Acid",3,"Amide-Neg-001822; C8-Neg-000519; C8-Neg-000520",TRUE
"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",3,"Amide-Neg-001753; C18-Neg-001235; C18-Neg-001236",TRUE
"Acetyl-D-Alanine",3,"Amide-Neg-000316; C18-Neg-000062; C18-Neg-000064",TRUE
"Acetylcholine",3,"Amide-Pos-000466; Amide-Pos-000467; C18-Pos-000540",TRUE
"Azithromycin",3,"Amide-Pos-001526; C18-Pos-002599; C8-Pos-004027",TRUE
"Bilirubin",3,"Amide-Pos-001974; C18-Pos-005805; C8-Pos-002850",TRUE
"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",3,"Amide-Pos-000915; C18-Pos-001292; C8-Pos-002057",TRUE
"Bis(2-Ethylhexyl) Phthalate",3,"C18-Pos-002803; C8-Pos-001250; C8-Pos-001251",TRUE
"Caprolactam",3,"Amide-Pos-000210; C18-Pos-000207; C18-Pos-000214",TRUE
"Chloroprocaine",3,"Amide-Pos-001086; C18-Pos-001502; C8-Pos-000324",TRUE
"Citroflex 4",3,"C18-Pos-002437; C8-Pos-001006; C8-Pos-001007",TRUE
"Crotonic Acid",3,"Amide-Neg-000028; Amide-Pos-000010; Amide-Pos-000014",TRUE
"Cystathionine",3,"Amide-Neg-001154; Amide-Pos-000836; C18-Pos-001138",TRUE
"Cytidine 5'-Diphosphocholine",3,"Amide-Neg-002150; Amide-Pos-001779; C18-Pos-004076",TRUE
"Cytosine",3,"Amide-Pos-000171; Amide-Pos-000173; C18-Pos-000184",TRUE
"D,L-Serine",3,"Amide-Neg-000119; Amide-Neg-000127; C18-Neg-000012",TRUE
"D-(-)-Mannitol",3,"Amide-Neg-000784; Amide-Neg-000787; C18-Neg-000334",TRUE
"D-Glucose 6-Phosphate",3,"Amide-Neg-001431; Amide-Neg-001433; Amide-Pos-001037",TRUE
"D-Proline",3,"Amide-Neg-000174; Amide-Pos-000224; Amide-Pos-000227",TRUE
"D-Α-Hydroxyglutaric Acid",3,"Amide-Neg-000501; Amide-Neg-000511; C18-Neg-000146",TRUE
"Dehydroascorbic Acid",3,"Amide-Neg-000678; Amide-Neg-000696; C18-Neg-000282",TRUE
"Dl-Glutamine",3,"Amide-Pos-000475; Amide-Pos-000476; C18-Pos-000550",TRUE
"Dl-Xylose",3,"Amide-Neg-000332; Amide-Neg-000515; C18-Neg-000065",TRUE
"Docosahexaenoic Acid",3,"C8-Neg-000532; C8-Neg-000534; C8-Pos-000879",TRUE
"Erucamide",3,"C18-Pos-002174; C18-Pos-002175; C8-Pos-000798",TRUE
"Hypotaurine",3,"Amide-Neg-000136; Amide-Pos-000072; C18-Neg-000014",TRUE
"Hypoxanthtine",3,"Amide-Pos-000410; Amide-Pos-000411; C18-Pos-000443",TRUE
