"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"ZNF747",0.00190500483380808,7.85322646045084e-05,24.2576072828379,1.71489843050174e-85,0.550228326907562,483,5.4188658624038e-85
"LINC01422",0.00256169657232726,0.000105605137242198,24.2573101955465,1.72047542182467e-85,0.550222265069256,483,5.43601919209927e-85
"ENSG00000269161",0.00136353269736606,5.62113984339075e-05,24.257227810642,1.72202518116093e-85,0.550220584052681,483,5.44044620500732e-85
"ENSG00000285555",0.00177782063143503,7.32966764640818e-05,24.2551329364331,1.76190498998727e-85,0.550177837046067,483,5.56595928657064e-85
"IMPG1",0.00153575405412592,6.33210554888507e-05,24.2534500138952,1.79461079002502e-85,0.550143492918022,483,5.66878955454571e-85
"TTLL2",0.00218273784401561,9.00031668397676e-05,24.2517893609403,1.82747910515789e-85,0.550109600450321,483,5.77184322812806e-85
"ENSG00000260425",0.00167143466637658,6.89200655788776e-05,24.2517857802044,1.82755062326533e-85,0.550109527367636,483,5.77184322812806e-85
"SLC47A2",0.00194850474644506,8.03486480705694e-05,24.250622670511,1.8509302303766e-85,0.5500857876575,483,5.84517730590156e-85
"LINC02259",0.00185495797398984,7.64925789928135e-05,24.2501690806387,1.86012870238961e-85,0.550076529267682,483,5.87371903228686e-85
"ZNF853",0.00225065021202607,9.28107310322923e-05,24.2498920867565,1.86576841224423e-85,0.550070875341383,483,5.89101931870853e-85
"ACKR1",0.00185753058337617,7.6601384318935e-05,24.2493082845895,1.87771094738149e-85,0.550058958671178,483,5.92821558719613e-85
"FKBP4",0.00266811756470224,0.000110030721821703,24.2488417828045,1.88730887487556e-85,0.550049436109023,483,5.95800379956402e-85
"RUSF1-DT",0.0014453122577845,5.96058623554877e-05,24.247820611414,1.908490368079e-85,0.550028590473783,483,6.02435162410863e-85
"ENSG00000287841",0.00140658539511965,5.8012346052813e-05,24.246311187607,1.94023570190156e-85,0.549997775990611,483,6.12403101081354e-85
"CMBL",0.00217692202944257,8.97874884007777e-05,24.2452714539203,1.9624095171203e-85,0.549976548766582,483,6.19348490814551e-85
"DENND3",0.00318712257794093,0.00013146704732399,24.2427486036597,2.01727251566832e-85,0.549925037663695,483,6.36608700435583e-85
"PANX2",0.00240834682596958,9.93462481359374e-05,24.241950462731,2.03494672682849e-85,0.549908740026578,483,6.4213094817957e-85
"UBL4A",0.00238473065379969,9.83730221626336e-05,24.2417138497298,2.04021604661243e-85,0.549903908384164,483,6.43738196450319e-85
"NOL4L-DT",0.00143013118589867,5.89953285302462e-05,24.2414310001759,2.04653295867416e-85,0.549898132516145,483,6.4567568022159e-85
"COA6",0.00270290552194785,0.000111501523179025,24.2409739785178,2.05678105098293e-85,0.549888799833571,483,6.48853000001545e-85
"ZRANB2-DT",0.00284461153416962,0.000117347979466148,24.2408224420278,2.06019037231519e-85,0.549885705312275,483,6.49872530060542e-85
"ENSG00000261478",0.00228558294145233,9.4290744277317e-05,24.2397380460827,2.08475303859951e-85,0.549863560223897,483,6.57563982980581e-85
"ENSG00000255384",0.00134583638581944,5.55221911547692e-05,24.2396122672445,2.08762095150684e-85,0.54986099154324,483,6.58411832749924e-85
"CCHCR1",0.00196470931116438,8.10542393738187e-05,24.2394392488618,2.09157243417107e-85,0.549857458101013,483,6.59601252523458e-85
"FAM118A",0.00252992542224247,0.000104373091301731,24.2392497020973,2.09590998969153e-85,0.549853587075637,483,6.60912209361378e-85
"TLE3",0.0033692047037215,0.000138999925335785,24.2388957805728,2.10403317159791e-85,0.549846359003832,483,6.63416575184512e-85
"MKNK2",0.00240516876814715,9.92324630928497e-05,24.2377211366474,2.13121992719299e-85,0.549822368567688,483,6.7193087179132e-85
"ADGRL3-AS1",0.0027571676744231,0.000113760929548253,24.2365079590318,2.15966749172226e-85,0.549797589671803,483,6.80841175325135e-85
"ENSG00000226829",0.00158954932684695,6.55855363013171e-05,24.2362785530051,2.16508934256498e-85,0.549792903935064,483,6.82491649115127e-85
"DYNLRB1",0.00312405433683066,0.000128903123049578,24.2356760869876,2.17939313105272e-85,0.549780598001822,483,6.86941411943975e-85
"ATRAID",0.0023068834962969,9.51859818532146e-05,24.2355381683652,2.18268087952732e-85,0.549777780833057,483,6.87918468350421e-85
"ADAM9",0.00253625324892608,0.000104650342104715,24.2354988805316,2.18361834322635e-85,0.549776978324005,483,6.88154677877378e-85
"ARSD",0.00224483908482196,9.26263816267532e-05,24.2354180892842,2.18554740353967e-85,0.549775328044669,483,6.8870331576417e-85
"CACNG8",0.00310573528729236,0.000128153262196661,24.2345394417379,2.2066373681084e-85,0.549757379958054,483,6.95289267644313e-85
"ENSG00000253961",0.00200612873076173,8.2779924485878e-05,24.2344837014676,2.20798213522715e-85,0.549756241328203,483,6.95653107917496e-85
"MAN1B1-DT",0.0016389508652979,6.76298073215372e-05,24.2341495593166,2.21606071862432e-85,0.549749415600682,483,6.98138278204016e-85
"TNFSF13B",0.00226878872221066,9.36214652214975e-05,24.233638267068,2.22847955226628e-85,0.549738970900568,483,7.01990236929045e-85
"TIMP2",0.00281199166753135,0.000116037725592827,24.2334262686132,2.23364920238269e-85,0.549734640109498,483,7.03558174029912e-85
"RANBP3-DT",0.00191108159049408,7.88618877637343e-05,24.2332721760298,2.23741432707836e-85,0.549731492214725,483,7.04683479851799e-85
"POLA1",0.00245154178931214,0.000101172615404905,24.2312781922339,2.28671218444317e-85,0.549690755765445,483,7.20148092569542e-85
"OSTF1",0.00280173561945751,0.000115625657790861,24.2310891283764,2.29144249550508e-85,0.549686893042907,483,7.21575714947246e-85
"ENSG00000232748",0.00158138546138865,6.52659258893996e-05,24.2298786056983,2.32196219932539e-85,0.549662160261215,483,7.31123478228873e-85
"MAPK10-AS1",0.00277119661953988,0.00011438015899721,24.22794865679,2.37146328131193e-85,0.549622725466737,483,7.4664581067557e-85
"STK31",0.00317629379399523,0.000131116186905708,24.2250317749056,2.44828893847573e-85,0.549563117449514,483,7.70767767299955e-85
"ENSG00000267283",0.00164024587684311,6.77159529698307e-05,24.2224439723072,2.51852901955291e-85,0.549510227140764,483,7.92812489092833e-85
"ENSG00000261505",0.00177521950515251,7.32913708635647e-05,24.22139856624,2.54747268496448e-85,0.549488858888839,483,8.01854761032245e-85
"GAR1-DT",0.00137892542390518,5.69304685539362e-05,24.2212203575802,2.55243975651569e-85,0.549485216167714,483,8.03349138843512e-85
"SLC25A13",0.0027960459719151,0.000115439467475334,24.2208841834145,2.56183606995758e-85,0.549478344423578,483,8.06237189448261e-85
"MAP4K3-DT",0.0030393881046886,0.000125490577032788,24.2200504337029,2.58528959017584e-85,0.54946130123278,483,8.1354831635829e-85
"ENSG00000248758",0.00236233993883436,9.75374545126009e-05,24.2198235604884,2.59170866691961e-85,0.54945666345619,483,8.15498186572038e-85
"RHOXF1P3",0.00169860355227783,7.01337595322917e-05,24.2194852180389,2.60131124944133e-85,0.549449746911954,483,8.18449346523557e-85
"ENSG00000228541",0.00227140122099095,9.37864864634594e-05,24.2188539803751,2.61932181311136e-85,0.549436842566341,483,8.23997831308893e-85
"TP53TG1",0.00208020527057737,8.58919871340556e-05,24.2188513735362,2.61939644987167e-85,0.549436789274087,483,8.23997831308893e-85
"ENSG00000225420",0.0022492817259942,9.2879354670666e-05,24.2172411077764,2.66590914052004e-85,0.54940386889951,483,8.38557516366721e-85
"LINC01031",0.0019052289430124,7.86743814243133e-05,24.2166370871981,2.68356864806876e-85,0.549391519588648,483,8.44039755919478e-85
"ENSG00000285731",0.00238097745481659,9.83244786701436e-05,24.2155105932901,2.71681674114774e-85,0.549368487229786,483,8.54423575848198e-85
"C11orf16",0.00153854909783917,6.3537331199072e-05,24.2148838927254,2.73549167340075e-85,0.549355673118743,483,8.60222828291762e-85
"ENSG00000274265",0.00273324387853526,0.000112885946747419,24.2124370418832,2.80964262390745e-85,0.549305638695694,483,8.83464982437148e-85
"ENSG00000259969",0.0027958879747376,0.000115476366258667,24.2117765333454,2.83000151592315e-85,0.549292131250918,483,8.89790203477502e-85
"DAPK1-IT1",0.00213474232287267,8.8171419441164e-05,24.2112731812962,2.84561539358857e-85,0.549281837370891,483,8.94622570359152e-85
"RETREG1",0.00345186554622871,0.000142573495807021,24.2111307342913,2.85004969512487e-85,0.549278924189566,483,8.9593970319779e-85
"ENSG00000249309",0.00159260141168666,6.57809123195324e-05,24.2106920614077,2.8637488240871e-85,0.549269952768839,483,9.00168844627603e-85
"ENSG00000234860",0.00255662329286667,0.000105599415493078,24.2105818571908,2.86720068524445e-85,0.549267698921271,483,9.01176488774583e-85
"ENSG00000288080",0.00196377366301776,8.11181870990502e-05,24.2087962422024,2.92371409583376e-85,0.549231178607098,483,9.18860056356994e-85
"STIM2",0.00269621238170169,0.00011137407856998,24.2086167294983,2.92945682533129e-85,0.549227506942778,483,9.20585831339514e-85
"ARMC9",0.00290986686738603,0.000120202660723671,24.2080071261934,2.94904279262451e-85,0.549215038174181,483,9.2666119307432e-85
"PELI1",0.00269983281996709,0.000111532650051083,24.2066589355723,2.99282534374715e-85,0.549187461075545,483,9.40338016158976e-85
"RNF175",0.00312446083606483,0.000129076475218511,24.2062764014551,3.00536616743298e-85,0.54917963604528,483,9.44197263691672e-85
"PLPPR4",0.00375114311479514,0.000154966209667407,24.2062003248705,3.00786648746132e-85,0.549178079822453,483,9.44901689899022e-85
"ENSG00000256452",0.00166154773424397,6.86423080540127e-05,24.2058838251264,3.01829087064869e-85,0.549171605439971,483,9.48095074480603e-85
"CP",0.00230376777494519,9.51745065297643e-05,24.2057233490853,3.02359018480078e-85,0.549168322671064,483,9.49678180233805e-85
"LINC00216",0.00168797621023994,6.97396290542266e-05,24.2039745999717,3.08194506360352e-85,0.549132547797073,483,9.67923784711655e-85
"DDB2",0.00262291887189935,0.000108367433680904,24.2039400842759,3.08310810246391e-85,0.54913184166428,483,9.68205979603543e-85
"ENSG00000289569",0.00208558409043437,8.61687997520021e-05,24.2034715167993,3.09894043243324e-85,0.549122255446533,483,9.73094411845126e-85
"DISP2",0.00332293735632715,0.000137292743517514,24.2032992508686,3.10478151582151e-85,0.549118731077125,483,9.74844935710505e-85
"SLC14A2",0.0026662102164368,0.000110161342932515,24.2027751792216,3.12261921106279e-85,0.549108008969378,483,9.80361554179109e-85
"ENSG00000289091",0.00135840642315109,5.61267741205482e-05,24.2024674397557,3.13314140047919e-85,0.549101712724256,483,9.83580684589538e-85
"ENSG00000233064",0.00171235059534276,7.07524837066224e-05,24.2019856496216,3.14968598840158e-85,0.549091855269118,483,9.88689700021021e-85
"ANP32B",0.00249374598110574,0.000103039041952228,24.2019523265941,3.1508335214594e-85,0.549091173469288,483,9.88965102208026e-85
"SLITRK4",0.00306264586007796,0.000126546522965094,24.2017385252279,3.15820607871333e-85,0.549086798998057,483,9.91194163639054e-85
"ENC1",0.00326304831839412,0.000134830543476577,24.2011063239612,3.18010752269526e-85,0.549073863607929,483,9.97982302475458e-85
"MIEN1",0.00297006174254799,0.000122724980642247,24.2009550704755,3.18536990483679e-85,0.549070768769567,483,9.99548049692635e-85
"KIF7",0.00239782698534809,9.90831321486586e-05,24.2001532788702,3.21341151675716e-85,0.549054362708865,483,1.00826088770255e-84
"SUSD1",0.00299403381789574,0.000123722083065548,24.1996719074759,3.23036535022838e-85,0.549044512694572,483,1.01349355686774e-84
"PPP1R9B",0.00252020288558318,0.000104144315899073,24.1991400474083,3.24920145940353e-85,0.549033629288282,483,1.01931582293458e-84
"ENSG00000232811",0.00161241187028125,6.66340324941363e-05,24.1980232912234,3.28911030486374e-85,0.549010776272521,483,1.03174730996e-84
"EFCAB3",0.00159455997759008,6.58990012827726e-05,24.1970279753987,3.32509241381083e-85,0.548990407318365,483,1.04294501041244e-84
"LRRN2",0.00325730626777595,0.000134616972104609,24.1968469268849,3.33167978408505e-85,0.54898670208632,483,1.04492165895509e-84
"ENSG00000277938",0.00169168637076783,6.99209234187068e-05,24.1942795955013,3.42650847769232e-85,0.548934157028516,483,1.07457090744902e-84
