"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"ZNF669",-0.0407340596770687,0.104265209823039,-0.390677386505078,0.69620868641563,0.000317214977502355,483,0.86592722842445
"SLITRK5",0.0730696614260166,0.187048089267306,0.39064639319354,0.696231583405354,0.000317164664712883,483,0.86592722842445
"SNHG8",0.0518142612104652,0.132681022918062,0.390517498817172,0.69632680993615,0.000316955467634363,483,0.865955817894477
"SFRP5",0.0119217601141279,0.0305311802210979,0.390478194023095,0.69635584907999,0.000316891689212661,483,0.865955817894477
"GIHCG",0.0402216776331496,0.102981321060075,0.390572554509045,0.696286134474436,0.000317044815229831,483,0.865955817894477
"LINC02421",-0.0102048998033074,0.0261332109094361,-0.390495444232713,0.696343104235729,0.000316919679694236,483,0.865955817894477
"ENSG00000285894",0.0117914101350208,0.0302069814556853,0.390353804544133,0.696447753380642,0.000316689889301752,483,0.86604068367798
"LINC01504",0.0397696002449976,0.101934729638207,0.390147699279237,0.696600042660644,0.000316355661338877,483,0.866200630551694
"LEMD1-AS1",-0.0259200316438986,0.0664678953937762,-0.389963176814015,0.696736395017269,0.000316056582415946,483,0.866311321825202
"ENSG00000266941",-0.00847964436666795,0.0217440808477556,-0.389974836188268,0.696727779064507,0.000316075476057829,483,0.866311321825202
"ENSG00000287495",0.00693263636607741,0.0177819060990785,0.389870260671136,0.696805058860807,0.000315906034950489,483,0.866367268156962
"ELDR",-0.014567739279341,0.0373714695567669,-0.389809109786618,0.696850249943525,0.000315806974723807,483,0.866394027000876
"TMEM191A",0.0299933028674466,0.0769795752853428,0.389626764713489,0.696985011085297,0.000315511680381361,483,0.866532142713342
"ENSG00000224985",-0.0150301514832395,0.0385834616604557,-0.389549066786923,0.697042436232871,0.000315385896269501,483,0.866544672458498
"KCNK12",-0.0459774272340211,0.118024205887034,-0.389559301742118,0.697034871661001,0.00031540246406585,483,0.866544672458498
"GFOD1",0.0551897543260607,0.141687968996305,0.38951616511279,0.697066753796426,0.000315332639749723,483,0.866545473118165
"RP1L1",-0.0128631777132501,0.0330327995456296,-0.389406223214041,0.697148013905072,0.000315154714131604,483,0.866587628654235
"ZNF705A",0.00773803809620699,0.0198703845927109,0.389425683237433,0.697133630384833,0.000315186203809609,483,0.866587628654235
"SERPINA11",0.00445730318513142,0.0114494799273207,0.38930180352519,0.697225195672302,0.000314985771886982,483,0.866624709239327
"AOC4P",0.00445730318513142,0.0114494799273207,0.38930180352519,0.697225195672302,0.000314985771886984,483,0.866624709239327
"ENSG00000256948",-0.0304838172690499,0.0783338018256914,-0.389152786646083,0.697335346876344,0.00031474475352003,483,0.866732191411262
"NEDD4L",0.0529029909612078,0.135998898703374,0.388995730594805,0.697451447450882,0.000314490832428976,483,0.866817628089505
"ROMO1",0.0507593409029436,0.130486770292552,0.388999902358997,0.697448363464971,0.000314497575824384,483,0.866817628089505
"LINC01770",-0.00274014540069554,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"HES3",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000227066",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000271398",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC00853",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000287078",0.0165816880337856,0.04276805625011,0.387711986179942,0.698400696272823,0.000312419170884206,483,0.866899812815324
"ENSG00000283766",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000286851",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC02583",0.0055370994994216,0.0142894990804105,0.387494303912473,0.698561705695618,0.000312068561117128,483,0.866899812815324
"LINC01143",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC01826",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000224342",-0.00274014540069554,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045453,483,0.866899812815324
"CRYGC",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000286836",0.040298819178933,0.104039725148149,0.387340692428289,0.698675333136223,0.000311821265258951,483,0.866899812815324
"DES",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"SEC13",0.0430380614734622,0.110962238690073,0.387862231165606,0.698289575002351,0.000312661277558506,483,0.866899812815324
"ENSG00000285969",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC02429",-0.00980082785953239,0.0253365117862511,-0.386826250677918,0.699055918444187,0.000310993789601519,483,0.866899812815324
"ATOH1",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000288913",0.019366611991296,0.0498422640677321,0.388558031091408,0.69777504562629,0.000313783719944186,483,0.866899812815324
"SLC25A31",0.0182831210260227,0.0471503524178616,0.387762128774602,0.698363610062364,0.000312499960881044,483,0.866899812815324
"SLC6A19",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000290895",0.0283625861960631,0.0733022654256706,0.386926461704285,0.698981776120044,0.000311154892138852,483,0.866899812815324
"ENSG00000253424",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC02530",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000227131",-0.00274014540069554,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"GSTA5",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"RAET1E-AS1.1",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000271185",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"CCDC201",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000254007",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"CFAP95-DT",-0.00274014540069554,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000287187",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045453,483,0.866899812815324
"OR13C2",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"BRINP1",0.0628504599735613,0.162490399926468,0.386794912204064,0.699079105179195,0.000310943417396493,483,0.866899812815324
"ENSG00000237419",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"VAMP1-AS1",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC02376",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"TMEM132D-AS2",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"FAM216B",0.0084387467122421,0.0218148632288524,0.386834729317991,0.699049645309608,0.000311007418527814,483,0.866899812815324
"ENSG00000274766",-0.00274014540069555,0.00708603112266435,-0.386696777541849,0.699151714952496,0.000310785706045454,483,0.866899812815324
"RIPK3",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC02294",0.0308359108084865,0.0795249216733694,0.387751539512834,0.698371441978052,0.000312482898540905,483,0.866899812815324
"LINC02326",0.0512949686674708,0.132495388149106,0.387145314142899,0.698819865543965,0.000311506871408406,483,0.866899812815324
"RPL10L",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"TCL1A",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000258717",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000258736",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000273925",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000261407",-0.00836190762764613,0.0215473686572354,-0.388070940849582,0.698135223974863,0.000312997750449904,483,0.866899812815324
"ENSG00000287885",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000275088",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000182376",-0.00745412988258253,0.0191748737927979,-0.388744664665398,0.697637057723227,0.00031408513306072,483,0.866899812815324
"ENSG00000265043",-0.004940392644246,0.0127126391343759,-0.388620536776415,0.697728830807445,0.000313884650490169,483,0.866899812815324
"DLX4",-0.00274014540069556,0.00708603112266435,-0.38669677754185,0.699151714952494,0.000310785706045454,483,0.866899812815324
"ICAM2",0.0110996801882323,0.0285731918059818,0.388464833176552,0.697843955442576,0.00031363325948208,483,0.866899812815324
"RPL38",0.0616863584356636,0.159247655902201,0.387361170788894,0.698660184764812,0.00031185422727825,483,0.866899812815324
"ENSG00000267172",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045455,483,0.866899812815324
"LINC01544",-0.00930860647882652,0.0240407226863791,-0.387201607882635,0.698778220745942,0.0003115974404867,483,0.866899812815324
"PTPRS",0.0494590479678889,0.127666618239829,0.387407833385055,0.698625667688813,0.000311929342008385,483,0.866899812815324
"SUNO1",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000179066",0.0131000597036709,0.0338246184773648,0.387293642718759,0.698710137475594,0.000311745540524466,483,0.866899812815324
"ENSG00000286177",-0.0317545817935846,0.08198553440487,-0.38731932436728,0.698691139770295,0.000311786873031227,483,0.866899812815324
"C19orf85",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000287561",-0.00274014540069557,0.00708603112266435,-0.386696777541852,0.699151714952493,0.000310785706045455,483,0.866899812815324
"LINC01751",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"DEFB118",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ENSG00000275894",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"LINC00163",-0.00274014540069555,0.00708603112266435,-0.386696777541848,0.699151714952496,0.000310785706045454,483,0.866899812815324
"ODAPH",0.0158523606482714,0.0410101661684562,0.386547096228655,0.699262469375425,0.000310545231499355,483,0.866906297648282
"ENSG00000230612",0.046026677341594,0.119090604546691,0.386484538530903,0.699308759899642,0.00031044475529661,483,0.866906297648282
"LINC02748",0.0113060758755168,0.0292443196460919,0.386607587809884,0.699217708772092,0.000310642404683018,483,0.866906297648282
"NRG4",0.0404228066452845,0.10454811314281,0.386643100770914,0.699191431528569,0.000310699459489486,483,0.866906297648282
"ENSG00000267122",0.0120893297013794,0.0312817694054385,0.386465661347071,0.699322728580441,0.000310414439152355,483,0.866906297648282
"ENSG00000289072",0.00674023660790189,0.0174379377075036,0.386527163989211,0.699277218418813,0.000310513215838655,483,0.866906297648282
"ARMCX2",0.0436381128577733,0.112889457894022,0.386556137941063,0.699255778914932,0.000310559755067224,483,0.866906297648282
"ENSG00000287820",-0.00959449124075999,0.0248283561966704,-0.386432801461366,0.699347044381758,0.000310361670770802,483,0.866907081599441
"TIRAP",0.0416780487142539,0.107921818485604,0.386187420663351,0.699528632110764,0.000309967765201104,483,0.867102812386807
"ENSG00000290933",-0.0114142269225644,0.0295588309597025,-0.386152853545711,0.699554213999888,0.000309912295283464,483,0.867105158960141
"DXO",0.0336617548953841,0.0871990479829169,0.386033513828944,0.69964253569075,0.000309720828733614,483,0.867118678057715
"MCAM",0.0235213116653601,0.0609387990073342,0.38598252752781,0.699680271197149,0.000309639045226865,483,0.867118678057715
"ENSG00000256482",0.0204487074181722,0.0529665142908867,0.386068588653389,0.699616576870275,0.000309777096033945,483,0.867118678057715
"CSRP2",-0.0660746741078194,0.171142037024312,-0.386080914173255,0.699607454856698,0.000309796869939092,483,0.867118678057715
"DOK4",0.0489012301937681,0.126694321199048,0.385978074873143,0.699683566689779,0.000309631903551805,483,0.867118678057715
"LIPH",0.024006840536327,0.0622249438283114,0.385807347654112,0.699809929362587,0.000309358133842006,483,0.86723860753597
"ENSG00000255132",-0.06080840244031,0.157623207932035,-0.385783307154426,0.699827723456384,0.000309319593404265,483,0.86723860753597
"CSMD2-AS1",-0.0473931090455583,0.122913167780692,-0.385582032432193,0.699976707763956,0.000308997014689653,483,0.86724488533876
"LINC02106",-0.00474736813874215,0.0123131591337116,-0.385552406753565,0.699998637780943,0.000308949548440109,483,0.86724488533876
"SPAM1",-0.0073105156623712,0.0189596079411359,-0.385583693769841,0.699975477988154,0.000308999676591981,483,0.86724488533876
"OR56B1",0.00565483623844345,0.0146595488917448,0.385744219020809,0.699856655733563,0.00030925693452869,483,0.86724488533876
"ALKBH3-AS1",0.031856267424018,0.0826002398160855,0.385667977416869,0.699913089545209,0.000309134736318972,483,0.86724488533876
"ENSG00000274630",-0.0073105156623712,0.0189596079411359,-0.385583693769841,0.699975477988154,0.000308999676591981,483,0.86724488533876
"TNFRSF13C",0.0125148170391654,0.0324534024065861,0.385624190720465,0.699945501080996,0.000309064566960975,483,0.86724488533876
"CD24",0.0604336436390564,0.156779846504883,0.385468189861853,0.70006097959229,0.0003088146360679,483,0.867292767108786
"DIPK1B",0.043852502250528,0.113807275635836,0.385322484924853,0.700168842904925,0.000308581291621112,483,0.867391989330361
"ENSG00000259945",-0.0190977029589431,0.0495663174107469,-0.385295982364071,0.700188463029546,0.000308538857606463,483,0.867391989330361
"ENSG00000283627",-0.0076524100061725,0.0198630061959082,-0.385259407901152,0.700215539818905,0.000308480301966142,483,0.867396176504491
"ENSG00000253389",0.00878888768326091,0.0228206752913193,0.38512829138777,0.700312611075919,0.000308270430322984,483,0.867487066525311
"ENSG00000249174",0.0117306231920733,0.0304748128793246,0.384928473179628,0.700460554629069,0.000307950728537781,483,0.867640964489947
"LAMTOR5",0.0475162306978025,0.123518033032912,0.384690636104459,0.700636661858923,0.000307570413968434,483,0.867734294805876
"SHOX2",-0.00519613954831091,0.0135126609547025,-0.384538586865277,0.700749255667733,0.000307327401888862,483,0.867734294805876
"MMRN1",0.021261724125308,0.055269400404198,0.384692505614609,0.700635277511146,0.00030757340250258,483,0.867734294805876
"ENSG00000273333",-0.00519613954831091,0.0135126609547025,-0.384538586865277,0.700749255667733,0.000307327401888863,483,0.867734294805876
"LINC02652",0.0257020196812478,0.0668281048416541,0.384598960903462,0.700704547367957,0.000307423882964768,483,0.867734294805876
"NPM3",0.0383971307081617,0.0998350812961585,0.384605593641553,0.700699635743287,0.000307434483371971,483,0.867734294805876
"LINC01979",-0.00519613954831091,0.0135126609547025,-0.384538586865277,0.700749255667733,0.000307327401888863,483,0.867734294805876
"SIGLEC6",-0.00519613954831091,0.0135126609547025,-0.384538586865277,0.700749255667733,0.000307327401888863,483,0.867734294805876
"ENSG00000279298",-0.00519613954831091,0.0135126609547025,-0.384538586865277,0.700749255667733,0.000307327401888863,483,0.867734294805876
"ENSG00000267564",0.00577257297746528,0.0150136668078864,0.384487883694946,0.700786803281016,0.000307246387085747,483,0.867742623140857
"LIVAR",0.00643020787363223,0.016725059065281,0.384465480721708,0.700803393762704,0.000307210594449326,483,0.867742623140857
"NRG1-IT3",-0.0250450812520503,0.0651522817467109,-0.384408351950232,0.700845701019993,0.00030711933075433,483,0.867765654369848
"ENSG00000289275",0.00830354524620037,0.0216092181891781,0.384259401404849,0.700956012145501,0.000306881444698643,483,0.867814174003042
"ENSG00000255167",0.0349178431466122,0.0908671054350839,0.384273747682629,0.700945387175646,0.000306904352856079,483,0.867814174003042
"ENSG00000258455",-0.0345688873648295,0.0899473891736572,-0.38432341041149,0.700908607008413,0.000306983660971193,483,0.867814174003042
"CFTR",-0.0469637784002557,0.122248789595762,-0.384165590150628,0.701025490968618,0.000306731667805619,483,0.867862075109233
"ODF1",0.0124825443922664,0.0324945137683704,0.384143135091829,0.701042122085832,0.000306695821992486,483,0.867862075109233
"LINC01133",0.0165475097580482,0.0430824126518913,0.384089672316014,0.701081719340381,0.000306610485874838,483,0.867881742863651
"ENSG00000230286",-0.0438120012707521,0.114080564523964,-0.384044394008488,0.701115255397951,0.000306538222904883,483,0.867893455448365
"GAU1",0.0402649546047619,0.104853137319975,0.384012873948515,0.701138601548017,0.000306487922754063,483,0.867893455448365
"ENSG00000287503",0.0336508449192515,0.0876479889598915,0.383931740118424,0.701198696726038,0.000306358467224952,483,0.867938492322463
"ENSG00000254366",0.0133527367684066,0.034783541957925,0.383880882072285,0.701236367829623,0.000306277333066242,483,0.867952856295528
"ENSG00000279914",0.0110340706452159,0.0287456343549026,0.383852048940225,0.701257725168942,0.000306231340158794,483,0.867952856295528
"MYT1L",0.0649693770888912,0.169279557599605,0.383799308139514,0.701296792060481,0.000306147220079913,483,0.867971860577578
"ENSG00000248148",-0.00977640181975985,0.0254889748184292,-0.383554140148911,0.701478406666717,0.000305756335666431,483,0.868167284204372
"BAD",0.04228565774765,0.110279593984839,0.383440455479581,0.701562627367941,0.000305575166789599,483,0.868242161550398
"ENSG00000259111",0.00314203339279756,0.00819512061951773,0.383402946542898,0.701590415817414,0.000305515403990833,483,0.868247196584645
"PTPRJ-AS1",0.0118509533405018,0.0309164409937451,0.383322043533387,0.701650354075143,0.000305386521515813,483,0.868292016652576
"RTN1",0.0518825201778314,0.135408045458478,0.383156850113022,0.701772745982335,0.000305123444632708,483,0.868414117442103
"PPP1R35",0.039854615029555,0.104075546663696,0.382939281196755,0.701933954768081,0.000304777130572195,483,0.868573574873837
"CHRNA4",0.0435360794985458,0.113695303040567,0.38291889228715,0.701949062723141,0.000304744686711845,483,0.868573574873837
"MAB21L2",-0.0073535893822394,0.019217091808773,-0.382658804746009,0.702141795061679,0.000304330973693574,483,0.868782688247903
"ENSG00000271851",0.0175749074476932,0.045941837879345,0.382546895356024,0.702224729047792,0.000304153049360314,483,0.868855935034659
"DCAF8-DT",0.0167580604678922,0.0438184479910315,0.382443040230957,0.702301697348711,0.000303987976975459,483,0.868892834772674
"CTNNA1-AS1",0.0113069025696054,0.029564966661867,0.382442594944274,0.702302027362701,0.000303987269311536,483,0.868892834772674
"ENSG00000289079",0.0107274120110861,0.0280569878769247,0.382343680588349,0.702375336859298,0.000303830091830297,483,0.868954163328413
"ENSG00000251680",0.0813028609588974,0.212755972536923,0.382141380048862,0.702525278756384,0.000303508757472667,483,0.86899980143303
"ENSG00000275846",0.0169309542009205,0.0443067171647908,0.38213064032591,0.702533239190478,0.00030349170323522,483,0.86899980143303
"ENSG00000272293",0.0109558763042128,0.0286617709770143,0.382247011637872,0.702446984877215,0.000303676521592369,483,0.86899980143303
"MIR124-2HG",0.0587338646739563,0.153692229319894,0.382152467524613,0.702517060597347,0.000303526364429453,483,0.86899980143303
"TEX53",-0.0272032979544285,0.0711998308149369,-0.38206969936678,0.702578410108433,0.000303394940568741,483,0.86899980143303
"LRRN4CL",-0.00936462181788456,0.024509841329338,-0.382075987031185,0.702573749490225,0.00030340492347225,483,0.86899980143303
"CYLC1",0.00907755962380477,0.0237532305327962,0.382161054315173,0.702510695997661,0.000303540000638518,483,0.86899980143303
"ENSG00000287026",0.0294633356564766,0.0771763751420046,0.381766254274886,0.702803346657194,0.000302913356866178,483,0.869082811306362
"ENSG00000222007",0.0357599691673387,0.0936828120449199,0.381713234122308,0.70284265190084,0.000302829250250088,483,0.869082811306362
"TUSC2",0.0402139481419804,0.105317605899557,0.38183500088611,0.702752384159814,0.00030302242795732,483,0.869082811306362
"LINC02497",0.0280514632779702,0.0734801258917358,0.381755786854539,0.702811106370049,0.000302896751325256,483,0.869082811306362
