sample,factor,value,group,GW,Sex,batch1_frac
SSD43_tissue43,Factor2,-0.014236468821763992,group1,19,F,0.2711017112093828
SSD46_tissue46,Factor2,1.056647777557373,group1,17,M,0.6117689271618227
SSD47_tissue47,Factor2,0.5738368034362793,group1,19,M,0.3740685543964232
SSD49_tissue49,Factor2,0.49910545349121094,group1,19,M,0.6220111921315923
SSD50_tissue50,Factor2,-0.7764241695404053,group1,21,M,0.45469893078221724
SSD02_tissue2,Factor3,-0.08087943494319916,group1,21,F,0.14153846153846153
SSD03_tissue3,Factor3,-0.2418937236070633,group1,22,F,0.23132969034608378
SSD06_tissue6,Factor3,-0.9599074125289917,group1,21,F,0.6296296296296297
SSD07_tissue7,Factor3,0.26993584632873535,group1,22,M,0.4447024673439768
SSD15_tissue15,Factor3,-0.15139417350292206,group1,21,M,0.3424657534246575
SSD17_tissue17,Factor3,-0.4134954512119293,group1,18,M,0.11738401341531582
SSD18_tissue18,Factor3,-0.6326375603675842,group1,23,F,0.0205761316872428
SSD21_tissue21,Factor3,-1.4821398258209229,group1,23,F,0
SSD23_tissue23,Factor3,-0.1673521250486374,group1,18,M,0.3431098696461825
SSD24_tissue24,Factor3,0.5530510544776917,group1,17,F,0.10211764705882354
SSD26_tissue26,Factor3,0.11598912626504898,group1,24,M,0.9989664082687338
SSD31_tissue31,Factor3,0.6647550463676453,group1,17,F,0.4593513993780542
SSD33_tissue33,Factor3,0.8032854199409485,group1,16,F,0.3500256805341551
SSD37_tissue37,Factor3,-0.13079755008220673,group1,23,M,0.5490727234840592
SSD40_tissue40,Factor3,-0.4059382975101471,group1,19,F,0.5965018094089264
SSD41_tissue41,Factor3,-0.258767694234848,group1,23,M,1
SSD42_tissue42,Factor3,0.29746559262275696,group1,24,F,0.21207658321060383
SSD43_tissue43,Factor3,-0.3139714300632477,group1,19,F,0.2711017112093828
SSD46_tissue46,Factor3,1.1482893228530884,group1,17,M,0.6117689271618227
SSD47_tissue47,Factor3,-0.38767167925834656,group1,19,M,0.3740685543964232
SSD49_tissue49,Factor3,-0.2686207890510559,group1,19,M,0.6220111921315923
SSD50_tissue50,Factor3,1.844589352607727,group1,21,M,0.45469893078221724
SSD02_tissue2,Factor4,-0.20374901592731476,group1,21,F,0.14153846153846153
SSD03_tissue3,Factor4,-0.2065376341342926,group1,22,F,0.23132969034608378
SSD06_tissue6,Factor4,1.611527681350708,group1,21,F,0.6296296296296297
SSD07_tissue7,Factor4,-0.3700997829437256,group1,22,M,0.4447024673439768
SSD15_tissue15,Factor4,-0.3264646828174591,group1,21,M,0.3424657534246575
SSD17_tissue17,Factor4,-1.170955777168274,group1,18,M,0.11738401341531582
SSD18_tissue18,Factor4,-0.13167737424373627,group1,23,F,0.0205761316872428
SSD21_tissue21,Factor4,-0.2553365230560303,group1,23,F,0
SSD23_tissue23,Factor4,-0.3341248333454132,group1,18,M,0.3431098696461825
SSD24_tissue24,Factor4,-0.29747095704078674,group1,17,F,0.10211764705882354
SSD26_tissue26,Factor4,-0.012112431228160858,group1,24,M,0.9989664082687338
SSD31_tissue31,Factor4,0.031218677759170532,group1,17,F,0.4593513993780542
SSD33_tissue33,Factor4,-0.03510280326008797,group1,16,F,0.3500256805341551
SSD37_tissue37,Factor4,0.3465333878993988,group1,23,M,0.5490727234840592
SSD40_tissue40,Factor4,0.15016372501850128,group1,19,F,0.5965018094089264
SSD41_tissue41,Factor4,1.9676812887191772,group1,23,M,1
SSD42_tissue42,Factor4,-0.6080559492111206,group1,24,F,0.21207658321060383
SSD43_tissue43,Factor4,-0.5187526345252991,group1,19,F,0.2711017112093828
SSD46_tissue46,Factor4,0.4292658567428589,group1,17,M,0.6117689271618227
SSD47_tissue47,Factor4,-0.3516041338443756,group1,19,M,0.3740685543964232
SSD49_tissue49,Factor4,-0.4282027781009674,group1,19,M,0.6220111921315923
SSD50_tissue50,Factor4,0.22636738419532776,group1,21,M,0.45469893078221724
SSD02_tissue2,Factor5,0.9417192935943604,group1,21,F,0.14153846153846153
SSD03_tissue3,Factor5,0.12488555163145065,group1,22,F,0.23132969034608378
SSD06_tissue6,Factor5,0.260405570268631,group1,21,F,0.6296296296296297
SSD07_tissue7,Factor5,0.20460280776023865,group1,22,M,0.4447024673439768
SSD15_tissue15,Factor5,0.20751339197158813,group1,21,M,0.3424657534246575
SSD17_tissue17,Factor5,-6.228450298309326,group1,18,M,0.11738401341531582
SSD18_tissue18,Factor5,0.11801465600728989,group1,23,F,0.0205761316872428
SSD21_tissue21,Factor5,0.12018772959709167,group1,23,F,0
SSD23_tissue23,Factor5,0.09225164353847504,group1,18,M,0.3431098696461825
SSD24_tissue24,Factor5,0.34953126311302185,group1,17,F,0.10211764705882354
SSD26_tissue26,Factor5,-0.0405249185860157,group1,24,M,0.9989664082687338
SSD31_tissue31,Factor5,0.32864317297935486,group1,17,F,0.4593513993780542
SSD33_tissue33,Factor5,0.4984176754951477,group1,16,F,0.3500256805341551
SSD37_tissue37,Factor5,-0.14870727062225342,group1,23,M,0.5490727234840592
SSD40_tissue40,Factor5,-0.33310091495513916,group1,19,F,0.5965018094089264
SSD41_tissue41,Factor5,-0.10314479470252991,group1,23,M,1
SSD42_tissue42,Factor5,0.13506649434566498,group1,24,F,0.21207658321060383
SSD43_tissue43,Factor5,-0.07288838922977448,group1,19,F,0.2711017112093828
SSD46_tissue46,Factor5,-0.4464232623577118,group1,17,M,0.6117689271618227
SSD47_tissue47,Factor5,-0.12113354355096817,group1,19,M,0.3740685543964232
SSD49_tissue49,Factor5,-0.3420555293560028,group1,19,M,0.6220111921315923
SSD50_tissue50,Factor5,-0.4489748775959015,group1,21,M,0.45469893078221724
