Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
N-Acetyl-1-Aspartylglutamic Acid,C18-Pos-001811,91,0.28547630885188235,23.1982062595589,22.869862642030643,-0.02056555620621739,0.9729425037266315,1,FALSE,FALSE,Higher in Females,N-Acetyl-1-Aspart...
Adenosine 3'5'-Cyclic Monophosphate,C18-Pos-002092,63,0.623604884395689,22.574056952273875,22.68164136796832,0.0068593260582045686,0.9729425037266315,1,FALSE,FALSE,Higher in Males,Adenosine 3'5'-Cy...
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,C18-Pos-002507,71,0.9769702553219757,18.35026380899892,18.383957558221663,0.0026465686074398677,1,1,FALSE,FALSE,Higher in Males,2-(Alpha-D-Mannop...
N6-Succinyladenosine; Lc-Tdda; Ce10,C18-Pos-002703,98,0.05253897729199801,16.092615801894713,15.988951853764537,-0.009323483565417035,0.6023817952588609,1,FALSE,FALSE,Higher in Females,N6-Succinyladenos...
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,C18-Pos-004537,61,0.5443701458566099,18.645422237505667,18.812430820233086,0.012864808364185519,0.9729425037266315,1,FALSE,FALSE,Higher in Males,1-Linoleoyl-Sn-Gl...
1-Oleoyl-Sn-Glycero-3-Phosphocholine,C18-Pos-004585,53,0.28547630885188235,17.72237772191262,18.18281550144034,0.037003433637903635,0.9729425037266315,1,FALSE,FALSE,Higher in Males,1-Oleoyl-Sn-Glyce...
5'-S-Methyl-5'-Thioadenosine,C8-Pos-000483,86,0.031733993756896575,18.655964192162752,18.263662836024057,-0.030660793130637295,0.6023817952588609,1,FALSE,FALSE,Higher in Females,5'-S-Methyl-5'-Th...
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,C8-Pos-002038,43,0.8242120391033195,16.653347722767617,16.433493653244092,-0.019173002373047157,0.979836634630004,1,FALSE,FALSE,Higher in Females,1-Palmitoyl-Sn-Gl...
2-(5-Oxovaleryl)Phosphatidylcholine,C8-Pos-002923,66,0.7168594361961287,15.366653468305765,15.278639014154221,-0.008286973650902321,0.9791250835849563,1,FALSE,FALSE,Higher in Females,2-(5-Oxovaleryl)P...
Dl-Dipalmitoylphosphatidylcholine,C8-Pos-003901,76,0.8398599725400034,20.22976559118842,20.16188126126574,-0.004849343167491368,0.979836634630004,1,FALSE,FALSE,Higher in Females,Dl-Dipalmitoylpho...
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,C8-Pos-004099,63,0.623604884395689,16.423042327556054,17.012185251456238,0.05084706263299743,0.9729425037266315,1,FALSE,FALSE,Higher in Males,1-Hexadecanoyl-2-...
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,C8-Pos-004250,68,0.37873825188653026,20.14228030680661,19.816685113074076,-0.023511367856190537,0.9729425037266315,1,FALSE,FALSE,Higher in Females,1-(1z-Octadecenyl...
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",C8-Pos-004336,57,0.3477455989106975,18.832957179658386,18.331403879432635,-0.038942275456741796,0.9729425037266315,1,FALSE,FALSE,Higher in Females,1-Hexadecanoyl-2-...
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,C8-Pos-004574,62,0.5833604667027033,17.588921014446914,17.719452804331112,0.010667068658429956,0.9729425037266315,1,FALSE,FALSE,Higher in Males,1-Palmitoyl-2-Doc...
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,C8-Pos-004641,62,0.8294475889935781,17.749482621109287,17.7325588227128,-0.00137623884520842,0.979836634630004,1,FALSE,FALSE,Higher in Females,N-Nervonoyl-D-Ery...
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",C8-Pos-004898,78,0.7508318840891169,16.91192884462125,16.682879428621078,-0.019672895546843323,0.979836634630004,1,FALSE,FALSE,Higher in Females,"1,2-Dieicosenoyl-..."
