Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
5-Methyl D-Glutamate,-0.17700338315903896,18.04314149064881,-0.8128795334366647,0.42411007801501466,0.8495772738187187,-4.637858982024495,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Acetylcholine,-0.24625960709638064,22.565054766485417,-0.809319457732937,0.4261156974273461,0.8495772738187187,-4.638415045874471,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Higher in Females,
L-Kynurenine,-0.18992057229593975,20.95675641044423,-0.7412100603113353,0.4669647525604441,0.8495772738187187,-4.639128989398383,C18-Pos-001046,Carbonyl compounds,Organooxygen compounds,Higher in Females,
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.16700858272741712,18.728926528869376,0.7901679148330486,0.437005466989273,0.8495772738187187,-4.641368393384862,C18-Pos-004537,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.21985406952352737,16.531206573032325,-0.6545988239706473,0.5207736969396433,0.8570864094163712,-4.6437284036810995,C8-Pos-002038,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.13053178988419517,17.65418690938901,0.7446765663592649,0.463545425887405,0.8495772738187187,-4.648124466712583,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
Glycine,-0.19766251559616702,18.323511091278213,-0.677900821436178,0.5041819886375691,0.8570864094163712,-4.657371013818983,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Methyl L-Tryptophanate,-0.13338030642904716,24.931995433411654,-0.5279282578529012,0.6034995516476949,0.8622341094847716,-4.657710004799029,C18-Pos-001113,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
2-(5-Oxovaleryl)Phosphatidylcholine,-0.08801445415154206,15.32664689823688,-0.6053726188316793,0.5509841203390957,0.8570864094163712,-4.660241461709898,C8-Pos-002923,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
Adenosine 5'-Diphosphate,-0.2082436778974559,20.277956254238713,-0.6415497906396606,0.5271178471044841,0.8570864094163712,-4.662063907903173,Amide-Pos-001677,Purine ribonucleotides,Purine nucleotides,Higher in Females,
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",-0.22904941600017445,16.797404136621164,-0.6096620295067666,0.5476943388425488,0.8570864094163712,-4.665980149874323,C8-Pos-004898,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.23638083979452004,22.001250056430926,-0.5790999925664047,0.5678042577592259,0.8593794171490987,-4.669556123374685,Amide-Pos-002276,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
L-Tyrosine,-0.11864978347282808,21.265575851812184,-0.5516320231978952,0.5861932598446825,0.8622341094847716,-4.672620680317578,C18-Pos-000832,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Adenosine 3'5'-Cyclic Monophosphate,0.10758441569444675,22.627849160121098,0.4891014366374813,0.6291165256811306,0.8622341094847716,-4.67906437150566,C18-Pos-002092,Cyclic purine nucleotides,Purine nucleotides,Higher in Males,
Adenosine Triphosphate (Atp),-0.19174593140089277,18.091461725447964,-0.3946278438588942,0.6968302052536897,0.8689769022884527,-4.679598797017919,Amide-Neg-001422,Purine ribonucleotides,Purine nucleotides,Higher in Females,
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,0.034993999818781124,30.8930086105761,0.4818296905608896,0.634199780225573,0.8622341094847716,-4.679765297450748,Amide-Pos-002226,Phosphosphingolipids,Sphingolipids,Higher in Males,
L-Phenylalanine,0.05736840317489953,26.03536607852821,0.4426367675224208,0.6620726197829496,0.8622341094847716,-4.679799655955518,C18-Pos-000721,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Dl-Pyroglutamic Acid,0.10337413684310913,15.78292566785169,0.24746698817120621,0.8070061460417537,0.938776666663809,-4.681220954881063,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
N-Acetylglycine,0.14383850998047779,18.008165350874705,0.4510275904854899,0.6559332323779714,0.8622341094847716,-4.6826216270607866,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
1-Myristoyl-Sn-Glycero-3-Phosphocholine,-0.06027870939528755,16.59679639332836,-0.18789224868915627,0.8527215508978103,0.938776666663809,-4.687333793694955,Amide-Pos-001743,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
2'-Deoxyadenosine,-0.039900487791086216,21.892960672898315,-0.10942220658785887,0.9138815895900452,0.9603472820787136,-4.6878848440243095,Amide-Pos-000996,Purine 2'-deoxyribonucleosides,Purine nucleosides,Higher in Females,
D-Phenylalanine,-0.13811133718624682,17.082142525113365,-0.3765792099112297,0.7097255024283803,0.8689769022884527,-4.688766700067451,Amide-Pos-000583,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
L-Pyroglutamic Acid,0.09118141170244762,20.502607834756574,0.37102895902401195,0.713802455451229,0.8689769022884527,-4.689181539014875,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Dl-Dipalmitoylphosphatidylcholine,-0.06788432992268216,20.195823426227083,-0.26052665197766406,0.7966330506565836,0.938776666663809,-4.696177601936606,C8-Pos-003901,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
D-Tyrosine,0.06953603731502506,17.99479671764897,0.16297145200300792,0.8719331075697881,0.9390048850751564,-4.696189269208983,Amide-Neg-000781,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.019891987874629726,26.809863756800905,0.22746973084321406,0.8219445388551663,0.938776666663809,-4.697799856766439,Amide-Pos-002176,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,-0.016923798396488852,17.74065281325025,-0.09381701590119947,0.9260491648616167,0.9603472820787136,-4.697920094886738,C8-Pos-004641,Phosphosphingolipids,Sphingolipids,Higher in Females,
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0.03369374922274259,18.367110683610292,0.18473377561049473,0.8549573214259688,0.938776666663809,-4.699573571915924,C18-Pos-002507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Higher in Males,
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,-0.007144828613470449,22.460570071204145,-0.023575633809315537,0.981381925163747,0.9919432217127873,-4.702960123970172,Amide-Pos-002228,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
L-Aspartic Acid,-0.001375016719849316,21.398300323843852,-0.010201311006386143,0.9919432217127873,0.9919432217127873,-4.703005752088979,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
