pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.05546806649168854,0.8758892471467322,0.07980020895275265,-0.7173811293821972,-1.447224666392569,5,5'-S-Methyl-5'-Thioadenosine;S-Adenosyl-L-Homocysteine;L-(-)-Methionine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Nitrogen metabolism (KEGG),0.0720081135902637,0.8758892471467322,0.06843577449753617,-0.5378532948778959,-1.4428053839212414,12,"Biotin;L-Glutamine;L-Glutamic Acid;L-Histidine;D,L-Serine;Glycine;L-Serine;Adenosine 5'-Diphosphate","Sex (limma t-statistic, positive = higher in males)",KEGG
Nucleotide catabolism (Reactome),0.07539886773031394,0.8758892471467322,0.08311232138239058,0.39134710050419164,1.387687215143607,26,Inosine;Hypoxanthtine;D-Ribose 5-Phosphate;Adenosine;Dl-Alanine;Xanthine;Cytidine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Ferroptosis (WikiPathways),0.08068085106382979,0.8758892471467322,0.06471153297295634,-0.5784281703277375,-1.4194721404360562,9,"L-Glutamine;L-Glutathione Oxidized;L-(-)-Methionine;1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine;Cytidine 2',3'-Cyclic Monophosphoric Acid;Arachidonic Acid","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Urea cycle and related diseases (WikiPathways),0.09574835810577255,0.8758892471467322,0.05960075543425571,-0.6420495743383896,-1.37989526092707,6,L-Glutamine;L-Glutamic Acid;N-Acetylglutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
tRNA modification in the nucleus and cytosol (Reactome),0.09937780850328379,0.8758892471467322,0.058436248184975975,-0.6387582336887302,-1.3728214997315398,6,5'-S-Methyl-5'-Thioadenosine;S-Adenosyl-L-Homocysteine;L-(-)-Methionine;Guanine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Nucleotide biosynthesis (Reactome),0.1029113067027759,0.8758892471467322,0.05672737006251014,-0.5271467519889428,-1.377044799173499,11,L-Glutamine;L-Glutamic Acid;Uridine Monophosphate;Guanosine-5'-Monophosphate;Glycine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate;Inosine-5'-Monophosphate (Imp),"Sex (limma t-statistic, positive = higher in males)",Reactome
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.10410244249466445,0.8758892471467322,0.06736792242893799,0.625716397292607,1.4240429258868517,6,"D-Glucose 6-Phosphate;D-(+)-Glucose;D-Glucose;D-Fructose-1,6-Bisphosphate;Pyruvic Acid;Dl-Lactic Acid","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),0.10695056289769946,0.8758892471467322,0.06752914363158005,0.4887576064458581,1.3918688305936957,12,Inosine;Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Disorders of folate metabolism and transport (WikiPathways),0.10922917386795714,0.8758892471467322,0.055567847676256846,-0.63005780346820806,-1.3541225037206839,6,"L-Glutamic Acid;S-Adenosyl-L-Homocysteine;D,L-Serine;L-(-)-Methionine;Glycine;L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
One-carbon metabolism (WikiPathways),0.10922917386795714,0.8758892471467322,0.055567847676256846,-0.63005780346820806,-1.3541225037206839,6,"S-Adenosyl-L-Homocysteine;D,L-Serine;Choline;L-(-)-Methionine;Glycine;L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Biomarkers for urea cycle disorders (WikiPathways),0.11086662153012863,0.8758892471467322,0.05451571338508231,-0.5222896152309969,-1.364356691191864,11,L-Glutamine;L-Glutamic Acid;N-Acetylglutamic Acid;L-(-)-Methionine;Beta-Alanine;L-Tyrosine;L(+)-Ornithine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Propanoate metabolism (KEGG),0.11625531914893616,0.8758892471467322,0.05330570179080627,-0.5540086797558412,-1.3595463132917665,9,Biotin;(R)-Pantetheine;L-Valine;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",KEGG
Nucleotide salvage defects (Reactome),0.12199673431303942,0.8758892471467322,0.06144390609188169,0.6531042105402163,1.3982344672102298,5,Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Serine metabolism (WikiPathways),0.12390445093658704,0.8758892471467322,0.05177506345682876,-0.5959667215608222,-1.34575971199298,7,"L-Glutamic Acid;Phosphoserine;D,L-Serine;Glycine;L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Pyrimidine biosynthesis (Reactome),0.12458442694663167,0.8758892471467322,0.05212675291142217,-0.6563127762084013,-1.3240270752805723,5,L-Glutamine;L-Glutamic Acid;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Purine metabolism (WikiPathways),0.12468827930174564,0.8758892471467322,0.06291881263602403,0.42279999665674073,1.3349926589047914,17,Inosine;Hypoxanthtine;D-Ribose 5-Phosphate;Adenosine;Xanthine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),0.1308987431823571,0.8758892471467322,0.059715047901050484,0.6008942212056353,1.367551127981738,6,Inosine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Abacavir ADME (Reactome),0.1364590622813156,0.8758892471467322,0.05790347029013962,0.6403306470048988,1.3708874733983123,5,Inosine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Abacavir metabolism (Reactome),0.1364590622813156,0.8758892471467322,0.05790347029013962,0.6403306470048988,1.3708874733983123,5,Inosine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Azathioprine ADME (Reactome),0.13809194607673694,0.8758892471467322,0.048974194902518565,-0.6125739559857665,-1.3165461556502818,6,L-Glutamine;L-Glutamic Acid;S-Adenosyl-L-Homocysteine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.14186086069059364,0.8758892471467322,0.04784366789238935,-0.5185293435418515,-1.3119826379324027,10,L-Glutamine;L-Glutamic Acid;Guanosine-5'-Monophosphate;Glycine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate;Inosine-5'-Monophosphate (Imp),"Sex (limma t-statistic, positive = higher in males)",Reactome
Metabolism overview (WikiPathways),0.1455242540423404,0.8758892471467322,0.04666258066864363,-0.4312396994414574,-1.2939461193955188,18,Citric Acid;Udp-Β-D-Glucose (Sodium Salt);L-Glutamine;L-Malic Acid;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Creatine pathway (WikiPathways),0.15157276183892154,0.8758892471467322,0.04654578232320299,-0.605388048943961,-1.3011021783177408,6,Phosphocreatine;S-Adenosyl-L-Homocysteine;Creatinine;Glycine;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Pantothenate and CoA Biosynthesis (KEGG),0.1620297462817148,0.8758892471467322,0.045175062690247146,-0.6325160358272269,-1.2760201954661639,5,D-Panthenol;(R)-Pantetheine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Ethanol effects on histone modifications (WikiPathways),0.16675415573053368,0.8758892471467322,0.04446389088019696,-0.6288461538461538,-1.2686166779937535,5,"S-Adenosyl-L-Homocysteine;D,L-Serine;L-(-)-Methionine;Glycine;L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Urea cycle and metabolism of amino groups (WikiPathways),0.16737540398026876,0.8758892471467322,0.043682502842664936,-0.5060254396142583,-1.2803452676201996,10,Phosphocreatine;L-Glutamic Acid;Creatinine;N-Acetylglutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Pyrimidine salvage (Reactome),0.1691012201409177,0.8758892471467322,0.043682502842664936,-0.5691967853016676,-1.2853101929060093,7,Uridine;Pseudouridine;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Pyrimidine metabolism and related diseases (WikiPathways),0.17165668662674652,0.8758892471467322,0.04254035000420001,-0.4357949782170089,-1.267236470247752,16,Uridine;L-Glutamine;L-Valine;L-Glutamic Acid;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Phenylalanine and Tyrosine Metabolism (KEGG),0.18027152431689294,0.8763196267133275,0.04215406713532638,-0.5632551519491469,-1.2718933182719445,7,Phenylacetylglutamine;L-Glutamine;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",KEGG
Metabolism of folate and pterines (Reactome),0.18495188101487314,0.8763196267133275,0.041975396611766476,-0.6192307692307693,-1.249218869461739,5,"L-Glutamic Acid;D,L-Serine;Glycine;L-Serine;Adenosine 5'-Diphosphate","Sex (limma t-statistic, positive = higher in males)",Reactome
The phototransduction cascade (Reactome),0.18495188101487314,0.8763196267133275,0.041975396611766476,-0.6192307692307693,-1.249218869461739,5,S-Adenosyl-L-Homocysteine;L-(-)-Methionine;Guanosine-5'-Monophosphate;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Creatine metabolism (Reactome),0.19587804462612843,0.9016793409378961,0.04003182126650252,-0.5296051675627023,-1.2515663757191373,8,Phosphocreatine;S-Adenosyl-L-Homocysteine;Creatinine;Glycine;Adenosine 5'-Diphosphate;L(+)-Ornithine,"Sex (limma t-statistic, positive = higher in males)",Reactome
TP53 Regulates Metabolic Genes (Reactome),0.20437445319335082,0.9016793409378961,0.03968161484343965,-0.6097595533961004,-1.2301119030038048,5,L-Glutamine;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.2062992125984252,0.9016793409378961,0.03947138817316826,-0.6082891978813172,-1.22714564882983,5,L-Glutamic Acid;Arachidonic Acid;Glycine;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Glucose metabolism (Reactome),0.21551284232012247,0.9016793409378961,0.03788503263553642,-0.48463840987121776,-1.226231817630752,10,Citric Acid;L-Malic Acid;L-Glutamic Acid;Dihydroxyacetone Phosphate;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Serine biosynthesis (Reactome),0.215923009623797,0.9016793409378961,0.038460913461631795,-0.6041531661217503,-1.2188017338057713,5,"L-Glutamic Acid;Phosphoserine;D,L-Serine;L-Serine","Sex (limma t-statistic, positive = higher in males)",Reactome
Gluconeogenesis (Reactome),0.22125702606029637,0.9016793409378961,0.037346699913755436,-0.5182271834706217,-1.2246778497278774,8,L-Malic Acid;L-Glutamic Acid;Dihydroxyacetone Phosphate;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Carboxyterminal post-translational modifications of tubulin (Reactome),0.22362204724409449,0.9016793409378961,0.037697812585632456,-0.6,-1.2104232523977096,5,L-Glutamic Acid;Glycine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate;L-Tyrosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
"Cerebral organic acidurias, including diseases (WikiPathways)",0.2330300909727082,0.9016793409378961,0.04331707583343699,0.5726217596950653,1.2259291368186818,5,Tryptophan;N-Acetyl-L-Aspartic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Arsenic metabolism and reactive oxygen species generation (WikiPathways),0.2335958005249344,0.9016793409378961,0.0367632352615047,-0.5952623954299185,-1.2008657411772228,5,"L-Glutathione Oxidized;S-Adenosyl-L-Homocysteine;Cytidine 2',3'-Cyclic Monophosphoric Acid","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Vitamin B12 metabolism (WikiPathways),0.2449327201498893,0.9016793409378961,0.03521054254564117,-0.5076479534371322,-1.1996769445217441,8,"S-Adenosyl-L-Homocysteine;Creatinine;D,L-Serine;L-(-)-Methionine;L-Serine;L-Ascorbic Acid","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Histidine catabolism (Reactome),0.2468063362289218,0.9016793409378961,0.03505405535541649,-0.5072102990858367,-1.1986426769129337,8,Histamine;L-Glutamic Acid;L-Histidine;S-Adenosyl-L-Homocysteine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Histidine metabolism (KEGG),0.24902194250722912,0.9016793409378961,0.03484335368345159,-0.47030330351439553,-1.189961140016637,10,Histamine;L-Glutamic Acid;L-Histidine;S-Adenosyl-L-Homocysteine;1-Methylhistidine;Beta-Alanine;Adenosine 5'-Diphosphate;Adenosine Triphosphate (Atp);Anserine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Organic cation transport (Reactome),0.25354330708661416,0.9016793409378961,0.03505405535541649,-0.5871056240185575,-1.1844104982092154,5,Histamine;Creatinine;Choline;Dl-Carnitine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Glycine metabolism (WikiPathways),0.2540615278257864,0.9016793409378961,0.034759926370793705,-0.5525324044639004,-1.1875046365602542,6,"D,L-Serine;Glycine;L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.2633365664403492,0.9016793409378961,0.041343707984792456,0.43585864663350926,1.1704675353322198,10,Tryptophan;L-Isoleucine;Dl-Alanine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Methionine de novo and salvage pathway (WikiPathways),0.26622718052738337,0.9016793409378961,0.03337360090289735,-0.4358746714792839,-1.1692450873020732,12,5'-S-Methyl-5'-Thioadenosine;L-Glutamic Acid;S-Adenosyl-L-Homocysteine;Choline;L-(-)-Methionine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Citric Acid Cycle (KEGG),0.2713191489361702,0.9016793409378961,0.03313661662514599,-0.4773190381609438,-1.171348685153594,9,Citric Acid;Biotin;L-Malic Acid,"Sex (limma t-statistic, positive = higher in males)",KEGG
Phosphatidylcholine catabolism (WikiPathways),0.2718631178707224,0.9016793409378961,0.033398780503971506,-0.5452793834296724,-1.17191641759313,6,Glycerophosphocholine;Choline;Acetylcholine;Arachidonic Acid;Adenosine 5'-Diphosphate;Adenosine Triphosphate (Atp),"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Arachidonic Acid Metabolism (KEGG),0.282405807120636,0.9135835808803672,0.032650436289288466,-0.5408055244595744,-1.1623011837581794,6,L-Glutathione Oxidized;L-Glutamic Acid;Arachidonic Acid,"Sex (limma t-statistic, positive = higher in males)",KEGG
Sulfur amino acid metabolism (Reactome),0.2891891891891892,0.9135835808803672,0.03174872525030169,-0.4088031883108979,-1.143324277877291,14,"5'-S-Methyl-5'-Thioadenosine;L-Malic Acid;L-Glutamic Acid;S-Adenosyl-L-Homocysteine;D,L-Serine;L-(-)-Methionine","Sex (limma t-statistic, positive = higher in males)",Reactome
Organic cation/anion/zwitterion transport (Reactome),0.2892249527410208,0.9135835808803672,0.032077136762658644,-0.5129538990541083,-1.1583074465111423,7,Histamine;Creatinine;Choline;Dl-Carnitine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Paracetamol ADME (Reactome),0.3168853893263342,0.9853155074365704,0.03068360345773801,-0.5612597250428235,-1.1322697030436313,5,L-Glutamic Acid;Glycine;Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Urea cycle (Reactome),0.3244037331489803,0.9931745061022627,0.03001748819924305,-0.5245322223396502,-1.127326544147122,6,L-Glutamic Acid;N-Acetylglutamic Acid;Adenosine 5'-Diphosphate;L(+)-Ornithine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Nucleotide salvage (Reactome),0.3323308270676692,0.994727151643358,0.03690698307873638,0.35147872613304776,1.0888215851246088,16,Inosine;Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Maternal to zygotic transition (MZT) (Reactome),0.33490813648293966,0.994727151643358,0.029658088997536435,-0.5529088006013453,-1.1154227811719952,5,5-Methylcytosine;S-Adenosyl-L-Homocysteine,"Sex (limma t-statistic, positive = higher in males)",Reactome
"Transport of vitamins, nucleosides, and related molecules (Reactome)",0.3486609398686205,0.99761782987527,0.03606464328968114,0.3247504382812658,1.0766021176738274,20,Inosine;Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Nicotinate metabolism (Reactome),0.3500601477917168,0.99761782987527,0.028529035859604573,-0.48740227823493143,-1.100609020356554,7,L-Glutamine;L-Glutamic Acid;S-Adenosyl-L-Homocysteine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Metabolism of amine-derived hormones (Reactome),0.3568929321203639,0.99761782987527,0.033951289434096824,0.5052564691388666,1.0817064084559334,5,Tryptophan;Dl-Alanine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Free fatty acid receptors (Reactome),0.3629450397511234,0.99761782987527,0.027986382669538755,-0.509491839541259,-1.095001699188825,6,"Palmitoleic Acid;8z,11z,14z-Eicosatrienoic Acid","Sex (limma t-statistic, positive = higher in males)",Reactome
Folate metabolism (WikiPathways),0.36340425531914894,0.99761782987527,0.027694438755396244,-0.44049157119152493,-1.0809734820643326,9,"S-Adenosyl-L-Homocysteine;D,L-Serine;L-(-)-Methionine;Glycine;L-Serine;Adenosine 5'-Diphosphate","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Arginine and proline metabolism (KEGG),0.36596030945173225,0.99761782987527,0.02736064343089485,-0.37808382115143235,-1.0791448301211621,15,L-Glutamine;Phosphocreatine;L-Glutamic Acid;S-Adenosyl-L-Homocysteine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Purine metabolism and related disorders (WikiPathways),0.38711314053779805,0.9987887596899225,0.03400379741970333,0.30768098728433724,1.0430474172495536,22,Inosine;Hypoxanthtine;D-Ribose 5-Phosphate;Adenosine;Xanthine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Glutathione metabolism (WikiPathways),0.39645987283038325,0.9987887596899225,0.026348933355547877,-0.4691047465815702,-1.0592911412918975,7,"L-Glutathione Oxidized;L-Glutamic Acid;Cytidine 2',3'-Cyclic Monophosphoric Acid;Glycine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Citric acid cycle (TCA cycle) (Reactome),0.40144354700120294,0.9987887596899225,0.02613544032300649,-0.46752375170239124,-1.0557210775009294,7,Citric Acid;L-Malic Acid;S-Adenosyl-L-Homocysteine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Lysine catabolism (Reactome),0.4064272211720227,0.9987887596899225,0.02592549029394816,-0.46566706775065947,-1.0515284768577247,7,2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",Reactome
Tryptophan catabolism (Reactome),0.41067058247674987,0.9987887596899225,0.032134559950189816,0.35922044304446454,1.0229768936415193,12,Tryptophan;L-Isoleucine;Dl-Alanine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Metabolism of cofactors (Reactome),0.4204724409448819,0.9987887596899225,0.025655567415055102,-0.5210894415182586,-1.0512312943210613,5,Citric Acid;S-Adenosyl-L-Homocysteine;L-Ascorbic Acid;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Synthesis of UDP-N-acetyl-glucosamine (Reactome),0.4300962379702537,0.9987887596899225,0.025274872214953566,-0.5175270767854188,-1.0440446791441431,5,L-Glutamine;L-Glutamic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Orexin receptor pathway (WikiPathways),0.45179584120982985,0.9987887596899225,0.024160301575861104,-0.450053318765941,-1.0162708801218288,7,2-Arachidonoyl Glycerol;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Trans-sulfuration pathway (WikiPathways),0.45290410492250044,0.9987887596899225,0.023974664378915985,-0.4288002452388106,-1.013343527803619,8,L-Glutamic Acid;S-Adenosyl-L-Homocysteine;L-(-)-Methionine;Adenosine 5'-Diphosphate;Adenosine Triphosphate (Atp),"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Deadenylation-dependent mRNA decay (Reactome),0.462992125984252,0.9987887596899225,0.02405476586059157,-0.5048732216924146,-1.018517145082404,5,7-Methylguanosine;Uridine Monophosphate;Guanosine-5'-Monophosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),0.4669603524229075,0.9987887596899225,0.029715714193699814,0.34327080287264333,0.9775560005002845,12,Tryptophan;L-Isoleucine;Dl-Alanine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.478218306412139,0.9987887596899225,0.029280195282591327,0.34014156334221474,0.9686446487209487,12,Tryptophan;L-Isoleucine;Dl-Alanine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Cori cycle (WikiPathways),0.48158914728682173,0.9987887596899225,0.028967277439941375,0.374031007751938,0.973355270804363,9,"Dl-Alanine;D-Glucose 6-Phosphate;D-(+)-Glucose;D-Glucose;D-Fructose-1,6-Bisphosphate;Pyruvic Acid","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Lysine degradation (KEGG),0.4880563670733803,0.9987887596899225,0.02291023685690712,-0.43707884276449865,-0.9869730578521017,7,2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",KEGG
Glycolysis (Reactome),0.4937274445781062,0.9987887596899225,0.022725712370244698,-0.4349720141768223,-0.9822156025600606,7,Citric Acid,"Sex (limma t-statistic, positive = higher in males)",Reactome
Metabolic pathways of fibroblasts (WikiPathways),0.4941296579887698,0.9987887596899225,0.022554861589472237,-0.35808291203889187,-0.9795937669358669,13,"Udp-Β-D-Glucose (Sodium Salt);L-Glutamine;L-Glutamic Acid;D,L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Carnitine synthesis (Reactome),0.5036294503975113,0.9987887596899225,0.022500252099255554,-0.45619775620500214,-0.9804618630602302,6,"Dl-Carnitine;Glycine;L-Ascorbic Acid;Ne,Ne,Ne-Trimethyllysine;N6,N6,N6-Trimethyl-L-Lysine","Sex (limma t-statistic, positive = higher in males)",Reactome
Aerobic glycolysis - augmented (WikiPathways),0.5092968221771467,0.9987887596899225,0.021972354610218934,-0.3606626178907726,-0.9674868069555476,12,"Phosphocreatine;D,L-Serine;Dihydroxyacetone Phosphate;L-Serine;Adenosine 5'-Diphosphate","Sex (limma t-statistic, positive = higher in males)",WikiPathways
beta-Alanine metabolism (KEGG),0.5125106382978724,0.9987887596899225,0.021982797088754183,-0.3921947497337572,-0.9624522964656578,9,L-Glutamic Acid;L-Histidine;1-Methylhistidine;Beta-Alanine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Tyrosine catabolism (Reactome),0.5144356955380578,0.9987887596899225,0.022359395217014768,-0.48647042483471514,-0.9813918563728858,5,L-Glutamic Acid;L-Ascorbic Acid;L-Tyrosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Purinergic signaling (WikiPathways),0.5159883720930233,0.9987887596899225,0.0277357434056359,0.36233347237285995,0.9429143247847288,9,N-Methyl-D-Glucamine;Adenosine;Adenosine 3'5'-Cyclic Monophosphate;Uridine 5'-Triphosphate Sodium Salt,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Phenylalanine metabolism (Reactome),0.5173781198973642,0.9987887596899225,0.0270274690166304,0.44225330097388615,0.9468225723850382,5,Dl-Alanine;L-Phenylalanine;Pyruvic Acid,"Sex (limma t-statistic, positive = higher in males)",Reactome
Aerobic glycolysis (WikiPathways),0.5181510164569216,0.9987887596899225,0.02764504707595687,0.3733075435203095,0.9367629377098129,8,"D-(+)-Glucose;D-Glucose;D-Fructose-1,6-Bisphosphate;Pyruvic Acid;L-(+)-Lactic Acid;Adenosine Triphosphate (Atp);Adenosine 5'-Diphosphate;Dihydroxyacetone Phosphate","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Activation of NMDA receptors and postsynaptic events (Reactome),0.5293088363954506,0.9987887596899225,0.021909886139834505,-0.4816947101277515,-0.9717574628260083,5,L-Glutamic Acid;Glycine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Post NMDA receptor activation events (Reactome),0.5293088363954506,0.9987887596899225,0.021909886139834505,-0.4816947101277515,-0.9717574628260083,5,L-Glutamic Acid;Glycine;Guanosine 5'-Diphosphate (Gdp);Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
