Name,analysis,pathway,pathway_source,NES,pval,padj,set_size,direction,rank,t,logFC,P.Value,adj.P.Val
Xanthine,Sex,Purine catabolism (Reactome),Reactome,1.707974568259567,0.015030303030303031,0.7477575757575758,13,Up,69,0.9464491229747516,0.34904535301872464,0.3533508998849031,0.9033210666567656
Citric Acid,Sex,Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),WikiPathways,-1.5804669494074095,0.021776702385067404,0.8254407189768406,6,Down,513,-1.9359589691968817,-0.5202717737375592,0.06582425263109835,0.9033210666567656
L-Malic Acid,Sex,Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),WikiPathways,-1.5804669494074095,0.021776702385067404,0.8254407189768406,6,Down,465,-1.311701118952327,-0.7321446653677345,0.2141560371229502,0.9033210666567656
Citric Acid,Sex,Organic anion transporters (Reactome),Reactome,-1.5642633595862698,0.02488765986864846,0.8254407189768406,6,Down,513,-1.9359589691968817,-0.5202717737375592,0.06582425263109835,0.9033210666567656
L-Malic Acid,Sex,Organic anion transporters (Reactome),Reactome,-1.5642633595862698,0.02488765986864846,0.8254407189768406,6,Down,465,-1.311701118952327,-0.7321446653677345,0.2141560371229502,0.9033210666567656
L-Glutamic Acid,Sex,Organic anion transporters (Reactome),Reactome,-1.5642633595862698,0.02488765986864846,0.8254407189768406,6,Down,443,-1.1439346178294942,-0.6297234818838163,0.2655215042323086,0.9033210666567656
Uridine,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,495,-1.5864889373772744,-0.2390120100833428,0.1257159014092904,0.9033210666567656
L-Glutamine,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,478,-1.3831798603338092,-0.2516941683109026,0.1793415876757122,0.9033210666567656
L-Malic Acid,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,465,-1.311701118952327,-0.7321446653677345,0.2141560371229502,0.9033210666567656
L-Glutamic Acid,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,443,-1.1439346178294942,-0.6297234818838163,0.2655215042323086,0.9033210666567656
Uridine Monophosphate,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,424,-1.055266548118157,-0.25820361578843515,0.301809980179246,0.9033210666567656
N-Acetylglutamic Acid,Sex,Urea cycle and associated pathways (WikiPathways),WikiPathways,-1.5770131279304709,0.02943678747660371,0.8368458154063054,13,Down,406,-0.95658574702982,-0.11318541262924264,0.3483125705118556,0.9033210666567656
D-Mannitol 1-Phosphate,Sex,Fructose and mannose metabolism (KEGG),KEGG,1.5769276216173114,0.048644724104549855,0.8758892471467322,8,Up,3,3.1034552337799735,0.514399338245014,0.00484671326083435,0.8715313390450269
Guanosine-5'-Triphosphate,Sex,Fructose and mannose metabolism (KEGG),KEGG,1.5769276216173114,0.048644724104549855,0.8758892471467322,8,Up,35,1.3926963302110666,0.22839120539642704,0.17762615795186878,0.9033210666567656
D-(-)-Mannitol,Sex,Fructose and mannose metabolism (KEGG),KEGG,1.5769276216173114,0.048644724104549855,0.8758892471467322,8,Up,136,0.4257045800304955,0.12540110444446875,0.6741159804177357,0.9608628102934994
D-Glucose,Sex,Fructose and mannose metabolism (KEGG),KEGG,1.5769276216173114,0.048644724104549855,0.8758892471467322,8,Up,155,0.29517426503909255,0.02807301139484296,0.7703989310055677,0.9759932401074352
