Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Creatine,3.6075086526377276,28.070766608394795,1.8795103979313488,0.07348522700392057,0.6726368013824302,-4.085659043515506,Amide-Pos-000200,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Palmitoleic Acid,-9.484407069600415,19.655427133911733,-1.879465374337717,0.07349163524350244,0.6726368013824302,-4.085721146431112,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
6-Aminocaproic Acid,-7.317253893022155,14.993318801974777,-1.8979652321570923,0.08691204294007245,0.6726368013824302,-4.101606376100099,Amide-Neg-000323,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
3-Methylhistidine,6.30702189753438,21.014850792745293,1.837530349648958,0.08367438000757439,0.6726368013824302,-4.103604928512826,Amide-Pos-000601,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
D-Histidine Methyl Ester,-5.370527620607154,21.90631037966981,-1.8571532666870816,0.07672802392507698,0.6726368013824302,-4.116373574996731,Amide-Pos-000604,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Glycerol Monooleate,-9.78083072844717,20.328782045918544,-1.8516028628765204,0.07755215792695037,0.6726368013824302,-4.123960194467698,C8-Pos-000806,Lipids and lipid-like molecules,Glycerolipids,Higher in Females,
3-Isopropoxypropylamine,2.0888027423182347,24.178544707157254,1.8381949716405934,0.07957484512442559,0.6726368013824302,-4.14222300203126,Amide-Pos-000244,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Cytidine 5'-Triphosphate,-3.7376820784927896,20.852710037494358,-1.8234034175369023,0.08185930196112425,0.6726368013824302,-4.162264919553916,Amide-Pos-001770,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
Udp-N-Acetylglucosamine,3.1396652319083107,21.801883968335446,1.817015540137721,0.08286332008690293,0.6726368013824302,-4.170885733838849,Amide-Neg-001697,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Higher in Males,
Ps(23:4_21:5),-5.118409811674988,16.99489886882164,-1.8006626524572533,0.08613667706360416,0.6726368013824302,-4.172347902195326,C8-Neg-003546,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
D-Pantothenic Acid,3.206403134567313,21.06685969004434,1.8095632663978984,0.08404810036415261,0.6726368013824302,-4.180916571205472,C18-Pos-000992,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Acrylic Acid,4.529199897154723,21.085900474947227,1.764589454285204,0.10304505206604045,0.6726368013824302,-4.189007122972035,Amide-Neg-000001,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Oahfa(15:1_25:3),7.552705195218802,19.43835599148379,1.7996736110696279,0.08564299238401968,0.6726368013824302,-4.194183969885466,C8-Neg-002832,Lipids and lipid-like molecules,Fatty acyls,Higher in Males,
Vidarabine Phosphate,3.3289128037391884,22.627849160121098,1.793008422988525,0.08673257003989958,0.6726368013824302,-4.203097046127359,C18-Pos-002279,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Higher in Males,
Triethylene Glycol Monobutyl Ether,1.7254036185515296,25.514469076573562,1.7871884528761532,0.08769374090703344,0.6726368013824302,-4.210860955586365,C18-Pos-001031,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
"D-Fructose 1,6-Bisphosphate",4.52091410588996,21.508365380180546,1.7822501749676287,0.08851648899940551,0.6726368013824302,-4.217434816322138,Amide-Neg-001874,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
