Name,Compound.ID_Batch1,Compound.ID_Batch2,Sample10,Sample19,Sample32,Sample35,Sample01,Sample08,Sample09,Sample20,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50,Detected_Batch1,Detected_Batch2,Detected_Both
"(Z,E)-Tetradeca-9,12-dienol",C8-Pos-000141,C8-Pos-000233,4725447.97111859,14492459.2107387,12604012.704779,16809602.2680397,13910231.0555447,18449639.4652669,10050769.491956,6449259.92356017,7018762.87610897,7119458.62122105,7200286.19592372,7320996.69220429,6875151.72435388,7236520.32041591,7330186.79716779,7067751.62335942,7089181.86883766,7267082.92676958,5568733.27003243,5757765.79789354,7092451.2847645,NA,6504410.94758383,7283820.74337513,6860576.87831862,6435473.56554378,5193029.50358756,7324963.99081944,6826439.40375478,7039007.25875374,6980821.40821161,6991535.60726124,TRUE,TRUE,TRUE
.alpha.-Galactosyl-N-stearoylsphingosine,C8-Pos-000158,NA,4541820.91796841,4524665.26384238,4685393.27610381,4717993.94721203,4075083.5613536,15398335.4503117,4183716.13810466,3441223.75968588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
.beta.-Asp-Gly,Amide-Pos-000483,NA,428840.030304219,329417.199793699,499567.576245652,292395.674783463,302113.984078495,397430.922178175,268870.269773931,205975.595941089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
.beta.-Damascone,C18-Pos-000371,NA,1976588.40883684,2088077.31963057,2328443.87626118,2076046.13870493,1782733.85631039,2112612.07244995,1307474.21804306,1202912.74563307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
.beta.-Glycerophosphate,Amide-Pos-000487,NA,259034.786321279,217858.506097411,365893.481900305,194221.230950318,147307.040102406,457456.721059555,138349.946841519,276563.821814014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
.beta.-Nicotinamide adenine dinucleotide,Amide-Neg-000437,NA,340531.676326572,241892.293129153,225376.201759764,82482.1102158755,64805.8453919403,99661.821036652,51389.8271589851,63677.7859061509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,11-Undecanedicarboxylic acid",C18-Neg-000139,NA,101830.461349949,94078.5047593122,81745.1077407332,67891.4768941139,76603.657395226,78595.6527992056,73867.0313469884,55248.4739858909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Bis(O-octanoyl)-sn-glycerylphophorylcholine",C8-Pos-000542,NA,121613.119435261,163406.375162575,161543.965270599,144714.203925509,220962.668260336,289074.905671996,176358.771131177,54702.2969873864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Cyclohexane dicarboxylic acid diisononyl ester",C8-Pos-000252,NA,1012106.90650278,5178125.46031698,1695389.5286143,4579484.51364885,2086658.06332705,1671245.11659827,1016880.19697569,925853.467164593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine",C8-Pos-000061,C8-Pos-000086,47272472.9952872,NA,72869453.3733914,80711931.7104523,92137581.1447166,NA,57682078.7570589,38631895.7694472,18676092.753677,18682902.0891827,15348760.4163362,30005152.9358207,27621993.0102404,20175852.2239023,18912621.5262329,22140149.1552377,37395170.96425,22623790.2607237,34387763.2562607,30432323.801921,20762092.8939884,18976443.9073519,23799838.8392082,15068252.5851208,23676499.1229257,12172420.2317643,22889309.4947636,21981616.3318136,21773795.1065772,19259739.2595285,22262016.2666057,11348690.2970143,TRUE,TRUE,TRUE
