pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Carboxyterminal post-translational modifications of tubulin (Reactome),0.3147685231476852,0.9889011098890111,0.02128732917061177,0.37544191232243107,1.245085275668917,5,L-Glutamic Acid;L-Tyrosine,EN-L6-IT
Organic cation/anion/zwitterion transport (Reactome),0.32016798320167983,0.9889011098890111,0.021023714336218562,0.32868176299528323,1.2189580817868553,7,Uric Acid;Choline;Dl-Carnitine;L-Ergothioneine;Creatinine,EN-L6-IT
Amino acid transport across the plasma membrane (Reactome),0.3347665233476652,0.9889011098890111,0.020338182891109485,0.22011211348541365,1.173090636034734,23,L-Glutamic Acid;Taurine;L-Serine;L-Tyrosine;Leucine;Tryptophan;L-Hydroxyproline;Asparagine;L-Threonine;Γ-Aminobutyric Acid,EN-L6-IT
Tryptophan catabolism (Reactome),0.3391660833916608,0.9889011098890111,0.020138895334878754,0.2667694172201283,1.1738897554436845,12,L-Glutamic Acid;L-Tyrosine;Leucine;Tryptophan,EN-L6-IT
Glycogen synthesis and degradation (WikiPathways),0.33956604339566043,0.9889011098890111,0.020120938014510852,0.3634751773049646,1.2053997608687386,5,Glucose 1-Phosphate;Udp-Β-D-Glucose (Sodium Salt);Adenosine 3'5'-Cyclic Monophosphate;D-(+)-Glucose;D-Glucose,EN-L6-IT
Biomarkers for urea cycle disorders (WikiPathways),0.34006599340065996,0.9889011098890111,0.020098528303536985,0.2760718215508914,1.1812452144727879,11,L-Glutamic Acid;L-Tyrosine;L-Aspartic Acid;L-Threonine;Creatine;L-Glutamine;L(+)-Ornithine;Beta-Alanine,EN-L6-IT
Glutathione metabolism (WikiPathways),0.34206579342065796,0.9889011098890111,0.02000929693035015,0.3199834005783442,1.1866990995122864,7,L-Glutathione Oxidized;L-Glutamic Acid;L-Glutathione (Reduced),EN-L6-IT
Serine metabolism (WikiPathways),0.34236576342365765,0.9889011098890111,0.01999596806302961,0.3198384053146557,1.1861613661531756,7,L-Glutamic Acid;L-Serine,EN-L6-IT
MTHFR deficiency (WikiPathways),0.34306569343065696,0.9889011098890111,0.019964923597837123,0.3619596063584955,1.2003736436246424,5,Choline;Cytidine 5'-Diphosphocholine;S-Adenosyl-L-Homocysteine,EN-L6-IT
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.3458654134586541,0.9889011098890111,0.01984152550204226,0.2647408323389008,1.1649631886920093,12,L-Serine;L-Tyrosine;Leucine;Tryptophan,EN-L6-IT
Primary bile acid biosynthesis (KEGG),0.36066393360663934,0.9889011098890111,0.019209100445249518,0.3316399050996519,1.1715406854819108,6,Lithocholic Acid;Glycine;Adenosine Triphosphate (Atp);Adenosine 5'-Diphosphate,EN-L6-IT
Phospholipid Biosynthesis (KEGG),0.36666333366663334,0.9889011098890111,0.018961682253296683,0.31138790035587194,1.1548215947560105,7,Choline;Cytidine 5'-Diphosphocholine;Dl-Dipalmitoylphosphatidylcholine;Triethanolamine;1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;Acetylcholine,EN-L6-IT
KEGG:map01120 (KEGG),0.38366163383661633,0.9889011098890111,0.018286365404306122,0.28180929912986796,1.1310163101585686,9,2-Furoic Acid;Acrylic Acid;Cyclohexylamine,EN-L6-IT
Na+/Cl- dependent neurotransmitter transporters (Reactome),0.3885611438856114,0.9889011098890111,0.01809832797056412,0.21304612630165942,1.108062324085252,21,Taurine;L-Serine;L-Tyrosine;Leucine;Tryptophan;L-Hydroxyproline;Asparagine;L-Threonine;Γ-Aminobutyric Acid,EN-L6-IT
