Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Neg-003610,Pc(19:5cooh_25:8),Lipids and lipid-like molecules,Glycerophospholipids,8,7
C8-Neg-003644,Pc(21:1cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,8,5
C8-Pos-000327,Methyl Palmitate,Lipids and lipid-like molecules,Fatty Acyls,8,5
C8-Pos-001637,"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",Organoheterocyclic compounds,Benzoxazoles,8,6
C8-Pos-003050,Tg(29:3cooh_2:0),Lipids and lipid-like molecules,Glycerolipids,8,4
C8-Pos-004964,Bmp 22:5_22:6,Lipids and lipid-like molecules,Glycerophospholipids,8,1
C8-Pos-005761,Pc(22:3cho_28:6),Lipids and lipid-like molecules,Glycerophospholipids,8,3
Amide-Pos-000091,1-Aminocyclopropanecarboxylic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,7,4
Amide-Pos-000240,"N,N-Diethylethanolamine",Organic nitrogen compounds,Organonitrogen compounds,7,4
Amide-Pos-000244,3-Isopropoxypropylamine,Organic oxygen compounds,Organooxygen compounds,7,1
C18-Pos-000567,Phloretic Acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,7,3
C18-Pos-001113,Methyl L-Tryptophanate,Organic acids and derivatives,Carboxylic acids and derivatives,7,2
C18-Pos-002454,Guanosine-5'-Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,7,1
C8-Neg-000367,Myristyl Sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,7,4
C8-Neg-003407,Pc(27:6_8:1cooh),Lipids and lipid-like molecules,Glycerophospholipids,7,5
C8-Neg-003538,Pc(20:4cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,7,3
C8-Pos-000506,D-Erythro-Sphinganine,Organic nitrogen compounds,Organonitrogen compounds,7,1
C8-Pos-001060,Vitamin D3,Lipids and lipid-like molecules,Steroids and steroid derivatives,7,5
C8-Pos-001521,Triethyleneglycol Bis(2-Ethylhexanoate),Lipids and lipid-like molecules,Fatty Acyls,7,4
C8-Pos-004203,Pc(O-29:1_5:0),Lipids and lipid-like molecules,Glycerophospholipids,7,3
Amide-Neg-000307,Citraconic Acid,Lipids and lipid-like molecules,Fatty Acyls,6,3
Amide-Neg-000402,Allopurinol,Organoheterocyclic compounds,Pyrazolopyrimidines,6,4
Amide-Neg-000479,4-(Acetylamino)Butanoic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,6,2
Amide-Neg-000678,Dehydroascorbic Acid,Organoheterocyclic compounds,Lactones,6,1
Amide-Neg-001874,"D-Fructose 1,6-Bisphosphate",Organic oxygen compounds,Organooxygen compounds,6,3
Amide-Pos-000068,Sarcosine,Organic acids and derivatives,Carboxylic acids and derivatives,6,4
Amide-Pos-000097,Choline,Organic nitrogen compounds,Organonitrogen compounds,6,4
Amide-Pos-000171,Cytosine,Organoheterocyclic compounds,Diazines,6,4
Amide-Pos-000363,Leucine,Organic acids and derivatives,Carboxylic acids and derivatives,6,4
Amide-Pos-000536,L-Histidine,Organic acids and derivatives,Carboxylic acids and derivatives,6,2
Amide-Pos-000836,Cystathionine,Organic acids and derivatives,Carboxylic acids and derivatives,6,4
Amide-Pos-001042,Lhnfrfaovvpesm-Crgcijnfna-N,Organic oxygen compounds,Organooxygen compounds,6,3
Amide-Pos-001132,1-Methyladenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,6,3
Amide-Pos-001446,Glutathionesulfonic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,6,4
Amide-Pos-001621,Cytidine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,6,1
C18-Pos-001031,Triethylene Glycol Monobutyl Ether,Organic oxygen compounds,Organooxygen compounds,6,2
C18-Pos-001332,Hypaphorine,Organic acids and derivatives,Carboxylic acids and derivatives,6,1
C18-Pos-001343,3-Hydroxybutyrylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,6,3
C8-Neg-003382,Cl(23:1_19:4cho_22:4_22:4cho),Lipids and lipid-like molecules,Glycerophospholipids,6,1
C8-Neg-003509,Ps(14:2_29:7),Lipids and lipid-like molecules,Glycerophospholipids,6,5
C8-Neg-003516,Pa(29:1_20:6),Lipids and lipid-like molecules,Glycerophospholipids,6,3
C8-Pos-000610,"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",Organic oxygen compounds,Organooxygen compounds,6,3
C8-Pos-004871,Pe(20:5_22:2),Lipids and lipid-like molecules,Glycerophospholipids,6,4
C8-Pos-005013,Pc(18:2_20:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,6,7
C8-Pos-005192,Ps(20:5_24:4),Lipids and lipid-like molecules,Glycerophospholipids,6,2
Amide-Neg-000116,Malonic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,5,4
Amide-Neg-000291,Dl-Pyroglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,5,3
Amide-Neg-000405,L-Threonic Acid Calcium Salt,Organic oxygen compounds,Organooxygen compounds,5,3
Amide-Neg-000729,L-Ascorbic Acid,Organoheterocyclic compounds,Dihydrofurans,5,5
Amide-Neg-001445,D-Mannitol 1-Phosphate,Organic oxygen compounds,Organooxygen compounds,5,3
Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,5,3
Amide-Pos-000503,Guanine,Organoheterocyclic compounds,Imidazopyrimidines,5,3
Amide-Pos-001107,L-Saccharopine,Organic acids and derivatives,Carboxylic acids and derivatives,5,3
C18-Pos-000645,Diethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,5,2
C18-Pos-001159,Biotin,Organoheterocyclic compounds,Biotin and derivatives,5,3
C18-Pos-001439,Phenylacetylglutamine,Organic acids and derivatives,Carboxylic acids and derivatives,5,5
C18-Pos-002279,Vidarabine Phosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,5,4
C8-Neg-000086,Myristic Acid,Lipids and lipid-like molecules,Fatty Acyls,5,3
C8-Neg-000175,Δ2-Cis-Hexadecenoic Acid,Lipids and lipid-like molecules,Fatty Acyls,5,1
C8-Neg-000223,Dodecyl Sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,5,1
C8-Neg-003594,Pe(22:3_26:5),Lipids and lipid-like molecules,Glycerophospholipids,5,2
C8-Pos-000542,L-Glutathione Oxidized,Organic acids and derivatives,Carboxylic acids and derivatives,5,4
C8-Pos-000642,"16-Hydroxycleroda-3,13-Dien-15,16-Olide",Lipids and lipid-like molecules,Prenol lipids,5,1
C8-Pos-004263,Tg(32:4cooh_12:0),Lipids and lipid-like molecules,Glycerolipids,5,1
C8-Pos-004273,Pe(O-16:2_22:3),Lipids and lipid-like molecules,Glycerophospholipids,5,2
C8-Pos-004362,"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",Benzenoids,Benzene and substituted derivatives,5,4
C8-Pos-004916,Pe(21:0_21:5),Lipids and lipid-like molecules,Glycerophospholipids,5,4
Amide-Neg-000114,Γ-Aminobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
Amide-Neg-000145,Histamine,Organic nitrogen compounds,Organonitrogen compounds,4,2
Amide-Neg-000195,L-Malic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,4,3
Amide-Neg-001099,D-Glucose,Organic oxygen compounds,Organooxygen compounds,4,3
Amide-Neg-001329,Spongouridin,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,4,4
Amide-Pos-000155,L-Serine,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
Amide-Pos-000224,D-Proline,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
Amide-Pos-000383,Adenine,Organoheterocyclic compounds,Imidazopyrimidines,4,3
Amide-Pos-000599,1-Methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,4,6
Amide-Pos-000620,D-Arginine,Organic acids and derivatives,Carboxylic acids and derivatives,4,2
Amide-Pos-000661,N8-Acetylspermidine,Organic acids and derivatives,Carboximidic acids and derivatives,4,2
Amide-Pos-001017,Glycerophosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,4,3
C18-Neg-000218,Meglutol,Lipids and lipid-like molecules,Fatty Acyls,4,3
C18-Neg-000965,"2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid",Lipids and lipid-like molecules,Prenol lipids,4,2
C18-Pos-000763,N-Acetylglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,4,2
C18-Pos-000931,"1,3-Benzodioxolylbutanamine (Bdb)",Organoheterocyclic compounds,Benzodioxoles,4,3
C18-Pos-003241,Oleoyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,4,2
C8-Neg-000295,Linoleic Acid,Lipids and lipid-like molecules,Fatty Acyls,4,2
C8-Neg-001880,Lpc(16:2),Lipids and lipid-like molecules,Glycerophospholipids,4,2
C8-Neg-002622,Lpc(23:6),Lipids and lipid-like molecules,Glycerophospholipids,4,3
C8-Neg-003430,Dgdg(2:0_27:3),Lipids and lipid-like molecules,Glycerolipids,4,2
C8-Neg-003479,Ps(18:0_24:6),Lipids and lipid-like molecules,Glycerophospholipids,4,4
C8-Neg-003585,Pc(12:1_28:3),Lipids and lipid-like molecules,Glycerophospholipids,4,2
C8-Pos-000209,Ppg N4,Organic oxygen compounds,Organooxygen compounds,4,2
C8-Pos-000497,Palmitoyl Ethanolamide,Organic acids and derivatives,Carboximidic acids and derivatives,4,3
C8-Pos-000501,(±)5-Hepe,Lipids and lipid-like molecules,Fatty Acyls,4,2
C8-Pos-000696,Octabenzone,Benzenoids,Benzene and substituted derivatives,4,1
C8-Pos-001359,Gly-Met-Arg,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
C8-Pos-001736,Tg(5:0_10:0_6:1cho),Lipids and lipid-like molecules,Glycerolipids,4,3
C8-Pos-003357,Dg(4:0_34:6),Lipids and lipid-like molecules,Glycerolipids,4,2
C8-Pos-004266,Ganglioside-Gm1(D18:1/18:0),Lipids and lipid-like molecules,Sphingolipids,4,2
C8-Pos-004352,Tg(20:2cho_26:3),Lipids and lipid-like molecules,Glycerolipids,4,3
C8-Pos-004641,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,Lipids and lipid-like molecules,Sphingolipids,4,3
C8-Pos-004870,Pe(15:0_27:7),Lipids and lipid-like molecules,Glycerophospholipids,4,1
C8-Pos-005313,Pe(21:4cooh_24:6),Lipids and lipid-like molecules,Glycerophospholipids,4,3
C8-Pos-005548,Pg(O-29:8_21:6),Lipids and lipid-like molecules,Glycerophospholipids,4,3
Amide-Neg-000094,Levulinic Acid,Organic acids and derivatives,Keto acids and derivatives,3,2
Amide-Neg-000557,N-Acetyl-L-Aspartic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Neg-000574,N-Acetyl-L-Valine,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Neg-000587,2-Oxoadipic Acid,Organic acids and derivatives,Keto acids and derivatives,3,3
Amide-Neg-000933,L-N-Acetylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Pos-000072,Hypotaurine,Organic acids and derivatives,Sulfinic acids and derivatives,3,2
Amide-Pos-000156,Taurine,Organic acids and derivatives,Organic sulfonic acids and derivatives,3,2
Amide-Pos-000255,L-Threonine,Organic acids and derivatives,Carboxylic acids and derivatives,3,1
Amide-Pos-000562,Dl-Carnitine,Organic nitrogen compounds,Organonitrogen compounds,3,2
Amide-Pos-000563,5-Methyl D-Glutamate,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
Amide-Pos-000616,Ser-Ser,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
Amide-Pos-000747,"N3,N4-Dimethyl-L-Arginine",Organic acids and derivatives,Carboxylic acids and derivatives,3,3
Amide-Pos-000860,L-Ergothioneine,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
Amide-Pos-000872,(R)-Butyrylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,3,2
Amide-Pos-000902,2-Sc S-(2-Succinyl)-L-Cysteine,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Pos-001066,Adenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,3,2
Amide-Pos-001360,"D-Myo-Inositol-1,2-Diphosphate",Organic oxygen compounds,Organooxygen compounds,3,2
Amide-Pos-001625,Glu-Glu-Glu,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
C18-Neg-000283,Octanedioic Acid,Lipids and lipid-like molecules,Fatty Acyls,3,1
C18-Pos-000742,Uric Acid,Organoheterocyclic compounds,Imidazopyrimidines,3,3
C18-Pos-000832,L-Tyrosine,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
C18-Pos-000925,S-Adenosyl-L-Homocysteine,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,3,2
C18-Pos-000992,D-Pantothenic Acid,Organic oxygen compounds,Organooxygen compounds,3,2
C18-Pos-001141,Tetraglyme,Organic oxygen compounds,Organooxygen compounds,3,4
C18-Pos-001644,Adenylyl(3'-5')Cytidine,"Nucleosides, nucleotides, and analogues",(3'->5')-dinucleotides and analogues,3,4
C18-Pos-002570,Myristoyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,3,2
C8-Neg-003637,Dgdg(6:0_28:2),Lipids and lipid-like molecules,Glycerolipids,3,2
C8-Pos-000483,5'-S-Methyl-5'-Thioadenosine,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,3,1
C8-Pos-000764,"2,3-Dihydroxypropyl 13-Methyltetradecanoate",Lipids and lipid-like molecules,Glycerolipids,3,2
C8-Pos-000787,1-Linoleoyl Glycerol,Lipids and lipid-like molecules,Fatty Acyls,3,3
C8-Pos-001006,Citroflex 4,Organic acids and derivatives,Carboxylic acids and derivatives,3,3
C8-Pos-001973,Lpc 14:0-Sn2,Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-002045,Lpe 18:1,Lipids and lipid-like molecules,Glycerophospholipids,3,1
C8-Pos-002923,2-(5-Oxovaleryl)Phosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,3,3
C8-Pos-002985,Pc(11:2cho_11:2),Lipids and lipid-like molecules,Glycerophospholipids,3,3
C8-Pos-003127,Pc(6:0_17:0cho),Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-003929,Tg(28:6_14:3cho),Lipids and lipid-like molecules,Glycerolipids,3,5
C8-Pos-004035,Lpe 38:6,Lipids and lipid-like molecules,Glycerophospholipids,3,3
C8-Pos-004072,Pe(O-17:3_21:1),Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-004333,Pe(17:5cho_22:6),Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-004336,"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-004510,Pc(20:0_18:1),Lipids and lipid-like molecules,Glycerophospholipids,3,3
C8-Pos-004667,Tg(5:0_15:0cho_28:3),Lipids and lipid-like molecules,Glycerolipids,3,2
C8-Pos-005132,Pi(19:4_19:4),Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-005152,Pc(10:0cooh_30:8),Lipids and lipid-like molecules,Glycerophospholipids,3,1
C8-Pos-005189,Ps 22:4_22:5,Lipids and lipid-like molecules,Glycerophospholipids,3,2
C8-Pos-005440,Pi(20:4_20:4),Lipids and lipid-like molecules,Glycerophospholipids,3,1
C8-Pos-005755,Pc(36:6_13:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,3,3
C8-Pos-005843,Tg(20:1_24:5_20:6),Lipids and lipid-like molecules,Glycerolipids,3,3
Amide-Neg-000001,Acrylic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Neg-000011,Glycine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Neg-000066,L-(+)-Lactic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,2,1
Amide-Neg-000108,2-Oxobutanoic Acid,Organic acids and derivatives,Keto acids and derivatives,2,2
Amide-Neg-000141,"2,6-Dihydroxypyridine Hcl",Organoheterocyclic compounds,Pyridines and derivatives,2,2
Amide-Neg-000252,Meso-Erythritol,Organic oxygen compounds,Organooxygen compounds,2,1
Amide-Neg-000296,"5,5-Dimethyloxazolidine-2,4-Dione",Organoheterocyclic compounds,Azolidines,2,1
Amide-Neg-000314,Mesaconic Acid,Lipids and lipid-like molecules,Fatty Acyls,2,2
Amide-Neg-000523,Xanthine,Organoheterocyclic compounds,Imidazopyrimidines,2,2
