gene,n_metabolites,n_cell_types,n_tests
TSHZ2,32,7,42
ENSG00000253500,29,1,29
HS3ST5,27,4,34
PLCG2,27,7,32
GUCY1A1,26,5,37
RARB,26,7,42
LRMDA,24,7,34
DACH1,23,4,37
RYR2,23,4,31
CNTNAP2,22,6,25
CORT,22,1,22
RASGEF1B,21,4,25
CDH8,20,6,23
CEROX1,20,3,29
EBF1,19,6,33
GALNTL6,19,7,20
DCC,18,5,18
PDE7B,18,4,31
PENK,18,4,24
RELN,18,4,20
RIT2,18,6,19
BCAS1,17,4,17
DACH2,17,2,17
ENSG00000271774,17,5,21
GPR149,17,4,30
HS3ST4,17,5,23
PBX3,17,3,22
ADGRV1,16,2,16
MEIS2,16,4,21
PCP4,16,3,25
RBFOX1,16,3,18
STRIP2,16,3,27
TENM2,16,4,16
TENM3,16,6,20
TMTC2,16,5,19
TRPS1,16,4,23
ANKRD18A,15,1,15
CALN1,15,3,21
CCSER1,15,6,17
CDH18,15,4,16
CHODL,15,1,15
GRM3,15,3,19
KIAA1217,15,6,17
NPAS3,15,6,19
ADAMTS3,14,5,14
CNTNAP5,14,5,15
FOXP2,14,4,19
KCNIP4,14,7,14
LINGO2,14,4,14
LNC-LBCS,14,5,19
NR2F2-AS1,14,3,14
PARD3B,14,5,18
PRKCB,14,4,21
RALYL,14,3,14
RXRG,14,3,18
SLC26A3,14,2,14
TLL2,14,1,14
TMSB10,14,6,14
ADARB2,13,7,14
ADRA1A,13,1,13
ARL17B,13,4,16
ARPP21,13,5,14
CA10,13,2,13
CSMD1,13,5,13
ERBB4,13,4,14
FOXO1,13,3,21
GLI3,13,3,19
IL1RAPL2,13,2,13
KCTD8,13,4,14
MGAT4C,13,3,14
NPY,13,4,13
RXFP1,13,4,17
SPON1,13,4,17
COL25A1,12,4,14
DGKG,12,3,12
FBN2,12,3,12
FOXP1,12,3,18
GNAL,12,6,16
MIR99AHG,12,6,14
PTPRM,12,7,18
RPL37A,12,7,12
RPS18,12,5,13
RPS29,12,5,12
RSPO2,12,4,12
SLC35F3,12,4,15
SMOC2,12,4,20
ST6GALNAC3,12,2,13
SV2C,12,3,20
TOX,12,3,12
UNC5C,12,3,13
ZFHX3,12,4,15
CDH9,11,2,11
CPNE8,11,1,11
DCHS2,11,4,16
DIRC3-AS1,11,3,15
DLC1,11,5,13
DNAH14,11,3,11
ENSG00000251680,11,3,11
ENSG00000289084,11,4,15
GUCY1B1,11,3,15
INHBA,11,3,14
KCND2,11,5,11
LGI1,11,2,11
NRGN,11,3,16
PCDH11Y,11,4,13
PRSS23,11,2,11
ROBO2,11,3,12
RPL13,11,5,11
RPL30,11,4,11
RPL35A,11,4,11
RPL38,11,6,11
RPLP1,11,4,11
RPS13,11,5,11
RPS27,11,6,11
ST18,11,5,12
SYNDIG1,11,1,11
TLE4,11,4,21
TMEM132D,11,4,15
ZFHX4,11,4,20
ADAMTS19,10,5,11
BRINP3,10,5,13
C8orf34,10,4,11
CA8,10,3,12
CNTN6,10,2,10
CPNE4,10,4,12
DSCAM,10,5,12
ENSG00000189229,10,7,14
ENSG00000228999,10,3,14
ENSG00000229588,10,4,10
ENSG00000229618,10,5,13
ENSG00000231918,10,4,10
ENSG00000249335,10,2,12
ENSG00000286072,10,3,15
ENTREP2,10,3,12
GRM5P1,10,2,10
ITPR2,10,4,15
KCTD16,10,2,14
LINC00486,10,8,23
LINC03051,10,4,14
NOS1,10,1,10
OPCML,10,2,10
PCDH9,10,5,10
PRKG1,10,5,16
RPL27A,10,5,10
RPL36,10,5,10
RPL41,10,4,10
RPL9,10,6,11
RPS16,10,6,10
RPS19,10,5,10
RPS23,10,4,10
SOX2-OT,10,5,17
TMSB4X,10,6,10
UNC13B,10,1,10
UNC5D,10,3,10
UTRN,10,4,12
ALCAM,9,3,10
ANKRD34B,9,1,9
CACNA2D3,9,4,10
CHSY3,9,3,10
DGKB,9,3,10
ENSG00000233005,9,1,9
ENSG00000250237,9,3,13
ENSG00000253503,9,3,10
ENSG00000257452,9,2,11
EPHA4,9,1,9
GABRB1,9,6,10
GPC5,9,5,9
GPR88,9,3,13
HSP90AB1,9,4,10
LINC01322,9,6,11
LINC01830,9,2,9
LINC02237,9,2,10
LINC02899,9,3,9
LINC02945,9,1,9
LSAMP,9,4,10
MDGA2,9,5,11
MEG3,9,3,16
NRG1,9,2,9
NTS,9,3,11
PABPC1,9,4,12
PDE7B-AS1,9,4,17
PIEZO2,9,4,12
PRKCH,9,3,15
PWRN1,9,2,9
ROR1,9,1,9
RPL13A,9,6,9
RPL18A,9,5,10
RPS15A,9,4,9
RPS2,9,4,9
RPS8,9,4,9
SGCZ,9,3,10
SHISA6,9,5,11
SKAP2,9,2,9
SMAD3,9,2,9
ST3GAL5,9,2,9
TACR1,9,1,9
THRB,9,5,11
TMEM132C,9,4,12
B3GLCT,8,4,14
CXXC4-AS1,8,2,12
DPY19L1,8,3,8
ELMOD1,8,2,10
ENSG00000228944,8,1,8
ENSG00000239498,8,2,9
ENSG00000241231,8,4,12
ENSG00000247134,8,2,8
ENSG00000248242,8,3,9
ENSG00000254394,8,3,8
ENSG00000258077,8,3,13
ENSG00000259481,8,3,9
ENSG00000286069,8,2,10
ENSG00000287844,8,1,8
ENSG00000288035,8,2,10
FRAS1,8,3,14
GPC6,8,3,8
GRIK4,8,3,8
GULP1,8,3,12
HTR2C,8,3,10
LINC03000,8,5,8
LMO4,8,2,8
MALAT1,8,5,13
MBP,8,4,8
MIR924HG,8,3,8
MME,8,3,12
MTUS2,8,2,10
NDST3,8,3,8
NETO1,8,3,15
NPAS2,8,2,8
PCDH15,8,2,8
PDE10A,8,3,16
PEG10,8,3,12
RAPGEF5,8,3,8
RORA-AS1,8,3,10
RPL10,8,5,9
RPL18,8,5,8
RPL27,8,3,8
RPL36A,8,5,8
RPL7,8,5,8
RPS11,8,5,8
RPS15,8,5,8
SGCD,8,4,10
SLC28A2-AS1,8,5,14
SPHKAP,8,2,8
SYT10,8,2,11
TMEFF2,8,3,8
TPD52L1,8,2,10
TSHZ3,8,3,8
VAV3,8,5,11
WLS,8,3,8
ZFPM2,8,3,8
ANKRD34C-AS1,7,1,7
ARHGAP26,7,3,9
BCL11B,7,4,14
CALB1,7,2,7
CALM1,7,5,7
CCBE1,7,4,7
CDH7,7,2,7
CIT,7,1,7
CRIM1,7,2,7
CSMD2,7,1,7
DLX6-AS1,7,4,8
DPP6,7,3,8
DPYD,7,3,7
EEF1A1,7,5,7
EML5,7,2,10
ENSG00000223838,7,2,9
ENSG00000227681,7,2,7
ENSG00000237019,7,2,8
ENSG00000239381,7,4,12
ENSG00000258342,7,1,7
ENSG00000259336,7,3,10
ENSG00000275443,7,3,9
ENSG00000285280,7,3,9
ENSG00000287683,7,3,12
ENSG00000291111,7,1,7
EPHA3,7,4,7
GAPDH,7,4,7
GJD2-DT,7,2,10
GNG7,7,3,12
GRIK1,7,3,8
IL1RAP,7,3,7
ITGA8,7,1,7
KCNK1,7,3,9
KCNMA1,7,3,7
KCNQ5,7,4,7
KLHL29,7,3,10
LINC01036,7,3,10
LINC01798,7,3,9
LINC02964,7,3,12
LMNTD1,7,1,7
LRRC36,7,2,8
MAP7,7,2,10
MEF2C,7,4,8
MIR3659HG,7,2,7
MMD2,7,3,10
NELL1,7,2,7
NRG3,7,4,8
PATJ,7,3,10
PIP5K1B,7,3,9
PLXDC2,7,3,7
PTPRD,7,3,8
PTPRT,7,4,9
RBMS1,7,4,10
RGS6,7,1,7
RPL10A,7,4,7
RPL11,7,4,7
RPL19,7,5,7
RPL21,7,3,7
RPL23A,7,5,7
RPL26,7,3,7
RPL31,7,5,7
RPL34,7,3,7
RPS25,7,5,7
RPS27A,7,6,7
RPS9,7,4,7
SH3D19,7,2,10
SLC1A3,7,1,7
SLC7A8,7,2,8
SPOCK3,7,4,9
SST,7,1,7
ST8SIA3,7,2,9
TENT5A,7,1,7
TGFA,7,3,9
TRPC5,7,1,7
TRPM3,7,2,8
TUBA1A,7,4,7
ZEB2,7,4,10
ZNF804B,7,4,8
ABTB3,6,3,9
ACTB,6,2,6
ADCY8,6,3,7
AJAP1,6,2,7
ARAP2,6,2,6
ARHGAP6,6,3,7
ARL14EP-DT,6,3,7
ASB18,6,2,6
ASIC2,6,3,6
ASTN2,6,4,6
BRINP1,6,3,6
BTNL9,6,2,6
CALM2,6,2,6
CALY,6,2,7
CNKSR3,6,3,11
CNTLN,6,2,7
COL24A1,6,2,6
CST3,6,2,6
CTNNA2,6,2,6
EEF1G,6,4,6
ENSG00000234953,6,2,7
ENSG00000242593,6,2,6
ENSG00000243276,6,2,8
ENSG00000253693,6,4,6
ENSG00000253901,6,3,9
ENSG00000259200,6,2,6
ENSG00000259434,6,2,7
ENSG00000259692,6,1,6
ENSG00000259846,6,5,8
ENSG00000260289,6,2,8
ENSG00000266846,6,1,6
ENSG00000270207,6,2,6
ENSG00000287097,6,4,7
ENSG00000287722,6,3,8
ENSG00000288765,6,2,6
EPHA5,6,5,6
EPHA6,6,4,6
FAM222A,6,2,7
FAT1,6,2,7
FRMD4A,6,3,7
FRMPD4,6,3,6
GALNT7,6,1,6
GRIA4,6,6,6
GRID1,6,2,9
GRM5,6,2,6
HS6ST3,6,4,8
IPCEF1,6,2,6
KITLG,6,1,6
L3MBTL4,6,2,6
LAMP5,6,2,7
LIMCH1,6,2,6
LINC00598,6,3,12
LINC02109,6,5,13
LINC02197,6,2,6
LINC02712,6,2,8
LRRN1,6,1,6
MALRD1,6,4,6
MAP3K1,6,2,7
MARCKSL1,6,5,6
MCTP2,6,2,7
MDFIC,6,3,7
MED12L,6,2,7
NGEF,6,3,12
NLGN1,6,2,6
NNAT,6,2,6
NPNT,6,4,7
ONECUT2,6,1,6
PAM,6,3,7
PCSK1N,6,3,7
PKN2-AS1,6,2,6
PLD5,6,3,8
PPP2R2C,6,1,6
PPP4R4,6,3,9
PRMT8,6,3,8
ROBO1,6,2,6
RORA,6,4,9
RPL28,6,5,6
RPL3,6,4,6
RPL32,6,4,6
RPL39,6,3,6
RPL6,6,4,6
RPLP2,6,5,6
RPS12,6,4,6
RPS14,6,4,6
RPS17,6,3,6
RPS21,6,4,6
RPS6KA5,6,3,9
RUNX1,6,1,6
RUNX1T1,6,1,6
RYR3,6,3,6
SAMD5,6,2,6
SASH1,6,2,6
SATB2,6,5,7
SERTAD4,6,3,12
SLC16A10,6,3,6
SLC26A5-AS1,6,2,7
SLC4A4,6,3,13
STXBP6,6,3,6
TAF4B,6,2,7
TMEM158,6,3,7
TMTC1,6,3,7
TNS3,6,3,8
TRPC7,6,2,6
TUBB2B,6,4,6
WWC2,6,3,7
ZBTB20,6,3,6
ZEB1,6,4,7
ZNF300P1,6,2,6
ZNF521,6,3,12
AASS,5,2,7
ACTG1,5,4,5
ADGRL2,5,2,8
ADGRL4,5,3,5
ANKRD55,5,3,5
ANO3,5,3,6
ARHGAP10,5,2,7
ARHGAP15,5,4,8
BMPER,5,2,5
C1RL,5,1,5
CACNG5,5,2,6
CADM2,5,5,5
CAMKMT,5,2,7
CCDC88C,5,3,11
CFAP47,5,2,7
CNTN3,5,3,5
CNTN4,5,2,5
CNTN5,5,3,5
CRACDL,5,1,5
CSMD3,5,4,5
DANT2,5,1,5
DGKI,5,2,5
DHRS3,5,1,5
DNAH11,5,2,7
DOCK1,5,2,5
DOCK11,5,2,6
DPP10,5,2,5
DRD2,5,3,8
DSEL-AS1,5,3,5
EBF3,5,2,6
ENSG00000231424,5,3,5
ENSG00000258662,5,2,6
ENSG00000258844,5,1,5
ENSG00000259280,5,2,5
ENSG00000260848,5,2,5
ENSG00000261191,5,1,5
ENSG00000285605,5,1,5
ENSG00000285961,5,2,7
ENSG00000287292,5,3,5
ENSG00000287720,5,1,5
ENSG00000289007,5,1,5
ENSG00000289130,5,2,5
EPB41L4A,5,2,5
ERICH2-DT,5,1,5
ESAM,5,1,5
FAM78B,5,2,6
FGF9,5,1,5
FOXP4,5,3,7
GABRA2,5,3,5
GABRA4,5,1,5
GAP43,5,1,5
GNG12,5,1,5
GNG12-AS1,5,3,5
GNG2,5,2,5
GNG4,5,2,7
GPR153,5,1,5
GPR158,5,2,8
GRM8,5,3,5
H4C3,5,4,5
HECW1,5,1,5
HIVEP2,5,2,5
IL1RAPL1,5,2,5
IQCA1,5,3,7
ITPR1,5,4,7
KAZN,5,2,5
KCNH1,5,4,5
KHDRBS2,5,3,6
KIT,5,4,6
LDB2,5,1,5
LECT2,5,1,5
LEXM,5,1,5
LHFPL3-AS1,5,2,6
LINC00609,5,1,5
LINC01090,5,1,5
LINC01608,5,4,7
LINC02133,5,2,6
LINC02315,5,2,5
LPP,5,2,5
LRP1B,5,2,5
LRRC4C,5,4,5
LRRTM3,5,3,5
LUZP2,5,4,5
MACROD2,5,3,5
MARCHF1,5,2,5
MEIS1,5,3,6
MGAT4A,5,3,6
MMP16,5,2,7
MYO3B,5,2,6
MYRIP,5,1,5
NEBL,5,3,5
NPSR1-AS1,5,3,6
NR2F1-AS1,5,3,8
NR3C2,5,4,6
NRXN1,5,2,5
NTM,5,3,6
NTN1,5,3,6
NTRK2,5,2,5
OBI1-AS1,5,2,5
OSBPL10,5,3,5
P3H2,5,2,7
PARD3,5,2,6
PCDH7,5,4,6
PCSK5,5,2,5
PCSK6,5,1,5
PDE1A,5,2,5
PDE1B,5,2,6
PDE8A,5,1,5
PI4KAP1,5,5,7
PIK3C2G,5,1,5
POU6F2,5,2,5
PPP1R1B,5,1,5
RAMP1,5,3,6
RCAN1,5,1,5
RPL23,5,3,5
RPL24,5,4,5
RPL29,5,3,5
RPL35,5,4,5
RPL37,5,3,5
RPS28,5,4,5
RPS3A,5,3,6
RPS4X,5,4,5
RPS5,5,4,5
RPS6,5,4,5
SAMD3,5,3,6
SATB1-AS1,5,2,6
SCG2,5,1,5
SFMBT2,5,4,7
SLC24A3,5,1,5
SLC44A1,5,3,6
SLC6A1,5,3,7
SLIT1,5,2,5
SMARCA2,5,2,5
SPANXA2-OT1,5,2,5
SPATA13,5,4,10
STEAP2,5,2,6
SYNDIG1L,5,2,8
SYT1,5,2,6
SYT4,5,4,5
SYT5,5,1,5
SYTL5,5,1,5
TALAM1,5,2,6
TC2N,5,1,5
TCF4,5,3,8
TENM3-AS1,5,3,5
TLE1-DT,5,1,5
TNR,5,3,5
UBA52,5,4,5
XKR6,5,2,5
YWHAB,5,2,5
ZBED3-AS1,5,2,6
ZBTB18,5,2,5
ZBTB20-AS1,5,2,5
ZFHX4-AS1,5,2,6
ACTN2,4,2,6
ADAMTS18,4,2,5
ADCY2,4,2,4
ADCY5,4,3,6
ADCY9,4,1,4
ADGRG7,4,2,6
ADRA1B,4,1,4
AHI1,4,3,7
AKAP7,4,1,4
ANKS1A,4,1,4
ANKS1B,4,3,6
ANO2,4,2,4
APBB2,4,1,4
APLF,4,1,4
AQP4-AS1,4,3,9
ARHGAP15-AS1,4,2,4
ARHGAP24,4,1,4
ARHGAP28,4,1,4
ASAP2,4,1,4
ATP2B1,4,3,5
ATP5F1E,4,3,4
ATXN1-AS1,4,1,4
B3GALT2,4,1,4
C2orf83,4,1,4
C4orf48,4,3,4
C4orf50,4,1,4
CA12,4,2,4
CAMK2B,4,1,4
CAMK2N1,4,1,4
CATSPERB,4,1,4
CDH10,4,2,4
CDH12,4,2,4
CDH4,4,2,4
CDS1,4,2,5
CELF2,4,2,4
CEP112,4,3,7
CHRM3,4,2,4
CNR1,4,3,5
CNTN1,4,3,4
CNTNAP3,4,2,4
COL5A2,4,3,5
COL6A6,4,2,5
CORIN,4,2,6
CORO2B,4,1,4
COX7C,4,3,4
CPNE5,4,2,4
CPNE7,4,1,4
CTSV,4,2,4
CUX1,4,1,4
DCLK3,4,1,4
DGKH,4,2,4
DIAPH2,4,1,4
DLG2,4,1,4
DLGAP1,4,2,4
DOCK2,4,2,4
DOCK9,4,2,4
DRD3,4,2,5
DSCAML1,4,2,4
DSEL,4,2,4
EFNA5,4,2,4
EGFLAM,4,1,4
EGFR,4,2,4
ENSG00000226994,4,1,4
ENSG00000228793,4,1,4
ENSG00000231754,4,2,5
ENSG00000234352,4,1,4
ENSG00000237076,4,1,4
ENSG00000243620,4,2,4
ENSG00000243797,4,2,5
ENSG00000248431,4,2,5
ENSG00000250101,4,2,6
ENSG00000251031,4,1,4
ENSG00000251076,4,1,4
ENSG00000251244,4,2,6
ENSG00000251293,4,2,4
ENSG00000255968,4,1,4
ENSG00000258028,4,2,4
ENSG00000259345,4,2,6
ENSG00000261227,4,3,7
ENSG00000271860,4,1,4
ENSG00000275649,4,1,4
ENSG00000285741,4,1,4
ENSG00000286481,4,2,4
ENSG00000286619,4,3,5
ENSG00000286622,4,2,5
ENSG00000286648,4,2,4
ENSG00000287092,4,2,6
ENSG00000287508,4,2,4
ENSG00000287976,4,1,4
ENSG00000288808,4,2,7
ENSG00000289349,4,1,4
ENSG00000289368,4,1,4
ENSG00000289408,4,1,4
ENSG00000290843,4,1,4
ENTPD3,4,2,5
EPB41L3,4,2,4
ERICH3,4,2,4
ESRRB,4,2,6
EYA1,4,1,4
FAM153CP,4,2,4
FAM171B,4,1,4
FAT3,4,2,7
FAT4,4,2,4
FAU,4,3,4
FBXW7,4,2,4
FGFR1,4,2,4
FIGN,4,2,4
FLG-AS1,4,2,4
FLRT2,4,2,4
FNDC1,4,4,7
FOS,4,2,4
FOXP1-AS1,4,1,4
FSTL5,4,2,4
GABRG1,4,2,4
GAD2,4,3,6
GARNL3,4,2,4
GAS7,4,1,4
GBE1,4,1,4
GLUD1,4,1,4
GREB1,4,1,4
GRIN2B,4,2,4
GRM7,4,2,6
GSG1L,4,2,6
HDAC2-AS2,4,2,5
HERC2P3,4,1,4
HSPA1A,4,1,4
HTR1F,4,2,4
IGSF9B,4,3,7
IMMP2L,4,2,6
IPMK,4,1,4
IQCJ,4,2,4
ITGAV,4,1,4
JPH4,4,2,6
JUNB,4,1,4
KCNJ3,4,3,7
KIRREL3,4,2,4
KLHL1,4,2,4
KLHL5,4,3,5
KSR2,4,3,5
LAMB1,4,1,4
LHFPL3,4,3,5
LIN28B,4,2,4
LINC-PINT,4,1,4
LINC01117,4,1,4
LINC01182,4,2,4
LINC01470,4,1,4
LINC01497,4,1,4
LINC02232,4,2,4
LINC02307,4,2,4
LINC02336,4,2,6
LINC02462,4,2,7
LINC02755,4,3,7
LRRC52-AS1,4,1,4
MAGI2,4,2,4
MAML3,4,2,4
MAPK10,4,1,4
MCC,4,2,4
MEF2C-AS1,4,1,4
MFAP3L,4,1,4
MIR137HG,4,2,4
MIR193BHG,4,1,4
MIR4500HG,4,2,4
MMP17,4,2,5
MPP7,4,2,7
MPPED1,4,2,5
MSC-AS1,4,1,4
MSI2,4,2,6
MYLK,4,1,4
MYO16,4,3,4
MYO1E,4,1,4
MYO3A,4,2,5
MYO3B-AS1,4,1,4
NAB1,4,1,4
NCALD,4,2,4
NCKAP5,4,2,4
NDST4,4,2,4
NFIA,4,2,4
NHSL2,4,2,6
NKAIN2,4,3,5
NPSR1,4,2,5
NR3C1,4,2,4
NRXN3,4,5,6
NT5DC3,4,2,4
NUAK1,4,2,4
OLFM3,4,2,4
OSBPL3,4,2,4
OVCH1,4,1,4
OVCH1-AS1,4,1,4
PACRG,4,3,6
PALM2AKAP2,4,2,4
PCDH10,4,2,4
PDE11A,4,2,6
PDZRN4,4,3,4
PHEX,4,1,4
PKP4,4,1,4
PLAAT1,4,1,4
PLPP4,4,2,4
PLPPR1,4,1,4
PLXNA4,4,2,5
POPDC3,4,2,4
PPARGC1A,4,3,4
PPM1E,4,1,4
PPP3CA,4,1,4
PRICKLE2,4,1,4
PRSS23-AS1,4,1,4
PTN,4,1,4
PTPRG-AS1,4,2,4
PTPRU,4,1,4
PTPRZ1,4,2,7
RAC2,4,2,5
RASGRF2,4,1,4
RASSF8-AS1,4,3,5
RBMS3,4,3,6
RGS8,4,2,5
RGS9,4,2,7
RIC8B,4,1,4
RMST,4,3,6
RPL12,4,3,4
RPL15,4,3,4
RPL17,4,3,4
RPL5,4,3,4
RPS10,4,3,4
RPS20,4,4,4
RPS24,4,3,4
RUBCNL,4,1,4
SCD5,4,2,4
SEMA3D,4,2,4
SH3RF2,4,2,6
SIPA1L1,4,2,4
SLC24A2,4,2,4
SLC24A4,4,1,4
SLC5A8,4,4,7
SNCAIP,4,1,4
SNHG14,4,3,6
SNHG4,4,1,4
SOX1-OT,4,2,4
SOX6,4,2,4
SPATS2L,4,3,6
SPNS2,4,1,4
ST3GAL1,4,2,4
ST6GALNAC5,4,3,4
STARD13,4,2,4
STEAP2-AS1,4,1,4
STMN1,4,2,4
STN1,4,1,4
SUGCT,4,1,4
SUSD4,4,3,6
TBL1X,4,3,5
TCF12,4,2,4
TEX9,4,2,5
THCAT155,4,2,6
THSD4,4,2,5
TMEM196,4,2,4
TNIK,4,1,4
TRPC3,4,2,5
TTC34,4,1,4
TTTY14,4,1,4
TUBA1B,4,3,4
TUBB2A,4,3,4
WNT7B,4,3,5
ZDHHC2,4,3,4
ZMIZ1,4,2,4
ZMIZ1-AS1,4,1,4
ZNF385D,4,1,4
ZNF385D-AS2,4,2,4
ABLIM3,3,1,3
ADAM11,3,1,3
ADAM22,3,1,3
ADAM7-AS1,3,2,3
ADORA2A,3,1,3
AFDN-DT,3,1,3
AFF2,3,1,3
AFF3,3,2,4
AKAP5,3,2,4
AKNAD1,3,1,3
AKR1D1,3,2,6
ALG1L9P,3,1,3
ALK,3,3,3
ALPL,3,1,3
ANK1,3,1,3
ANKDD1B,3,1,3
ANKH,3,1,3
ANKRD20A11P,3,2,5
ANKRD30BL,3,1,3
ANKRD7,3,2,4
AOAH,3,1,3
AQR,3,2,3
AR,3,2,4
ARL6IP1,3,1,3
ATP11C,3,1,3
AUTS2,3,2,3
B3GALT5,3,2,5
BACH1,3,2,3
BASP1-AS1,3,1,3
BCHE,3,1,3
BCL2,3,1,3
BCL6,3,3,3
BEX1,3,2,3
BTF3,3,2,3
C11orf87,3,1,3
CACNB2,3,1,3
CADPS2,3,2,3
CALD1,3,1,3
CAMK2A,3,2,5
CAMTA1,3,2,4
CBLN4,3,1,3
CCDC26,3,1,3
CD47,3,1,3
CDCA7L,3,1,3
CDH11,3,1,3
CDIN1,3,3,8
CDK14,3,1,3
CDKL4,3,1,3
CFAP20DC-AS1,3,1,3
CHAT,3,1,3
CHKA,3,1,3
CHN1,3,2,5
CHPT1,3,1,3
CHRM2,3,2,3
CLDN1,3,2,3
CLEC16A,3,2,4
CLSTN2,3,3,3
CNTNAP4,3,2,3
CNTNAP5-DT,3,2,6
COBLL1,3,1,3
COL15A1,3,2,3
COL26A1,3,1,3
COL4A2,3,2,4
COL5A1,3,2,3
CPT1A,3,1,3
CPVL,3,2,3
CRACD,3,2,4
CRB1,3,1,3
CREM,3,1,3
CROCCP2,3,1,3
CSGALNACT1,3,1,3
CSPG5,3,1,3
CTNND2,3,1,3
DAB1,3,2,3
DELEC1,3,1,3
DLGAP2,3,2,6
DLX5,3,1,3
DLX6,3,2,4
DMD,3,1,3
DNAH6,3,2,3
DNAH7,3,1,3
DNAI1,3,1,3
DOCK4,3,2,3
DOK5,3,2,3
DOK6,3,3,3
DPH6,3,2,4
DPP10-AS1,3,1,3
DRD1,3,1,3
DSG2,3,1,3
DTNBP1,3,1,3
E2F3,3,2,4
EDA,3,2,4
EDIL3,3,2,3
EDIL3-DT,3,3,3
EEF1B2,3,2,3
EEPD1,3,1,3
ELAVL2,3,1,3
ELAVL4,3,1,3
ELF2,3,1,3
ELFN1,3,1,3
EML1,3,2,4
ENPP2,3,1,3
ENSG00000203335,3,1,3
ENSG00000223436,3,1,3
ENSG00000223842,3,1,3
ENSG00000224658,3,1,3
ENSG00000225649,3,2,4
ENSG00000230552,3,1,3
ENSG00000234173,3,2,3
ENSG00000236408,3,1,3
ENSG00000237713,3,1,3
ENSG00000242816,3,1,3
ENSG00000248343,3,2,3
ENSG00000248939,3,1,3
ENSG00000249883,3,2,3
ENSG00000250243,3,1,3
ENSG00000254787,3,2,3
ENSG00000254987,3,1,3
ENSG00000255028,3,1,3
ENSG00000255132,3,1,3
ENSG00000255648,3,1,3
ENSG00000255910,3,1,3
ENSG00000256654,3,1,3
ENSG00000257522,3,1,3
ENSG00000258312,3,2,4
ENSG00000258637,3,3,4
ENSG00000259275,3,1,3
ENSG00000259929,3,2,4
ENSG00000260664,3,1,3
ENSG00000260971,3,1,3
ENSG00000261786,3,1,3
ENSG00000265125,3,1,3
ENSG00000272865,3,2,3
ENSG00000273118,3,1,3
ENSG00000284052,3,1,3
ENSG00000286003,3,1,3
ENSG00000286046,3,1,3
ENSG00000286121,3,1,3
ENSG00000286540,3,1,3
ENSG00000286685,3,2,3
ENSG00000286812,3,1,3
ENSG00000286973,3,1,3
ENSG00000286980,3,1,3
ENSG00000287299,3,1,3
ENSG00000287347,3,1,3
ENSG00000287460,3,1,3
ENSG00000287488,3,2,4
ENSG00000287528,3,1,3
ENSG00000287949,3,1,3
ENSG00000287996,3,1,3
ENSG00000288105,3,3,3
ENSG00000288902,3,1,3
ENSG00000288921,3,1,3
ENSG00000289953,3,1,3
ENSG00000290012,3,1,3
ENSG00000290067,3,1,3
ENSG00000290457,3,3,5
ENSG00000291189,3,1,3
ENSG00000291194,3,3,5
ENTREP1,3,2,4
EPB41,3,1,3
EPB41L2,3,1,3
EPB41L4B,3,2,5
EPHA5-AS1,3,1,3
EPHA7,3,1,3
EPHB1,3,2,4
ESRRG,3,2,3
ETV1,3,2,3
EVA1C,3,1,3
FAM81A,3,1,3
FGF14,3,2,3
FKBP5,3,1,3
FMNL2,3,1,3
FRMD3,3,1,3
FRMD5,3,1,3
FRMPD3,3,2,3
FTL,3,2,3
FXYD6,3,1,3
GABBR2,3,1,3
GABRG3,3,1,3
GAREM1,3,1,3
GFOD1,3,1,3
GLYATL2,3,1,3
GNAI1,3,2,4
GOLIM4,3,2,4
GPR143,3,1,3
GPR158-AS1,3,1,3
GPR63,3,2,3
GRIK2,3,3,3
GRIK3,3,2,5
GRM7-AS1,3,1,3
GRM7-AS3,3,1,3
GTDC1,3,1,3
H3-3B,3,3,3
HCG24,3,1,3
HECA,3,1,3
HECW2,3,1,3
HFM1,3,1,3
HIVEP1,3,1,3
HS6ST2,3,2,5
HTR1E,3,2,5
HUNK,3,2,3
ID4,3,1,3
IGSF21,3,2,3
IKZF2,3,2,3
IL17RD,3,1,3
INPP5A,3,1,3
ITSN1,3,1,3
JARID2,3,1,3
KCNB2,3,2,3
KCNH4,3,1,3
KCNH5,3,3,3
KCNJ2,3,2,4
KCNN2,3,2,3
KCTD1,3,2,4
KDM7A,3,1,3
KHDRBS2-OT1,3,2,4
