gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
TSHZ2,-1.4304468769514938,3.366781247078797,-6.099250961903693,4.424173235728208e-6,0.05312989638786005,3.2225337717700606,,Amide-Pos-000319,L-Glutamic Acid,EN-Newborn,20,0.0764988131821094,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;map00270;map00280;map00310;map00330;map00340;map00350;map00360;map00380;map00410;map00480;map00520;map00590;map00640;map00670;map00760;map00910;R-HSA-112310;R-HSA-112313;R-HSA-156590;R-HSA-1614558;R-HSA-1614635;R-HSA-174403;R-HSA-196757;R-HSA-196807;R-HSA-210455;R-HSA-210500;R-HSA-2142691;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-3928662;R-HSA-399710;R-HSA-399721;R-HSA-420499;R-HSA-428643;R-HSA-438064;R-HSA-438066;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-446210;R-HSA-446219;R-HSA-451306;R-HSA-451307;R-HSA-451308;R-HSA-451326;R-HSA-499943;R-HSA-500657;R-HSA-500753;R-HSA-5423646;R-HSA-5578999;R-HSA-5579029;R-HSA-5619062;R-HSA-5619067;R-HSA-5619076;R-HSA-5628897;R-HSA-6794362;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-70635;R-HSA-70688;R-HSA-70895;R-HSA-70921;R-HSA-71064;R-HSA-71240;R-HSA-73817;R-HSA-8849932;R-HSA-888568;R-HSA-888590;R-HSA-8955332;R-HSA-8956320;R-HSA-8963684;R-HSA-8963691;R-HSA-8963693;R-HSA-8964539;R-HSA-8964540;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-916853;R-HSA-9617324;R-HSA-9620244;R-HSA-9659379;R-HSA-9662360;R-HSA-9664535;R-HSA-9717189;R-HSA-9717207;R-HSA-9748787;R-HSA-9753281;R-HSA-977347;R-HSA-9856872;WP100;WP2333;WP2447;WP2485;WP3580;WP3602;WP3853;WP3869;WP4008;WP4157;WP4159;WP4222;WP4224;WP4225;WP4228;WP4259;WP4315;WP4504;WP4571;WP4583;WP4595;WP4661;WP4688;WP497;WP5026;WP5029;WP5094;WP5213;WP5312;WP5402;WP550,C00025,NA,high,19,0.33891361240419265,FALSE
COL4A6,-2.40555032821081,1.4006816368599606,-6.384801201791957,4.8305474172654314e-6,0.07927668627865182,2.4725354183296258,,Amide-Pos-000336,N-Acetylputrescine,EN-Newborn,17,0.08055899209564454,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,WP4157,C02714,NA,high,13,0.3716465735175088,FALSE
KLF12,-0.42544909730750274,8.302894800120116,-6.439928993130154,4.509399721407189e-6,0.05595537439685569,4.331092692824659,,Amide-Pos-000363,Leucine,EN-Newborn,17,0.07727588616385568,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00280;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-442660;R-HSA-5619044;R-HSA-5619094;R-HSA-5619113;R-HSA-5659735;R-HSA-5660862;R-HSA-5660883;R-HSA-70895;R-HSA-71240;R-HSA-9639288;WP3953;WP4686;WP5175,C00123,NA,high,17,0.5724501681557397,FALSE
TSHZ2,-1.6564664133072393,3.3525839412331244,-9.586417836105454,5.943008194782702e-9,1.4247173545352571e-4,8.211133891913864,,Amide-Pos-000461,4-Quinolinol,EN-Newborn,19,8.891086342500786e-4,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,NA,NA,NA,high,18,0.260964875111219,FALSE
ANKRD33B,-0.9849106384906204,1.3790800903771265,-6.593342451272105,1.934456293359007e-6,0.022504287238942048,2.3123758822201292,,Amide-Pos-000461,4-Quinolinol,EN-Newborn,19,0.045950557043687744,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,NA,NA,NA,high,15,0.3742606820946923,FALSE
GARNL3,0.3480298462240502,7.130028611003891,6.418053845935532,2.81620413451909e-6,0.022504287238942048,4.696146003539015,,Amide-Pos-000461,4-Quinolinol,EN-Newborn,19,0.05828466931028924,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,NA,NA,NA,high,19,0.47279317257132625,FALSE
HS3ST4,1.701347032687211,3.1993707407936074,6.318315025082501,5.507302676802903e-6,0.1278465243393026,-1.6010816665575356,,Amide-Pos-000558,Delta-Valerobetaine,EN-Newborn,17,0.08711790478230183,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,high,16,0.36912753870323445,FALSE
ENSG00000284716,-0.5879569509128525,1.2512775594130499,-6.350660796660029,4.467684956327407e-6,0.10711274682794958,-1.7577250625597474,,Amide-Pos-000563,5-Methyl D-Glutamate,EN-Newborn,18,0.07695334228076592,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,14,3.1634036091013584,TRUE
LINC00486,-0.9387872934405183,6.657448577561162,-10.506618454270978,7.391935343546644e-9,1.6974840322920513e-4,10.670245058083225,,Amide-Pos-000599,1-Methylhistidine,EN-Newborn,16,0.0010339730250064824,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00340;map00410,NA,NA,high,16,0.26100635688684765,FALSE
MEOX2,-1.338362903133354,-0.050832658966843955,-7.5016632261140845,8.609046260193314e-7,0.009884906915953964,4.562890014656826,,Amide-Pos-000599,1-Methylhistidine,EN-Newborn,16,0.02702993939095472,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00340;map00410,NA,NA,high,8,0.38495733378618796,FALSE
