set_id,set_label,condition,source,level,set_type,gene_symbol
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ITGA1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ITGB3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,JCAD
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,KCNK5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,KIAA0040
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,KLF4
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LAMB2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LDLR
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LEPRE1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LIPA
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LIPC
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LIPG
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LMAN1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LOX
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LOXL4
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LPA
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,LPL
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAD1L1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAD2L1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAFB
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAGI3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAP1S
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MAP3K1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MC4R
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MECOM
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MFGE8
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MIA3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MLH3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MMP13
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MORF4L
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MRAS
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MTAP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MYH11
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,MYO9B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,N4BP2L2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NBEAL1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NCOA6
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NGF
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NME7
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NOS3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,NRP1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,OSM
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,OSR1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PALLD
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PARP12
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PAWR
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PCSK9
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PDE1A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PDE1C
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PDE3A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PDE5A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PDGFD
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PECAM1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PHACTR1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PID1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PIP4K2B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PLCE1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PLCG2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PLEKHG1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PLG
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PLTP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PNPLA3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,POLG
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PPAP2B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PPP2R3A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PRDM16
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PRKCE
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PTK7
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,PTRF
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RAC1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RASGEF1B
