Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Neg-000171,Glutaric Anhydride,Organoheterocyclic compounds,Lactones,8,2
C8-Pos-000806,Glycerol Monooleate,Lipids and lipid-like molecules,Glycerolipids,8,3
Amide-Pos-000996,2'-Deoxyadenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,7,1
C18-Pos-000207,Caprolactam,Organoheterocyclic compounds,Lactams,7,3
C18-Pos-000574,L-(-)-Methionine,Organic acids and derivatives,Carboxylic acids and derivatives,7,2
C8-Pos-000022,Chalcone,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",7,2
C8-Pos-001073,Cer(D15:2_7:0),Lipids and lipid-like molecules,Sphingolipids,7,3
C8-Pos-003614,Tg(36:6_4:0),Lipids and lipid-like molecules,Glycerolipids,7,2
C8-Pos-004750,Pe 21:2_21:2,Lipids and lipid-like molecules,Glycerophospholipids,7,3
C8-Neg-002843,Pc(18:1_5:1cho),Lipids and lipid-like molecules,Glycerophospholipids,6,1
Amide-Neg-000015,Glycolic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,5,2
Amide-Neg-000078,Isobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,5,2
C18-Pos-001575,Asp-Phe,Organic acids and derivatives,Carboxylic acids and derivatives,5,4
C8-Pos-000342,Palmitic Acid,Lipids and lipid-like molecules,Fatty Acyls,5,2
C8-Pos-002542,Lpc 20:3-Sn1,Lipids and lipid-like molecules,Glycerophospholipids,5,2
C8-Pos-003714,Pc(O-10:0_23:2),Lipids and lipid-like molecules,Glycerophospholipids,5,2
C8-Pos-003901,Dl-Dipalmitoylphosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,5,2
C8-Pos-005188,Pe(22:2_21:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,5,1
Amide-Pos-000193,Creatinine,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
Amide-Pos-000296,5-Methylcytosine,Organoheterocyclic compounds,Diazines,4,2
Amide-Pos-001163,Ophthalmate,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
Amide-Pos-001446,Glutathionesulfonic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,4,3
C8-Neg-002832,Oahfa(15:1_25:3),Lipids and lipid-like molecules,Fatty acyls,4,3
C8-Pos-001076,Bis(Methylbenzylidene)Sorbitol,Phenylpropanoids and polyketides,Cinnamyl alcohols,4,3
C8-Pos-003290,Tg(2:0_11:0_23:4),Lipids and lipid-like molecules,Glycerolipids,4,4
C8-Pos-003535,Pe 16:1_16:1,Lipids and lipid-like molecules,Glycerophospholipids,4,3
C8-Pos-004273,Pe(O-16:2_22:3),Lipids and lipid-like molecules,Glycerophospholipids,4,2
Amide-Neg-000149,2-Furoic Acid,Organoheterocyclic compounds,Furans,3,2
Amide-Neg-000557,N-Acetyl-L-Aspartic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Pos-000091,1-Aminocyclopropanecarboxylic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Pos-000171,Cytosine,Organoheterocyclic compounds,Diazines,3,3
Amide-Pos-000319,L-Glutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,3,2
Amide-Pos-000336,N-Acetylputrescine,Organic acids and derivatives,Carboximidic acids and derivatives,3,3
C18-Pos-000567,Phloretic Acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,3,2
C18-Pos-000931,"1,3-Benzodioxolylbutanamine (Bdb)",Organoheterocyclic compounds,Benzodioxoles,3,2
C8-Neg-000223,Dodecyl Sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,3,1
C8-Neg-000367,Myristyl Sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,3,2
C8-Neg-003216,Sqdg(2:0_28:0),Lipids and lipid-like molecules,Glycerolipids,3,2
C8-Neg-003377,Pi(16:1_18:3),Lipids and lipid-like molecules,Glycerophospholipids,3,1
C8-Neg-003628,Pc(30:8_11:3cooh),Lipids and lipid-like molecules,Glycerophospholipids,3,1
C8-Pos-001241,Dg(3:0_15:0),Lipids and lipid-like molecules,Glycerolipids,3,2
C8-Pos-001637,"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",Organoheterocyclic compounds,Benzoxazoles,3,3
C8-Pos-004921,Tg(49:11_2:0),Lipids and lipid-like molecules,Glycerolipids,3,1
Amide-Neg-000114,Γ-Aminobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Neg-000219,N-Acetylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
Amide-Neg-000291,Dl-Pyroglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
Amide-Neg-001099,D-Glucose,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Neg-001321,Cytidine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,2,2
Amide-Neg-001431,D-Glucose 6-Phosphate,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Pos-000085,Cyclohexylamine,Organic nitrogen compounds,Organonitrogen compounds,2,1
Amide-Pos-000200,Creatine,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
Amide-Pos-000363,Leucine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000536,L-Histidine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000620,D-Arginine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000661,N8-Acetylspermidine,Organic acids and derivatives,Carboximidic acids and derivatives,2,2
Amide-Pos-001139,N-Acetyl-D-Glucosamine 6-Phosphate,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Pos-001360,"D-Myo-Inositol-1,2-Diphosphate",Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Pos-001621,Cytidine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,2,1
C18-Neg-001023,Xanthosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,2,2
C18-Pos-000820,Propham,Benzenoids,Benzene and substituted derivatives,2,2
C18-Pos-001332,Hypaphorine,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
C18-Pos-001412,Glucose 1-Phosphate,Organic oxygen compounds,Organooxygen compounds,2,2
C18-Pos-002454,Guanosine-5'-Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,2,1
C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Organoheterocyclic compounds,Indoles and derivatives,2,2
C8-Neg-000295,Linoleic Acid,Lipids and lipid-like molecules,Fatty Acyls,2,1
C8-Neg-003407,Pc(27:6_8:1cooh),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003538,Pc(20:4cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003554,Ps(24:2_20:5),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003644,Pc(21:1cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003687,Pi(17:3_25:6),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-000350,Citroflex 2,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
C8-Pos-000483,5'-S-Methyl-5'-Thioadenosine,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,2,1
C8-Pos-000497,Palmitoyl Ethanolamide,Organic acids and derivatives,Carboximidic acids and derivatives,2,2
C8-Pos-001060,Vitamin D3,Lipids and lipid-like molecules,Steroids and steroid derivatives,2,2
C8-Pos-001359,Gly-Met-Arg,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
C8-Pos-001521,Triethyleneglycol Bis(2-Ethylhexanoate),Lipids and lipid-like molecules,Fatty Acyls,2,2
C8-Pos-001736,Tg(5:0_10:0_6:1cho),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-003357,Dg(4:0_34:6),Lipids and lipid-like molecules,Glycerolipids,2,1
C8-Pos-003474,"1,2-Dimyristoyl-Sn-Glycero-3-Pc",Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-003565,Cerp(D18:0_20:3),Lipids and lipid-like molecules,Sphingolipids,2,2
C8-Pos-003694,Tg(15:1cooh_24:0),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-004266,Ganglioside-Gm1(D18:1/18:0),Lipids and lipid-like molecules,Sphingolipids,2,2
C8-Pos-004352,Tg(20:2cho_26:3),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-004870,Pe(15:0_27:7),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-004916,Pe(21:0_21:5),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-005761,Pc(22:3cho_28:6),Lipids and lipid-like molecules,Glycerophospholipids,2,1
Amide-Neg-000047,Dl-Alanine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000051,Dl-Lactic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,1,1
Amide-Neg-000094,Levulinic Acid,Organic acids and derivatives,Keto acids and derivatives,1,1
Amide-Neg-000220,"L-Threonic Acid-1,4-Lactone",Organoheterocyclic compounds,Lactones,1,1
Amide-Neg-000314,Mesaconic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Neg-000402,Allopurinol,Organoheterocyclic compounds,Pyrazolopyrimidines,1,1
Amide-Neg-000479,4-(Acetylamino)Butanoic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000523,Xanthine,Organoheterocyclic compounds,Imidazopyrimidines,1,1
Amide-Neg-000574,N-Acetyl-L-Valine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000587,2-Oxoadipic Acid,Organic acids and derivatives,Keto acids and derivatives,1,1
Amide-Neg-000658,Dihydroxyacetone Phosphate,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000783,Dl-P-Hydroxyphenyllactic Acid,Benzenoids,Benzene and substituted derivatives,1,1
Amide-Neg-000876,Citric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-001243,D-Ribose 5-Phosphate,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-001697,Udp-N-Acetylglucosamine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Neg-001874,"D-Fructose 1,6-Bisphosphate",Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Pos-000025,Putrescine,Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000068,Sarcosine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000155,L-Serine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000224,D-Proline,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000235,"N,N-Dimethyl-Beta-Alanine Hcl",Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000240,"N,N-Diethylethanolamine",Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000255,L-Threonine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000270,Trometamol,Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000314,4-Piperidinecarboxamide,Organoheterocyclic compounds,Piperidines,1,1
Amide-Pos-000372,Asparagine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000447,L-2-Aminoadipic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000448,Proline Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000461,4-Quinolinol,Organoheterocyclic compounds,Quinolines and derivatives,1,1
Amide-Pos-000503,Guanine,Organoheterocyclic compounds,Imidazopyrimidines,1,1
Amide-Pos-000562,Dl-Carnitine,Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000563,5-Methyl D-Glutamate,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000599,1-Methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000621,Citrulline,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000686,"N6,N6,N6-Trimethyl-L-Lysine",Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000747,"N3,N4-Dimethyl-L-Arginine",Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000754,Acetyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Pos-000757,Sb01966,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Pos-000761,Tryptophan,Organoheterocyclic compounds,Indoles and derivatives,1,1
Amide-Pos-000781,Phosphoserine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000836,Cystathionine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000866,Pro-Asp,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000913,Anserine,Organic acids and derivatives,Peptidomimetics,1,1
Amide-Pos-001017,Glycerophosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,1,1
Amide-Pos-001079,Inosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,1,1
Amide-Pos-001107,L-Saccharopine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-001132,1-Methyladenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,1,1
Amide-Pos-001385,"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",Organoheterocyclic compounds,Quinolines and derivatives,1,1
Amide-Pos-001617,Uridine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Pos-001625,Glu-Glu-Glu,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-001677,Adenosine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
Amide-Pos-001703,Guanosine 5'-Diphosphate (Gdp),"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
Amide-Pos-001947,Udp-Β-D-Glucose (Sodium Salt),"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Pos-001983,Gdp-L-Fucose,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
C18-Neg-000934,Yrquylsqfnxrba-Izzdovswsa-N,Lipids and lipid-like molecules,Prenol lipids,1,1
C18-Neg-001407,1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
C18-Neg-001640,2'-Guanylic Acid,Organic oxygen compounds,Organooxygen compounds,1,1
C18-Pos-000393,L-Aspartic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-000888,(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-000992,D-Pantothenic Acid,Organic oxygen compounds,Organooxygen compounds,1,1
C18-Pos-001031,Triethylene Glycol Monobutyl Ether,Organic oxygen compounds,Organooxygen compounds,1,1
C18-Pos-001046,L-Kynurenine,Organic oxygen compounds,Organooxygen compounds,1,1
C18-Pos-001113,Methyl L-Tryptophanate,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-001141,Tetraglyme,Organic oxygen compounds,Organooxygen compounds,1,1
C18-Pos-001159,Biotin,Organoheterocyclic compounds,Biotin and derivatives,1,1
C18-Pos-001333,Asp-Leu,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-001343,3-Hydroxybutyrylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
C18-Pos-001439,Phenylacetylglutamine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-001644,Adenylyl(3'-5')Cytidine,"Nucleosides, nucleotides, and analogues",(3'->5')-dinucleotides and analogues,1,1
C18-Pos-002017,Uridine Monophosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
C18-Pos-002570,Myristoyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Neg-000383,(Rac)-Idroxioleic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Neg-000566,Docosatrienoic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Neg-001880,Lpc(16:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-002453,Pc(14:0_4:1cho),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-002641,Lpc(23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003063,Pi(O-5:0_21:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003309,Cl(18:0_20:1cho_23:1_21:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003343,Pg(20:3_20:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003382,Cl(23:1_19:4cho_22:4_22:4cho),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003393,Ps(18:2_22:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003398,Pi(22:0_12:1),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003462,Pc(17:3_20:1),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003516,Pa(29:1_20:6),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003529,Ps 22:6_22:6,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003536,Pi 38:6,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003577,Ps(22:0_22:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003610,Pc(19:5cooh_25:8),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003619,Ps(22:3_24:7),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003637,Dgdg(6:0_28:2),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Neg-003656,Pe(19:1cooh_28:3),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003730,Pc(18:3cho_26:8),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-000098,Dibenzoylmethane,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",1,1
C8-Pos-000209,Ppg N4,Organic oxygen compounds,Organooxygen compounds,1,1
C8-Pos-000327,Methyl Palmitate,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Pos-000382,D-Sphingosine,Organic nitrogen compounds,Organonitrogen compounds,1,1
C8-Pos-000610,"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",Organic oxygen compounds,Organooxygen compounds,1,1
C8-Pos-000642,"16-Hydroxycleroda-3,13-Dien-15,16-Olide",Lipids and lipid-like molecules,Prenol lipids,1,1
C8-Pos-000768,Penicillin G,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C8-Pos-000787,1-Linoleoyl Glycerol,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Pos-000887,5-(Z-Heptadec-8-Enyl) Resorcinol,Benzenoids,Phenols,1,1
C8-Pos-000955,3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,Organoheterocyclic compounds,Lactones,1,1
C8-Pos-001006,Citroflex 4,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C8-Pos-001064,4-Cholestenone,Lipids and lipid-like molecules,Steroids and steroid derivatives,1,1
C8-Pos-001297,Bis(4-Ethylbenzylidene)Sorbitol,Organoheterocyclic compounds,Dioxanes,1,1
C8-Pos-001356,Citroflex A-4,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C8-Pos-001973,Lpc 14:0-Sn2,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-002045,Lpe 18:1,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-002819,Pe(7:0_16:0cho),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003050,Tg(29:3cooh_2:0),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Pos-003179,Nervonic Ceramide,Lipids and lipid-like molecules,Sphingolipids,1,1
C8-Pos-003647,Lpe 34:1,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003759,Pe 16:0_18:1,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003929,Tg(28:6_14:3cho),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Pos-004019,Pa(18:1_20:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004035,Lpe 38:6,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004072,Pe(O-17:3_21:1),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004173,Pe 16:0_22:5,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004203,Pc(O-29:1_5:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004302,Pc(18:1_16:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004333,Pe(17:5cho_22:6),Lipids and lipid-like molecules,Glycerophospholipids,1,1
