"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-000443","Inosine","C10 H12 N4 O5",2796541.48044843,2706183.76606385,4275112.55830239,9683824.04369451,7707694.34205109,3115829.60208373,5380089.48170935,551493.417443822,8872796.96593391,3083763.69913572,3852029.87163567,507220.18891318,4864928.28658319,835624.185156428,1028035.43703098,4364230.63612194,1618473.6265771,1544881.29414059,1909794.12009452,1800177.38115012,2092697.81364753,2693395.68118031,1927844.55089516,2639079.46174671
"C8-Pos-000452","Desogestrel","C22 H30 O",262143.702564648,779448.452866439,232471.46669408,344531.776997259,451336.401625856,213991.430640381,393937.0614741,316497.837842345,423619.634336735,275715.738002153,393899.275768401,486322.430124836,304889.567656944,298202.371956626,340870.979751238,456247.337705032,389078.838075231,239650.370217384,505161.246290803,296149.32200215,282367.358344222,333288.851022425,428338.425029085,216170.728737747
"C8-Pos-000454","Ondansetron","C18 H19 N3 O",1985420.07273086,549752.98429965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4536228.28391381,28146.3912092696,NA,NA,NA,NA,NA,NA
"C8-Pos-000462","11-(2-Hydroxy-3,4-dimethyl-5-oxofuran-2-yl)undecanoic acid","C17 H28 O5",195034.0567266,158052.743391777,127546.38445492,182579.222697252,181703.324272277,175138.100803629,218249.690073906,119849.907738627,15621.0170858621,162568.428430414,153092.008065772,218362.046679401,225365.98920193,208541.068386844,158427.68792322,86319.5229783235,22601.1650653382,118903.206639728,34473.0727745516,76341.213820128,261514.14092581,105265.830494598,85965.7370952161,170398.984457729
"C8-Pos-000463","(9Z,12E)-15,16-Dihydroxyoctadeca-9,12-dienoic acid","C18 H32 O4",1696763.38938697,1823455.31229102,1275693.05844469,2072767.70463656,1744379.21966882,2415382.30548348,1747259.89801701,1652384.83209311,1923978.79452151,1625004.67746874,1783797.68272946,1694350.51950075,1826695.84911455,1575342.00631956,1738137.50022513,1640928.5791407,1885029.13706394,1544255.97248657,1354351.48337962,1712142.65277494,1583371.09024828,1676472.2665759,1688764.93494702,1702731.72700686
"C8-Pos-000464","Ricinoleic acid methyl ester","C19 H36 O3",545146.420986876,593022.08492967,660873.645875647,846829.756806463,897650.518663089,869248.790602246,823028.912355196,1137753.70822067,757989.041270335,748336.519415197,686173.593246743,667371.457636581,800702.658345029,1014739.16987063,765905.043710408,894070.927012647,3080868.68547891,999561.134300602,816315.180468471,1216076.8291288,988457.213632692,853926.792797189,577820.443410326,717568.215305917
"C8-Pos-000470","PEG n13","C26 H54 O14",644361.835680684,835343.938169326,905634.255075453,701971.257114521,1056705.55636588,892031.123009932,725011.647363232,1009881.48481283,635912.479825566,1510140.60674284,657481.897375323,962006.142753907,703071.486726162,768075.224361924,1307496.05248782,624867.935461463,820506.065891401,696097.040598215,711269.294492143,572485.797432364,737040.276550935,699264.792050199,1158601.13761392,779758.344990658
"C8-Pos-000478","Palonosetron","C19 H24 N2 O",60805.5236271835,65114.847592878,77078.7704245856,119442.042083156,88436.6870787879,94358.0619983884,97298.4984580777,63791.5175065841,57681.7366553745,62869.8037288631,114891.439701934,52592.2287332597,67535.4477250955,135325.721336147,NA,60367.9716265032,43463.7062403868,50564.4795874004,NA,61202.1272985886,73297.3628149395,NA,NA,47735.554766601
"C8-Pos-000480","cis-12-Octadecenoic acid methyl ester","C19 H36 O2",874143.073940824,938547.191284663,959570.519179601,663142.019290445,1141310.36101905,760414.118414596,903979.407732555,691162.642127982,528980.385018276,779008.057859082,663550.692461149,743852.765492411,870753.297271007,771155.599215612,662238.534626517,791572.113027029,699271.641691956,688691.609079011,547266.68509478,654600.850659656,746797.527011168,690097.116539935,741111.845565729,754705.452830157
"C8-Pos-000483","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",7676157.74878376,7960730.03053466,10411731.5618424,10404199.7939189,8741306.38369503,7049706.34865544,6606872.01699551,8682423.96966137,5915550.79789206,8740981.66230945,5632912.51996571,5369599.34604782,7165119.39078678,7239261.61829368,6856821.01009987,6094946.85762985,5885232.29918645,7721166.05829939,5013869.94676869,4415597.67567244,6248248.43576202,7199578.84114196,7012650.06217156,7376717.31207958
