Name,Covariance,Correlation,Compound.ID,Sub.Class,Class,Reliable,Name_display
1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine,-0.008683461590219765,-0.02925215776012212,C8-Pos-000019,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Stearoyl-2-Arac...
Palmitoyleicosapentaenoyl Phosphatidylcholine,-0.012555934082636486,-0.04694528867418385,C8-Pos-000020,Glycerophosphocholines,Glycerophospholipids,FALSE,Palmitoyleicosape...
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,-0.9329841101444296,-0.09729483097432351,C8-Pos-000022,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Octadecanoyl-2-...
"1,2-Ditetradecanoyl-Sn-Glycero-3-Phosphocholine",0.03467109575029582,0.22539176017004373,C8-Pos-000023,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Ditetradecano..."
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.05944525912551763,0.02046190662068366,C8-Pos-000029,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Palmitoyl-2-Doc...
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.008819404074781724,0.009217164488864137,C8-Pos-000038,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Oleoyl-Sn-Glyce...
Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,0.005318589790274966,0.0034511152847965746,C8-Pos-000042,Glycerophosphocholines,Glycerophospholipids,FALSE,Spectral Match To...
1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,1.2117448500295807,0.15091772043040874,C8-Pos-000046,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Stearoyl-2-Doco...
1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,4.500635931263756,0.2727226387450023,C8-Pos-000053,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Hexadecyl-2-(9z...
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",-0.2351503198996684,-0.243852510575544,C8-Pos-000059,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Di-(9z,12z,15..."
