Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.5659497240804342,C8-Pos-000009,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-Sn-Gl...
N-Oleoyl-D-Erythro-Sphingosylphosphorylcholine,0.5256271139898052,Amide-Pos-000503,Sphingolipids,Lipids and lipid-like molecules,N-Oleoyl-D-Erythr...
L-Phenylalanine,0.5132528776921093,Amide-Pos-000118,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Phenylalanine
Cytidine 5'-Diphosphocholine,0.503171425134165,Amide-Pos-000238,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Cytidine 5'-Dipho...
Kynurenic Acid,0.48904804714943917,Amide-Pos-000403,Quinoline carboxylic acids,Quinolines and derivatives,Kynurenic Acid
L-Tyrosine,0.462851570391308,Amide-Neg-000325,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine
Adenosine Triphosphate (Atp),0.4582867969002881,Amide-Pos-000156,Purine ribonucleotides,Purine nucleotides,Adenosine Triphos...
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.4532186509585895,C8-Pos-000211,Glycerophosphocholines,Glycerophospholipids,1-(1z-Octadecenyl...
Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,0.4164125199435977,C8-Pos-000002,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
Dl-Glutamine,0.3675691497336257,Amide-Pos-000063,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Glutamine
"1-Hexadecyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.18196979226854348,C8-Pos-000187,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-2-(5z...
