pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source,cell_type,pathway_short
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.008099190080991902,0.9946596500570937,0.16014698350927883,0.5255144350810415,2.124992460113564,11,,IN-MGE-Immature,Reactome,IN-MGE-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Selenocompound metabolism (KEGG),0.0103989601039896,0.9946596500570937,0.14107289711700427,0.6056889689939919,2.124214106547277,7,,IN-MGE-Immature,KEGG,IN-MGE-Immature,Selenocompound metabolism
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.030596940305969402,0.9946596500570937,0.08127028472763043,0.4750118643468955,1.8670935493905287,10,,IN-MGE-Immature,Reactome,IN-MGE-Immature,Defective SLC6A19 causes Hartnup diso...
Glucose homeostasis (WikiPathways),0.0026997300269973002,0.36964081369640817,0.27986565266193214,0.625013874841627,1.8824532846165987,14,,IN-MGE-SST,WikiPathways,IN-MGE-SST,Glucose homeostasis
Lysine catabolism (Reactome),0.0038996100389961006,0.36964081369640817,0.23205681807560835,0.7618630306702183,1.9725120039098591,7,,IN-MGE-SST,Reactome,IN-MGE-SST,Lysine catabolism
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.011498850114988501,0.36964081369640817,0.13405093433856183,0.7040787670902747,1.8229048580581164,7,,IN-MGE-SST,Reactome,IN-MGE-SST,Class C/3 (Metabotropic glutamate/phe...
Biogenic amine synthesis (WikiPathways),9.480305305988396e-4,0.030652987156029148,0.47727081536286214,1,1.3490336899167472,7,,IPC-EN,WikiPathways,IPC-EN,Biogenic amine synthesis
Lysine degradation (KEGG),9.480305305988396e-4,0.030652987156029148,0.47727081536286214,1,1.3490336899167472,7,,IPC-EN,KEGG,IPC-EN,Lysine degradation
Methionine de novo and salvage pathway (WikiPathways),9.480305305988396e-4,0.030652987156029148,0.47727081536286214,1,1.2496374190281676,12,,IPC-EN,WikiPathways,IPC-EN,Methionine de novo and salvage pathway
Aspirin ADME (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,,OPC,Reactome,OPC,Aspirin ADME
Late SARS-CoV-2 Infection Events (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,,OPC,Reactome,OPC,Late SARS-CoV-2 Infection Events
Translation of Structural Proteins (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,,OPC,Reactome,OPC,Translation of Structural Proteins
