pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.2695730426957304,0.608267744654106,0.02374948084657605,0.3853195151435779,1.3034254437317334,5,Pyruvic Acid;L-(-)-Methionine;5'-S-Methyl-5'-Thioadenosine,All cell types
Glycolysis in senescence (WikiPathways),0.27287271272872715,0.608267744654106,0.023552045660996383,0.3834728432393538,1.2971786821440332,5,Pyruvic Acid;L-Serine,All cell types
Disorders of fructose metabolism (WikiPathways),0.27477252274772523,0.608267744654106,0.02343978732004562,0.3620363309304868,1.2963239861248745,6,Pyruvic Acid;D-Glucose 6-Phosphate;Dihydroxyacetone Phosphate;Glucose 1-Phosphate,All cell types
Synthesis of UDP-N-acetyl-glucosamine (Reactome),0.285971402859714,0.608267744654106,0.02279807326179926,0.3762891492316428,1.27287830497226,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;N-Acetyl-D-Glucosamine 6-Phosphate,All cell types
Urea cycle and associated pathways (WikiPathways),0.2866713328667133,0.608267744654106,0.022759056726493334,0.2708349660069425,1.2498179210480984,13,L-Ornithine;Pyruvic Acid;L-Glutamic Acid;Uridine Monophosphate;L-Aspartic Acid;Dl-Alanine,All cell types
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),0.287971202879712,0.608267744654106,0.02268692473860878,0.3074491522012517,1.2614464547975675,9,Pseudouridine;Cytidine;5'-S-Methyl-5'-Thioadenosine;Inosine;1-Methyladenosine;N6-Succinyladenosine; Lc-Tdda; Ce10;Adenosine,All cell types
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.2906709329067093,0.608267744654106,0.022538453198304498,0.35399972016066683,1.2675477268989255,6,Pyruvic Acid;D-Glucose 6-Phosphate;D-Glucose;Dl-Lactic Acid;D-(+)-Glucose,All cell types
Pyrimidine metabolism and related diseases (WikiPathways),0.29187081291870814,0.608267744654106,0.02247303826806378,0.2523105246138076,1.2368090362892923,16,L-Ornithine;Uridine 5'-Diphosphate;Cytidine;L-Glutamic Acid;Cytidine 5'-Diphosphate;Uridine Monophosphate;L-Aspartic Acid,All cell types
Glycolysis and gluconeogenesis (WikiPathways),0.29747025297470253,0.608267744654106,0.022172300969545197,0.3039669346478028,1.2471591134398763,9,Pyruvic Acid;D-Glucose 6-Phosphate;D-Glucose;L-Aspartic Acid;Dihydroxyacetone Phosphate;L-(+)-Lactic Acid;D-(+)-Glucose,All cell types
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),0.29787021297870214,0.608267744654106,0.022151099576043973,0.35107851233984766,1.2570879154295882,6,Pyruvic Acid;D-Glucose;Dihydroxyacetone Phosphate;L-(+)-Lactic Acid;D-(+)-Glucose,All cell types
Degradation of cysteine and homocysteine (Reactome),0.29827017298270175,0.608267744654106,0.022129934821172727,0.30366860793461947,1.2459350958355926,9,Pyruvic Acid;2-Oxobutanoic Acid;L-Serine;L-Glutamic Acid,All cell types
TP53 Regulates Metabolic Genes (Reactome),0.300969903009699,0.608267744654106,0.021988021670566564,0.36973499245891733,1.2507074717701216,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),All cell types
Mitochondrial biogenesis (Reactome),0.3057694230576942,0.608267744654106,0.021739724140001793,0.36795513725834234,1.2446867319336687,5,Palmitic Acid;Adenosine 5'-Diphosphate;Linoleic Acid,All cell types
Transcriptional activation of mitochondrial biogenesis (Reactome),0.3057694230576942,0.608267744654106,0.021739724140001793,0.36795513725834234,1.2446867319336687,5,Palmitic Acid;Adenosine 5'-Diphosphate;Linoleic Acid,All cell types
Creatine pathway (WikiPathways),0.30726927307269275,0.608267744654106,0.021663153293956593,0.34630225027288053,1.2399858111586866,6,Creatine;Creatinine;Adenosine 5'-Diphosphate,All cell types
Biomarkers for pyrimidine metabolism disorders (WikiPathways),0.33196680331966805,0.6471042216166732,0.02046671202383313,0.2514416496201766,1.188040748718746,14,Creatine;Uridine 5'-Diphosphate;Cytosine;Cytidine;Cytidine 5'-Diphosphate;Uridine Monophosphate,All cell types
Trans-sulfuration pathway (WikiPathways),0.33536646335366466,0.6471042216166732,0.02031081561510417,0.30183026494288173,1.18952114702064,8,Pyruvic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid;L-(-)-Methionine,All cell types
Methionine de novo and salvage pathway (WikiPathways),0.34156584341565843,0.6471042216166732,0.020031543958231705,0.2613276340173653,1.1770660860157602,12,L-Ornithine;Pyruvic Acid;L-Glutamic Acid;L-(-)-Methionine;5'-S-Methyl-5'-Thioadenosine;Putrescine,All cell types
Activation of NMDA receptors and postsynaptic events (Reactome),0.34356564343565643,0.6471042216166732,0.01994279699331526,0.3511600466731161,1.1878737558496362,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),All cell types
Post NMDA receptor activation events (Reactome),0.34356564343565643,0.6471042216166732,0.01994279699331526,0.3511600466731161,1.1878737558496362,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),All cell types
Alanine and aspartate metabolism (WikiPathways),0.34726527347265274,0.6477832985932176,0.019780288670277767,0.2775291904356189,1.1799985454975805,10,Pyruvic Acid;Acetyl-L-Carnitine;L-Aspartic Acid;Dl-Alanine;Citric Acid;Asparagine,All cell types
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),0.36306369363063695,0.6609843688528343,0.01910953746899177,0.2617180423985447,1.1465748609237463,11,Cytosine;2'-Deoxyadenosine;Cytidine;Adenosine 5'-Diphosphate;Guanine,All cell types
Role of carnosine in muscle contraction (WikiPathways),0.3631636836316368,0.6609843688528343,0.01910540639138103,0.3237986628023738,1.1594084278422088,6,Anserine;L-Histidine;Γ-Aminobutyric Acid,All cell types
Glucuronidation (WikiPathways),0.3645635436456354,0.6609843688528343,0.019047715949005884,0.2803050376065541,1.150075690302219,9,Uridine 5'-Diphosphate;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate;D-Glucose;Glucose 1-Phosphate;D-(+)-Glucose;Uridine 5'-Diphosphoglucuronic Acid,All cell types
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.3772622737726227,0.6617656818388958,0.018536313145709988,0.2675678952879495,1.1376451131718779,10,Tryptophan;L-Serine;Leucine;L-(-)-Methionine;Dl-Alanine,All cell types
Purine salvage (Reactome),0.3828617138286171,0.6617656818388958,0.0183173360456645,0.2746980881605591,1.1270706943533284,9,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanine;Inosine;Adenosine;Adenine,All cell types
Vitamin B12 metabolism (WikiPathways),0.38296170382961703,0.6617656818388958,0.018313460507816442,0.2862086739362378,1.1279560390417336,8,Creatinine;L-Serine;D-Glucose;L-(-)-Methionine,All cell types
