Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Neg-000678,Dehydroascorbic Acid,Organoheterocyclic compounds,Lactones,366,3
Amide-Neg-000171,Glutaric Anhydride,Organoheterocyclic compounds,Lactones,360,6
C8-Pos-004445,Pc(P-12:1_26:4),Lipids and lipid-like molecules,Glycerophospholipids,338,5
C8-Pos-004866,Pet(16:0_27:7),Lipids and lipid-like molecules,Glycerophospholipids,337,2
C8-Pos-003694,Tg(15:1cooh_24:0),Lipids and lipid-like molecules,Glycerolipids,332,4
C8-Pos-003929,Tg(28:6_14:3cho),Lipids and lipid-like molecules,Glycerolipids,329,6
C8-Pos-004340,Pc(19:1_15:0),Lipids and lipid-like molecules,Glycerophospholipids,321,3
C8-Pos-003901,Dl-Dipalmitoylphosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,313,6
Amide-Neg-001331,Pseudouridine,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,296,3
Amide-Pos-000085,Cyclohexylamine,Organic nitrogen compounds,Organonitrogen compounds,292,4
Amide-Pos-001103,L-Glutarylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,288,3
Amide-Neg-000235,D-Threonine,Organic acids and derivatives,Carboxylic acids and derivatives,266,3
C8-Neg-002622,Lpc(23:6),Lipids and lipid-like molecules,Glycerophospholipids,249,2
C8-Neg-002832,Oahfa(15:1_25:3),Lipids and lipid-like molecules,Fatty acyls,236,3
C8-Pos-004650,Tg(39:10_9:2cho),Lipids and lipid-like molecules,Glycerolipids,230,2
C8-Pos-004574,1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,224,8
Amide-Neg-000135,D-Glyceric Acid,Organic oxygen compounds,Organooxygen compounds,214,3
C8-Pos-005132,Pi(19:4_19:4),Lipids and lipid-like molecules,Glycerophospholipids,201,6
Amide-Neg-000647,"6-Chloro-5-Methyl-1h-1,2,3-Benzotriazole",Organoheterocyclic compounds,Benzotriazoles,197,5
C8-Pos-002397,Tg(18:1_3:0_4:0cooh),Lipids and lipid-like molecules,Glycerolipids,196,4
Amide-Pos-000314,4-Piperidinecarboxamide,Organoheterocyclic compounds,Piperidines,186,5
C8-Pos-004731,Pe 18:0_24:5,Lipids and lipid-like molecules,Glycerophospholipids,185,4
