gene,n_metabolites,n_cell_types,n_tests
NPNT,37,7,59
PTPRD,37,7,44
SAMD5,37,7,44
SMOC2,37,7,66
SOX4,37,7,43
UQCR10,37,7,42
WDR83OS,37,8,42
CHODL,36,3,44
COX6B1,36,9,38
CPNE8,36,6,47
DDAH2,36,7,43
ENSG00000241231,36,5,54
GPX4,36,9,40
GRM5P1,36,6,43
H2AZ1,36,6,45
KCNIP4,36,9,44
LINC01322,36,6,51
LINGO3,36,4,54
MBP,36,5,54
NRG3,36,9,46
PDE7B-AS1,36,5,61
PRDX2,36,7,39
RAN,36,6,46
SAMD3,36,6,48
SLC26A3,36,5,42
STMN4,36,7,43
SYT4,36,4,41
TCF4,36,7,53
TENM3-AS1,36,3,38
THRB,36,4,52
AHI1,35,5,52
CORT,35,1,35
CUTA,35,9,38
CYCS,35,7,41
ENSG00000253503,35,4,43
ENSG00000275443,35,8,44
GABRA4,35,4,36
GADD45GIP1,35,8,40
JPT1,35,7,41
LGI1,35,4,36
LY6H,35,8,41
MEIS1,35,7,43
MGAT4C,35,8,43
PPDPF,35,5,38
RPL36AL,35,8,45
SELENOW,35,5,39
SLC25A6,35,7,39
SLC35F3,35,8,50
SOD1,35,7,42
STXBP6,35,6,39
TOX3,35,6,42
UNC13C,35,6,44
VAMP2,35,5,43
VAV3,35,6,50
ZFAS1,35,7,43
COX5B,34,9,44
DCHS2,34,5,61
DGKB,34,6,54
DNAH14,34,4,52
DPP6,34,6,40
ENSG00000229588,34,6,53
ENSG00000259336,34,6,53
FIGN,34,6,48
GNAS,34,6,37
GRIK4,34,4,35
LRP1B,34,8,37
MT-ND3,34,8,40
NCL,34,7,41
NDUFA11,34,8,35
PDE7B,34,7,64
RORA-AS1,34,3,39
SATB1-AS1,34,6,44
SFRP1,34,5,36
SKAP2,34,3,51
SNRPD2,34,6,36
STAC,34,7,42
ZNF385D,34,5,40
ANKRD18A,33,3,37
ANKRD34C-AS1,33,4,46
ARHGAP24,33,5,43
BRINP3,33,7,60
CALY,33,5,40
CDKN2D,33,7,39
CNTN5,33,7,45
COPS9,33,8,38
DGKG,33,7,47
DSCAM,33,6,47
ENSG00000231754,33,5,54
ENSG00000239498,33,3,38
ENSG00000259481,33,4,41
ENSG00000259846,33,5,47
ENSG00000287097,33,5,47
EPHA4,33,6,46
GRIA4,33,5,43
H1-10,33,7,36
HSBP1,33,6,36
KLHL5,33,5,44
LINC00598,33,4,57
LINC01798,33,4,37
MDGA2,33,8,44
MICOS13,33,5,34
NDUFA1,33,8,41
NEUROD6,33,9,39
NLGN1,33,6,39
NPAS2,33,6,43
PDZRN3,33,5,37
PET100,33,9,35
PHPT1,33,8,40
SCG2,33,6,40
TSHZ3-AS1,33,4,42
ACTN2,32,5,40
ADAMTSL1,32,7,47
ANKRD33B,32,5,35
ARHGAP26,32,6,53
CA12,32,6,38
CCDC88C,32,7,46
DRD2,32,4,47
DSTN,32,6,38
ENPP2,32,5,43
ENSG00000227681,32,4,35
ENSG00000231424,32,5,38
ENSG00000249335,32,4,40
ENSG00000271860,32,7,38
ENSG00000286069,32,4,46
ENTREP2,32,4,42
ERBB4,32,6,40
GABRG1,32,5,37
GLI3,32,4,50
GNG12-AS1,32,5,35
GREB1,32,6,45
IL1RAP,32,6,36
KCNH1,32,7,49
KCNJ6,32,5,37
LDHB,32,7,34
MCC,32,7,40
MLLT11,32,6,36
MMD2,32,4,49
MRPL41,32,7,35
MRPS24,32,6,33
MYL12B,32,8,36
MYL6B,32,6,33
NDST3,32,6,37
NDUFB10,32,6,35
PATJ,32,5,55
SGCD,32,4,39
SLC6A1-AS1,32,4,39
SMAD3,32,4,38
SOX1-OT,32,4,41
SPATA13,32,5,46
TACR1,32,3,33
THSD7B,32,7,35
TLL2,32,1,32
TRIR,32,6,39
TXN,32,6,37
UNC13B,32,4,41
YBX1,32,5,36
ASTN2,31,7,39
ATP6V1F,31,7,39
B3GLCT,31,4,45
BANF1,31,6,37
CIT,31,4,41
CKB,31,8,38
CST3,31,6,38
DLC1,31,6,51
EIF1B,31,7,38
EIF4A1,31,6,35
ENSG00000250237,31,6,48
ENSG00000254787,31,5,40
ENSG00000287844,31,4,35
ENSG00000289084,31,6,46
FABP5,31,7,36
LINC02082,31,4,35
LINC02133,31,4,37
LMO4,31,6,50
MEF2C-AS1,31,6,45
MGAT4A,31,5,40
NGRN,31,8,33
NRXN1,31,6,38
NRXN3,31,6,50
OPCML,31,5,38
PDE8A,31,4,44
RMST,31,6,48
STRIP2,31,5,52
TRHDE,31,4,41
TSHZ3,31,3,40
TTC9B,31,6,33
AJAP1,30,5,38
ALCAM,30,6,36
ANKRD55,30,7,41
ARL6IP1,30,6,35
ATP5F1B,30,8,37
ATP5MC3,30,6,33
ATP5MK,30,6,34
ATP5PF,30,7,35
BEX4,30,6,30
CCBE1,30,9,37
CD81,30,6,40
CDH7,30,6,37
COL26A1,30,6,40
CTXN1,30,7,35
DHRS3,30,3,31
DSEL,30,5,36
EGFR,30,3,32
ENSG00000239381,30,4,45
ENSG00000249207,30,5,37
ENSG00000286481,30,4,34
GPR158,30,6,39
GRM7,30,4,38
GUK1,30,8,33
GULP1,30,7,43
HSPE1,30,8,31
IQCJ,30,4,48
ITGA8,30,5,33
LGR4,30,4,30
LINC00486,30,9,53
LINC02307,30,5,31
LINC02607,30,4,32
LMCD1-AS1,30,5,39
NDUFB7,30,7,35
NDUFC2,30,8,37
NEBL,30,7,32
NEUROD2,30,6,30
NR3C1,30,7,44
ONECUT2,30,5,39
PABPC1,30,7,40
PCDH15,30,5,38
RAC1,30,7,32
RAPGEF4,30,4,45
RAPGEF5,30,4,38
RNF5,30,6,31
RXFP1,30,6,47
SERF2,30,8,36
SLC6A1,30,4,37
SSR4,30,7,33
TCEAL4,30,7,34
UBC,30,8,35
WLS,30,5,42
XKR4,30,7,30
ANO3,29,5,37
ATP5F1A,29,6,30
CCDC85A,29,5,30
CD63,29,6,31
CNTNAP3,29,4,37
COX7B,29,7,33
CRYM,29,6,34
CSRP2,29,7,32
EIF3L,29,6,35
ENC1,29,5,35
ENSG00000230051,29,3,43
ENSG00000233005,29,3,36
ENSG00000248242,29,5,39
ENSG00000255367,29,4,39
ENSG00000258637,29,7,36
ENSG00000286648,29,7,31
ENSG00000289130,29,5,31
EPHA5,29,6,31
FAT1,29,6,40
FLRT2,29,5,35
FRMD4A,29,5,39
H3-3B,29,7,30
HNRNPAB,29,6,31
HS6ST3,29,6,43
KHDRBS2,29,6,39
LINC01036,29,3,34
LRRN1,29,4,30
MAGI2,29,4,32
MAP7,29,4,40
MIR9-1HG,29,6,32
MIR99AHG,29,6,37
NBEA,29,6,39
NOS1,29,4,39
NR2F1-AS1,29,5,47
PALM2AKAP2,29,6,30
PDE1B,29,4,37
PDE1C,29,6,31
POLR2I,29,6,30
POLR2L,29,6,32
PPP2R2C,29,8,42
PTOV1,29,6,32
RAMP1,29,4,41
SLC24A3,29,4,35
SLC2A13,29,8,30
SOX2,29,4,35
SV2C,29,6,54
SYNDIG1,29,4,29
TMEFF2,29,4,40
VEGFB,29,7,41
ALKBH7,28,5,29
ATP5MC2,28,5,34
ATP5MJ,28,7,34
C2orf83,28,4,28
CDH9,28,5,40
CRACDL,28,2,33
CSMD3,28,5,34
CXXC4-AS1,28,4,40
EGLN3,28,2,29
ENOX1,28,3,29
ENSG00000257277,28,5,31
ENSG00000266846,28,3,29
ENSG00000287862,28,3,29
FAM153CP,28,4,36
FRAS1,28,7,49
GNG7,28,4,38
GRIK2,28,6,33
GSG1L,28,6,37
HDAC2-AS2,28,5,36
IGSF9B,28,5,42
ISLR2,28,8,32
KCNK1,28,3,33
KLHL29,28,5,40
KLHL32,28,4,33
