gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
FEN1,-0.019777215817855232,2.1749832216907854,-0.8460604356984975,0.4026531556222668,0.9188209402519081,-6.015791674973852
FADS2,-0.005820764494072713,6.381763788554881,-0.6592126156516692,0.5136125524282296,0.9428284820143858,-6.815628800033437
FADS1,-0.008702456977784425,5.842121335981368,-1.0365172701302419,0.3063114348767205,0.888681556406373,-6.431664152395656
FADS3,0.011172701757194018,4.588399829626293,0.59348546496936,0.5562647688567338,0.950719984801416,-6.660959654492882
RAB3IL1,-0.013203151494397674,0.1492187903856849,-0.50127820640666,0.6189782635568468,0.9622514393769088,-5.888648229819896
BEST1,-0.016956229204251334,1.1077956013994308,-1.085985326840135,0.28411730932095425,0.8819190464003424,-5.6517535929852425
FTH1,-0.004567042112014845,8.708528949769994,-0.3375477732820479,0.737504510496336,0.9786553470714463,-7.1947241474188806
AP002793.1,0.0013644463187860636,-0.3406259980860693,0.04613187857472054,0.9634393050888901,0.996394065588402,-5.967223400103589
INCENP,-0.008796615796373908,2.7660927916465488,-0.5390422857570558,0.592905495999732,0.9573727200631649,-6.3578682402714115
AP003306.2,-0.018118618321202352,-0.5419867355784479,-0.5749802212695014,0.5685896345257272,0.9508070670371827,-5.76955902785276
ASRGL1,-0.001976456582571084,5.794248316036523,-0.2519398151259197,0.802403540548142,0.9824943508165684,-6.9337825021819635
AP003064.1,0.015628577188518938,-0.4889619255274683,0.5053844080719123,0.6161181906745419,0.9622514393769088,-5.817829500029101
SCGB1A1,0.004236558134487455,0.2790094964772867,0.19268768799036443,0.8481981796574185,0.9884831020884157,-6.069445656688695
AHNAK,0.004286420221420884,1.4540923069382945,0.20456035831626757,0.8389738186321523,0.9875739276984288,-6.236280940556411
EEF1G,-0.04797818251320352,8.738921708404387,-2.0823954112667784,0.0438778367682059,0.6750961788865457,-5.137841935413249
TUT1,-0.0266366623387638,2.2599743245446233,-1.578073685428767,0.12258367121137968,0.763710962488837,-5.2023296751799215
MTA2,-0.02226598760052292,3.065379125101821,-1.6807246640470244,0.10076739009433915,0.7333772374513682,-5.193752529454551
EML3,0.03219672334704018,0.4965264638589676,1.4429520273725225,0.15697606252062968,0.7996062373986207,-5.116993817527197
ROM1,0.011979331462020232,0.05861410118589993,0.40882631778195516,0.6848916369116715,0.9721584188595435,-5.91051208663904
B3GAT3,-0.03256136882498259,4.077188747121827,-2.8689764591336977,0.006600787348037722,0.6750961788865457,-2.944667896268775
GANAB,-0.0019936958505585825,4.5878598403439534,-0.23014561917541843,0.8191751616191159,0.9836653437533572,-6.78266050390754
INTS5,-0.025565658878362575,1.4788112881975364,-1.2043780797402364,0.23566357954527117,0.8566899262295123,-5.596197896425448
C11orf98,-0.047913312209935964,1.3701099134463217,-1.3701549373043074,0.17843344110010342,0.8193632423199827,-5.267890124654191
LBHD1,-0.004978185277283148,-0.030370015538702434,-0.17756155809057528,0.8599814715694851,0.9884974255988747,-5.998510184385054
CSKMT,-0.03635333848201768,3.757619943007615,-1.967516361228179,0.05622662907771279,0.6900596201562214,-4.788498489552021
UQCC3,-0.06849323688912315,3.3095263004159956,-2.68038312613922,0.0106993175770708,0.6750961788865457,-3.246297292767029
UBXN1,-0.033645344242022306,5.244245316843446,-1.9234093871987747,0.061711663429041844,0.6989903009648969,-5.091259098185585
BSCL2,-0.03388632284632402,5.628748654717502,-2.2567920660253074,0.02966866651019955,0.6750961788865457,-4.496562839728748
GNG3,-0.055389310958978116,5.174139324026512,-2.1948989607371105,0.034157327374128826,0.6750961788865457,-4.563173049219806
HNRNPUL2,-0.01677333521483547,4.759527655249333,-1.7527740348350322,0.08745771892062479,0.7163530120043856,-5.327186104412736
TTC9C,-0.003640534021945864,4.083790833006928,-0.37949087309125124,0.7063710489808029,0.9746567768780133,-6.662439603491629
ZBTB3,-0.004815993299489064,1.5921512574802095,-0.2842287204159713,0.7777308123098361,0.9799030967196056,-6.267819742570822
POLR2G,-0.05694052299116205,4.529251240226913,-2.5491056328492654,0.014824071404695266,0.6750961788865457,-3.745586058552874
AP001160.2,-0.022546485151692913,1.3417073311872607,-1.2544561537046994,0.21710314851762447,0.8432972536138106,-5.468065197602168
TAF6L,-0.026847339311747674,2.9304688797298217,-2.4754221622159314,0.017733243417495,0.6750961788865457,-3.6518355841488543
TMEM223,-0.012137175787924065,3.8731382763156437,-1.0689464733099767,0.2916308261808926,0.8848482006424861,-6.153868461100128
AP001160.3,-0.020235370938047153,0.2528138320727293,-0.7165884715526147,0.47787499210047313,0.9358054615030886,-5.768334736983415
TMEM179B,-5.92953525690343e-4,4.487410924997357,-0.05046975454160599,0.9600042909870217,0.996394065588402,-6.799185636053783
NXF1,-0.021905723116132585,3.2033483537231406,-2.002750474509772,0.05215285693827838,0.681709825429732,-4.666816713167535
STX5,-0.014874369633145333,4.271121363469206,-1.5263778945199227,0.13494297651592915,0.7753297593111718,-5.594220832992187
AP001160.1,0.007439050784546073,1.1524617037359193,0.43835395885478295,0.6635355346335674,0.9689513364502883,-6.134675445418423
WDR74,-0.03307518366494153,3.5815468455262818,-1.7183569037237012,0.09361989824338648,0.7245694485470119,-5.20022261874133
SNHG1,-0.018467036186031162,4.048768821395027,-1.0603203357407303,0.29548708063876233,0.8851389211343849,-6.163733733450656
SLC3A2,-0.012237679423131935,4.805363522526163,-0.8966419498321597,0.37538250953925756,0.9066934997618753,-6.421634158477599
CHRM1,-0.030567847820386296,1.002649879557217,-1.4037729799413015,0.16825767959182333,0.8085726115122548,-5.272908070516951
AP000438.1,-0.024441650397611116,0.25070542174958416,-0.9594287980322663,0.343222103181262,0.9006309199802517,-5.625564943857068
SLC22A6,-0.0252460439229909,-0.4201317189125542,-0.7487286068223512,0.4584890611118829,0.9319301846283768,-5.678369794580141
SLC22A24,-0.006421729339167344,-0.6567166715586827,-0.24435374673154042,0.8082310836642858,0.982830826437216,-5.8862000465193764
SLC22A10,0.018208717616624903,0.5246606948312328,0.8301330441522646,0.41148972338409473,0.9209342682329982,-5.844521210418464
SLC22A25,0.012082163347974292,-0.3957258169934136,0.450985433063559,0.6544844262370308,0.9683359895412182,-5.8937724106381095
PLAAT5,0.022614373259384958,1.2632519336870132,1.3774861459831962,0.17617474711652759,0.8163365622555907,-5.382915673059341
PLAAT3,0.008240172888383324,0.6315862203940229,0.30031000209496284,0.7655272634020859,0.9791591618593447,-6.052283769073393
ATL3,0.015251935041406327,4.076894731375581,1.6862839363032018,0.09968389832295599,0.7333083162022807,-5.353918423183328
AP000753.2,0.015515544392698045,1.9672819133898376,1.0530496174085002,0.29876483601570775,0.8868961007413423,-5.870373669885489
RTN3,-0.011715671818543357,8.488765804167981,-2.2618214048133165,0.029328155994415135,0.6750961788865457,-4.778103880597275
C11orf95,-0.016443048871675064,4.5523763356308296,-1.358450688437569,0.18208573113300347,0.8209596889202543,-5.886298396569238
SPINDOC,-0.016849320664817945,3.1166635547609487,-1.4304247825107423,0.1605166930083948,0.8033664179668304,-5.57044279788069
MARK2,-0.009661254529808896,5.428116501300619,-1.2192244462561017,0.2300432328509688,0.8525707756390322,-6.158457995281043
RCOR2,-0.027355052248602386,3.0065084985538957,-1.4464895931721218,0.15598743683451227,0.7986182124132264,-5.5183658439436325
NAA40,-0.0028279896069703216,4.1496104484339735,-0.2798903617133525,0.7810329715708854,0.9801115715361873,-6.714588792060546
COX8A,-0.0618378907475451,6.146365042739693,-2.1354035852675977,0.039030110838307826,0.6750961788865457,-4.780300635921407
OTUB1,-0.02250124289114892,4.395347082103226,-1.7110342075799905,0.09497663312937729,0.7261958370525109,-5.34749172735461
MACROD1,-0.0012031249552154068,4.17229520872394,-0.12934588650054682,0.8977452300634317,0.9927885242460378,-6.7323926850786435
AP000721.2,0.008644262586177046,2.9849423961009784,0.6435334960047115,0.5236244287516361,0.9471127146735422,-6.38680716399646
FLRT1,-5.589329289754227e-4,3.0592323431513386,-0.040281600686640606,0.9680730423254591,0.9969929443217498,-6.562458950795069
AP006333.1,0.02210864694385173,0.05869287706767854,0.7659818451292403,0.44827412807466605,0.928591669448392,-5.776478328263587
STIP1,-0.025568292400090686,5.010657224574683,-1.6789589750919889,0.10111355220266685,0.7333772374513682,-5.470078945710199
FERMT3,0.0030766972682226465,0.3377933005154672,0.1130047106850166,0.9106034394366265,0.9938014508011678,-6.052652286466504
TRPT1,-0.024768018982892846,2.7212053336535877,-1.5655732591977716,0.12548478908745397,0.765386732740458,-5.306627502813591
NUDT22,-0.016617073405386037,2.2957958212457426,-1.0054708218462236,0.32083533427375643,0.8932431302402513,-5.9537011574768535
AP001453.1,-0.010704369645713538,2.3399270925619744,-0.8867953638253432,0.3805963433604447,0.9071651640331344,-6.089588354575133
DNAJC4,-0.03119669346444595,2.9656372880717976,-1.601184568697659,0.11736351923403528,0.7533383459685389,-5.279363894444577
VEGFB,-0.020042022947067587,4.692649335234495,-1.651655456445312,0.1065926991121038,0.7408430910153413,-5.4877860395682205
FKBP2,-0.04777085763459687,2.7321174369204972,-1.2013388406343992,0.2368264787772509,0.8569932794839226,-5.719499970310605
PPP1R14B,-0.03607906113156938,6.8570137621652485,-1.7215922419776384,0.09302562383784788,0.7245694485470119,-5.612638140232532
PPP1R14B-AS1,0.008738350859097356,-0.46911312450631654,0.28957598569493465,0.7736664557038968,0.9796583798910306,-5.882624477477457
AP001453.2,-0.028661269225119905,-0.21972014319107055,-0.8102280392562511,0.42269963855761383,0.9237775378926385,-5.62005981167059
PLCB3,0.042705183005599216,0.629561468669907,1.6512232543687606,0.10668135945202277,0.7408430910153413,-4.8707037418541255
BAD,-0.04545351773729008,3.5351778368223785,-2.5272029181826228,0.0156396572801931,0.6750961788865457,-3.656059092712417
GPR137,-0.027991795440835954,3.3112393645248663,-1.9939957476205015,0.053140396666254794,0.6839546489218353,-4.686592956696216
KCNK4,-0.006107143381680227,2.2608574528160053,-0.2630968402899108,0.7938536126929941,0.9816983039384498,-6.449014066664447
CATSPERZ,-0.019045562663329966,0.5507319391202397,-0.910126249559059,0.36831721241205695,0.9050323587482461,-5.70043112222655
ESRRA,-0.02730225319592817,4.042064283013345,-1.4111825412312338,0.16607691575741582,0.8080451345728193,-5.7249393353191635
TRMT112,-0.06456600759543443,4.612822852783268,-2.409513001051554,0.020765942901962865,0.6750961788865457,-4.042820390796134
PRDX5,-0.0560249335391362,6.174742722554084,-2.241978006200509,0.030692252842480738,0.6750961788865457,-4.580343857455743
CCDC88B,0.011052792567705094,0.14422826070591882,0.4393157503494999,0.6628445422673442,0.9688370072853352,-5.982045556203245
RPS6KA4,-0.0040609475296289445,1.7670538951980537,-0.24936724492738044,0.8043785030746035,0.9824943508165684,-6.36657047895037
LINC02724,-0.02136863576509731,0.07671115577509771,-0.7407882611919274,0.4632354117112113,0.9326693771505914,-5.774947057517086
NRXN2,-0.01448796185669332,6.522234626681603,-1.5526673480249862,0.12853805907157603,0.7661447588265089,-5.850060631077337
AP001092.1,0.0011229043012803727,2.2264558997520134,0.08067009435871458,0.9361146916773649,0.9946905839159038,-6.461361053880736
RASGRP2,-0.010520136159743485,3.510254290966371,-0.6317616448046725,0.5312091240361199,0.9479967840819632,-6.461873931995527
SF1,0.012110475849726871,6.339909128063791,1.2885919332104387,0.20509190207428354,0.8340633720137509,-6.198298483528486
AP001462.1,0.022947436703882378,2.809269933637984,1.5981169764818706,0.11804580460589736,0.754194960999964,-5.3370851149323135
MAP4K2,-0.0158279504679354,3.2277594305007278,-1.7519375025366501,0.08760336505466022,0.7163530120043856,-5.131981298847584
MEN1,-0.01921773421699791,3.025039013102025,-1.3368208155991956,0.18898646347391299,0.8244882683882502,-5.673585920349621
EHD1,-0.01562760281331117,3.327708340592841,-1.2018516059227362,0.2366299853222934,0.8566899262295123,-5.926187597961901
ATG2A,-0.005755505762650571,2.44323563144787,-0.4526636512358142,0.653285817763835,0.9681550530091722,-6.368439985123169
PPP2R5B,-0.0204444431450399,3.89157387438376,-1.5672611859090333,0.12508983647410649,0.765386732740458,-5.521149784083482
MAJIN,-0.008013059467175874,-0.49531741873431284,-0.2664310069197925,0.7913034842444677,0.9813643080670217,-5.9073809693031825
ARL2,-0.04272741980932948,3.7352530437446863,-2.28921506790303,0.02753407030853855,0.6750961788865457,-4.178385627273141
SNX15,-0.029550419512805137,3.0839777044098113,-2.103552466013172,0.041882970409368704,0.6750961788865457,-4.46753259793776
SAC3D1,-0.0677058077806276,3.646499512302956,-3.109844967453975,0.0034805608673749077,0.6750961788865457,-2.2835153431250843
NAALADL1,0.04302041256017601,-0.2164647355475717,1.4476143825545438,0.15567412762437013,0.7984049090175734,-5.02982736793369
CDCA5,0.025933020684820448,0.9892370938427445,0.6627931587416104,0.5113407982448084,0.9417130297535363,-5.8900282741592775
ZFPL1,-0.026144516203900216,3.0140915664757837,-1.6678807415974934,0.10330794420089921,0.7364565072221603,-5.199637662386566
VPS51,-0.01873767710296465,5.422050377206453,-1.9105375998100789,0.06339668074057224,0.7015126375622668,-5.143089748797163
TM7SF2,-0.02928726627384163,3.8023109854610606,-1.9012387901995058,0.06463839527077121,0.7022655848990212,-4.9701458024738265
ZNHIT2,-0.04652704345431543,1.3124312049903837,-1.7106429451224368,0.09504958353704968,0.7261958370525109,-4.8084377400775615
FAU,-0.03994878102395978,8.664426885164351,-1.9277474278143385,0.06115252015516692,0.6978750358499005,-5.423939278896745
SYVN1,-0.027962223759788612,2.8428557443073457,-1.9306121600751618,0.06078566960420337,0.6978750358499005,-4.715661144083844
MRPL49,-0.021043324590077846,2.6104289615277443,-1.3489914309963897,0.1850793366925983,0.8228432905474298,-5.591897814092713
AP003068.2,-0.007355980578556908,0.6067851510361946,-0.3543690348002845,0.7249611692390487,0.9774202213456191,-6.052052748655903
CAPN1,-1.005450503864999e-6,4.421349569535561,-1.3808912522028882e-4,0.9998905210250695,0.9999781922675969,-6.790565965533543
POLA2,-0.0026164763275171154,2.447579661266372,-0.14096153943283965,0.8886220619796732,0.99171023049615,-6.383113654916581
AP000944.7,0.021674986629172912,1.002440732138939,1.177179239486288,0.2462207059477643,0.8629379059433114,-5.56112205909014
CDC42EP2,-0.0059917185312543,1.1228674072473013,-0.2691087670429631,0.789257083585991,0.9809679372776761,-6.206011924967106
DPF2,0.004252605900877997,4.601317227442919,0.48498014705092024,0.6303891374055757,0.9630974112547573,-6.71201891716445
TIGD3,0.008132458627116066,1.0444935602802958,0.40702852814760826,0.6862006155309635,0.9721842137872807,-6.141174008837842
SLC25A45,-0.008839854355315183,-0.33362045947760616,-0.24180411487194373,0.810192187622412,0.982830826437216,-5.899322999847623
FRMD8,-0.03621057215627247,2.246730951602926,-3.160584814157487,0.0030322153714865854,0.6750961788865457,-1.9823324982982111
