gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_FOREBRAIN_CELL_MIGRATION (GO_BP),3,63,31.90316119283278,1.6139116159397132e-4,ROBO1;NRG3;RELN,0.003020320309830035,GO_BP
GOCC_POLYSOME (GO_CC),3,64,31.37982024042309,1.6913093934720451e-4,RPS29;RPS21;RPL41,0.003091556240160529,GO_CC
GOBP_REGULATION_OF_NEUROGENESIS (GO_BP),5,320,10.540457346996092,1.8996294876341287e-4,ROBO1;DCC;PTPRD;RELN;SEMA3C,0.0033934290392736936,GO_BP
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS (GO_BP),3,72,27.744075581962957,2.398534944523651e-4,RPS8;RPS27;RPS21,0.004098366231294759,GO_BP
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE (GO_CC),3,72,27.744075581962957,2.398534944523651e-4,LRRC4C;DCC;PTPRD,0.004098366231294759,GO_CC
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS (GO_BP),2,19,73.30487303136609,4.5847484535094284e-4,ROBO1;SEMA3C,0.007667260179698747,GO_BP
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT (GO_BP),5,393,8.534601119589537,4.8779118097648695e-4,ROBO1;DCC;PTPRD;RELN;SEMA3C,0.007987580588489973,GO_BP
GOBP_REGULATION_OF_DENDRITE_DEVELOPMENT (GO_BP),3,95,20.786480096169626,5.419340106948813e-4,DCC;PTPRD;RELN,0.008693063926656667,GO_BP
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS (GO_BP),5,418,8.010777069356234,6.447669818360139e-4,RPS8;RPS27;RPL10;RPS21;RPL35A,0.010135736954462139,GO_BP
GOBP_REGULATION_OF_CELL_DEVELOPMENT (GO_BP),5,439,7.61778399101915,8.036699464490644e-4,ROBO1;DCC;PTPRD;RELN;SEMA3C,0.012385972115862053,GO_BP
GOBP_RRNA_METABOLIC_PROCESS (GO_BP),4,257,10.26662445343261,8.876588454321474e-4,RPS8;RPS27;RPS21;RPL35A,0.01341730485595515,GO_BP
GOMF_CHEMOREPELLENT_ACTIVITY (GO_MF),2,27,49.84026248742022,9.331125525878516e-4,NRG3;SEMA3C,0.013838235213850027,GO_MF
REACTOME_HS_GAG_BIOSYNTHESIS (Reactome),2,29,46.16051590788453,0.0010770362466466564,HS6ST3;GPC6,0.015676860923412445,Reactome
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE (GO_CC),3,122,16.058477326067038,0.0011201743102403484,CNTN3;NTM;GPC6,0.016008309233616617,GO_CC
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION (GO_BP),2,31,42.99795918092495,0.0012309341095444169,PTPRD;RELN,0.017277039466105565,GO_BP
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION (GO_BP),2,32,41.57555260489822,0.0013116029588023208,PTPRD;GPC6,0.018086314484537264,GO_BP
GOBP_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS (GO_BP),2,34,38.99917592732248,0.0014803398703072922,PTPRD;RELN,0.020061157552785026,GO_BP
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA (GO_BP),2,36,36.690434862276064,0.0016588884593117823,RPS8;RPS21,0.02209976828845866,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE (GO_CC),3,153,12.724725419555181,0.0021419998226896286,LRRC4C;DCC;PTPRD,0.028060197677234132,GO_CC
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION (GO_BP),2,44,29.70035224290636,0.0024699149437703563,ROBO1;RELN,0.03168942650012649,GO_BP
GOBP_PATTERN_SPECIFICATION_PROCESS (GO_BP),4,341,7.684606965765361,0.002499674863877662,ROBO1;NRG3;RELN;SEMA3C,0.03168942650012649,GO_BP
GOCC_NEURON_TO_NEURON_SYNAPSE (GO_CC),4,345,7.593499529384813,0.0026069393463413063,LRRC4C;DCC;RPS27;PTPRD,0.03252467184482963,GO_CC
GOBP_MATURATION_OF_SSU_RRNA (GO_BP),2,49,26.547822091885887,0.0030541909458614482,RPS8;RPS21,0.036932216668416895,GO_BP
GOBP_NEURON_RECOGNITION (GO_BP),2,49,26.547822091885887,0.0030541909458614482,ROBO1;NTM,0.036932216668416895,GO_BP
GOBP_PRESYNAPSE_ORGANIZATION (GO_BP),2,50,25.996575681017696,0.0031780790967068746,PTPRD;GPC6,0.03784803287896368,GO_BP
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM (Reactome),2,52,24.959962124440672,0.0034328259570012227,HS6ST3;GPC6,0.04023658469178828,Reactome
GOBP_NCRNA_PROCESSING (GO_BP),4,374,6.989471420938358,0.003481027683259037,RPS8;RPS27;RPS21;RPL35A,0.04023658469178828,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE (GO_CC),2,53,24.4586503433996,0.0035636691517895373,LRRC4C;DCC,0.04059483990299386,GO_CC
GOMF_CALMODULIN_BINDING (GO_MF),3,186,10.417665112772216,0.003716866122435433,KCNQ5;PDE1C;EEF1A1,0.04173509674620357,GO_MF
GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS (GO_BP),2,56,23.100403730913108,0.003969985093559137,ROBO1;SEMA3C,0.04310427200876763,GO_BP
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE (GO_BP),2,56,23.100403730913108,0.003969985093559137,GPC6;RELN,0.04310427200876763,GO_BP
GOBP_SYNAPSE_ORGANIZATION (GO_BP),4,389,6.71411897429666,0.004003322972824475,LRRC4C;PTPRD;GPC6;RELN,0.04310427200876763,GO_BP
GOBP_CARDIAC_SEPTUM_MORPHOGENESIS (GO_BP),2,58,22.27726382072063,0.00425227413530362,ROBO1;SEMA3C,0.04397746671511376,GO_BP
GOBP_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION (GO_BP),2,58,22.27726382072063,0.00425227413530362,ROBO1;RELN,0.04397746671511376,GO_BP
GOBP_RIBOSOME_ASSEMBLY (GO_BP),2,58,22.27726382072063,0.00425227413530362,RPS27;RPL10,0.04397746671511376,GO_BP
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY (GO_BP),3,198,9.77277936867117,0.004426096846113596,PTPRD;GPC6;RELN,0.04518067689669203,GO_BP
GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS (GO_BP),3,199,9.721844932407036,0.0044886390164691975,ROBO1;PTPRD;RELN,0.04523167008903576,GO_BP
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS (GO_BP),2,61,21.136304947996845,0.004692672372983655,DCC;SEMA3C,0.046105506064564414,GO_BP
GOBP_REGULATION_OF_DENDRITE_MORPHOGENESIS (GO_BP),2,61,21.136304947996845,0.004692672372983655,PTPRD;RELN,0.046105506064564414,GO_BP
GOBP_OUTFLOW_TRACT_MORPHOGENESIS (GO_BP),2,63,20.436227408041482,0.0049974922935445395,ROBO1;SEMA3C,0.04849418447809887,GO_BP
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),2,64,20.107796266367615,0.005153245885615418,GRM8;RELN,0.04939574714748437,GO_BP
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE (GO_BP),2,66,19.47380861796605,0.005471402685571382,GPC6;RELN,0.051813524227218154,GO_BP
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS (Reactome),2,68,18.894534065312005,0.005798375652414935,CNTN3;NTM,0.05425622931902547,Reactome
GOMF_TRNA_BINDING (GO_MF),2,69,18.609502298942616,0.005965149520210586,EEF1A1;RPL35A,0.05516008850453553,GO_MF
GOBP_DENDRITE_DEVELOPMENT (GO_BP),3,222,8.696170925957473,0.006077588946402473,DCC;PTPRD;RELN,0.05541846632797128,GO_BP
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS (GO_BP),2,70,18.333861844538507,0.00613410505156934,RPL10;RPL35A,0.05541846632797128,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION (GO_BP),2,74,17.311915229973547,0.006831595633253094,PTPRD;RELN,0.06101857008791968,GO_BP
GOBP_TELENCEPHALON_DEVELOPMENT (GO_BP),3,234,8.24005430311209,0.007024156535203759,ROBO1;NRG3;RELN,0.06203356220977702,GO_BP
GOCC_ROUGH_ENDOPLASMIC_RETICULUM (GO_CC),2,76,16.84192345783726,0.007193238767870949,RPS29;RPS21,0.06282095190607295,GO_CC
GOBP_SPINAL_CORD_DEVELOPMENT (GO_BP),2,77,16.617631665559838,0.007377259112071126,DCC;RELN,0.06302745284878157,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),2,77,16.617631665559838,0.007377259112071126,LRRC4C;DCC,0.06302745284878157,GO_CC
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION (GO_BP),2,78,16.394444867418812,0.007563402236648747,PTPRD;RELN,0.06392294793554747,GO_BP
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT (GO_BP),3,244,7.895365283142479,0.007876346961296443,ROBO1;PTPRD;RELN,0.0658596671444575,GO_BP
GOBP_REGIONALIZATION (GO_BP),3,250,7.702053850688755,0.008415756158461612,ROBO1;RELN;SEMA3C,0.06962930884790344,GO_BP
GOMF_MRNA_3_UTR_BINDING (GO_MF),2,87,14.659723082573917,0.00933301980876772,RBFOX1;RPL41,0.07574176368431358,GO_MF
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT (GO_BP),3,261,7.371274453385582,0.009460143759803506,ROBO1;PTPRD;RELN,0.07574176368431358,GO_BP
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),2,88,14.48920734216981,0.00953999313581049,GRM8;RELN,0.07574176368431358,GO_BP
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE (GO_CC),2,88,14.48920734216981,0.00953999313581049,LRRC4C;DCC,0.07574176368431358,GO_CC
GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION (GO_BP),2,90,14.159957189445338,0.00996006362085973,PTPRD;RELN,0.07828610005995748,GO_BP
GOBP_CARDIAC_SEPTUM_DEVELOPMENT (GO_BP),2,92,13.845514410933282,0.010388252024653466,ROBO1;SEMA3C,0.08084322862750122,GO_BP
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION (GO_BP),2,93,13.693526861013037,0.01060537281400483,GPC6;RELN,0.08172375521380193,GO_BP
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH (GO_BP),2,95,13.399424842103894,0.011045632452024284,DCC;SEMA3C,0.08428997191544745,GO_BP
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY (GO_BP),2,96,13.246368660434483,0.011268757305221283,PTPRD;GPC6,0.08516580040292239,GO_BP
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION (GO_BP),3,282,6.8101701470481855,0.011656626321154568,ROBO1;NRG3;SEMA3C,0.08609977853455006,GO_BP
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS (GO_BP),2,98,12.971036284605212,0.011720962217807706,ROBO1;SEMA3C,0.08609977853455006,GO_BP
GOBP_GLAND_MORPHOGENESIS (GO_BP),2,98,12.971036284605212,0.011720962217807706,NRG3;SEMA3C,0.08609977853455006,GO_BP
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT (GO_BP),2,102,12.453244217533628,0.012648998697712948,ROBO1;SEMA3C,0.09121204565506767,GO_BP
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH (GO_BP),2,102,12.453244217533628,0.012648998697712948,DCC;SEMA3C,0.09121204565506767,GO_BP
GOBP_CEREBRAL_CORTEX_DEVELOPMENT (GO_BP),2,109,11.636008858072,0.014347717534830369,ROBO1;RELN,0.10252096347615154,GO_BP
GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS (GO_BP),2,111,11.421753859481028,0.014850251842263098,ROBO1;GPC6,0.10265677527045318,GO_BP
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),2,112,11.31754734737427,0.01510434955842791,LRRC4C;DCC,0.10265677527045318,GO_CC
GOBP_MAMMARY_GLAND_DEVELOPMENT (GO_BP),2,113,11.215217815636208,0.015360325367624396,ROBO1;NRG3,0.10265677527045318,GO_BP
GOCC_GLUTAMATERGIC_SYNAPSE (GO_CC),3,313,6.122322795316466,0.015395921067978834,NRG3;LRRC4C;PTPRD,0.10265677527045318,GO_CC
HALLMARK_SPERMATOGENESIS (Hallmark),2,114,11.116144853735543,0.015618172578755786,GRM8;DCC,0.10265677527045318,Hallmark
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION (GO_BP),3,315,6.082629488742165,0.0156578100443783,ROBO1;PTPRD;RELN,0.10265677527045318,GO_BP
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM (Reactome),2,116,10.92045834384014,0.01613945452361537,HS6ST3;GPC6,0.10265677527045318,Reactome
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS (GO_BP),3,319,6.004750564555185,0.01618915387308833,ROBO1;RORA;SEMA3C,0.10265677527045318,GO_BP
GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION (GO_BP),1,10,67.62028619486982,0.016587036207821315,PARD3B,0.10265677527045318,GO_BP
GOBP_NEGATIVE_REGULATION_OF_NEURON_MIGRATION (GO_BP),1,10,67.62028619486982,0.016587036207821315,NRG3,0.10265677527045318,GO_BP
GOBP_REGULATION_OF_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY (GO_BP),1,10,67.62028619486982,0.016587036207821315,ROBO1,0.10265677527045318,GO_BP
GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY (GO_BP),1,10,67.62028619486982,0.016587036207821315,PTPRD,0.10265677527045318,GO_BP
GOBP_RRNA_3_END_PROCESSING (GO_BP),1,10,67.62028619486982,0.016587036207821315,RPS21,0.10265677527045318,GO_BP
GOBP_SEQUESTERING_OF_ACTIN_MONOMERS (GO_BP),1,10,67.62028619486982,0.016587036207821315,TMSB10,0.10265677527045318,GO_BP
GOMF_ADENOSINE_DEAMINASE_ACTIVITY (GO_MF),1,10,67.62028619486982,0.016587036207821315,ADARB2,0.10265677527045318,GO_MF
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND (Reactome),1,10,67.62028619486982,0.016587036207821315,DCC,0.10265677527045318,Reactome
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING (Reactome),1,10,67.62028619486982,0.016587036207821315,DCC,0.10265677527045318,Reactome
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE (GO_CC),2,119,10.639425612747328,0.016935246610145588,LRRC4C;DCC,0.10383668035282881,GO_CC
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE (GO_BP),3,327,5.85476225226232,0.01728217627460031,DCC;TMSB10;SEMA3C,0.10383668035282881,GO_BP
GOBP_CELL_RECOGNITION (GO_BP),2,123,10.282052996945767,0.018021914548512995,ROBO1;NTM,0.10383668035282881,GO_BP
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY (GO_BP),1,11,60.96602340509169,0.018230867542863072,NRG3,0.10383668035282881,GO_BP
