gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,140,10.132473307125546,0.09902473041858806,HTR2C,0.16770790479905293,GO_BP
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT (GO_MF),1,141,10.06007987646044,0.09969732589436786,POSTN,0.16770790479905293,GO_MF
GOBP_NEURON_MIGRATION (GO_BP),1,147,9.645438344625672,0.10372289258059542,ASTN2,0.17271382452051742,GO_BP
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT (GO_BP),1,148,9.578638796954568,0.10439215565363835,HTR2C,0.17271382452051742,GO_BP
GOCC_PERIKARYON (GO_CC),1,149,9.512627946681741,0.1050609439479645,ASTN2,0.17271382452051742,GO_CC
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS (GO_BP),1,152,9.326136876238975,0.10706446334858011,HTR2C,0.17446047903419248,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE (GO_CC),1,153,9.264057476280685,0.10773135571696679,CDH10,0.17446047903419248,GO_CC
GOBP_CYTOSOLIC_CALCIUM_ION_TRANSPORT (GO_BP),1,155,9.142557905271062,0.10906372121603247,HTR2C,0.1750826125826539,GO_BP
GOBP_NOTCH_SIGNALING_PATHWAY (GO_BP),1,156,9.083074289035169,0.10972919498267708,POSTN,0.1750826125826539,GO_BP
GOMF_PEPTIDASE_REGULATOR_ACTIVITY (GO_MF),1,158,8.966503059036263,0.11105872613859169,SPOCK3,0.17545210422149357,GO_MF
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE (GO_BP),1,159,8.90936826244727,0.11172278416261683,HTR2C,0.17545210422149357,GO_BP
GOBP_RESPONSE_TO_KETONE (GO_BP),1,160,8.852972585339115,0.11238637090685533,POSTN,0.17545210422149357,GO_BP
KEGG_CALCIUM_SIGNALING_PATHWAY (KEGG),1,162,8.742324301217057,0.113712131823266,HTR2C,0.1762538043260623,KEGG
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY (GO_BP),1,164,8.634423000202638,0.11503601142040298,RXFP1,0.1768049471388069,GO_BP
GOCC_CLATHRIN_COATED_VESICLE (GO_CC),1,165,8.581351740935698,0.1156972465147953,ASTN2,0.1768049471388069,GO_CC
GOBP_SYNAPSE_ASSEMBLY (GO_BP),1,169,8.375943321036894,0.11833749623246126,NEGR1,0.17831888789396624,GO_BP
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT (GO_BP),1,174,8.132421855639363,0.12162727803233941,RXFP1,0.17831888789396624,GO_BP
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS (Reactome),1,174,8.132421855639363,0.12162727803233941,HTR2C,0.17831888789396624,Reactome
GOBP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY (GO_BP),1,176,8.038913577792073,0.12293992271816956,SPOCK3,0.17831888789396624,GO_BP
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS (GO_BP),1,177,7.992959573290533,0.12359554602393041,RXFP1,0.17831888789396624,GO_BP
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (Hallmark),1,177,7.992959573290533,0.12359554602393041,POSTN,0.17831888789396624,Hallmark
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY (GO_BP),1,178,7.947527619217783,0.12425070372294789,NEGR1,0.17831888789396624,GO_BP
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS (GO_BP),1,178,7.947527619217783,0.12425070372294789,GRM8,0.17831888789396624,GO_BP
HALLMARK_APICAL_JUNCTION (Hallmark),1,178,7.947527619217783,0.12425070372294789,NEGR1,0.17831888789396624,Hallmark
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION (GO_BP),1,179,7.902609417580166,0.1249053961284925,ASTN2,0.17831888789396624,GO_BP
GOBP_REGULATION_OF_HORMONE_SECRETION (GO_BP),1,188,7.52016967081625,0.13077674116327376,HTR2C,0.18519230601940206,GO_BP
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL (GO_BP),1,189,7.479964524295599,0.13142679782022082,HTR2C,0.18519230601940206,GO_BP
REACTOME_LEISHMANIA_INFECTION (Reactome),1,193,7.323392273866598,0.13402240894979534,RXFP1,0.18763137252971346,Reactome
GOBP_FAT_CELL_DIFFERENTIATION (GO_BP),1,198,7.136746232137682,0.13725656127045127,HTR2C,0.18971129806170653,GO_BP
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY (GO_BP),1,198,7.136746232137682,0.13725656127045127,NEGR1,0.18971129806170653,GO_BP
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,204,6.922136621399756,0.1411223981398133,HTR2C,0.19347815838011714,GO_BP
GOBP_PEPTIDE_TRANSPORT (GO_BP),1,205,6.888108186140186,0.14176510222321947,HTR2C,0.19347815838011714,GO_BP
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT (GO_BP),1,212,6.658617097389234,0.14625125454590016,RXFP1,0.1983532639778771,GO_BP
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS (GO_BP),1,214,6.595605955528824,0.14752891491017062,POSTN,0.19884332009631692,GO_BP
GOMF_SULFUR_COMPOUND_BINDING (GO_MF),1,224,6.297495830102596,0.15389001677954783,POSTN,0.2061366274145795,GO_MF
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS (Reactome),1,229,6.1582708617204815,0.15705363254890137,GRM8,0.20908367032583802,Reactome
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,235,5.999057774204019,0.16083513871567368,HTR2C,0.21107017539794537,GO_BP
GOBP_HORMONE_TRANSPORT (GO_BP),1,235,5.999057774204019,0.16083513871567368,HTR2C,0.21107017539794537,GO_BP
GOBP_AMIDE_TRANSPORT (GO_BP),1,236,5.97331299819442,0.16146382081133148,HTR2C,0.21107017539794537,GO_BP
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING (GO_BP),1,242,5.82333210718794,0.16522652726709552,HTR2C,0.21469554740694446,GO_BP
GOCC_TRANS_GOLGI_NETWORK (GO_CC),1,245,5.751108053712392,0.1671018601136387,POSTN,0.21536425805532666,GO_CC
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,246,5.727426425987975,0.1677260811582959,HTR2C,0.21536425805532666,GO_BP
