gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),3,77,10.95368937226831,0.0031492099275048503,GABRA4;DRD3;LRRTM2,0.06966199836633145,GO_CC
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT (GO_BP),5,261,5.350419057017051,0.0031934052241727406,GLI3;PRKCH;RELN;DOCK1;IL1RAPL1,0.06966199836633145,GO_BP
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION (GO_BP),3,78,10.807338228910716,0.0032662542539347527,RELN;LRRTM2;IL1RAPL1,0.06966199836633145,GO_BP
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT (GO_BP),3,78,10.807338228910716,0.0032662542539347527,DRD3;CNKSR3;UTRN,0.06966199836633145,GO_BP
GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT (GO_BP),2,23,25.52156114856091,0.0034120162465141935,GLI3;RARB,0.06966199836633145,GO_BP
GOBP_SODIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE (GO_BP),2,23,25.52156114856091,0.0034120162465141935,SLC9A9;SLC6A1,0.06966199836633145,GO_BP
GOBP_STARTLE_RESPONSE (GO_BP),2,23,25.52156114856091,0.0034120162465141935,DRD3;PENK,0.06966199836633145,GO_BP
GOBP_SYNAPSE_MATURATION (GO_BP),2,23,25.52156114856091,0.0034120162465141935,RELN;NEUROD2,0.06966199836633145,GO_BP
GOMF_G_PROTEIN_ALPHA_SUBUNIT_BINDING (GO_MF),2,23,25.52156114856091,0.0034120162465141935,CCDC88C;SASH1,0.06966199836633145,GO_MF
GOMF_MANNOSYLTRANSFERASE_ACTIVITY (GO_MF),2,23,25.52156114856091,0.0034120162465141935,DPY19L1;TMTC1,0.06966199836633145,GO_MF
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES (Reactome),2,23,25.52156114856091,0.0034120162465141935,FOXO1;SMAD3,0.06966199836633145,Reactome
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT (GO_BP),3,81,10.390393434114008,0.0036332850053022846,GLI3;SMAD3;KIAA1217,0.07223035064137688,GO_BP
GOBP_MELANOCYTE_DIFFERENTIATION (GO_BP),2,24,24.36193347551911,0.0037130397155685753,GLI3;LRMDA,0.07223035064137688,GO_BP
GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY (GO_BP),2,24,24.36193347551911,0.0037130397155685753,CACNG5;RELN,0.07223035064137688,GO_BP
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION (GO_BP),2,24,24.36193347551911,0.0037130397155685753,GLI3;RELN,0.07223035064137688,GO_BP
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING (GO_BP),6,390,4.303634918408229,0.003722074191213809,CACNG5;RELN;SLC6A1;DRD3;LRRTM2;NEUROD2,0.07223035064137688,GO_BP
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY (GO_BP),5,275,5.070486374223903,0.003986525952658045,GLI3;CCDC88C;FOXO1;EGFR;SMAD3,0.07466495073478371,GO_BP
GOBP_RESPONSE_TO_OXYGEN_LEVELS (GO_BP),5,275,5.070486374223903,0.003986525952658045,PAM;RORA;FOXO1;PENK;SMAD3,0.07466495073478371,GO_BP
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY (GO_BP),2,25,23.304800116549725,0.004025983764779264,FOXO1;SMAD3,0.07466495073478371,GO_BP
GOMF_HEXOSYLTRANSFERASE_ACTIVITY (GO_MF),4,170,6.554591265749508,0.004029492750201789,GALNT7;DPY19L1;TMTC1;B3GLCT,0.07466495073478371,GO_MF
GOBP_CAMERA_TYPE_EYE_DEVELOPMENT (GO_BP),5,277,5.031473616318506,0.0041103482461596445,GLI3;FAT1;THRB;EGFR;SMAD3,0.07466495073478371,GO_BP
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY (GO_MF),5,277,5.031473616318506,0.0041103482461596445,FOXO1;DACH1;TRPS1;SMAD3;ERF,0.07466495073478371,GO_MF
HALLMARK_IL2_STAT5_SIGNALING (Hallmark),4,171,6.515100880377066,0.004114191162937062,PRKCH;RORA;GUCY1B1;PENK,0.07466495073478371,Hallmark
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION (GO_BP),3,86,9.761387636042327,0.0042990765265691466,GALNT7;TMTC1;B3GLCT,0.07609965372702618,GO_BP
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT (GO_BP),2,26,22.323875421001027,0.004350755585467558,GLI3;SMAD3,0.07609965372702618,GO_BP
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),2,26,22.323875421001027,0.004350755585467558,CACNG5;RELN,0.07609965372702618,GO_BP
GOMF_MAP_KINASE_KINASE_KINASE_ACTIVITY (GO_MF),2,26,22.323875421001027,0.004350755585467558,MAP3K1;EGFR,0.07609965372702618,GO_MF
GOBP_RESPONSE_TO_ALKALOID (GO_BP),3,87,9.645055168126056,0.004440500967057226,SLC6A1;DRD3;PENK,0.07609965372702618,GO_BP
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES (Reactome),3,87,9.645055168126056,0.004440500967057226,SYT10;LRRTM2;IL1RAPL1,0.07609965372702618,Reactome
GOBP_LOCOMOTORY_BEHAVIOR (GO_BP),4,175,6.361755697898554,0.004465030703371434,RELN;DRD3;PENK;GPR88,0.07609965372702618,GO_BP
GOBP_AMINE_TRANSPORT (GO_BP),3,88,9.531384340958935,0.004584719199412492,SYT10;SLC6A1;DRD3,0.07615296297329223,GO_BP
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),3,88,9.531384340958935,0.004584719199412492,CACNG5;RELN;DRD3,0.07615296297329223,GO_BP
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE (GO_CC),3,88,9.531384340958935,0.004584719199412492,CACNG5;DRD3;LRRTM2,0.07615296297329223,GO_CC
GOBP_RESPONSE_TO_ISOQUINOLINE_ALKALOID (GO_BP),2,27,21.422625303551513,0.004687262888931292,DRD3;PENK,0.07655862718587776,GO_BP
GOMF_CATION_CATION_ANTIPORTER_ACTIVITY (GO_MF),2,27,21.422625303551513,0.004687262888931292,SLC9A9;SLC24A3,0.07655862718587776,GO_MF
