gene,loeuf,exp_lof,n_metabolites,is_hit,is_recurrent,mean_expr
ABTB1,1.0097,57.138,0,FALSE,FALSE,2.3140165716812846
ABTB2,0.67196,104.11,0,FALSE,FALSE,5.822066514306847
ABTB3,NA,NA,0,FALSE,FALSE,2.6750469574200952
ACAA1,1.1594,48.794,0,FALSE,FALSE,4.508282873102969
ACAA2,1.0353,44.821,0,FALSE,FALSE,3.967484156715389
ACACA,0.40972,296.11,0,FALSE,FALSE,7.970363140787364
ACACB,0.84066,278.82,0,FALSE,FALSE,3.8066119054354126
ACAD10,1.1217,116.81,0,FALSE,FALSE,4.726862025299013
ACAD11,0.97495,102.18,0,FALSE,FALSE,5.602395837711004
ACAD8,1.1292,53.08,0,FALSE,FALSE,3.5006548710419163
ACAD9,0.94865,70.235,0,FALSE,FALSE,5.037827183348304
ACAD9-DT,NA,NA,0,FALSE,FALSE,2.700852094200655
ACADL,1.3075,56.896,0,FALSE,FALSE,4.389172273302861
ACADM,1.0556,58.894,0,FALSE,FALSE,5.96004766117902
ACADS,0.82105,46.756,0,FALSE,FALSE,1.248699305540603
ACADSB,0.96279,54.082,0,FALSE,FALSE,4.583961709323933
ACADVL,1.1033,80.388,0,FALSE,FALSE,3.562919893393661
ACAN,0.35449,169.07,0,FALSE,FALSE,0.9640707041692093
ACAP1,0.58414,98.768,0,FALSE,FALSE,1.398586806027993
ACAP2,0.43996,115.78,0,FALSE,FALSE,7.626609825342141
ACAP2-IT1,NA,NA,0,FALSE,FALSE,1.6999763288875873
ACAP3,0.67205,104.1,0,FALSE,FALSE,4.801301453016153
ACAT1,0.81139,47.313,0,FALSE,FALSE,5.0606114178076
ACAT2,0.97125,37.144,0,FALSE,FALSE,5.421044937486138
ACBD3,0.6082,66.903,0,FALSE,FALSE,5.6145146160786705
ACBD3-AS1,NA,NA,0,FALSE,FALSE,1.9784726121672764
ACBD4,1.1554,46.041,0,FALSE,FALSE,1.8497683722027607
ACBD5,0.72489,71.83,0,FALSE,FALSE,5.174653611223693
ACBD6,1.031,37.235,0,FALSE,FALSE,7.835557165710126
ACBD7,1.3263,13.728,0,FALSE,FALSE,1.4663834598403453
ACCS,0.90855,59.792,0,FALSE,FALSE,2.3378430145373374
ACD,0.94569,53.865,0,FALSE,FALSE,2.6751997548404343
ACE,0.87364,162.3,0,FALSE,FALSE,2.0506934929847707
ACE2,0.35455,65.144,0,FALSE,FALSE,0.8400388310316047
ACER1,1.5442,24.86,0,FALSE,FALSE,0.47411020510795115
ACER2,1.0386,34.736,0,FALSE,FALSE,3.634298293948187
ACER3,0.49691,48.905,0,FALSE,FALSE,6.798092526795049
ACHE,0.51768,53.854,0,FALSE,FALSE,1.8505852612429772
ACIN1,0.16578,146.59,0,FALSE,FALSE,6.111380439809224
ACKR1,3.0605,2.5335,0,FALSE,FALSE,1.2690762048972366
ACKR2,NA,NA,0,FALSE,FALSE,0.367424197741887
ACKR3,0.52842,22.411,0,FALSE,FALSE,2.885367162534685
ACKR4,0.73847,8.5255,0,FALSE,FALSE,2.962127089545884
ACLY,0.40007,132.97,0,FALSE,FALSE,4.754714051532874
ACMSD,1.0597,45.931,0,FALSE,FALSE,4.163970554010711
ACO1,0.89634,105.06,0,FALSE,FALSE,4.647550920419802
ACO2,0.49532,84.466,0,FALSE,FALSE,5.290657648591426
ACOT1,0.92115,15.67,0,FALSE,FALSE,0.6736294232291126
ACOT11,1.088,77.487,0,FALSE,FALSE,2.9107707003298002
ACOT12,0.95122,67.705,0,FALSE,FALSE,2.3634102817598848
ACOT13,1.4436,11.75,0,FALSE,FALSE,3.763007821220992
ACOT2,1.1517,20.054,0,FALSE,FALSE,3.1687811610784613
ACOT6,1.7776,12.312,0,FALSE,FALSE,0.6376276762874185
ACOT7,0.48306,40.248,0,FALSE,FALSE,5.136922150093231
ACOT8,1.0884,38.441,0,FALSE,FALSE,3.5601751987765944
ACOT9,1.14,39.706,0,FALSE,FALSE,3.7239424696496686
