hormone,subset,compound_id,Name,Super.Class,Pathways,rho,p,fdr,n
E2,Sex-combined,C18-Pos-001575,Asp-Phe,Organic acids and derivatives,NA,0.42105263157894735,0.06448807512897049,0.8587924151321435,20
E2,Sex-combined,C8-Pos-005302,Pe(26:4_19:6cooh),Lipids and lipid-like molecules,NA,-0.4509803921568628,0.0692319858533617,0.8651651309864767,17
E2,Sex-combined,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,"Nucleosides, nucleotides, and analogues",NA,-0.4280701754385965,0.0674881686246779,0.8651651309864767,19
E2,Sex-combined,C8-Neg-002972,Oahfa(15:1_27:4),Lipids and lipid-like molecules,NA,-0.424561403508772,0.07001518907656054,0.8651651309864767,19
E2,Sex-combined,C18-Pos-001644,Adenylyl(3'-5')Cytidine,"Nucleosides, nucleotides, and analogues",NA,0.4228070175438597,0.07130481848789644,0.8651651309864767,19
E2,Sex-combined,Amide-Neg-001041,Phosphocreatine,Organic acids and derivatives,map00330;R-HSA-71288;WP4584;WP4628;WP497;WP5190,0.4075187969924812,0.0745082158554703,0.8843801273279736,20
E2,Sex-combined,Amide-Neg-000484,L-Lysine,Organic acids and derivatives,map00310;map00780;R-HSA-196780;R-HSA-264876;R-HSA-2980736;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-420499;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-5619113;R-HSA-5660883;R-HSA-5689603;R-HSA-71064;WP4228;WP661,0.4045112781954887,0.0768844254480797,0.8931680062691812,20
E2,Sex-combined,C8-Neg-003489,Ps(16:1_26:4),Lipids and lipid-like molecules,NA,0.5,0.08186423116569437,0.8939574043293825,13
E2,Sex-combined,Amide-Neg-001170,N-Beta-Alanyl-L-Histidine,Organic acids and derivatives,map00340;map00410;R-HSA-70921;WP106;WP4486;WP5313,0.4,0.08055387210850919,0.8939574043293825,20
E2,Sex-combined,Amide-Neg-000214,L-Valine,Organic acids and derivatives,map00280;map00640;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-442660;R-HSA-5619044;R-HSA-5619094;R-HSA-5659735;R-HSA-70895;R-HSA-71240;WP3953;WP4225;WP4233;WP4686;WP661,0.3984962406015038,0.08180541617403744,0.8939574043293825,20
E2,Sex-combined,C8-Neg-003578,Pc(19:1cooh_23:3),Lipids and lipid-like molecules,NA,0.4117647058823529,0.08953914742899156,0.9224221603062149,18
E2,Sex-combined,Amide-Pos-000376,L(+)-Ornithine,Organic acids and derivatives,map00330;R-HSA-351202;R-HSA-352230;R-HSA-420499;R-HSA-70635;R-HSA-71288;R-HSA-8964539;WP2525;WP3580;WP3602;WP4225;WP4571;WP4583;WP4595;WP497;WP5026;WP5078;WP661,0.39097744360902253,0.08828010210661397,0.9224221603062149,20
E2,Sex-combined,Amide-Pos-000536,L-Histidine,Organic acids and derivatives,map00340;map00410;map00910;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-427975;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-70921;R-HSA-71240;WP4486;WP4661;WP5313;WP550;WP661,0.39097744360902253,0.08828010210661397,0.9224221603062149,20
E2,Sex-combined,C18-Pos-000931,"1,3-Benzodioxolylbutanamine (Bdb)",Organoheterocyclic compounds,NA,-0.48251748251748255,0.11210929146889198,0.9455352971570471,12
E2,Sex-combined,Amide-Neg-000195,L-Malic Acid,Organic acids and derivatives,map00020;map00620;R-HSA-1614517;R-HSA-1614558;R-HSA-1614635;R-HSA-428643;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71403;R-HSA-9856872;WP106;WP2453;WP3602;WP4206;WP4236;WP4241;WP4290;WP4315;WP4595;WP4661;WP5046;WP5050;WP5213;WP534;WP5401;WP5434;WP661;WP78,0.42499999999999993,0.11429547548052217,0.9455352971570471,15
E2,Sex-combined,Amide-Pos-002316,Pe(18:0_22:6),Lipids and lipid-like molecules,NA,0.391124871001032,0.10849983794275474,0.9455352971570471,18
E2,Sex-combined,C18-Pos-000393,L-Aspartic Acid,Organic acids and derivatives,map00250;map00330;map00350;map00410;map00910;R-HSA-1638091;R-HSA-2024096;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-500753;R-HSA-5619062;R-HSA-5619067;R-HSA-5676934;R-HSA-70635;R-HSA-73817;R-HSA-8956320;R-HSA-8963691;R-HSA-8963693;R-HSA-8964208;R-HSA-8964539;R-HSA-9717189;R-HSA-9717207;R-HSA-9856872;WP106;WP3602;WP4224;WP4225;WP4519;WP4571;WP4583;WP4595;WP497;WP5029;WP534;WP5365,0.3824561403508772,0.10608453136967236,0.9455352971570471,19
E2,Sex-combined,Amide-Pos-000094,3-(Ethenyloxy)Propan-1-Amine,Organic oxygen compounds,NA,0.3819548872180451,0.09653857766782034,0.9455352971570471,20
E2,Sex-combined,C8-Pos-005192,Ps(20:5_24:4),Lipids and lipid-like molecules,NA,-0.3804511278195489,0.0979680397059128,0.9455352971570471,20
E2,Sex-combined,Amide-Pos-000383,Adenine,Organoheterocyclic compounds,R-HSA-110331;R-HSA-1237112;R-HSA-1614635;R-HSA-425397;R-HSA-5619063;R-HSA-73884;R-HSA-73927;R-HSA-73929;R-HSA-74217;R-HSA-83936;R-HSA-8956321;R-HSA-9734195;R-HSA-9734207;R-HSA-9735804;WP3580;WP4224;WP4792;WP5078;WP80,-0.37894736842105264,0.10959964442893547,0.9455352971570471,19
E2,Sex-combined,Amide-Pos-000754,Acetyl-L-Carnitine,Lipids and lipid-like molecules,map01040;R-HSA-389887;R-HSA-390918;WP106,0.3744360902255639,0.10384052952246078,0.9455352971570471,20
E2,Sex-combined,Amide-Neg-000331,D-Asparagine,Organic acids and derivatives,NA,0.37142857142857144,0.10687070696592829,0.9455352971570471,20
E2,Sex-combined,C18-Pos-002454,Guanosine-5'-Monophosphate,"Nucleosides, nucleotides, and analogues",map00250;R-HSA-157579;R-HSA-174414;R-HSA-174417;R-HSA-174437;R-HSA-180786;R-HSA-2485179;R-HSA-2514856;R-HSA-3000480;R-HSA-3299685;R-HSA-392154;R-HSA-4086398;R-HSA-418346;R-HSA-418457;R-HSA-425397;R-HSA-429914;R-HSA-429958;R-HSA-430039;R-HSA-499943;R-HSA-69166;R-HSA-69183;R-HSA-69186;R-HSA-69190;R-HSA-69239;R-HSA-72086;R-HSA-727802;R-HSA-73817;R-HSA-73886;R-HSA-74217;R-HSA-74259;R-HSA-8850843;R-HSA-8956319;R-HSA-8956320;R-HSA-8956321;R-HSA-9660826;R-HSA-9664424;R-HSA-9717189;R-HSA-9717207;WP411;WP4222;WP4224;WP4792;WP5294;WP5348,-0.3699248120300752,0.10840956155377525,0.9455352971570471,20
E2,Sex-combined,C8-Pos-005434,Pi(18:0_22:6),Lipids and lipid-like molecules,NA,-0.36691729323308275,0.11153519940239201,0.9455352971570471,20
E2,Sex-combined,Amide-Neg-001243,D-Ribose 5-Phosphate,Organic oxygen compounds,R-HSA-163754;R-HSA-2393930;R-HSA-5663084;R-HSA-6791465;R-HSA-71336;R-HSA-73843;R-HSA-74259;R-HSA-8956319;WP134;WP3602;WP4224;WP4290;WP4297;WP4792;WP5043;WP5220,0.36541353383458647,0.11312213950560118,0.9455352971570471,20
E2,Sex-combined,Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,"Nucleosides, nucleotides, and analogues",map00520;WP5151,0.36541353383458647,0.11312213950560118,0.9455352971570471,20
E2,Sex-combined,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Organic acids and derivatives,NA,0.37192982456140355,0.11687923396377839,0.9473129834432246,19
E2,Sex-combined,C8-Pos-004942,Pc(21:2cho_19:4),Lipids and lipid-like molecules,NA,-0.3609022556390977,0.11798037156435764,0.9473129834432246,20
E2,Sex-combined,Amide-Pos-000661,N8-Acetylspermidine,Organic acids and derivatives,NA,-0.4340659340659341,0.1383423778882127,0.953220091807113,13
E2,Sex-combined,C8-Pos-004340,Pc(19:1_15:0),Lipids and lipid-like molecules,NA,0.4153846153846154,0.1396659475175257,0.953220091807113,14
E2,Sex-combined,C8-Pos-003685,Pe(O-26:3_7:0),Lipids and lipid-like molecules,NA,0.37990196078431376,0.13254890262758867,0.953220091807113,17
E2,Sex-combined,C18-Pos-002570,Myristoyl-L-Carnitine,Lipids and lipid-like molecules,NA,0.35789473684210527,0.12130112810947347,0.953220091807113,20
E2,Sex-combined,Amide-Pos-000167,Amifampridine,Organoheterocyclic compounds,NA,-0.35614035087719303,0.13450574182604733,0.953220091807113,19
E2,Sex-combined,C8-Pos-004614,Pc(15:2cho_22:2),Lipids and lipid-like molecules,NA,-0.3518796992481203,0.1281419520870412,0.953220091807113,20
E2,Sex-combined,C8-Neg-003439,Dgdg(18:0_11:1),Lipids and lipid-like molecules,NA,-0.35037593984962406,0.12989410232900497,0.953220091807113,20
E2,Sex-combined,Amide-Neg-000135,D-Glyceric Acid,Organic oxygen compounds,map00561;R-HSA-5652084;R-HSA-70350;WP5166;WP5178,0.34887218045112783,0.13166317155695248,0.953220091807113,20
E2,Sex-combined,C8-Neg-003730,Pc(18:3cho_26:8),Lipids and lipid-like molecules,NA,0.34887218045112783,0.13166317155695248,0.953220091807113,20
E2,Sex-combined,Amide-Pos-000747,"N3,N4-Dimethyl-L-Arginine",Organic acids and derivatives,WP4947,-0.3458646616541353,0.13525234313351658,0.953220091807113,20
E2,Sex-combined,C8-Pos-001332,Palmitoylcarnitine,Lipids and lipid-like molecules,NA,0.3458646616541353,0.13525234313351644,0.953220091807113,20
E2,Sex-combined,Amide-Neg-000523,Xanthine,Organoheterocyclic compounds,R-HSA-74259;R-HSA-8956319;WP3633;WP4224;WP4507;WP4792,0.3443609022556391,0.13707258150434384,0.953220091807113,20
E2,Sex-combined,C8-Neg-003556,Ps(20:1_24:6),Lipids and lipid-like molecules,NA,0.3601651186790506,0.14206248632367455,0.9576063892929173,18
E2,Sex-combined,C18-Pos-002092,Adenosine 3'5'-Cyclic Monophosphate,"Nucleosides, nucleotides, and analogues",R-HSA-109703;R-HSA-109704;R-HSA-111885;R-HSA-111931;R-HSA-111933;R-HSA-111957;R-HSA-111996;R-HSA-111997;R-HSA-112040;R-HSA-112043;R-HSA-112399;R-HSA-1296061;R-HSA-1296071;R-HSA-1489509;R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-165160;R-HSA-170660;R-HSA-180024;R-HSA-2404192;R-HSA-2428924;R-HSA-2428928;R-HSA-381676;R-HSA-392517;R-HSA-418597;R-HSA-422356;R-HSA-432040;R-HSA-438064;R-HSA-442720;R-HSA-442755;R-HSA-445717;R-HSA-5210891;R-HSA-5339562;R-HSA-5610787;R-HSA-70171;R-HSA-70268;R-HSA-70326;R-HSA-74751;R-HSA-74752;R-HSA-9634597;R-HSA-9660821;R-HSA-9664323;WP1403;WP1602;WP1981;WP2197;WP2355;WP2380;WP2526;WP2571;WP2636;WP3298;WP35;WP3676;WP3869;WP3876;WP391;WP4008;WP4149;WP4222;WP4321;WP4549;WP4589;WP474;WP4746;WP4808;WP4838;WP4900;WP4941;WP500;WP5085;WP5088;WP5094;WP5122;WP5191;WP5231;WP5318;WP5321;WP5342;WP5344;WP5360;WP5366;WP5408;WP5434;WP712;WP734,0.3642857142857142,0.18191025904581395,0.9744029589298666,15
E2,Sex-combined,Amide-Pos-000860,L-Ergothioneine,Organic acids and derivatives,R-HSA-549127;R-HSA-549132,0.3571428571428571,0.19127476343157898,0.9744029589298666,15
E2,Sex-combined,C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Organoheterocyclic compounds,NA,0.35294117647058826,0.1646579733164171,0.9744029589298666,17
E2,Sex-combined,C8-Pos-003929,Tg(28:6_14:3cho),Lipids and lipid-like molecules,NA,0.3529411764705882,0.1799586578849816,0.9744029589298666,16
E2,Sex-combined,C8-Pos-003050,Tg(29:3cooh_2:0),Lipids and lipid-like molecules,NA,0.35190918472652216,0.152106939189977,0.9744029589298666,18
E2,Sex-combined,C8-Pos-004871,Pe(20:5_22:2),Lipids and lipid-like molecules,NA,-0.3415892672858617,0.16533454122556937,0.9744029589298666,18
