"Compound.ID","Name","Formula.x","Molecular.Weight.x","Best.Match.x","Library.Name.x","Library.ID.x","Annot.DeltaMass[ppm].x","m/z.x","RT[min].x","Background.x","Reference.Ion.x","Smiles.x","InChiKey","Super.Class.x","Class.x","Sub.Class.x","Pathways.x","CID.x","CHEBI.x","HMDB.x","KEGG.x","CAS.x","mean_value.x","std_dev.x","percent_RSD.x","highest_intensity.x","median_intensity.x","LC_column.x","ionization.x","same_column.x","Formula.y","Molecular.Weight.y","Best.Match.y","Library.Name.y","Library.ID.y","Annot.DeltaMass[ppm].y","m/z.y","RT[min].y","Background.y","Reference.Ion.y","Smiles.y","Super.Class.y","Class.y","Sub.Class.y","Pathways.y","CID.y","CHEBI.y","HMDB.y","KEGG.y","CAS.y","mean_value.y","std_dev.y","percent_RSD.y","highest_intensity.y","median_intensity.y","LC_column.y","ionization.y","same_column.y"
"Amide-Pos-000197","2-Piperazinecarboxamide","C5 H11 N3 O",129.09021,57.4,"NIST23",15525,-1.09,130.09735,15.707,FALSE,"[M+H]+1","NC(=O)C1CNCCN1","BRYCUMKDWMEGMK-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,3019914,NA,NA,NA,"84501-64-4",6020879.63223408,2167446.10545468,35.9988280425138,11999430.7089624,5903115.88224622,"Amide","Pos",0,"C5 H11 N3 O",129.09021,57.4,"NIST23",15525,-1.09,130.09735,15.707,FALSE,"[M+H]+1","NC(=O)C1CNCCN1","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,3019914,NA,NA,NA,"84501-64-4",6020879.63223408,2167446.10545468,35.9988280425138,11999430.7089624,5903115.88224622,"Amide","Pos",0
"C8-Pos-000346","PC 19:2_20:5","C47 H80 N O8 P",817.56215,69.7,"LipidBlast",229385,-1.18,818.56846,8.783,FALSE,"[M+H]+1","CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","BUUSHDUVBYKLEA-NDXBRMGJNA-N","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,2330549.56336492,529499.735284342,22.7199517061475,3381567.86481914,2329997.55456609,"C8","Pos",0,"C47 H80 N O8 P",817.56215,69.7,"LipidBlast",229385,-1.18,818.56846,8.783,FALSE,"[M+H]+1","CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,2330549.56336492,529499.735284342,22.7199517061475,3381567.86481914,2329997.55456609,"C8","Pos",0
"C8-Pos-000646","5-(Hydroxymethyl)-3-(1-hydroxy-8-methylnonyl)oxolan-2-one","C15 H28 O4",272.19876,65.3,"NIST23",18599,-1.18,305.2319,4.283,FALSE,"[M+H+MeOH]+1","CC(C)CCCCCCC(C1CC(OC1=O)CO)O","BYJHCUIKVIAEAC-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,44715432,NA,NA,NA,NA,257731.299055158,46904.794362493,18.1991067962819,344132.720745657,246723.543824367,"C8","Pos",0,"C15 H28 O4",272.19876,65.3,"NIST23",18599,-1.18,305.2319,4.283,FALSE,"[M+H+MeOH]+1","CC(C)CCCCCCC(C1CC(OC1=O)CO)O","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",NA,44715432,NA,NA,NA,NA,257731.299055158,46904.794362493,18.1991067962819,344132.720745657,246723.543824367,"C8","Pos",0
"Amide-Neg-000080","1,1-Cyclobutanedicarboxylic acid","C6 H8 O4",144.04226,53.7,"NIST23",14868,-0.41,143.03492,8.503,FALSE,"[M-H]-1","C1CC(C1)(C(=O)O)C(=O)O","CCQPAEQGAVNNIA-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",NA,2568,"CHEBI:35691","HMDB0250639",NA,"5445-51-2",13631038.448376,7496565.87472723,54.9962932253366,31516863.8773544,11732707.0166054,"Amide","Neg",0,"C6 H8 O4",144.04226,53.7,"NIST23",14868,-0.41,143.03492,8.503,FALSE,"[M-H]-1","C1CC(C1)(C(=O)O)C(=O)O","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",NA,2568,"CHEBI:35691","HMDB0250639",NA,"5445-51-2",13631038.448376,7496565.87472723,54.9962932253366,31516863.8773544,11732707.0166054,"Amide","Neg",0
"Amide-Neg-000265","D-(-)-Isoascorbic acid","C6 H8 O6",176.03209,96.7,"NIST23",11904,-0.06,175.0248,3.233,FALSE,"[M-H]-1","O=C1O[C@H]([C@H](O)CO)C(O)=C1O","CIWBSHSKHKDKBQ-DUZGATOHSA-N","Organoheterocyclic compounds","Dihydrofurans","Furanones",NA,54675810,"CHEBI:51438",NA,"C20364","89-65-6",2157192.00898796,931675.250648296,43.1892593133324,4027889.33619576,2098539.64617052,"Amide","Neg",0,"C6 H8 O6",176.03209,96.7,"NIST23",11904,-0.06,175.0248,3.233,FALSE,"[M-H]-1","O=C1O[C@H]([C@H](O)CO)C(O)=C1O","Organoheterocyclic compounds","Dihydrofurans","Furanones",NA,54675810,"CHEBI:51438",NA,"C20364","89-65-6",2157192.00898796,931675.250648296,43.1892593133324,4027889.33619576,2098539.64617052,"Amide","Neg",0
"C8-Pos-000640","6H-2-Benzopyran-3-carboxylic acid, 7-ethyl-7,8-dihydro-8-hydroxy-4,7-dimethyl-6-oxo-","C14 H16 O5",264.09977,67.1,"NIST23",19709,0.2,265.10711,3.944,FALSE,"[M+H]+1","CCC1(C(C2=COC(=C(C2=CC1=O)C)C(=O)O)O)C","CNXACDYPVKUDEK-UHFFFAOYSA-N","Organoheterocyclic compounds","Azaphilones",NA,NA,154812537,NA,NA,NA,NA,214277.489635131,98127.7006322223,45.7946846396758,361697.835259964,199506.301108271,"C8","Pos",0,"C14 H16 O5",264.09977,67.1,"NIST23",19709,0.2,265.10711,3.944,FALSE,"[M+H]+1","CCC1(C(C2=COC(=C(C2=CC1=O)C)C(=O)O)O)C","Organoheterocyclic compounds","Azaphilones",NA,NA,154812537,NA,NA,NA,NA,214277.489635131,98127.7006322223,45.7946846396758,361697.835259964,199506.301108271,"C8","Pos",0
"Amide-Neg-000061","δ-Ribono-1,4-lactone","C5 H8 O5",148.03717,87.4,"mzCloud",371,-0.19,147.02988,3.24,FALSE,"[M-H]-1","O=C1OC(CO)C(O)C1O","CUOKHACJLGPRHD-BXXZVTAOSA-N","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,111064,"CHEBI:74168","HMDB0001900",NA,"5336-08-3",20444954.9036253,7883373.29600212,38.5590153324537,34372118.6626088,22089149.4630512,"Amide","Neg",0,"C5 H8 O5",148.03717,87.4,"mzCloud",371,-0.19,147.02988,3.24,FALSE,"[M-H]-1","O=C1OC(CO)C(O)C1O","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,111064,"CHEBI:74168","HMDB0001900",NA,"5336-08-3",20444954.9036253,7883373.29600212,38.5590153324537,34372118.6626088,22089149.4630512,"Amide","Neg",0
"C8-Pos-000510","[6]-Paradol","C17 H26 O3",278.18819,59.3,"NIST23",23840,-0.14,279.19543,4.251,FALSE,"[M+H]+1","CCCCCCCC(=O)CCc1ccc(O)c(OC)c1","CZNLTCTYLMYLHL-UHFFFAOYSA-N","Benzenoids","Phenols","Methoxyphenols",NA,94378,"CHEBI:10137","HMDB0030801","C10482","27113-22-0",698761.718281767,154011.431068045,22.0406222949298,988611.466269948,670702.185313798,"C8","Pos",0,"C17 H26 O3",278.18819,59.3,"NIST23",23840,-0.14,279.19543,4.251,FALSE,"[M+H]+1","CCCCCCCC(=O)CCc1ccc(O)c(OC)c1","Benzenoids","Phenols","Methoxyphenols",NA,94378,"CHEBI:10137","HMDB0030801","C10482","27113-22-0",698761.718281767,154011.431068045,22.0406222949298,988611.466269948,670702.185313798,"C8","Pos",0
"C8-Pos-000398","NP-022805","C21 H34 O4",350.24571,77.3,"NIST23",20228,-0.08,351.25296,4.286,FALSE,"[M+H]+1","CC12CCCC(C1CCC34C2CCC(C3)C(C4)(CO)O)(C)C(=O)OC","CZYWWRRSTIZTFL-UHFFFAOYSA-N","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,4349449,NA,NA,NA,NA,2047758.87255632,130442.571858409,6.37001619705213,2275545.60703115,2067960.34949631,"C8","Pos",0,"C21 H34 O4",350.24571,77.3,"NIST23",20228,-0.08,351.25296,4.286,FALSE,"[M+H]+1","CC12CCCC(C1CCC34C2CCC(C3)C(C4)(CO)O)(C)C(=O)OC","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,4349449,NA,NA,NA,NA,2047758.87255632,130442.571858409,6.37001619705213,2275545.60703115,2067960.34949631,"C8","Pos",0
"Amide-Pos-000466","2,4-Xylidine","C8 H11 N",121.08915,68,"mzCloud",7464,-1.26,122.09627,1.093,FALSE,"[M+H]+1","CC1=CC(=C(C=C1)N)C","CZZZABOKJQXEBO-UHFFFAOYSA-N","Benzenoids","Benzene and substituted derivatives","Xylenes",NA,7250,"CHEBI:27840",NA,"C11003","95-68-1",1075070.33814774,110685.426700729,10.295645110201,1244979.76504368,1080239.25471871,"Amide","Pos",0,"C8 H11 N",121.08915,68,"mzCloud",7464,-1.26,122.09627,1.093,FALSE,"[M+H]+1","CC1=CC(=C(C=C1)N)C","Benzenoids","Benzene and substituted derivatives","Xylenes",NA,7250,"CHEBI:27840",NA,"C11003","95-68-1",1075070.33814774,110685.426700729,10.295645110201,1244979.76504368,1080239.25471871,"Amide","Pos",0
"C8-Pos-000134","PE O-28:2_7:0","C40 H78 N O7 P",715.55159,85.6,"LipidBlast",130691,-0.51,716.5585,8.501,FALSE,"[M+H]+1","CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCC","DEPOOMLMGLUYPL-QGLGPCELNA-N","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines",NA,NA,NA,NA,NA,NA,14208973.4626779,3914837.63120992,27.5518681310289,21075718.6515227,13862795.6193296,"C8","Pos",0,"C40 H78 N O7 P",715.55159,85.6,"LipidBlast",130691,-0.51,716.5585,8.501,FALSE,"[M+H]+1","CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCC","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines",NA,NA,NA,NA,NA,NA,14208973.4626779,3914837.63120992,27.5518681310289,21075718.6515227,13862795.6193296,"C8","Pos",0
"C8-Neg-000141","Phosphatidylinositol 18:0-22:6","C49 H83 O13 P",910.55713,60.1,"MoNA",3327,-0.33,909.54955,8.064,FALSE,"[M-H]-1","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","DJVOKHFQPGWUPK-CONVNOKZSA-N","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols",NA,NA,NA,NA,NA,NA,850649.038269802,248239.147564749,29.182322720268,1701949.53634371,831463.633630362,"C8","Neg",0,"C49 H83 O13 P",910.55713,60.1,"MoNA",3327,-0.33,909.54955,8.064,FALSE,"[M-H]-1","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols",NA,NA,NA,NA,NA,NA,850649.038269802,248239.147564749,29.182322720268,1701949.53634371,831463.633630362,"C8","Neg",0
"C8-Pos-000285","7,8-Bis(hydroxymethyl)-1,4a-dimethyl-3,4,4a,5,6,7-hexahydro-2H-benzo[7]annulen-2-one","C15 H22 O3",250.15689,57.3,"mzCloud",7612,-0.82,251.164,3.736,FALSE,"[M+H]+1","CC1=C2C=C(C(CCC2(CCC1=O)C)CO)CO","DPBOXKYWJVXMAW-UHFFFAOYSA-N","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,45359408,"CHEBI:181601",NA,NA,NA,834940.112245479,304505.591457868,36.4703512254231,1143397.74376426,826875.835268497,"C8","Pos",0,"C15 H22 O3",250.15689,57.3,"mzCloud",7612,-0.82,251.164,3.736,FALSE,"[M+H]+1","CC1=C2C=C(C(CCC2(CCC1=O)C)CO)CO","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,45359408,"CHEBI:181601",NA,NA,NA,834940.112245479,304505.591457868,36.4703512254231,1143397.74376426,826875.835268497,"C8","Pos",0
"Amide-Pos-000352","4-Piperidinecarboxamide","C6 H12 N2 O",128.09496,65.8,"mzCloud",3053,-1.35,129.10207,15.369,FALSE,"[M+H]+1","C1CNCCC1C(=O)N","DPBWFNDFMCCGGJ-UHFFFAOYSA-N","Organoheterocyclic compounds","Piperidines","Piperidinecarboxylic acids and derivatives",NA,3772,"CHEBI:166563",NA,NA,"39546-32-2",1819658.82479533,458294.22056814,25.18572241803,3529332.7749831,1813729.78206656,"Amide","Pos",0,"C6 H12 N2 O",128.09496,65.8,"mzCloud",3053,-1.35,129.10207,15.369,FALSE,"[M+H]+1","C1CNCCC1C(=O)N","Organoheterocyclic compounds","Piperidines","Piperidinecarboxylic acids and derivatives",NA,3772,"CHEBI:166563",NA,NA,"39546-32-2",1819658.82479533,458294.22056814,25.18572241803,3529332.7749831,1813729.78206656,"Amide","Pos",0
