"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"C8-Pos-005128","Pc O-44:5","C52 H96 N O7 P",1752203.2483028,3680080.20196702,572574.565438323,410963.841690371,2193007.53950909,144886.045602994,449274.844434143,1459392.84781699
"C8-Pos-005109","Pc O-44:7","C52 H92 N O7 P",197142.296135457,225468.742344036,133885.204988754,163725.743975103,390401.558265399,92467.3732654444,110457.816691161,163531.979108539
"C8-Pos-004900","Pc(11:0cooh_25:0)","C44 H86 N O10 P",401112.37739379,1038362.55561341,NA,269350.0452965,89929.5850154729,NA,324471.135054807,259807.650215935
"C8-Pos-005019","Pc(11:1_29:4)","C48 H86 N O8 P",1084237.11780045,480179.01806548,1548000.84247619,2220293.59002141,695545.120570178,1965058.43005869,812759.134479222,911067.998917033
"C8-Pos-002985","Pc(11:2cho_11:2)","C30 H50 N O9 P",195642.697784482,353188.68578139,156962.350491758,73965.1302471526,260328.027459039,81682.0238083458,136472.512811023,207516.303303364
"C8-Neg-003585","Pc(12:1_28:3)","C48 H88 N O8 P",2324971.4650419,3361063.33082044,1220954.80939858,1722299.72110535,3360813.25939299,934084.356001217,2412323.8043813,2441759.42349791
"C8-Pos-004855","Pc(14:1_25:7)","C47 H78 N O8 P",370981.303278351,591724.345697204,256851.612100208,151930.113039304,446764.654218753,NA,214422.332627514,441766.608581366
"C8-Pos-005214","Pc(14:1_28:3)","C50 H92 N O8 P",4221283.55208921,3686805.21867818,2570663.21501009,2580037.98490566,1723901.962269,2072200.12259803,1532292.41237192,2689143.5724645
"C8-Pos-004631","Pc(15:1cho_22:2)","C45 H82 N O9 P",421277.574027882,557544.889532757,321211.420098359,312225.713463713,111779.204434521,153829.282759026,596086.277612646,502457.943409182
"C8-Pos-005208","Pc(15:1cooh_27:7)","C50 H82 N O10 P",NA,3801399.05075087,5306163.05679017,11444991.7557324,NA,4366982.56346385,NA,NA
"C8-Pos-004614","Pc(15:2cho_22:2)","C45 H80 N O9 P",306782.428812842,508844.090923576,300751.601852454,290341.24904385,270905.640287079,213862.240072149,345227.003674121,338477.44386379
"C8-Pos-004775","Pc(16:0_22:6)","C46 H80 N O8 P",2064518.97207577,743560.852523773,3406514.47602326,3870898.55271053,2047854.43622352,4287351.67157273,2123078.63547492,1229215.48429485
"C8-Pos-004801","Pc(16:1cooh_23:3)","C47 H84 N O10 P",2073292.38010468,245544.282881639,753534.255901089,972420.121510742,1102257.91980604,5835227.94802144,1008189.8722927,512175.639821599
"C8-Pos-004748","Pc(17:2cho_21:2)","C46 H82 N O9 P",191807.283081439,NA,NA,56587.0740057691,45594.5492171588,580014.424635007,74357.4139207261,NA
"C8-Neg-003462","Pc(17:3_20:1)","C45 H82 N O8 P",75323.5404465148,269946.560263503,54350.3587487036,NA,113030.642649539,50137.5720587027,NA,317549.428722174
"C8-Pos-004613","Pc(18:0_18:1)","C44 H86 N O8 P",3465342.00640985,5644124.08869762,NA,NA,2979537.21421714,3025910.12605568,3795494.53059346,3643405.64616155
"C8-Pos-004302","Pc(18:1_16:2)","C42 H78 N O8 P",NA,387761.074563348,609149.278472565,851818.492806375,359840.968110786,753890.059608008,564569.224376234,482145.861631269
"C8-Pos-004991","Pc(18:1_22:6)","C48 H82 N O8 P",634264.429245935,350800.478361071,982509.257914812,1078557.04958125,560747.024730423,1465454.38894788,482095.347066818,309466.950967312
"C8-Neg-002843","Pc(18:1_5:1cho)","C31 H56 N O9 P",64259.9670445579,142318.698586402,34856.2776110004,51810.5771441365,109932.282767207,NA,45774.783685467,63482.0000559459
"C8-Neg-003730","Pc(18:3cho_26:8)","C52 H80 N O9 P",26948.5045639118,162076.197952418,NA,136375.710865973,116412.157415143,NA,33194.7145346544,79754.0975258986
"C8-Neg-003688","Pc(18:3cooh_28:8)","C54 H84 N O10 P",260621.9882319,514959.331765321,152378.175340889,174585.526251077,362894.000276572,79686.443768785,139727.415357502,227761.923556551
"C8-Pos-004340","Pc(19:1_15:0)","C42 H82 N O8 P",7798505.76560473,8226122.12923196,NA,NA,NA,NA,924164.169790815,4193404.64975683
"C8-Pos-005546","Pc(19:4cho_29:7)","C56 H88 N O9 P",317098.886697808,641053.692458398,171019.174484248,199303.400617012,414385.235875625,154874.299408939,295461.669150739,473732.060883811
"C8-Pos-005667","Pc(19:4cooh_30:7)","C57 H90 N O10 P",39933.879637792,140924.109341044,19099.506597275,NA,49483.0120190331,NA,42348.2582301057,51427.5879341736
"C8-Neg-003610","Pc(19:5cooh_25:8)","C52 H76 N O10 P",472679.680982003,498586.521201333,673314.396662968,964922.485264955,1215138.17175537,582436.171012315,670900.604461377,641486.292340973
"C8-Pos-004510","Pc(20:0_18:1)","C46 H90 N O8 P",76322084.0689091,98717022.6582387,33532219.4322904,29398347.863873,61774847.5735726,18943493.7363373,37826482.1972101,68146202.0057902
"C8-Pos-005193","Pc(20:0_22:5)","C50 H90 N O8 P",1385340.29879718,680888.853148728,1387803.82265044,1451311.29424857,675423.289229591,1213994.13752381,645920.090105471,901778.562172974
"C8-Neg-003571","Pc(20:2_21:4)","C49 H86 N O8 P",3503350.53606435,4196666.07741469,2023906.79645266,2609960.08925914,5789779.00124235,1837840.11506237,3199941.18445755,3158178.91538489
"C8-Neg-003819","Pc(20:2_28:5)","C56 H98 N O8 P",108471.513310788,226074.026820955,39917.3666565813,95387.217435995,143292.607157574,29468.6529356782,85603.4087055686,92170.2784966322
"C8-Neg-003470","Pc(20:2cho_22:5)","C50 H84 N O9 P",596617.388504601,502776.268079498,629396.198218224,845991.72599639,833224.69348295,616276.28508084,665983.072738682,650683.399516752
"C8-Neg-003713","Pc(20:3_25:5)","C53 H90 N O8 P",119532.081117879,64815.0442540967,29840.4370090541,83440.0369443986,19862.2748863563,30981.8281505269,37686.6858350447,NA
"C8-Neg-003538","Pc(20:4cooh_23:6)","C51 H80 N O10 P",752427.30427658,340161.38320405,168870.835987119,820878.538704794,909995.525199862,169677.200265009,198632.140786091,251299.308179552
