CellType,min_cells,n_samples_absent,absent_in
IN-CGE-SNCG,0,7,SSD01_tissue1; SSD12_tissue12; SSD15_tissue15; SSD19_tissue19; SSD24_tissue24; SSD42_tissue42; SSD46_tissue46
IN-CGE-VIP,0,7,SSD09_tissue9; SSD10_tissue10; SSD15_tissue15; SSD17_tissue17; SSD19_tissue19; SSD33_tissue33; SSD48_tissue48
Vascular,0,7,SSD08_tissue8; SSD11_tissue11; SSD15_tissue15; SSD26_tissue26; SSD40_tissue40; SSD41_tissue41; SSD48_tissue48
EN-L6-CT,0,5,SSD10_tissue10; SSD19_tissue19; SSD23_tissue23; SSD25_tissue25; SSD48_tissue48
IPC-EN,0,5,SSD03_tissue3; SSD07_tissue7; SSD11_tissue11; SSD21_tissue21; SSD41_tissue41
Cajal-Retzius cell,0,4,SSD38_tissue38; SSD41_tissue41; SSD48_tissue48; SSD50_tissue50
IPC-Glia,0,4,SSD02_tissue2; SSD33_tissue33; SSD46_tissue46; SSD48_tissue48
Microglia,0,4,SSD11_tissue11; SSD15_tissue15; SSD21_tissue21; SSD44_tissue44
EN-L6-IT,0,2,SSD19_tissue19; SSD48_tissue48
EN-Non-IT-Immature,0,2,SSD19_tissue19; SSD48_tissue48
IN-MGE-PV,0,2,SSD17_tissue17; SSD48_tissue48
RG-vRG,0,2,SSD11_tissue11; SSD21_tissue21
EN-L5_6-NP,0,1,SSD48_tissue48
EN-L6b,0,1,SSD48_tissue48
IN-dLGE-Immature,0,1,SSD11_tissue11
