"Name","n_occurrences","compound_ids","is_duplicate"
"Guanosine 5'-Diphosphate (Gdp)",4,"Amide-Neg-002106; Amide-Neg-002109; Amide-Pos-001703; Amide-Pos-001705",TRUE
"Hexanoylcarnitine",4,"Amide-Pos-001033; C18-Pos-001405; C18-Pos-001406; C8-Pos-000266",TRUE
"Hypoxanthtine",4,"Amide-Pos-000410; Amide-Pos-000411; C18-Pos-000441; C18-Pos-000443",TRUE
"L-Glutathione Oxidized Hexhydrate",4,"Amide-Neg-002215; Amide-Pos-002035; C18-Pos-001842; C18-Pos-001845",TRUE
"L-Phenylalanine",4,"Amide-Neg-000631; Amide-Neg-000632; C18-Pos-000721; C18-Pos-000722",TRUE
"L-Pipecolinic Acid",4,"Amide-Pos-000330; Amide-Pos-000331; C18-Pos-000353; C18-Pos-000354",TRUE
"Minoxidil",4,"Amide-Pos-000798; C18-Pos-001062; C8-Pos-000031; C8-Pos-000032",TRUE
"Nicotinamide",4,"Amide-Pos-000278; Amide-Pos-000279; C18-Pos-000285; C18-Pos-000286",TRUE
"Palmitoylcarnitine",4,"Amide-Pos-001595; C18-Pos-002929; C8-Pos-001332; C8-Pos-001333",TRUE
"Peg N5",4,"Amide-Pos-000903; C18-Pos-001271; C18-Pos-001272; C8-Pos-000156",TRUE
"Penicillin G",4,"C18-Pos-002148; C18-Pos-002149; C8-Neg-000565; C8-Pos-000768",TRUE
"Ppg N4",4,"Amide-Pos-000992; C18-Pos-001359; C18-Pos-001360; C8-Pos-000209",TRUE
"Ps 22:5_22:6",4,"C8-Neg-003532; C8-Neg-003533; C8-Pos-005150; C8-Pos-005151",TRUE
"Taurine",4,"Amide-Pos-000156; Amide-Pos-000294; C18-Pos-000174; C18-Pos-000308",TRUE
"Tetraglyme",4,"Amide-Pos-000835; Amide-Pos-000837; C18-Pos-001141; C18-Pos-001144",TRUE
"Trans-3-Indoleacrylic Acid",4,"Amide-Pos-000658; Amide-Pos-000659; C18-Pos-000874; C18-Pos-000875",TRUE
"Udp-N-Acetylglucosamine",4,"Amide-Neg-001697; Amide-Pos-002021; C8-Neg-002424; C8-Pos-003037",TRUE
