"Compound.ID","Name","Formula","Sex","mean_intensity","display_name"
"C8-Pos-000246","PE O-16:1_18:1","C39 H76 N O7 P","F",3295865.49870126,"PE O-16:1_18:1"
"Amide-Neg-000290","OXOADIPATE","C6 H8 O5","F",3294188.13477916,"OXOADIPATE"
"C8-Pos-000227","PE 22:4_22:5","C49 H80 N O8 P","F",3291649.87100752,"PE 22:4_22:5"
"C8-Pos-100398",NA,"C56 H87 N O11","F",3290662.68451735,"C8-Pos-100398"
"Amide-Pos-100192",NA,"C16 H24 N5 O2 P S","F",3287713.19607809,"Amide-Pos-100192"
"C8-Pos-100157",NA,"C37 H77 N9 O4 P2","F",3283266.87720538,"C8-Pos-100157"
"C8-Pos-100241",NA,"C21 H38 O","F",3277757.59674068,"C8-Pos-100241"
"C8-Pos-100242",NA,"C21 H41 N O","F",3277757.59674068,"C8-Pos-100242"
"C18-Pos-100349",NA,"C18 H36 N2 O2 S","F",3277631.36527302,"C18-Pos-100349"
"C8-Pos-000275","PC 22:5_22:5","C52 H84 N O8 P","F",3275803.94330262,"PC 22:5_22:5"
"C8-Neg-100087",NA,"C9 H15 Cl O9 P2","F",3272744.98026637,"C8-Neg-100087"
"C8-Pos-000295","1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine","C41 H70 N O8 P","F",3258459.31463113,"1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine"
"Amide-Pos-100181",NA,"C6 H9 N5 O5 S","F",3254863.13929073,"Amide-Pos-100181"
"C8-Pos-100367",NA,"C8 H12 O8 P2","F",3254240.0794324,"C8-Pos-100367"
"C18-Pos-100280",NA,"C H N7 O P2","F",3251101.52150516,"C18-Pos-100280"
"C8-Neg-000076","2,4-Bis(1,1-dimethylethyl)phenol phosphate","C28 H43 O4 P","F",3249512.95495538,"2,4-Bis(1,1-dimethylethyl)phenol phosphate"
"Amide-Neg-100165",NA,"C7 H7 N3 O2 P2","F",3248436.15183986,"Amide-Neg-100165"
"C8-Pos-100345",NA,"C35 H72 N8 O6 P2","F",3243224.88509723,"C8-Pos-100345"
"C18-Pos-100241",NA,"C2 H6 N7 O4 P","F",3242883.18979942,"C18-Pos-100241"
"C18-Pos-100221",NA,"C10 H3 N O14 P2 S2","F",3239450.95253137,"C18-Pos-100221"
"C8-Neg-100266",NA,"C16 H34 Cl2 N4 O5 P2 S3","F",3235023.52991958,"C8-Neg-100266"
"C8-Neg-100201",NA,"C7 H15 Cl2 N8 O2 P S","F",3231942.84556398,"C8-Neg-100201"
"Amide-Pos-100216",NA,"C22 H8 Cl2 O14 P2 S3","F",3231839.40289723,"Amide-Pos-100216"
"C18-Pos-000092","Methamphetamine","C10 H15 N","F",3228494.4120851,"Methamphetamine"
"C18-Neg-100102",NA,"C4 H8 O4","F",3226873.12208463,"C18-Neg-100102"
"C8-Pos-100348",NA,"C19 H40 N7 P","F",3226361.32640896,"C8-Pos-100348"
"C8-Pos-100317",NA,"C7 H13 N4 P3","F",3220673.94791145,"C8-Pos-100317"
"C8-Pos-100295",NA,"C35 H84 N10 O7 P2","F",3218628.39039811,"C8-Pos-100295"
"Amide-Pos-100305",NA,"C17 H36 N2 O","F",3218375.86368706,"Amide-Pos-100305"
"C18-Neg-000096","Uridine","C9 H12 N2 O6","F",3214497.31347825,"Uridine"
"C8-Neg-000047","LPE 22:5","C27 H46 N O7 P","F",3208353.00585965,"LPE 22:5"
"C8-Neg-100305",NA,"C12 H25 Cl4 N4 O2 P","F",3207709.95335838,"C8-Neg-100305"
"C18-Neg-100135",NA,"C12 H15 O P3 S3","F",3204438.46184444,"C18-Neg-100135"
"C8-Pos-000257","L-Glutathione oxidized","C20 H32 N6 O12 S2","F",3199008.87129323,"L-Glutathione oxidized"
"C8-Pos-100339",NA,"C25 H40 O2","F",3198650.7572438,"C8-Pos-100339"
"C8-Pos-100340",NA,"C25 H43 N O2","F",3198650.7572438,"C8-Pos-100340"
"C8-Pos-000180","L-Glutathione (reduced)","C10 H17 N3 O6 S","F",3187427.82609553,"L-Glutathione (reduced)"
"C8-Neg-100250",NA,"C12 H26 Br N6 O10 P S","F",3185310.81669005,"C8-Neg-100250"
"Amide-Pos-100127",NA,"C8 H15 N3 O6","F",3184881.87581838,"Amide-Pos-100127"
"C8-Pos-000289","Oleoyl ethanolamide","C20 H39 N O2","F",3182482.34809733,"Oleoyl ethanolamide"
"C18-Pos-000188","Triisobutyl phosphate","C12 H27 O4 P","F",3181601.21310191,"Triisobutyl phosphate"
"C18-Pos-100291",NA,"C24 H60 N9 O4 P","F",3179275.32516457,"C18-Pos-100291"
"Amide-Neg-100185",NA,"C4 H4 O2","F",3177312.08536741,"Amide-Neg-100185"
"C8-Neg-000061","Phosphatidylethanolamine alkenyl 18:1-20:4","C43 H76 N O7 P","F",3173866.00248554,"Phosphatidylethanolamine alkenyl 18:1-20:4"
"C18-Neg-100075",NA,"C10 H11 N O6","F",3170141.30303606,"C18-Neg-100075"
"Amide-Neg-000251","N-Acetylalanine","C5 H9 N O3","F",3170007.27901431,"N-Acetylalanine"
"C8-Pos-100436",NA,"C19 H17 O4 P","F",3168245.77158734,"C8-Pos-100436"
"C8-Pos-100411",NA,"C32 H61 N7 O4","F",3164120.83327747,"C8-Pos-100411"
"C8-Neg-100295",NA,"C15 H25 Cl2 N4 O3 P S2","F",3163985.13607378,"C8-Neg-100295"
"C18-Neg-100130",NA,"C3 H5 N9 O2","F",3156612.49501415,"C18-Neg-100130"
"C18-Neg-100096",NA,"C9 H9 Cl N O2 P","F",3143642.49002958,"C18-Neg-100096"
"Amide-Pos-100217",NA,"C5 H13 N O14","F",3142681.61278833,"Amide-Pos-100217"
"C8-Pos-000212","Penicillin G","C16 H18 N2 O4 S","F",3142458.89224167,"Penicillin G"
"C8-Pos-000213","1-Oleoyl-sn-glycero-3-phosphoethanolamine","C23 H46 N O7 P","F",3142421.06295863,"1-Oleoyl-sn-glycero-3-phosphoethanolamine"
"C8-Pos-000240","NCGC00381386-01!2-(7-hydroxy-6-methyloctyl)-2H-furan-5-one","C13 H22 O3","F",3142167.05126397,"NCGC00381386-01!2-(7-hydroxy-6-methyloctyl)-2H-furan-5-one"
"C8-Pos-100308",NA,"C37 H69 N4 O4 P","F",3141783.80089215,"C8-Pos-100308"
