"Compound.ID","Name","Formula","mean_intensity","display_name"
"C18-Pos-000081","Uridine 5'-monophosphate","C9 H13 N2 O9 P",13105674.1775119,"Uridine 5'-monophosphate"
"C18-Pos-100090",NA,"C6 H5 O13 P3",13060921.2771171,"C18-Pos-100090"
"C18-Pos-100070",NA,"C H N5 O4 S",13058649.3389689,"C18-Pos-100070"
"C8-Pos-000120","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)","C47 H83 O13 P",13033447.1979872,"1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)"
"C8-Pos-100114",NA,"C37 H76 N8 O8",13026644.1665779,"C8-Pos-100114"
"C8-Pos-000099","N-(Octadecanoyl)sphing-4-enine-1-phosphocholine","C41 H83 N2 O6 P",13000623.8433882,"N-(Octadecanoyl)sphing-4-enine-1-phosphocholine"
"Amide-Neg-100085",NA,"C10 H14 N6 O7",12962146.9182805,"Amide-Neg-100085"
"Amide-Pos-100072",NA,"C6 H11 Cl N2 S",12908811.0739667,"Amide-Pos-100072"
"Amide-Pos-100087",NA,"C3 H6 N P S",12885733.5695248,"Amide-Pos-100087"
"C8-Neg-100055",NA,"C2 H6 N9 O2 P",12865547.4589259,"C8-Neg-100055"
"C8-Pos-100167",NA,"C36 H64 N4 O3 P2",12820374.3251703,"C8-Pos-100167"
"Amide-Pos-100071",NA,"C4 H6 N2",12816064.5392935,"Amide-Pos-100071"
"C18-Pos-100066",NA,"C5 H4 N2 O13 P2",12812386.9245029,"C18-Pos-100066"
"C8-Pos-100138",NA,"C19 H31 O3 P",12791946.3794766,"C8-Pos-100138"
"Amide-Pos-100038",NA,"C6 H5 Br N P S",12783163.3389976,"Amide-Pos-100038"
"Amide-Pos-000175","L-Glutamic acid","C5 H9 N O4",12764248.5441683,"L-Glutamic acid"
"C8-Neg-100059",NA,"C34 H80 N8 O8 P2",12707758.4563061,"C8-Neg-100059"
"Amide-Pos-000164","L-Glutathione (reduced)","C10 H17 N3 O6 S",12701099.5664603,"L-Glutathione (reduced)"
"C8-Neg-100061",NA,"C21 H42 O5",12695374.8970329,"C8-Neg-100061"
"Amide-Pos-100093",NA,"C4 H5 N O",12672314.199079,"Amide-Pos-100093"
"Amide-Pos-100094",NA,"C4 H7 N O2",12672314.199079,"Amide-Pos-100094"
"Amide-Pos-100095",NA,"C4 H8 N2 O",12672314.199079,"Amide-Pos-100095"
"C18-Pos-100064",NA,"C9 H3 O18 P",12627147.400961,"C18-Pos-100064"
"C18-Pos-100094",NA,"C6 H8 O15 P2 S2",12622767.4799399,"C18-Pos-100094"
"Amide-Pos-000109","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",12595757.548381,"DL-Dipalmitoylphosphatidylcholine"
"Amide-Pos-100107",NA,"C11 H15 N O10",12546945.0793266,"Amide-Pos-100107"
"Amide-Pos-100086",NA,"C12 H9 O17 P",12526358.892964,"Amide-Pos-100086"
"Amide-Pos-000128","Guanine","C5 H5 N5 O",12513772.3831375,"Guanine"
"Amide-Pos-100100",NA,"C5 H5 N2 O3 P3 S",12511923.5808448,"Amide-Pos-100100"
"C8-Pos-000132","Methanandamide","C23 H39 N O2",12496505.1730318,"Methanandamide"
"Amide-Neg-000067","Threonine","C4 H9 N O3",12460540.7275134,"Threonine"
"C8-Neg-100057",NA,"C12 H22 N O8 P3 S",12453689.1466452,"C8-Neg-100057"
"C8-Pos-100161",NA,"C30 H42 N O4 P",12419692.9542059,"C8-Pos-100161"
"C8-Pos-100137",NA,"C19 H43 N7 S",12413573.9666236,"C8-Pos-100137"
"C8-Neg-100053",NA,"C36 H84 N8 O8 P2",12375802.5066826,"C8-Neg-100053"
"C18-Pos-100063",NA,"C3 H8 N2 O3 S",12356571.6348599,"C18-Pos-100063"
"C18-Pos-100111",NA,"C18 H36 N2 O2 S2",12309360.455736,"C18-Pos-100111"
"C8-Pos-000160","1-Linoleoyl glycerol","C21 H38 O4",12285185.7558501,"1-Linoleoyl glycerol"
"C8-Pos-100156",NA,"C21 H43 N O2 S",12250315.3723248,"C8-Pos-100156"
"C18-Neg-100033",NA,"C6 H9 Cl O7",12239109.8565087,"C18-Neg-100033"
"Amide-Neg-000090","L-(+)-Lactic acid","C3 H6 O3",12179160.4800685,"L-(+)-Lactic acid"
"C8-Pos-100072",NA,"C17 H41 N6 P S",12171212.6369903,"C8-Pos-100072"
"C8-Pos-100147",NA,"C18 H40 N2 O6",12141511.2967065,"C8-Pos-100147"
"Amide-Pos-000122","Tris(hydroxymethyl)aminomethane","C4 H11 N O3",12102339.9071699,"Tris(hydroxymethyl)aminomethane"
"Amide-Pos-100084",NA,"C4 H11 N",12077995.6919087,"Amide-Pos-100084"
"Amide-Pos-100048",NA,"C9 H13 N3 O3",12039554.3847957,"Amide-Pos-100048"
"Amide-Pos-100043",NA,"C15 H33 N4 O9 P S",12010119.8736652,"Amide-Pos-100043"
"C18-Pos-100080",NA,"C9 H10 N2 O P2",11998273.3040563,"C18-Pos-100080"
"Amide-Pos-000095","N,N'-Diphenylguanidine","C13 H13 N3",11981056.6487973,"N,N'-Diphenylguanidine"
"C18-Pos-100113",NA,"C3 H2 N4 O P2",11971021.8535599,"C18-Pos-100113"
"C18-Pos-100088",NA,"C21 H45 Cl N6 O S2",11962355.7784491,"C18-Pos-100088"
"Amide-Pos-100089",NA,"C H2 Cl N3 O3 P2",11923362.0237793,"Amide-Pos-100089"
"C8-Neg-100039",NA,"C13 H21 N4 O16 P S",11912034.4637656,"C8-Neg-100039"
"C8-Neg-100043",NA,"C13 H21 N4 O16 P S",11875423.9806688,"C8-Neg-100043"
"C8-Neg-100068",NA,"C24 H40 N4 O2",11871730.1931477,"C8-Neg-100068"
"Amide-Neg-100083",NA,"C9 H21 N4 O12 P3",11837578.219778,"Amide-Neg-100083"
"C18-Pos-000094","Uridine 5'-monophosphate","C9 H13 N2 O9 P",11825757.1801641,"Uridine 5'-monophosphate"
"Amide-Pos-100051",NA,"C5 H10 N2",11812598.6844163,"Amide-Pos-100051"
"C8-Pos-100162",NA,"C31 H49 O4 P",11808528.9947223,"C8-Pos-100162"
"Amide-Neg-100099",NA,"C4 H5 N O9",11768588.0041268,"Amide-Neg-100099"
"C8-Neg-000012","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine","C44 H78 N O10 P",11749431.8269601,"1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine"
"C18-Neg-000018","Dehydroascorbic acid","C6 H6 O6",11727113.7284139,"Dehydroascorbic acid"
"Amide-Neg-100111",NA,"C6 H7 N O9",11602134.6831662,"Amide-Neg-100111"
"Amide-Pos-100042",NA,"C8 H7 N4 O9 P S",11528158.2254114,"Amide-Pos-100042"
"Amide-Pos-100074",NA,"C5 H11 N",11514849.3614283,"Amide-Pos-100074"
"Amide-Neg-000070","Dehydroascorbic acid","C6 H6 O6",11498075.7775602,"Dehydroascorbic acid"
"Amide-Pos-100073",NA,"C6 H16 N O4 P",11469364.4083568,"Amide-Pos-100073"
"C8-Pos-100155",NA,"C26 H41 N O3",11438131.2121797,"C8-Pos-100155"
"Amide-Pos-000139","Butylamine","C4 H11 N",11407340.3423641,"Butylamine"
"C8-Pos-000104","Arachidonoyl-carnitine; LC-tDDA; CE10","C27 H45 N O4",11385958.4362714,"Arachidonoyl-carnitine; LC-tDDA; CE10"
"C18-Pos-000099","Phloroglucinol","C6 H6 O3",11341795.8877051,"Phloroglucinol"
"C18-Pos-100043",NA,"C3 H2 N2 O6",11329167.453529,"C18-Pos-100043"
"Amide-Pos-100104",NA,"C6 H3 Cl N4 O P2",11296227.7956264,"Amide-Pos-100104"
"C8-Pos-000144","PC 19:1_19:1","C46 H88 N O8 P",11277740.9971239,"PC 19:1_19:1"
"Amide-Pos-000151","L-Threonine","C4 H9 N O3",11276918.5065809,"L-Threonine"
"C8-Pos-100186",NA,"C38 H76 N9 O8 P3",11254946.5918526,"C8-Pos-100186"
"C8-Pos-100164",NA,"C40 H59 N5 O4",11231780.6913121,"C8-Pos-100164"
"C8-Pos-100165",NA,"C40 H56 N4 O4",11231780.6913121,"C8-Pos-100165"
"C18-Pos-100105",NA,"C3 H6 N3 O3 P S",11218056.9099531,"C18-Pos-100105"
"Amide-Pos-100099",NA,"C22 H19 N8 O17 P3",11213520.4916346,"Amide-Pos-100099"
"C18-Pos-000066","N-Acetylneuraminic acid","C11 H19 N O9",11156999.6610567,"N-Acetylneuraminic acid"
"Amide-Pos-000125","L-Histidine","C6 H9 N3 O2",11053750.6327227,"L-Histidine"
"C18-Pos-000105","L-(-)-Methionine","C5 H11 N O2 S",11021358.0191474,"L-(-)-Methionine"
"C8-Pos-100095",NA,"C11 H10 N6 O9 P2",10983027.5126418,"C8-Pos-100095"
"Amide-Pos-100105",NA,"C8 H14 N5 O6 P S",10978380.8794643,"Amide-Pos-100105"
"Amide-Pos-100079",NA,"C8 H5 Br2 O2 P",10963714.4198734,"Amide-Pos-100079"
"C18-Neg-100038",NA,"C11 H14 N2 O7",10911547.3117683,"C18-Neg-100038"
"Amide-Neg-100117",NA,"C4 H12 N O4 P",10889311.3602776,"Amide-Neg-100117"
"Amide-Pos-100066",NA,"C4 H2 Cl O7 P S3",10888353.0744322,"Amide-Pos-100066"
"Amide-Pos-100063",NA,"C13 H29 N7 O S",10864297.4633552,"Amide-Pos-100063"
"C18-Pos-100112",NA,"C13 H25 N O2",10828746.0581979,"C18-Pos-100112"
"C8-Pos-000175","1-Linoleoyl glycerol","C21 H38 O4",10828180.5627361,"1-Linoleoyl glycerol"
"C18-Neg-000014","Pantothenic acid","C9 H17 N O5",10821091.065776,"Pantothenic acid"
"C18-Pos-100050",NA,"C5 H8 Cl N3 O4 S",10749730.7871235,"C18-Pos-100050"
"C8-Pos-000140","1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","C48 H84 N O8 P",10740051.4352136,"1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000101","Uracil","C4 H4 N2 O2",10737136.5491001,"Uracil"
"C8-Pos-000174","1-Monolinolenin","C21 H36 O4",10718069.5332299,"1-Monolinolenin"
"C18-Pos-100122",NA,"C H3 N O5",10710897.4362155,"C18-Pos-100122"
"C8-Pos-000139","LPE 22:5","C27 H46 N O7 P",10679231.4029912,"LPE 22:5"
"C8-Pos-100172",NA,"C15 H40 N8 O P2",10663234.0634603,"C8-Pos-100172"
"C18-Pos-100117",NA,"C8 H20 N2",10634261.8360758,"C18-Pos-100117"
"C8-Neg-100060",NA,"C5 H8 N2 O8",10632238.5984325,"C8-Neg-100060"
"Amide-Neg-100101",NA,"C6 H9 Cl O7",10595746.3177663,"Amide-Neg-100101"
"Amide-Pos-000158","Hypotaurine","C2 H7 N O2 S",10541594.4996039,"Hypotaurine"
"C18-Pos-100072",NA,"C2 H2 Cl N3 O2 P2 S3",10511331.8916936,"C18-Pos-100072"
"Amide-Pos-000126","2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine","C42 H82 N O8 P",10458761.6301852,"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine"
"C18-Neg-000042","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",10406057.783289,"Uridine monophosphate (UMP)"
"C8-Neg-000021","Phosphatidylethanolamine 18:0-20:4","C43 H78 N O8 P",10404032.0127,"Phosphatidylethanolamine 18:0-20:4"
"C18-Neg-000030","INO","C10 H12 N4 O5",10392154.3223807,"INO"
"Amide-Pos-100029",NA,"C4 H8 N2 O5",10384674.0220293,"Amide-Pos-100029"
"C18-Pos-000132","(1-Methyl-4-piperidinyl)methylamine","C7 H16 N2",10363424.1599994,"(1-Methyl-4-piperidinyl)methylamine"
"C18-Pos-000117","N-[(3S)-2,5-Dioxooxolan-3-yl]acetamide","C6 H7 N O4",10331829.8322717,"N-[(3S)-2,5-Dioxooxolan-3-yl]acetamide"
"C8-Pos-100175",NA,"C21 H42 O5",10331093.8522849,"C8-Pos-100175"
"C8-Pos-100130",NA,"C18 H41 N7 S",10296690.3311087,"C8-Pos-100130"
"C8-Pos-100021",NA,"C38 H67 N5 O8",10274508.8017876,"C8-Pos-100021"
"Amide-Pos-000160","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",10236415.3485804,"Adenosine triphosphate (ATP)"
"C8-Pos-000107","Dipropyleneglycol dibenzoate","C20 H22 O5",10235411.190239,"Dipropyleneglycol dibenzoate"
"Amide-Neg-100091",NA,"C4 H8 O4",10204932.651095,"Amide-Neg-100091"
"Amide-Neg-100092",NA,"C3 H6 O2",10204932.651095,"Amide-Neg-100092"
"C18-Neg-100045",NA,"C2 H2 N2 O8",10174162.686566,"C18-Neg-100045"
"Amide-Neg-000115","CITRAMALATE","C5 H8 O5",10172590.735372,"CITRAMALATE"
"C18-Neg-100035",NA,"C7 H14 O8",10137445.8277973,"C18-Neg-100035"
"C8-Pos-100108",NA,"C37 H80 N8 O5 S3",10124489.0667194,"C8-Pos-100108"
"Amide-Neg-100075",NA,"C9 H21 N O5",10114255.4538476,"Amide-Neg-100075"
"C8-Pos-000147","PC O-34:2","C42 H82 N O7 P",10084716.2848206,"PC O-34:2"
"Amide-Pos-100033",NA,"C4 H11 N O",10080509.5089207,"Amide-Pos-100033"
"C18-Neg-100036",NA,"C7 H12 O7",10067500.6130347,"C18-Neg-100036"
"C18-Pos-000142","N-N'-Diacylethylenediamine","C34 H68 N2 O2",10065430.5614016,"N-N'-Diacylethylenediamine"
"Amide-Pos-000123","2-Methoxypyrazine","C5 H6 N2 O",10063193.2492927,"2-Methoxypyrazine"
"C8-Pos-100119",NA,"C22 H41 N O",10052746.6243929,"C8-Pos-100119"
"C8-Pos-100120",NA,"C22 H38 O",10052746.6243929,"C8-Pos-100120"
"Amide-Neg-000104","Ethyl hydrogen malonate","C5 H8 O4",10042320.6690998,"Ethyl hydrogen malonate"
"C8-Pos-100173",NA,"C25 H46 N3 P",10040937.2303406,"C8-Pos-100173"
"C18-Neg-000033","D-(+)-Glucose","C6 H12 O6",10017833.0824447,"D-(+)-Glucose"
"C18-Pos-100101",NA,"C36 H75 N3 O2",10004469.2837985,"C18-Pos-100101"
"Amide-Pos-100081",NA,"C5 H11 N O2",9984823.89177628,"Amide-Pos-100081"
"Amide-Pos-100096",NA,"C8 H9 N3",9966097.49651718,"Amide-Pos-100096"
"Amide-Pos-000156","Adenosine triphosphate (ATP)","C10 H16 N5 O13 P3",9960371.73277299,"Adenosine triphosphate (ATP)"
"C8-Pos-100132",NA,"C9 H10 N2 O P2",9953804.08037854,"C8-Pos-100132"
"C18-Pos-100126",NA,"C13 H7 O2 P",9948413.86839906,"C18-Pos-100126"
"Amide-Pos-100049",NA,"C6 H5 Br N P S",9937890.62485641,"Amide-Pos-100049"
"C18-Pos-100078",NA,"C5 H14 O P2 S",9919231.66471222,"C18-Pos-100078"
"C18-Pos-100125",NA,"C2 H N O8",9907790.47088397,"C18-Pos-100125"
"C18-Pos-100131",NA,"C18 H48 N9 O P",9900836.50925139,"C18-Pos-100131"
"Amide-Pos-100117",NA,"C8 H12 Cl N5 O8",9879417.83701972,"Amide-Pos-100117"
"C18-Pos-000076","1-Palmitoyl-sn-glycero-3-phosphocholine","C24 H50 N O7 P",9861197.36730324,"1-Palmitoyl-sn-glycero-3-phosphocholine"
"C18-Pos-100091",NA,"C14 H24 O2",9819760.51944295,"C18-Pos-100091"
"C8-Neg-000015","2'-Deoxyguanosine 5'-monophosphate (dGMP)","C10 H14 N5 O7 P",9815125.86989624,"2'-Deoxyguanosine 5'-monophosphate (dGMP)"
"Amide-Neg-100102",NA,"C2 H4 O4 S",9770167.85865039,"Amide-Neg-100102"
"C18-Pos-100059",NA,"C17 H3 N3 O6",9747050.97675965,"C18-Pos-100059"
"C18-Neg-100026",NA,"C7 H12 N2 O2 P2",9735319.83576036,"C18-Neg-100026"
"C8-Pos-100106",NA,"C5 H11 N4 O10 P S",9730110.05160061,"C8-Pos-100106"
"Amide-Pos-100091",NA,"C14 H16 N9 O3 P3 S2",9721025.98511352,"Amide-Pos-100091"
"C8-Pos-100113",NA,"C41 H83 N2 O5 P3",9714704.48600967,"C8-Pos-100113"
"Amide-Neg-100130",NA,"C7 H18 N O6 P",9634974.39874563,"Amide-Neg-100130"
"C8-Pos-000181","PE 18:1_18:1","C41 H78 N O8 P",9611354.77294856,"PE 18:1_18:1"
"Amide-Pos-100103",NA,"C8 H13 N4 O5 P S",9591555.51636365,"Amide-Pos-100103"
"C8-Pos-100101",NA,"C4 H6 Cl N2 O4 P S",9573819.10978093,"C8-Pos-100101"
"Amide-Neg-000109","DL-Malic acid","C4 H6 O5",9568400.25451291,"DL-Malic acid"
"Amide-Pos-100126",NA,"C8 H20 Cl N O7 P2",9536082.23350121,"Amide-Pos-100126"
"C8-Neg-100045",NA,"C8 H19 Cl N8 O13 P2 S",9531474.39068828,"C8-Neg-100045"
"Amide-Neg-000123","5-Aminovaleric acid","C5 H11 N O2",9528693.59457595,"5-Aminovaleric acid"
"C18-Pos-000111","L-2-Aminoadipic acid","C6 H11 N O4",9514938.61101011,"L-2-Aminoadipic acid"
"C8-Neg-000020","Phosphatidylethanolamine lyso 20:4","C25 H44 N O7 P",9489810.31407877,"Phosphatidylethanolamine lyso 20:4"
"C8-Pos-100169",NA,"C21 H40 O3",9477020.33182791,"C8-Pos-100169"
"C8-Neg-000013","cis-7-Hexadecenoic acid","C16 H30 O2",9436453.63985024,"cis-7-Hexadecenoic acid"
"Amide-Neg-100109",NA,"C7 H15 Cl O2 P2",9413855.15959426,"Amide-Neg-100109"
"C8-Pos-100187",NA,"C37 H79 N7 O4 S",9400269.06536931,"C8-Pos-100187"
"C8-Pos-000173","PE 16:0_24:5","C45 H80 N O8 P",9388619.67803282,"PE 16:0_24:5"
"Amide-Pos-100112",NA,"C5 H5 N3 O7",9388336.43668048,"Amide-Pos-100112"
"C8-Pos-000119","Chloroprocaine","C13 H19 Cl N2 O2",9331061.17083222,"Chloroprocaine"
"C18-Pos-000128","Acetyl-L-carnitine","C9 H17 N O4",9307906.00858297,"Acetyl-L-carnitine"
"C18-Neg-100025",NA,"C7 H10 N2 O4 P2",9298331.30604975,"C18-Neg-100025"
"C18-Neg-100020",NA,"C7 H17 N O5",9285099.61440856,"C18-Neg-100020"
"Amide-Pos-100075",NA,"C4 H8 N4 O2 S",9274704.11584498,"Amide-Pos-100075"
"C8-Pos-000152","SM 8:1;2O/28:1","C41 H81 N2 O6 P",9249461.31721671,"SM 8:1;2O/28:1"
"C8-Neg-000026","Phosphatidylethanolamine 18:1-20:4","C43 H76 N O8 P",9237682.70422596,"Phosphatidylethanolamine 18:1-20:4"
"Amide-Pos-100111",NA,"C6 H3 Cl N4 O P2",9229693.43868056,"Amide-Pos-100111"
"Amide-Pos-000214","L-Aspartic acid","C4 H7 N O4",9214581.79498377,"L-Aspartic acid"
"Amide-Pos-000076","Triethanolamine","C6 H15 N O3",9200081.06542989,"Triethanolamine"
"C18-Pos-000092","Methamphetamine","C10 H15 N",9162459.00049792,"Methamphetamine"
"C8-Neg-100050",NA,"C9 H21 Cl3 N4 O8",9152668.38024325,"C8-Neg-100050"
"Amide-Pos-000219","D-(+)-Proline","C5 H9 N O2",9145422.22590187,"D-(+)-Proline"
"Amide-Neg-000119","2'-Deoxyguanosine 5'-monophosphate (dGMP)","C10 H14 N5 O7 P",9093925.49620837,"2'-Deoxyguanosine 5'-monophosphate (dGMP)"
"C8-Pos-100145",NA,"C42 H64 N4",9084269.49971164,"C8-Pos-100145"
"C8-Pos-000141","LPE O-16:1","C21 H44 N O6 P",9070328.86320144,"LPE O-16:1"
"C18-Pos-100103",NA,"C2 H3 N3 O2 P2",9060947.12531103,"C18-Pos-100103"
"C18-Pos-100097",NA,"C6 H8 N8 O5 S2",9053381.29884418,"C18-Pos-100097"
"Amide-Neg-100132",NA,"C4 H5 N O2",9050404.53074389,"Amide-Neg-100132"
"Amide-Pos-100106",NA,"C5 H11 N O",9032558.43041288,"Amide-Pos-100106"
"Amide-Pos-000127","Morpholine","C4 H9 N O",9002316.05624785,"Morpholine"
"Amide-Pos-100109",NA,"C11 H14 Cl O14 P3 S4",8996395.8983768,"Amide-Pos-100109"
"C18-Pos-100158",NA,"C39 H83 Cl2 N5 O5 P2 S4",8951382.49586952,"C18-Pos-100158"
"C18-Neg-100027",NA,"C11 H15 N O10",8937753.57803458,"C18-Neg-100027"
"C8-Neg-100037",NA,"C9 H18 N4 O11 P2 S2",8922226.70395056,"C8-Neg-100037"
"C8-Pos-100179",NA,"C27 H53 N5 O4",8907302.17314664,"C8-Pos-100179"
"Amide-Neg-100090",NA,"C7 H13 N O2 S",8906712.75154322,"Amide-Neg-100090"
"Amide-Neg-100114",NA,"C7 H11 N S2",8893680.90066063,"Amide-Neg-100114"
"C8-Neg-100035",NA,"C8 H19 Cl N8 O13 P2 S",8885770.78174606,"C8-Neg-100035"
"C18-Neg-000054","Glutaric anhydride","C5 H6 O3",8884544.03345595,"Glutaric anhydride"
"C18-Neg-100054",NA,"C4 H8 Cl O2 P3 S4",8881506.63257028,"C18-Neg-100054"
"C18-Neg-000049","1,6-Anhydro-β-D-glucose","C6 H10 O5",8864554.11650073,"1,6-Anhydro-β-D-glucose"
"C8-Neg-100065",NA,"C8 H18 Cl N6 O P3 S",8864269.22349123,"C8-Neg-100065"
"Amide-Pos-000173","Nicotinamide","C6 H6 N2 O",8855367.47941677,"Nicotinamide"
"Amide-Neg-000114","meso-Butane-1,2,3,4-tetracarboxylic acid","C8 H10 O8",8819219.03303503,"meso-Butane-1,2,3,4-tetracarboxylic acid"
"Amide-Pos-100065",NA,"C12 H26 N3 O10 P",8768312.96692363,"Amide-Pos-100065"
"C18-Pos-000120","D-Carnitine","C7 H15 N O3",8761466.89748752,"D-Carnitine"
"Amide-Neg-100066",NA,"C11 H14 Cl N5 O3",8758201.75724022,"Amide-Neg-100066"
"C18-Pos-100045",NA,"C11 H3 N9",8755689.36958733,"C18-Pos-100045"
"C18-Pos-000123","Spectral Match to .beta.-Nicotinamide adenine dinucleotide from NIST14","C21 H27 N7 O14 P2",8746588.83904353,"Spectral Match to .beta.-Nicotinamide adenine dinucleotide from NIST14"
"C8-Pos-000148","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","C40 H78 N O8 P",8737611.9708731,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Pos-000152","Hexadecanamide","C16 H33 N O",8712615.90955297,"Hexadecanamide"
"C18-Pos-100146",NA,"C5 H7 N2 O5 P",8677363.21967985,"C18-Pos-100146"
"C18-Pos-100141",NA,"C5 H Cl N2 O S",8668209.39147267,"C18-Pos-100141"
"Amide-Neg-000124","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",8658616.35458807,"N-Acetyl-1-aspartylglutamic acid"
"C8-Pos-000166","PC(16:1_17:1)","C41 H78 N O8 P",8645543.31200459,"PC(16:1_17:1)"
"C8-Pos-000199","2,4-Bis(1,1-dimethylethyl)phenol phosphate","C28 H43 O4 P",8579052.19100027,"2,4-Bis(1,1-dimethylethyl)phenol phosphate"
"C18-Pos-000110","OPHTHALMATE","C11 H19 N3 O6",8561757.5627826,"OPHTHALMATE"
"Amide-Pos-100108",NA,"C10 H25 N6 O9 P S3",8557996.82094241,"Amide-Pos-100108"
"C8-Pos-100073",NA,"C22 H42 O5",8540000.96312303,"C8-Pos-100073"
"Amide-Pos-100067",NA,"C8 H9 N3",8522675.4044918,"Amide-Pos-100067"
"C8-Neg-000018","Docosatrienoic acid","C22 H38 O2",8521188.75940716,"Docosatrienoic acid"
"C18-Pos-000127","Acetyl-L-carnitine","C9 H17 N O4",8510363.21897273,"Acetyl-L-carnitine"
"C8-Pos-000143","PC 16:2_16:2","C40 H72 N O8 P",8497399.32047836,"PC 16:2_16:2"
"C8-Pos-100166",NA,"C48 H77 N4 O9 P",8494449.35657078,"C8-Pos-100166"
"C18-Pos-000134","(R)-Butyrylcarnitine","C11 H21 N O4",8488734.14056569,"(R)-Butyrylcarnitine"
"C8-Pos-000161","1-Palmitoyl-2-oleoyl-phosphatidylglycerol","C40 H77 O10 P",8485198.13248235,"1-Palmitoyl-2-oleoyl-phosphatidylglycerol"
"C18-Neg-100051",NA,"C8 H17 N7 O P2 S",8470082.2964376,"C18-Neg-100051"
"Amide-Pos-100124",NA,"C5 H5 N2 O P3",8428899.56353592,"Amide-Pos-100124"
"C18-Pos-000126","Butylisopropylamine","C7 H17 N",8411527.49540512,"Butylisopropylamine"
"Amide-Neg-100098",NA,"C6 H4 Cl N6 O8 P",8407736.95944949,"Amide-Neg-100098"
"Amide-Pos-100133",NA,"C5 H3 N2 O5 P S2",8394636.91953202,"Amide-Pos-100133"
"C8-Pos-000169","1-Palmitoyl-3-oleoyl-sn-glycero-2-phosphoethanolamine","C39 H76 N O8 P",8393093.60559209,"1-Palmitoyl-3-oleoyl-sn-glycero-2-phosphoethanolamine"
"Amide-Neg-100116",NA,"C6 H6 O7",8371114.71687526,"Amide-Neg-100116"
"Amide-Neg-100127",NA,"C4 H9 N O9",8338682.37874704,"Amide-Neg-100127"
"Amide-Pos-000192","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",8335168.53097193,"N3,N4-Dimethyl-L-arginine"
"C18-Neg-000050","Levulinic acid","C5 H8 O3",8326624.42292719,"Levulinic acid"
"C18-Pos-100142",NA,"C36 H75 N3 O2",8326450.68685384,"C18-Pos-100142"
"C18-Neg-000041","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",8310805.23429733,"Guanosine monophosphate (GMP)"
"Amide-Neg-100121",NA,"C6 H9 Cl O7",8309154.59730466,"Amide-Neg-100121"
"C8-Pos-000187","1-Hexadecyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine","C44 H82 N O7 P",8299658.76779953,"1-Hexadecyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine"
"Amide-Neg-100113",NA,"C7 H11 N S2",8283261.38057774,"Amide-Neg-100113"
"Amide-Neg-000135","Creatine","C4 H9 N3 O2",8252712.62826027,"Creatine"
"C8-Pos-000164","CP 47,497-C9-homolog","C23 H38 O2",8251600.44419833,"CP 47,497-C9-homolog"
"C18-Pos-100076",NA,"C6 H15 N",8225861.75920646,"C18-Pos-100076"
"Amide-Neg-100122",NA,"C6 H9 N O10",8210437.11183408,"Amide-Neg-100122"
"C8-Pos-100135",NA,"C22 H41 N O2",8191311.07129976,"C8-Pos-100135"
"C8-Pos-100151",NA,"C15 H14 N6 O4 S5",8172263.63056816,"C8-Pos-100151"
"C8-Pos-100184",NA,"C23 H40 N4 O2",8163087.67541175,"C8-Pos-100184"
"C8-Neg-100040",NA,"C22 H39 Cl N4",8160636.78632751,"C8-Neg-100040"
"C18-Pos-100093",NA,"C8 H9 N2 O15 P3 S",8156472.74173147,"C18-Pos-100093"
"Amide-Pos-100131",NA,"C13 H23 N2 O14 P",8134813.60139753,"Amide-Pos-100131"
"Amide-Pos-000210","DL-Pyroglutamic acid","C5 H7 N O3",8124944.62140904,"DL-Pyroglutamic acid"
"Amide-Pos-100138",NA,"C5 H7 N O4",8102067.64131579,"Amide-Pos-100138"
"C18-Pos-100127",NA,"C4 H3 Cl O5 S4",8098388.29466826,"C18-Pos-100127"
"C8-Pos-000087","Cocamidopropyl betaine","C19 H38 N2 O3",8087391.72342168,"Cocamidopropyl betaine"
"C8-Pos-000113","Pantothenic acid","C9 H17 N O5",8086428.2229994,"Pantothenic acid"
