"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"C8-Pos-102048",NA,"C5 H6 N4 O11 P2","22-24",39084.706593327,"C8-Pos-102048"
"C8-Neg-101893",NA,"C6 H15 Br N6 P2","22-24",39071.002257146,"C8-Neg-101893"
"C8-Pos-102175",NA,"C13 H12 Cl N3","22-24",39021.0554926476,"C8-Pos-102175"
"C8-Neg-101960",NA,"C6 H15 Cl N10 O8 P2 S","22-24",39018.8659575468,"C8-Neg-101960"
"Amide-Pos-100690",NA,"C2 H5 Cl N O P S2","22-24",39012.8100522963,"Amide-Pos-100690"
"Amide-Pos-100836",NA,"C36 H5 N O3 S2","22-24",38944.0693956573,"Amide-Pos-100836"
"Amide-Neg-101008",NA,"C7 H10 O5","22-24",38863.685300928,"Amide-Neg-101008"
"C18-Pos-101307",NA,"C8 H23 N4 P","22-24",38763.9710919434,"C18-Pos-101307"
"C8-Pos-102271",NA,"C7 H10 N10 O9","22-24",38739.5132218298,"C8-Pos-102271"
"C18-Pos-101235",NA,"C16 H7 N4 O8 P3 S2","22-24",38737.9217760219,"C18-Pos-101235"
"C8-Pos-101908",NA,"C31 H46 N6 O3 S","22-24",38705.6842876363,"C8-Pos-101908"
"C8-Neg-101925",NA,"C16 H35 Cl N4 O3","22-24",38563.753279518,"C8-Neg-101925"
"Amide-Neg-101014",NA,"C6 H8 Cl N O6","22-24",38547.5176430754,"Amide-Neg-101014"
"C8-Neg-101797",NA,"C21 H25 N2 O3 P","22-24",38537.8630484373,"C8-Neg-101797"
"Amide-Neg-100983",NA,"C8 H N6 P","22-24",38533.2028672163,"Amide-Neg-100983"
"C8-Neg-101293",NA,"C9 H8 N2 P2","22-24",38511.4384180398,"C8-Neg-101293"
"C8-Neg-101259",NA,"C4 H6 Br N2 O P3 S","22-24",38506.521335447,"C8-Neg-101259"
"C18-Pos-101323",NA,"C16 H28 O","22-24",38469.1546082553,"C18-Pos-101323"
"C18-Pos-101200",NA,"C51 H105 N5 O18 P2 S","22-24",38426.8824391756,"C18-Pos-101200"
"C8-Pos-102307",NA,"C35 H75 N7 O P2","22-24",38388.0387050055,"C8-Pos-102307"
"C8-Neg-101371",NA,"C6 H16 Cl N10 O8 P","22-24",38286.5323024243,"C8-Neg-101371"
"C18-Pos-101256",NA,"C62 H102 N9 O18 P S2","22-24",38213.525491908,"C18-Pos-101256"
"C8-Neg-101969",NA,"C37 H78 N7 O5 P3","22-24",38121.4987032401,"C8-Neg-101969"
"C8-Pos-101743",NA,"C24 H40 N2 O6","22-24",38116.8127002382,"C8-Pos-101743"
"C8-Neg-101914",NA,"C3 H10 N4 O3 P2 S","22-24",38044.5805969199,"C8-Neg-101914"
"C8-Neg-101887",NA,"C13 H35 Br2 N8 O4 P S","22-24",37919.8766072683,"C8-Neg-101887"
"Amide-Neg-100987",NA,"C4 H11 O6 P","22-24",37860.3465358021,"Amide-Neg-100987"
"C18-Pos-101243",NA,"C75 H131 N2 O18 P3 S","22-24",37850.8798337476,"C18-Pos-101243"
"C18-Pos-101205",NA,"C70 H111 N10 O16 P","22-24",37801.7158379851,"C18-Pos-101205"
"C8-Neg-101839",NA,"C7 H21 Cl N6 O16 P2","22-24",37791.3358060091,"C8-Neg-101839"
"C8-Pos-102098",NA,"C10 H30 N9 O2 P S2","22-24",37749.2165023735,"C8-Pos-102098"
"C18-Pos-101270",NA,"C4 H6 N2 O6 P2","22-24",37697.5789090115,"C18-Pos-101270"
"C8-Neg-101879",NA,"C3 H4 N8 O P2","22-24",37600.7683150074,"C8-Neg-101879"
"C18-Pos-101334",NA,"C14 H36 N10","22-24",37572.7926945512,"C18-Pos-101334"
"C8-Pos-102275",NA,"C15 H36 N2 O2 P2 S2","22-24",37568.2922468978,"C8-Pos-102275"
"C8-Neg-101944",NA,"C37 H76 N7 O5 P3","22-24",37567.6136954745,"C8-Neg-101944"
"C18-Pos-101265",NA,"C38 H83 N9 O2 P2 S","22-24",37562.740567644,"C18-Pos-101265"
"C8-Pos-102281",NA,"C41 H85 N4 O11 P3","22-24",37558.3884503302,"C8-Pos-102281"
