"","Name","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18"
"1","Label","F","F","M","F","M","F","M","M","F"
"2","(+/-)8-HEPE",NA,"588888.801647607","519159.419567314","653326.954796698","391198.088384131",NA,"404229.373713377",NA,"1198661.46328551"
"3","(-)-Corey lactone","971223.245453641","504154.322815955","491544.216281905","384986.647501875","416436.847388411","466935.545386281","528527.156293636","460176.755620603","429127.447819113"
"4","(2-aminoethoxy)[2,3-bis(octadecanoyloxy)propoxy]phosphinic acid","1419487.47904821","1498201.03190283","1268603.74854007","1042790.98057766","1219474.10321979","2035607.14817389","1397979.45041245","1289400.13854274","1711370.79896528"
"5","(2R)-2,3-Dihydroxypropanoic acid","722301.997610909","677441.517326747","1045239.06988713","954014.865059467","1649927.09657046","1509404.85106544","1728136.25811666","842017.147095689","615979.642491552"
"6","(2R)-3-Hydroxyisovaleroylcarnitine","485588.500786273","775475.403953359","1416975.59068714","1025025.18419514","286216.430308636","602384.413902336","820183.047372681",NA,"960043.404361862"
"7","(3-Oxo-2-piperazinyl)acetic acid","451541.203996406","1976638.27901007","4235207.60507565","754510.47705426","4572528.0515756","1563373.23081074","2727944.972374","718923.55392964","473661.642648377"
"8","(3aR,8R,8aR,9aR)-8-Hydroxy-8a-methyl-3,5-bis(methylene)decahydronaphtho[2,3-b]furan-2(3H)-one","249189.435492928","247822.100103193","284476.921264378","241164.412974629","234571.242928496","264599.874598623","264269.652008922","202651.561685523","214402.367058653"
"9","(5Z)-3-Hydroxy-5-dodecenoic acid","251968.917795201","192397.116160367","136105.228593969","579356.607556755","186171.89869147","194763.482683478","214267.956303338","191273.516360313","167378.607217751"
"10","(E)-5-(But-1-en-1-yl)-6-(hydroxymethyl)-4-methoxy-2H-pyran-2-one","188877.079839786","241213.633896967","253796.384517511","225215.109176193","183803.165348591","227588.153399621","239449.677567916","238398.502796087","369137.462768393"
"11","(R)-Butyrylcarnitine","7979220.81258952","8608499.14562454","7023798.95637304","10097396.0474873","5489856.41423941","4468403.20352584","7850827.90088372","9093138.18406634","11901678.8842564"
"12","(R)-Ketamine","45294.4298587242","63822.2341350496","66899.6685213955","9972840.18212855","97372.2205571062","58600.9727130331","88122.0667713344","58255.9779461976","84511.652182492"
"13","(R)-Pantetheine","12422.1050506933","29901.8480563846",NA,"102419.644263652","121878.122447588","73404.1497134991","53290.3522248959","54803.826501182","308887.388861354"
