Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
L-N-Acetylhistidine,32549279.6139612,35922895.5472377,26441915.4743521,20786551.1294526,24907773.7328966,21947746.4404458,23385711.6137723,8711815.2369006,35280698.0260146,26395517.1746205,29060879.1306113,12249465.8135105,15064357.994741,23714179.5570498,18833302.005212,28582869.1115846,28495140.3509395,376556.400723125,35433049.124919,15857418.7900033,26460400.8731946,32736967.7594015,29914758.781895,18796706.3054289
L-Phenylalanine,16567999.9275604,20389054.1107332,14448080.186387,NA,17229694.8098705,20589562.9429416,19436083.6226765,8796685.82152468,28638051.4611794,16441135.9328218,18007706.5462605,7207654.51739087,9655753.89803649,10992162.5351209,20301749.7987085,8785071.06269651,16589826.6858904,13081308.9959445,NA,16374840.9688538,20880533.6838792,18141227.3663302,22510013.7710969,10356246.5908432
L-Serine,2594083.05674777,6573714.15053267,2272172.3070914,3272867.7416673,6373132.60214699,6076238.16718056,10915443.1860046,5907809.75335446,6518649.02309933,4444198.21581437,1785958.8639499,2937602.28748673,3958456.97126782,9137533.68339203,4657311.82213529,2779285.16549395,9698751.95560702,5927814.88221953,11711017.9244851,7992317.74802351,7904900.44298885,4395764.82845374,8037257.26199372,6128999.08484868
L-Threonic acid,7402825.43151657,11985596.144296,NA,NA,NA,8383754.41930899,12201344.5940808,27487787.2224886,9493465.58550811,18365793.1798609,NA,20008950.70183,13421383.2700237,NA,9291123.82889811,NA,15308155.0855182,11392716.6054679,12786801.3852789,NA,NA,8208006.31449628,12480166.1535886,12364071.0726421
"L-Threonic acid-1,4-lactone",52828915.6850576,NA,47921726.8177415,43588458.1366041,NA,50687679.391227,98476859.8341186,58183233.9284389,67999146.5730378,64620582.934491,NA,30351571.6372048,52659851.0202121,109917914.253753,39451212.9353707,31857588.0940219,68491193.2860612,83586120.0793095,51058495.8067131,92467876.2062165,NA,NA,NA,78767256.7492325
L-Threonine,10995442.6218645,9672625.505047,9877307.67099117,16490512.6723837,8450315.21217218,10331939.2516981,7152116.79091778,9742706.57837554,22300448.7441444,14661206.344499,16623875.3157539,6540560.69471869,8034751.97659349,18954309.7221355,8542213.62074947,13148347.5635878,10415918.9276255,11245679.663712,7248165.78400731,12727947.8664179,10716265.2636778,7631171.89629876,11103957.9209121,8038256.54965696
L-Tyrosine,945051.247924018,1868636.41032479,875404.017290077,1894273.75428634,2490156.00618934,2043992.66863288,2561168.61970049,2622168.74028845,3091380.14437105,2129308.18790534,1042331.5547842,1266828.88335208,1923283.48246034,2767944.26161547,1780352.69916942,1047423.40508798,2452853.94272886,1755242.6673421,3384755.05647244,2740972.28963606,2594465.53423916,1444005.96397644,1901561.61989177,1980830.51475783
L-Tyrosine methyl ester,272773.053022911,NA,210391.064428166,NA,158410.679093237,286145.5578479,133172.789463482,NA,177073.012129903,NA,NA,NA,81063.4306743939,NA,338538.933940184,42947.2589308866,NA,261096.227979763,NA,246832.007047279,266172.766952065,242816.086206951,105984.68056719,247808.801303824
L-γ-Glutamyl-L-glutamic acid,29259.7973320145,41428.3074359935,31477.0567336583,37771.3331446473,65820.8829843407,90689.7878131306,78661.6646271897,109120.430441892,74699.6741905188,63799.6082450979,20896.5599943393,61603.7496197984,57766.4152811717,99150.9631455619,70768.4089060513,28753.4899736014,96407.4533117787,136315.394434044,126572.676944719,96423.8740465796,139470.138464822,32724.7000439209,121789.50641334,71636.9807582522
LPC 14:0-SN2,NA,NA,NA,31050494.2119807,NA,NA,NA,9512806.29275368,25344922.8968824,18227334.1561211,NA,NA,14884178.5315468,NA,12237526.4743918,18701602.684264,16806571.7418429,NA,NA,13038009.8452496,11926016.9782549,15798706.5482942,14978479.3556589,NA
LPC 16:2-SN1,2691849.49895587,3338452.76387405,2894345.26890344,2907236.78383334,4357298.48363615,1319879.9511948,2065648.19693854,1865952.89594041,3592746.08744766,NA,2229733.07057883,3072807.10995833,2317508.01790305,1403655.62082048,NA,1789876.32645175,2103058.04753895,1705908.33214421,1493436.51532286,1235996.812514,1720381.08941881,1910104.19139608,2257281.71271726,1747125.37502937
LPC 20:1-SN1,2135886.99909118,2058923.53723625,2062545.0921204,3726075.92929735,2531122.7336696,1304237.12626574,1909650.43216713,1416562.6177648,3661953.08394931,1948938.07150343,2763413.75881186,2285188.24221528,1987205.70932419,1495177.7405256,1852836.43850488,2030198.64561773,2682283.10342968,2144129.33743883,2503854.35405331,2278127.94463819,2214372.36999526,2059447.72856089,2065023.77651216,2810053.68427779
LPC 20:2-SN1,1719431.89175165,2064069.05168507,1487583.07344321,2683161.46903022,3457049.49891683,NA,2136924.52873854,NA,3389828.27249242,1931813.51666968,3096211.14686488,86902.1256488772,NA,240421.172730325,1510140.74234826,1435209.88583131,1235090.24512469,1192944.07730098,1663653.67271096,1332056.3481617,2184338.77466942,NA,NA,NA
LPC 20:3-SN1,1675724.2994558,2387727.29065521,1286098.56429774,1673163.02396839,2466013.02763215,940684.166378914,1430439.9188173,726387.300984575,3003382.27089617,1466222.18270264,1322939.61395719,1481188.3252415,1423192.43063404,530254.871634905,1375164.61819,1395573.69622063,1104624.36560449,1299169.3564933,1600444.15381289,1166747.44636053,1310779.2932739,879475.513738324,1031052.32374812,1943209.80583496
LPC 20:4-SN2,12516636.5266201,18728555.3139746,19460755.3976288,15119273.1639109,22431274.8277247,8380508.8452231,12498265.4262193,10835549.8858588,21053575.736762,10587815.9863485,13549895.4751492,12969540.3316625,14983007.7087371,7236117.62522132,11333367.3851133,13128405.2478873,11805168.6929299,10919588.0643021,9937150.13687208,10232700.83202,10989784.6451179,10904854.3087978,12991358.8651126,12502746.1879146
LPC 22:3-SN1,288742.184589843,266788.16216148,264199.725517425,658197.630221362,384501.987920035,NA,215565.358053278,205685.494043482,516841.728115102,301857.495033619,362373.352814463,255770.715208079,288166.940289765,273386.625491706,357745.643243362,274257.477253566,407215.796496087,310976.406651647,343190.303419265,264569.501367962,243698.207909039,253338.690778681,329640.56967851,326000.982345029
LPC 22:4-SN2,353026.868824254,491596.731016126,524076.361815917,695595.807963497,622265.934469479,434586.323144223,483583.248879106,427386.367838152,2101765.8861837,470865.83134204,816343.824135836,517745.355194886,415542.521666232,367066.344315164,399185.232843912,368183.999814148,460252.929168385,440335.896933506,805355.77636046,654423.750941491,622510.552200744,406221.976524188,552272.302986435,372452.39549015
LPC 22:5-SN1,1427754.60541149,2237805.48116423,1927825.46671094,2126549.84333458,2256965.5972073,706178.002832384,1172010.4094103,1111624.24260876,4177449.16455179,1331641.01840346,1649972.62295096,898977.41164395,1834389.51565524,568294.914437048,867088.153476484,1628558.92752251,1274822.88327837,1133954.47047603,1107159.21310433,1318047.7553267,846880.686106281,1144462.85720016,1222489.38189208,1459290.35630208
LPC 22:6-SN2,2370401.40983459,3066885.60581504,2926970.63483319,3321329.86443652,4309877.09282453,1657912.29840776,2032654.86094321,2058712.14108864,6959260.49174278,1755460.94288371,3231254.82503308,3654363.09437063,3421257.66624611,1549614.11544312,2487637.66335068,2450750.27724856,3241980.03182833,80681.1097888883,1957939.32483058,2497576.63036099,2527729.36871376,2314876.84486223,2474698.03668021,2199187.8499403
