"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-101457",NA,"C18 H31 N5 O2",97229.4765333443,48796.4513675254,515282.464652383,471065.808524225,119465.21678443,453675.61153809,78017.5731269603,180262.060282372,204999.846026136,200230.365560333,108340.7096124,128624.209799296,61600.179680512,73743.896600464,92967.5422091341,150083.19456346,44071.9624516342,44504.6306158303,NA,NA,99241.9904610177,49361.4475938641,141017.605598455,417184.136326683
"C8-Pos-101458",NA,"C3 H10 Cl N3 O2 P2 S",117485.94129469,316882.166406104,348246.669921204,246622.861849808,515009.197288253,NA,223245.077194891,NA,103792.561875341,299670.797193757,120302.034706973,149813.746423891,49404.1195571593,157835.066081437,78327.1822501881,149533.137873819,NA,113740.489687455,186715.582796497,215476.250469605,71397.7585349194,154921.342062379,146844.893096964,271396.925217652
"C8-Pos-101459",NA,"C27 H38 O",259369.525012114,484172.480422661,207711.865525823,384781.239891341,500618.82034321,209073.86562545,286035.245880949,237125.08683998,322926.330173512,316664.891022675,238033.374418222,436285.466123662,115487.282915124,513702.396812527,117585.020429548,437433.85417645,191713.304761124,202604.382704122,141396.435950416,NA,457233.72047908,196472.074290015,373905.505365609,220651.399187701
"C8-Pos-101460",NA,"C6 H4 Cl N3 O7 S2",NA,NA,180432.790566686,360058.34633822,NA,513540.494855057,342607.269239315,398274.652294015,NA,NA,NA,NA,NA,115436.98317375,NA,266663.102766472,247030.511692368,NA,122388.080095635,NA,NA,271330.75240555,NA,NA
"C8-Pos-101461",NA,"C29 H46 N2 O3 S",416311.855107387,500875.8176247,482841.30148768,433292.141640134,511791.332986017,481280.821671294,442068.366932337,449908.463506746,465698.380029511,483389.894345788,401861.196372073,467630.738665095,505999.115263241,435947.588068564,511937.829470302,372294.903472702,436683.65450768,488085.05863493,420542.74723713,257184.925065111,496857.168924421,428970.498263294,367086.860394163,387839.927776627
"C8-Pos-101462",NA,"C17 H42 N9 P",378723.943430236,135578.592648208,175502.95312233,500190.261790982,228376.277903428,179543.598909327,180332.279930025,411014.979257354,54377.6968462229,214179.057364038,318261.85907411,122180.200121802,312204.65462706,246629.222748104,253890.814248612,236482.576144856,448714.754237116,283044.743153488,511880.165066666,261097.13190406,161101.976754853,35140.6237622511,281820.135967783,292733.813916438
"C8-Pos-101463",NA,"C6 H6 N9 O2 P3",224973.088995124,397457.201763389,454936.437031618,386319.464730164,511800.779838474,496582.299370649,492991.933415513,391508.223474977,NA,232991.820427361,55841.6694154761,101803.426431142,NA,137611.772289523,NA,NA,202966.092227478,232617.653777646,259749.85945352,189001.860635273,NA,387443.978570173,314964.533350423,349465.445988451
"C8-Pos-101464",NA,"C28 H58 N9 O7 P",NA,NA,NA,NA,NA,NA,NA,NA,205191.229936205,NA,NA,NA,NA,NA,80980.1509143738,510823.832887228,NA,NA,NA,NA,NA,NA,NA,NA
"C8-Pos-101465",NA,"C32 H67 N7 O2",314190.697577918,151078.943797051,92216.1336384465,122742.319492718,303880.311424532,214357.512293959,NA,170988.096857297,NA,220791.957303468,266031.047826682,93515.4780063899,NA,206647.115739184,76999.9757650195,NA,249330.253617809,132260.133499655,245782.671428815,509680.464126125,135603.120916179,91553.7966484139,148551.884135282,182450.29756138
"C8-Pos-101466",NA,"C2 H3 N4 O5 P3 S",105229.324787538,121307.619179621,116380.715139626,105646.679562219,168403.118982512,101572.968215429,19589.3684999732,69797.6324199438,96869.1542286806,124250.319086684,111308.408402754,121718.13767365,128650.925129941,118401.648690989,17161.8044766843,107645.819837208,107238.810930476,509659.101937262,116006.164517619,127237.837644217,12663.3582136191,21334.7213383299,14169.9925319036,118424.263337283
