gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
ADGRV1,OPC,C8-Neg-002641,Lpc(23:5),Glycerophospholipids,Lipids and lipid-like molecules,1.4314160083563945,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,C8-Neg-002641,Lpc(23:5),Glycerophospholipids,Lipids and lipid-like molecules,1.4314160083563945,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
PLCG2,OPC,C8-Neg-003382,Cl(23:1_19:4cho_22:4_22:4cho),Glycerophospholipids,Lipids and lipid-like molecules,1.4686041269287775,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RYR2,OPC,C8-Neg-003529,Ps 22:6_22:6,Glycerophospholipids,Lipids and lipid-like molecules,-2.506441541083814,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,OPC,C8-Neg-003529,Ps 22:6_22:6,Glycerophospholipids,Lipids and lipid-like molecules,-2.506441541083814,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,OPC,C8-Neg-003529,Ps 22:6_22:6,Glycerophospholipids,Lipids and lipid-like molecules,-2.506441541083814,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ZBTB20,OPC,C8-Neg-003628,Pc(30:8_11:3cooh),Glycerophospholipids,Lipids and lipid-like molecules,0.7924929532111564,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PLCG2,OPC,C8-Pos-000342,Palmitic Acid,Fatty Acyls,Lipids and lipid-like molecules,-0.6438360749836872,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
PLCG2,OPC,C8-Pos-001073,Cer(D15:2_7:0),Sphingolipids,Lipids and lipid-like molecules,-1.0735029662058937,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RBFOX1,OPC,C8-Pos-003357,Dg(4:0_34:6),Glycerolipids,Lipids and lipid-like molecules,0.8826593809187785,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,OPC,C8-Pos-003357,Dg(4:0_34:6),Glycerolipids,Lipids and lipid-like molecules,0.8826593809187785,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
ADGRV1,OPC,C8-Pos-003647,Lpe 34:1,Glycerophospholipids,Lipids and lipid-like molecules,1.468970685505896,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,C8-Pos-003647,Lpe 34:1,Glycerophospholipids,Lipids and lipid-like molecules,1.468970685505896,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
ZBTB20,OPC,C8-Pos-004273,Pe(O-16:2_22:3),Glycerophospholipids,Lipids and lipid-like molecules,2.326417690882585,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ADGRV1,OPC,C8-Pos-005434,Pi(18:0_22:6),Glycerophospholipids,Lipids and lipid-like molecules,1.3815387803529169,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,C8-Pos-005434,Pi(18:0_22:6),Glycerophospholipids,Lipids and lipid-like molecules,1.3815387803529169,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
RYR2,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-2.1872076905209,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-2.1872076905209,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-2.1872076905209,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RBFOX1,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-0.6958099443269525,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-0.6958099443269525,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RARB,OPC,C8-Pos-005761,Pc(22:3cho_28:6),Glycerophospholipids,Lipids and lipid-like molecules,-1.8694442869362144,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
