gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
OPCML,EN-Newborn,Amide-Neg-000114,Γ-Aminobutyric Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-1.040925915292107,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
OPCML,EN-Newborn,Amide-Neg-000114,Γ-Aminobutyric Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-1.040925915292107,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FGF12,EN-Newborn,C8-Neg-003577,Ps(22:0_22:4),Glycerophospholipids,Lipids and lipid-like molecules,0.8657015393079578,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
FGF12,EN-Newborn,C8-Neg-003577,Ps(22:0_22:4),Glycerophospholipids,Lipids and lipid-like molecules,0.8657015393079578,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
FGF12,EN-Newborn,C8-Neg-003577,Ps(22:0_22:4),Glycerophospholipids,Lipids and lipid-like molecules,0.8657015393079578,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CNTN4,EN-Newborn,C8-Pos-002542,Lpc 20:3-Sn1,Glycerophospholipids,Lipids and lipid-like molecules,-1.3631858445289755,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CNTN4,EN-Newborn,C8-Pos-002542,Lpc 20:3-Sn1,Glycerophospholipids,Lipids and lipid-like molecules,-1.3631858445289755,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
RASGEF1B,EN-Newborn,C8-Pos-004302,Pc(18:1_16:2),Glycerophospholipids,Lipids and lipid-like molecules,0.985399650644246,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RPL10A,EN-Non-IT-Immature,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Pyrroles,Organoheterocyclic compounds,-0.9628118966907048,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
EEF1A2,EN-Non-IT-Immature,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Pyrroles,Organoheterocyclic compounds,-1.0923182132111076,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
EEF1A2,EN-Non-IT-Immature,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Pyrroles,Organoheterocyclic compounds,-1.0923182132111076,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
EEF1A2,EN-Non-IT-Immature,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Pyrroles,Organoheterocyclic compounds,-1.0923182132111076,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RPL8,EN-Non-IT-Immature,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Pyrroles,Organoheterocyclic compounds,-0.8762119449200082,t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control
RPL19,EN-Non-IT-Immature,C8-Pos-001061,Cholest-4-En-3-One,Steroids and steroid derivatives,Lipids and lipid-like molecules,-1.384482209271543,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RPL10A,EN-Non-IT-Immature,C8-Pos-001061,Cholest-4-En-3-One,Steroids and steroid derivatives,Lipids and lipid-like molecules,-1.4488374136184898,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
SGCD,EN-Non-IT-Immature,C8-Pos-005464,Pc(26:6_21:6cho),Glycerophospholipids,Lipids and lipid-like molecules,1.0645497285323493,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
SGCD,EN-Non-IT-Immature,C8-Pos-005464,Pc(26:6_21:6cho),Glycerophospholipids,Lipids and lipid-like molecules,1.0645497285323493,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
SGCD,EN-Non-IT-Immature,C8-Pos-005464,Pc(26:6_21:6cho),Glycerophospholipids,Lipids and lipid-like molecules,1.0645497285323493,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
NEGR1,EN-Non-IT-Immature,C8-Pos-005464,Pc(26:6_21:6cho),Glycerophospholipids,Lipids and lipid-like molecules,-0.47090616698990473,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
NEGR1,EN-Non-IT-Immature,C8-Pos-005464,Pc(26:6_21:6cho),Glycerophospholipids,Lipids and lipid-like molecules,-0.47090616698990473,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FOXP2,IN-CGE-Immature,Amide-Neg-000078,Isobutyric Acid,Carboxylic acids and derivatives,Organic acids and derivatives,2.6606877958408255,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-CGE-Immature,Amide-Neg-000108,2-Oxobutanoic Acid,Keto acids and derivatives,Organic acids and derivatives,2.1851495942664756,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000108,2-Oxobutanoic Acid,Keto acids and derivatives,Organic acids and derivatives,1.6764065563666422,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000108,2-Oxobutanoic Acid,Keto acids and derivatives,Organic acids and derivatives,1.6764065563666422,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000108,2-Oxobutanoic Acid,Keto acids and derivatives,Organic acids and derivatives,1.6764065563666422,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CALN1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.6390604800168838,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.6390604800168838,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
DCC,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.8077483099804283,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.8077483099804283,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FOXP2,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,2.373066763406417,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RARB,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,2.269858364249594,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.3906790856754845,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.7465085646533918,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4183649575313306,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4183649575313306,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4183649575313306,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RBFOX1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.1020965300268415,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.1020965300268415,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
GABRB1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.1201965668669336,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
GABRB1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.1201965668669336,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
RELN,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.7977138983061596,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RELN,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.7977138983061596,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
PRKG1,IN-CGE-Immature,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.2326687706935,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP2,IN-CGE-Immature,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,2.81806455724798,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
