n_fg,n_set_tested,fg_in_set,bg_in_set,OR,ci_lo,ci_hi,p,cell_type,set_id,n_bg,set_label,condition,source,level,set_type,reported,FDR,significant
166,22,0,22,NA,NA,NA,NA,IN-MGE-SST,t2d_xue,15743,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
45,21,0,21,NA,NA,NA,NA,OPC,t2d_xue,13445,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
42,24,0,24,NA,NA,NA,NA,Astrocyte-Immature,epi_ilae,16648,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,NA,FALSE
42,115,0,115,NA,NA,NA,NA,Astrocyte-Immature,epi_zhang,16648,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,NA,FALSE
42,133,0,133,NA,NA,NA,NA,Astrocyte-Immature,epilepsy_union,16648,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,NA,FALSE
25,27,1,26,40.87131768577237,0.959093070871871,269.50316999720854,0.026051234483944863,EN-IT-Immature,epi_ilae,25597,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,0.07611504715632476,FALSE
25,128,0,128,NA,NA,NA,NA,EN-IT-Immature,epi_zhang,25597,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,NA,FALSE
25,149,1,148,7.157036899269837,0.1729016889351313,44.47694343912861,0.13585848489966001,EN-IT-Immature,epilepsy_union,25597,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.22186171045650557,FALSE
20,27,0,27,NA,NA,NA,NA,EN-L6-IT,epi_ilae,24011,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,NA,FALSE
20,127,0,127,NA,NA,NA,NA,EN-L6-IT,epi_zhang,24011,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,NA,FALSE
20,148,0,148,NA,NA,NA,NA,EN-L6-IT,epilepsy_union,24011,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,NA,FALSE
107,27,0,27,NA,NA,NA,NA,EN-L6b,epi_ilae,22984,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,NA,FALSE
107,127,3,124,5.2928038929124925,1.0596697820720402,16.254975705521147,0.02156575945944733,EN-L6b,epi_zhang,22984,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.07548015810806566,FALSE
107,148,3,145,4.522232602542459,0.9071190863028182,13.843154039275738,0.0319494623412087,EN-L6b,epilepsy_union,22984,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.10687478062094433,FALSE
38,27,0,27,NA,NA,NA,NA,EN-Newborn,epi_ilae,24018,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,NA,FALSE
38,128,1,127,5.0758291980015535,0.12421162584114316,30.571595252930763,0.18389587501834104,EN-Newborn,epi_zhang,24018,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.27584381252751156,FALSE
38,149,1,148,4.3515739772580515,0.10660989926273576,26.179829549798576,0.2107380667850297,EN-Newborn,epilepsy_union,24018,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.2836858591336939,FALSE
129,27,0,27,NA,NA,NA,NA,EN-Non-IT-Immature,epi_ilae,21487,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,NA,FALSE
129,126,1,125,1.3270400369818727,0.033079821519665646,7.663240615772653,0.5327821190208399,EN-Non-IT-Immature,epi_zhang,21487,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.559421224971882,FALSE
129,147,1,146,1.1350514989633897,0.028325680566674814,6.53721889929541,0.588614165205483,EN-Non-IT-Immature,epilepsy_union,21487,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.6242877509755123,FALSE
117,24,2,22,12.085250991416325,1.3621183495292006,50.164348376931954,0.014098405686347367,IN-CGE-Immature,epi_ilae,15437,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,0.05921330388265895,FALSE
117,121,2,119,2.2213478676052167,0.2628022263887621,8.38571393161283,0.2335228225827677,IN-CGE-Immature,epi_zhang,15437,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.29777709710112793,FALSE
